"
  Microsoft OneNote: Save Notes","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a/ALm5wu0fSk5oNvBlrOmx8riYOdKZ_kDb7VhmqEqX1SuB=s32-rw-mo","Rayan Aponsu","November 12, 2022","I love Microsoft OneNote. It serves as my daily note taking app in Uni. However I really wish the the bugs that linger the in app be fixed. What makes Onenote great also gets diminished when you add up the glitches, stutters, and regular app crashes . One pesistant bug I noticed on windows is when using the draw tool it immediately cause my screen to turn black for a brief moment. It happens every time I use the draw tool And on Android the app sometimes fails to open on the when minimized.","","Show review history","Microsoft Corporation","November 17, 2022","We're sorry you're having trouble with OneNote. We’ve updated the app with a few reliability fixes. You can add these fixes to the app by updating to the latest version in Playstore. Let us know if you continue to have trouble and we'll do our best to help."
"https://play-lh.googleusercontent.com/a/ALm5wu13c981cTBoqHLmIdROZ_JS6ENSQcfN2FzvzyzA=s32-rw-mo","Jeff Wyatt","November 16, 2022","Great app. It's like having loads of notebooks on you at one time. Saves the clutter of note books laying around the house and so much better than just writing stuff down on paper and loosing it. Best app I've downloaded in a long time. Only critisism is would be nice if you could change the notebook icons and arrange them in any order not just alphabetically. Wish id known about this app sooner. A+++","7 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_HEscA55z9GDNxArYrL4AvHpKzXn8JLjLR6Ci6OA=s32-rw","Xbun","November 10, 2022","Not an app suitable for mobile devices, especially with a stylus. Quality of drawings while taking notes are horrible because it would be pixelated especially when zooming in. The app gets laggy a bunch of times while using. The stylus system is horrible. You can't select a drawing without the tool being buggy. The selector and eraser goes everywhere across the screen. The app is just not stable enough to use.","1 person found this review helpful","Show review history","Microsoft Corporation","November 10, 2022","Thanks for sharing your feedback! For answers to your OneNote questions, see our Help and Support articles in the Account section of the app. You can also go to https://support.microsoft.com/onenote and select OneNote for Android at the bottom of the page."
"https://play-lh.googleusercontent.com/a-/ACNPEu9xr0Di7XlwGPzah0vDAhOJHAYW66zchFQdYx2UVQ=s32-rw","patryk podgorny","November 9, 2022","I just need shapes, lines, and most importantly MORE COLORS (preferrably a hex code system where I can just pick any color) and it would be perfect. UPDATE 10/19/22: please, for the love of God, ADD MORE COLORS!!! shapes and straight lines would also be cool. UPDATE 11/9/22: a recent update made it so I cannot zoom out since rendering the screen crashes the program. Essentially ruined all my notes.","4 people found this review helpful","Show review history","Microsoft Corporation","October 21, 2022","Thanks for sharing your feedback! We’re actively working on addressing your concerns and should have something to share with you soon."
"https://play-lh.googleusercontent.com/a-/ACNPEu9wBt0C1_RbeDmtjQ6LxG9XEct0u6sUR1ob3UnkwNo=s32-rw","Sami","October 29, 2022","Refuses to sync without being forced. When it dies sync they're are frequent conflicts, a lot of which I can't identify as differences. Very frustrating. Edit: Ability to force sync in a note has disappeared. Now need to leave the note and drag down to force sync all notes. It's the inability to sync due to the shortcut I have that takes me straight into my note?","15 people found this review helpful","Show review history","Microsoft Corporation","February 1, 2022","We're sorry you're facing issues. Check the stability of your network and try syncing again, and make sure your data is uploaded on the server at www.onenote.com. If that doesn’t work, back up your data and reinstall the latest version of the app. If you have issues, send feedback in the app or send email to onandroidfb@microsoft.com"
"https://play-lh.googleusercontent.com/a/ALm5wu1kPiaPQf6z_72Qkz3JWzNKr8ri1c54Mseez6pV=s32-rw-mo","Ashley Third","October 10, 2022","It's great for my uses. I use the voice dictation quite a bit and it's mostly great. I'd give it five stars if they could refine the on-the-go editing of the dictation. It's a bit clunky and buggy, requiring lots of stopping to fix punctuation that jumps around, or sometimes it duplicates sentences. A few other issues like that, small things that slow down workflow. Otherwise great for what I need, and I'll continue to use it despite the small flaws.","19 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_ehHQck94vpAHFb6-dJi1bU_46AHp3ycX3Jn6eUw=s32-rw","Sandra Mozombite Shishco (Moshivuu)","September 15, 2022","It's the second time I had a synchronization issue. Now, there is a message for sign in, but it's impossible to solve it. I love using it for taking notes for university, but the sync feature is essential, otherwise, I can use Samsung notes instead or any other. Please, fix this problem, it's irritating and unlikely to trust in the reliability of the app.","30 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2i_wGpE-GeVu3viuDOCI57uJpQhPlfKcpjr-jl=s32-rw-mo","Gagapo bro","October 10, 2022","The idea is there but the execution is flawed, I would love this app a lot more if it didn't have the its syncing issues and limited tools. I actually do love this app because of the draw feature and the grid background, it's easy for me to take notes because of it. But, the biggest deal breaker is the syncing, I've had hours of work on notes snap away when I tried to fix the issue. This app has a LOT of potential and I really do hope they fix its isues.","15 people found this review helpful","","Microsoft Corporation","October 20, 2022","We're sorry you're facing issues. Check the stability of your network and try syncing again, and make sure your data is uploaded on the server at www.onenote.com. If that doesn’t work, back up your data and reinstall the latest version of the app. If you have issues, send feedback in the app or send email to onandroidfb@microsoft.com"
"https://play-lh.googleusercontent.com/a-/ACNPEu8I6OSeRAoO06rPdxD6OdC1RHpPAkuWHe0JXAPJ7Q=s32-rw","Lauren H","September 30, 2022","There's a lot of potential but it is SO glitchy! On my Google Pixel 6 and on the desktop version, hitting Enter often times just does.. nothing. Sometimes when I copy and paste it works and sometimes it removes all the spaces? Right now I have a page with ""conflicting changes"" but when I try to delete the change that's causing issues for whatever reason, it does nothing. It's incredibly frustrating, please fix the bugs. This could be an amazing app.","69 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8iS3ORUF8R8ISEX_oLw6yClvwJDdWaq3HDf2Jg=s32-rw","DRAGO44","October 14, 2022","A wonderful app with the only positive feature being the ability to take unorganised notes, as if you are writing on a white board without being forced to take notes in a list form. Love this feature. But only go for this app if you don't mind living with an anxiety of not knowing if your notes are saved/synced properly everytime you close the app or just let it work on the background. Yes, you may lose your note even if the app runs in the background.","12 people found this review helpful","Show review history","Microsoft Corporation","October 14, 2022","We're sorry you're facing issues. Check the stability of your network and try syncing again, and make sure your data is uploaded on the server at www.onenote.com. If that doesn’t work, back up your data and reinstall the latest version of the app. If you have issues, send feedback in the app or send email to onandroidfb@microsoft.com"
"https://play-lh.googleusercontent.com/a-/ACNPEu9EYFnV-e6rDsGMTWiSX4O4PTydcgJA8lGUJiFB=s32-rw","Ron “Ronnie” James","September 19, 2022","Absolutely the BEST! My business + personal lives revolve around OneNote. On my PC it's my go to for everything from screen clippings, to recordings, to on and on and on. So to be able to synchronize all that to my phone... What? Excellent! Of course you must understand (in advance) only a small fraction of the features you can use with OneNote on your PC is available on your phone. It's to have access to your PC notes, more than it is to make new notes that will go to your PC.","35 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9WYzpPCrcgHGULkyDJ8YT8vjvv9ZDXuPJ9Np3rgQ=s32-rw","Peter Cruz","October 17, 2022","This app is very useful as a digital notebook that can be easier to jot down than writing it in a real notebook. I also place some reminders with the use of checkboxes to see if I forgot something, especially assignments and their deadlines. And with my accounts, it is easier to sync it to different devices, such as my PC, my tablet, and my phone. But, the only disadvantage when using this app is not full of good features, just as the desktop app of it, installed in my PC.","5 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu84b2w6BFq3nLVVtR80rJZMpdXBptdZMLKlSaFczA=s32-rw","Rin","September 30, 2022","I still don't like the new layout and think it's a downgrade compared to the previous, but I adapted to it. However, both my room mate and I who extensively use OneNote have been experiencing issues with notes/pages not loading, keyboard not showing up for new pages, and at worst, changes not being saved to pages that have only be accessed from one device, in this case my phone. If things don't improve soon, I'll be looking for an alternative app.","53 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_bGIVg44mobUbSGWVRTTlcpmGfv4_jhhmp7Rvn=s32-rw","Jade Sheard","September 14, 2022","It's a pretty good app. But lately I've been having issues with it freezing up and glitching. The words get frozen in place on the screen no matter how much you move it. Sometimes it won't write at all. Now it's hardly syncing anymore. I've been having to restart the app more and more. It's a shame because it is a good app for note-taking. Edit: Dropped my rating bc anytime I have to sign out, I have to fight to get my most important notebook back. Most recently I can't open it at all anymore.","60 people found this review helpful","Show review history","Microsoft Corporation","September 21, 2022","We're sorry you're having trouble with OneNote. We’ve updated the app with a few reliability fixes. You can add these fixes to the app by updating to the latest version in Playstore. Let us know if you continue to have trouble and we'll do our best to help."
"https://play-lh.googleusercontent.com/a-/ACNPEu-qD9YbBmujOAw-2b7DBvRobpuI9HSf2vs14jx-BOw=s32-rw","Enzo Munro","October 22, 2022","I like onenote, but there are a few features that need to be added to the mobile app. One is the ability to move sections of notes from one notebook to another, which you can only do on the PC version. Another is adding more formatting options on mobile, such as different colour highlights. And finally, a more simplified system that allows you to sync all your notebooks at once instead of having to manually sync each individual notebook. Thank you for considering!","25 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2toR20bG_jbFV1quUB7_RLmimU5PPsurMzWgCE=s32-rw-mo","Judie Troyansky","September 9, 2022","I've been looking for something to keep track of different projects that can be used across platforms. It seemed, from a video tutorial I watched, OneNote had what I needed. The problem is OneNote for Windows 10 cut all the features that made it a promising solution. I can't create templates, or copy whole folders of information. I can't even find where OneNote saves the files to. Now it's just another example of people changing a program they never use. And it looked so promising.","54 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8eKa3glIgPANw3ZJU-RQ4qYoqsAn9RGh2fob--=s32-rw","Mason Reynoso","September 23, 2022","Huge OneNote fan, but the app does not work on my Android. Too buggy to do any kind of writing. Frequently, pressing a simple backspace will not delete a character, but rather randomly paste the last copied word. Cutting text will often delete something elsewhere, instead. No bugs with navigating in the app, or syncing, just when trying to write. Sadly, it is so frustrating to write in this app, that I will have to use something else instead. Fix the app and I come back.","24 people found this review helpful","","Microsoft Corporation","September 26, 2022","We're sorry you're facing issues. Check the stability of your network and try syncing again, and make sure your data is uploaded on the server at www.onenote.com. If that doesn’t work, back up your data and reinstall the latest version of the app. If you have issues, send feedback in the app or send email to onandroidfb@microsoft.com"
"https://play-lh.googleusercontent.com/a-/ACNPEu97Nyhl9wHolEUEq_BX2XL5JYH9AxDtXM-7gTgl5w=s32-rw","Emma Beyer","September 12, 2022","If you want barebones functionality, look no further than OneNote for Android. When compared to the Windows 10/11 versions, this one is a sad imitation. I love OneNote and the impact that it had on my academic career. However, this isn't anything close to what I expected from this app. You can't create shapes, store more than 4 pens, turn off pen pressure, change the type of eraser, among other issues that I don't have enough characters to express. Please, make it like OneNote for Windows :(","47 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0XYM7xK8qrRfsJtqggBvgq3qNvlBR7l8UiXRYo=s32-rw-mo","Antonio Lischke","October 10, 2022","App works more or less well with my Samsung Galaxy Tab S8+. The biggest issue I have with it is, that the iOS version has basic tools like being able to draw straight lines, recognizing basic objects like triangles etc. I would love to see those features in an update, right now the Android version lacks a little bit of love in comparison to the iOS version.","21 people found this review helpful","","Microsoft Corporation","October 20, 2022","Thanks for sharing your feedback! We’re actively working on addressing your concerns and should have something to share with you soon."
"https://play-lh.googleusercontent.com/a-/ACNPEu_gsj2-54tWzSzTnUzmx2hbCa_-zGgJALV1u8BWXw=s32-rw","Elvin Edamana","October 14, 2022","Good App but it's not smooth. It doesn't sync with the rest of notes unless I close the app and reopen it? This app is literally only good to use, if you are just writing. I can't even insert a straight line or shapes unless it's a picture. Also sometimes when I load a page, the page is blurry. On my laptop it works very smooth, but not on my tablet","5 people found this review helpful","","Microsoft Corporation","October 19, 2022","We're sorry you're facing issues. Check the stability of your network and try syncing again, and make sure your data is uploaded on the server at www.onenote.com. If that doesn’t work, back up your data and reinstall the latest version of the app. If you have issues, send feedback in the app or send email to onandroidfb@microsoft.com"
"https://play-lh.googleusercontent.com/a-/ACNPEu-WoQ_d9j6Q4r4fTSyuAnynWBZ479qa1ewlDi_XkWI=s32-rw","Kira Harris","September 16, 2022","This app is insanely buggy to begin with, but now it's been glitching out for 2 days and logged me out and won't let me sign back in and won't load any of my notebooks or pages or anything. I've sent umpteen bug reports/feedback with no response from Microsoft. And editing in web on my phone doesn't work - it's super slow/laggy and so glitchy as to make editing impossible. I keep my entire life in OneNote. I've basically had an arm cut off for the loss in day to day function.","33 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_wq5fYvdYOGss-CZ6K9VoJap0IdxF19APfXYqkqhs=s32-rw","Robby Hoover","October 14, 2022","I absolutely love OneNote, I use it for almost everything. But, the app leaves a lot to be desired, missing basic features such as text size. I understand not putting more advanced features within a streamlined mobile app, but how you strip out basic features such as that is beyond me.","45 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu80CbGnUrGv0awn-zpSW5VmDqWZ7egrrNWglPf5cg=s32-rw","Kyle Carter","October 26, 2022","I love the syncing between my PC and my phone, but this app works very poorly on my Z fold 4. The app only works properly on the outside screen. The double sized inside screen makes it bug out. UPDATE syncing isn't the issue. It's the fact that the app doesn't operate correctly on the inside screen of my cold, but does on the outside smaller screen. I can literally switch between a functioning app and a non-funtioning one by opening and closing my phone.","2 people found this review helpful","Show review history","Microsoft Corporation","October 26, 2022","We're sorry you're facing issues. Check the stability of your network and try syncing again, and make sure your data is uploaded on the server at www.onenote.com. If that doesn’t work, back up your data and reinstall the latest version of the app. If you have issues, send feedback in the app or send email to onandroidfb@microsoft.com"
"https://play-lh.googleusercontent.com/a-/ACNPEu_w0_XO7UiRlgNTd0M5w1AdsKa_m0J35miO2KB55Q=s32-rw","Arthur Guijt","September 12, 2022","Generally works, but the android version severely lags behind the other OS's versions. Cannot add extra pens, use the math features, the researcher, cannot choose to only ink using a stylus: can only auto switch to ink when using a stylus (and will introduce a line of ink when trying to drag around the screen using a finger). In addition: keyboard shortcuts such as CTRL+B on a bluetooth keyboard do not work.","8 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2pCouFf4V-72bYb9tyY2vMpnFBBo9wsyvTlUGk=s32-rw-mo","Florea Antonio","November 19, 2022","It is the best app for it's section, when it comes to pc capabilites. But on mobile is a nightmare 😫 Why isn't Microsoft team running OneNote as on PC, why did Microsoft team publish a version of one note for android which is complete disaster? There are a lot of bugs, one for instance is: When i open a page from the ""homescreen""( which is terrible , do it like on PC ) i don't have a issue with a white line. But when i open it from Notebooks>Pages>Page>the white line appears","1 person found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu95v-0e99zazhj6yOeAS61mx8FgaVCB7QEOkKpD=s32-rw","Jordan Alexander","November 7, 2022","When typing, OneNote will randomly jump back to the top of the paragraph. At first, I thought it might be the trackpad on my S8 Ultra, but then I disabled the Trackpad and see that this is indeed just a OneNote ""Feature."" I looked on forums, and the same bug appeared about 5 years ago, so I would say we are safe from them every fixing it if it has been at least 5 years. Time to use something else, I guess.","6 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8Ys3BhlHL3HoCvGf0W0-Ul_I-IvL9yKwrn8-ZCVg=s32-rw","Ian Wills","October 8, 2022","OneNote for Android could have been so good - but it isn't. The biggest issue is that sync between Android and Windows is very buggy so there are constant page conflicts and no matter what I try in the app or on my phone I can't stop them. The other thing to know is that the Android version is cut down a lot from the Windows one. Even more bizarely there is a differnt, fuller version for tablets while the phone version is even more cut down and limited.","19 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9Sew_AYhNi4YS97h8huUiO_eorxjer3AbVWgVaJw=s32-rw","Max Yazdi","October 3, 2022","The app is useless on Android devices. It is only good to view your notes. It lacks insertion of basic shapes, tables, and misses basic features included in other note taking applications such as draw to shape. It is a shame because this is such an excellent application on PC and then it losses all features on android. Do better MS. This is a note taking tool. It should have all the features on Android as it does on PC. I pay for a subscription and seriously considering other alternatives.","37 people found this review helpful","","Microsoft Corporation","October 4, 2022","Thanks for sharing your feedback! For answers to your OneNote questions, see our Help and Support articles in the Account section of the app. You can also go to https://support.microsoft.com/onenote and select OneNote for Android at the bottom of the page."
"https://play-lh.googleusercontent.com/a-/ACNPEu_lqJOPndo--nlDj_C8h5TwnnvUNrxhg1dmJs_MTQ=s32-rw","Ian C.","September 24, 2022","OneNote has been great when it works properly, especially with its organizational system and frequent syncing across devices. I have had a few consistent issues, including light/dark mode, feature support, and pen tracking issues with the lasso select tool. When the app is in light mode, some of the text is white, and while in dark mode, the highlighters don't work, except in Windows, where there's also more features. The lasso tool also acts like the pen is all over the screen even if it's not.","6 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_VnNL7Y7qqja9ceUeMYXxe1STYLafhKM35IgKPTg=s32-rw","emmanuel onuada","November 10, 2022","I love this app. Its UI and the overall experience is very fluid and I get straight to just making notes without having to overcome any hurdles like with some other note taking apps I tried before now. My only reason for giving a 4 instead of 5 star rating is because the new update introduced this feature where my notes are arranged in grids and completely removed the ability to rearrange my notes as a list. I really liked arranging my notes as a list as opposed to the grid format.","","","","",""
