"
  Memorigi: To-Do List & Tasks","username","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu-s8Q1d_60B8_T9Ddj7Bu7HB8mm5ccVTDa0N3kiow=s32-rw","Nimisha Majumder","April 17, 2021","Works really well for me. Today and Inbox pages make things so much easier. Scheduling and categorising is quick. UI is perfect. I'd really like an option to view the current day's completed tasks on the Today page itself. For older tasks, the Logbook is practical. Edit: Just figured out how to see logged items! It has everything I need.","5 people found this review helpful","Memorigi","April 17, 2021","Hi Nimisha. Thank you for your excellent review. That option is already there. Please send us an email at support@memorigi.com and we'll gladly help you. Regards.","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","September 10, 2019","I mean I'm a productivity maniac and I've used several apps but none of them checks almost all boxes I look for: Elegant & Intuitive design? Check. Cool animations ? Check. Neat icons ? Check. Timely notifications with various settings ? Check. Groups, sub tasks, color coding, pinned tasks, Progress, nagging? Check Check Check all over that! Sure there are bugs & issues but the way this 1 man handles our queries is a Major Plus which I find seriously lacking in other apps. Recommended!","4 people found this review helpful","Memorigi","September 10, 2019","Wow! That's an amazing review! Thanks for that. Do not hesitate to contact me if you find any issues or have suggestions. Best regards!","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu2RPczyQb-IALXAyaZCmXncaKfJ7SBJMLrUHH2p=s32-rw-mo","Fizzy Pop","November 6, 2022","Every feature that makes this reminder app unique is locked behind a paid subscription that isn't mentioned until you actually need to use those features. You're better off with another reminder app which will do more for free, unless you're willing to pay for this one.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9lNBKq9KvYRjtEebBCd4uhVkg3YKtHqwHZqxjW=s32-rw","Victoria Corbit","September 29, 2022","Nice app for organizing lists of different categories. I like the aesthetic a lot and functionally it works well. The feature to see a compiled list with all your ""today"" tasks from different categories is nice. I do wish it were a bit easier to see all my tasks for the next few days, so it would be easier to re-arrange tasks when need be.","5 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2kDfPvKEHm6OHWGQ7QIOqudVzyEzw4u5luuu60=s32-rw-mo","Melody Bay","August 9, 2022","Love this app. I've used Omnifocus, Things, and Todoist for years previously, and imo this app hits the perfect sweet spot. Its system of groups and lists is flexible like Things, but has very customisable reminders like the more rigorous todo apps. My fav features are the ability to divide your list into morning/noon/evening, and the day view which doesn't feel overwhelming. The colour coded circles are useful since I have a lot of projects. Looking forward to the desktop version.","2 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8T4cztairc-N4q9_4JF9DCaEfLYZrLnLHXkz5z=s32-rw","Ali Sayem","July 22, 2022","This is the best app I have ever seen as a daily routine reminder. I cannot raise myself in a good process. I can't focus on my study. I need to maintain a routine to focus on my works. But using a notebook for maintain a daily routine it's seems to me boring. All day today I was looking for a daily routine reminder app for my daily life. but unable to find a good one without it. It's easy to use. You can download it without any confusion ☺️☺️","4 people found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8L2JgBfiTaFahN3DsfbgR4zbwY0O3TnHD3AEkf=s32-rw","Michal RV","September 20, 2022","There is no desktop version available, the calendar feature is lacking monthly/weekly views, the subscriptions are over priced (you can get many more features for less in other apps). Overall, this app is very underwhelming. It has a decent UI though.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_98vNHubXEOQlrHSUWmiKg07GjVfKaIYsuBBRDag=s32-rw","Shawn Rose","October 10, 2022","A really great UI! I was looking for a productivity app that made capture simple and wasn't too fiddly. Memorigi has the most intuitive UI designs I've ever used for a productivity app. Features are easily discoverable but still powerful. Most other productivity apps are like spreadsheet applications, powerful but lame. This app just flows. A+ to the team!","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_BE04ZHZHkwWUUKDGjhu3qf8rfdnoI0OixmCZVrQ=s32-rw","Vincent Santosa","August 11, 2022","I really enjoy using this app, however something has been bugging me since I started using the web version on my laptop. For some reason, every time I add a task on the web version, it doesn't update in the app and vice versa. I've been missing a lot of work lately since I use the web version quite often in school. Really hope this can be fixed ASAP. Thanks!","","Memorigi","August 11, 2022","Thank you for your review. Please contact us at support@memorigi.com and we'll gladly help you.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu__U9kj1XQW_x3gLlms-TfctqBCvmXQ_7McwuCc_w=s32-rw","Anna Monson","November 9, 2022","It nags me just the right amount, and I can have just one giant brain dump, or organize as I please. My favorite task manager for sure","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_6IPpGpxXKIrQEP_YLtXfnScn54kzh6LYpGmovpQ=s32-rw","Fil Sapia","September 4, 2022","Really good to-do app but has slowly been bleeding features into a subscription model. There is absolutely no good enough reason to charge a reoccurring fee for basic functionality...","7 people found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu82ncl5AXqRQKcNaDCzQebiIwmKelCL_ZP_8lk4kw=s32-rw","M King","September 21, 2022","I'm sorry but this update...The old design looked so much better and the functionality was less complicated. When you would open the app and see all the different tasks that you set up instead of just for today. It was better when you just swiped to get rid of a task, now, it's press and hold to delete one, and when done with a task you checked it off and it disappeared, now, you check it and it just stays there with a line through it. Hopefully they'll bring back what made this app special.","15 people found this review helpful","Memorigi","May 14, 2021","Dear Maeada. We're sorry for any inconvenience you experienced. We worked really hard to improve the latest version of Memorigi. This version is fully focused on simplicity and user experience. Please contact us at support@memorigi.com and we'll do our best to give you the experience you deserve. Have a great day!","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu93rmJzfIRzkkF9TZ_NL-tczyRC0XGWwRHF3nFVXFI=s32-rw","Kanishma Ray","July 7, 2022","The UI is very pretty, and the widgets look very professional. It gets a lot done too! It has all the basic features you'll require from a task app.","2 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-xToeo0RL_f8xJ7vDQXgOm3kCQFHp0_EvUe69Gtg=s32-rw","Rajesh Yaji","September 3, 2022","Super App. Very nice UI and features. Very impressed and awaiting to see more features for the premium version. I am having the premium version.","1 person found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-u6H1ldb64mZn8wu0K8uBdIVXiWtQXsDLI66NXKg=s32-rw","Crystal Loop","September 12, 2022","App is beautiful and functional. The only thing I'd say is that the widget seems buggy and is often in a loading state. Not sure what I'm doing wrong 🤫","","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1y3ECJhc8H1DbCQ2LgQR16Rxtgp1uBHjrqT6Pz=s32-rw-mo","Angel Grovenor","November 9, 2022","I LOVE THIS APP!!! IT'S VERY GOOD IF YOU HAVE A BUSY SCHEDULE AND IT CATEGORIZES THINGS VERY WELL AND IS EASY TO MANEUVER. HIGHLY RECOMMENDED!","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8A503yPLXnDhhdcTVbE8tGnNiR8ojKtPfzYPexDA=s32-rw","MANGDA","July 30, 2022","Can't stand when you open an app for the first time and it demands you sign in with your Google account, Facebook account, or email before you can even look at the app. Don't care how good the app might be... immediate uninstall. Bye.","2 people found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8ZksS9I46LajaB0s_PP33KhfYYCtPKzDYZKr8Sag=s32-rw","Jessica Lewis","April 29, 2021","The UI is very satisfying to use, and the scheduling and reminders are very reliable (unlike the app I switched from). Different views, like ""Today,"" ""Upcoming,"" or individual lists are extremely helpful! Sometimes I just want to know what I need to do today, sometimes I want to see what's coming up, and sometimes I just need to look at all my sewing projects. I'd love to see some sort of Priority feature, as well as the solid scheduling feature.","11 people found this review helpful","Memorigi","May 5, 2021","Hi Jessica. Thank you for your review. We already have a priority system in place. Feel free to contact us at support@memorigi.com and we'll gladly help you. Stay safe!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-yevRXLboV540u1rcPUU3_KvYG2ClOtOiEtIIi3A=s32-rw","Ahmed Mansoor","October 29, 2020","One of the best to-do list and task app that offers great features even in the free version. However, it missed a star because it lacks 2 very useful features. 1) The calendar doesn't have a grid view ( Im not counting the listed view). It only shows the tasks on the week ahead. I believe seen the tasks created on the whole month is a necessary feature for any tasks app. 2) It shows the due dates, but not the days remaining. I would've really like that.","25 people found this review helpful","Memorigi","November 6, 2020","Thank you Ahmed for your review. Please don't forget to subscribe to our social networks and recommend Memorigi to your friends. Don't hesitate to contact us at support@memorigi.com if you have any questions or suggestions. Be safe!","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-L7sCtNE0ZwMZP64uuPOSHNK7Azmwu753-mcX0mA=s32-rw","Rhonda Kauth","August 26, 2020","Memorigi was the To-Do app that I found that can do almost everything I want, with the fewest things I don't. It offers a basic free version, a everything-including-a-community mo. fee version, and a middle of the road, one time paid version. You can either use it as it comes, ""plug and play"", or have the ability to customize it. After the latest update, it was only improved: with the choice of 12 or 24hr clock, dark theme, and other adds. When I had issues, Randy helped me fix them, ASAP!","5 people found this review helpful","Memorigi","August 26, 2020","Rhonda! Thank you for this amazing review and for taking the time to contact us. Please don't forget to subscribe to our social networks and recommend Memorigi to your friends, and don't hesitate to contact us at support@memorigi.com if you have any questions or suggestions. Be safe!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-BWEUuCv7xew_aGNj4FHit2PEl-J8z7xnyNSbUxrw=s32-rw","Alicia Simon (MyWorkbasket)","July 5, 2020","Great for my ADHD!! I wish there was more of a tutorial about what the different settings and options are. I've been just sort of fumbling around with the features, but I've been using the main basic stuff as a general to-do list and I LOVE IT!!! I love that when you put something in your schedule it puts a dot on that date, so you can look at your week coming up and see which days are a bit busy and which aren't. I've definitely noticed a difference with actually getting stuff done!!","4 people found this review helpful","Memorigi","July 9, 2020","Thank you Alicia for your great amazing review! Memorigi is more about discovery and fun than reading boring tutorials. It's great to hear is helping you! Please don't forget to recommend Memorigi to your friends, and don't hesitate to contact us at support@memorigi.com if you have any questions. Be safe!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9ZDEp28k-biqJOnLbaGDXIzFyVjVst73cG8FUMV08=s32-rw","Mohammed Hammouda","April 23, 2021","As a UX/UI designer, I respect the efforts to make this app look different, but let's remember being different doesn't necessarily mean better. For a new user, the experience is overwhelming with lots of inconveniences such as the non-descriptive icons and the unusual navigation patterns. That's of course in addition to more issues that other users have mentioned in their reviews. My advice would be: make things simpler, focus on functionality and features, debug debug debug. Thanks","17 people found this review helpful","Memorigi","April 23, 2021","Hi Mohammed. Thank you for review. Would you like to share your designer expertise with us about this? If so, please send us a message at support@memorigi.com and mention your review so we can start a conversation. Be safe!","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9OXyxy01rgdrDG5x22pj88IEHT2KRAcgaZrLXWHQ=s32-rw","Olivia Wood","May 21, 2020","I spent a long time trying to find a to do app which is both effective and has a gorgeous user interface, Memorigi is it. My only problem with it is when you repeat a task you cannot change the time without either changing the time of all the other repetitions or having to delete all the other repetitions which I don't want to do as I like to have a log of what I've done. Also you can't delete repeating tasks from one point onwards without deleting all the repetitions.","16 people found this review helpful","Memorigi","May 24, 2020","Hi. Thanks for your review. Please use the app to submit feedback and requests or send an email to feedback@memorigi.com. Have a great day!",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","April 24, 2020","This is by far the best planner among those I've tried. It has exactly what you need (organizing tasks and schedules, progress tracking, etc.) in a compact and pleasing UI. It's intuitive and it's not too much to learn, and it doesn't have ads. App purchases for functionalities are reasonably-priced. Overall, you get more than what a free app provides! 😊👌🏻","35 people found this review helpful","Memorigi","April 25, 2020","Hi Lian. Thanks for reviewing Memorigi. Feel free to contact me at rylexr@gmail.com in case you need help or have suggestions. Have a great productive day!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9HUblvXFpRxn1oojxY-rJ0ozUnuauJWOEFihoP=s32-rw","James","May 23, 2020","This app looks really pretty, the interface is user-friendly, simple to use and understand. I liked it so much, that I bought the plus version right away! EDIT: Thanks for the update! The issue with the long loading time and the waiting for it to finish to be able to mark a task as done has been resolved. It still seems sometimes that it's loading for some seconds, but I can instantly mark tasks as done, not done or snooze them. I can use it without any problems now. I really recommend the app!","34 people found this review helpful","Memorigi","May 24, 2020","Hi James! Thanks for the update. Great to hear everything is working as expected. Don't hesitate to contact me if you need anything else. Bests!","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu1MjEiS6vVznK4u6QM6fksEiZVufGQtl1pFTdSc=s32-rw-mo","Rachael K.","April 3, 2021","Fantastic! I rely very heavily on this app. Best app that I've found for my medical purposes, as it is easy to reschedule reminders, and the reminders ACTUALLY pop-up when they should... Unlike others that I have tried. (The only small blip is when there is an update, I have found that sometimes my reminder stop and I have to go into the app to make sure that they're still working). It is also very visual and customisable: can change icons and colours. Love it!","5 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","April 4, 2020","It does what it's designed to exceptionally well. Helps keep me organized, is aesthetic, and easy to use. I can keep goals and tasks for both personal, projects, and professional life separate, yet see them altogether. The price is more than reasonable for all that it does, especially compared to other apps. Subscription models are the way everyone is doing it, and Memorigi does it right.","18 people found this review helpful","Memorigi","May 20, 2020","Hi Juan. Thanks for reviewing my app Memorigi. Don't hesitate to contact me to support@memorigi.com in case you need help or have suggestions. Have a great productive day!","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","September 9, 2019","Good app, but inconvenient to use with one hand as all the important buttons and actions are located at the top of the screen. I suggest to add an option to move the entire menu bar to the bottom so it will be easier to use one a phone with a larger display. Update: I like the new UI, definitely a leap in the right direction. My only concern is now that the swipe up gesture to open a list can accidentally trigger Android 10’s swipe up gesture which also starts from the middle of the bottom.","5 people found this review helpful","Memorigi","August 5, 2020","Thank you for your review. We solved this issue in the latest version. Would you like to give Memorigi another try? Feel free to contact us at support@memorigi.com in case you face any other problem. Be safe!","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8-rq9w5u1WNM3VgewGbzJyCx4SEDOAcWCBqUG5yA=s32-rw","K. Morawski","April 10, 2021","Pros: very slick, stylish, no-nonsense UI. (It's amazing how clunky an average TODO can get! I tried all major competing apps, they felt like from another decade). Cons: updates fairly often break backwards compatibility in various ways. I lost all data once, another time I thought I did, because I suddenly got welcomed to a clean slate... refetching my tasks from the cloud took a couple of minutes, but the app in no way indicated it was actually pulling anything in. I've also encountered some annoying bugs that would come and go. I generally recommend it, I only deduct 1 star because QA feels like a hit-and-miss at times.","12 people found this review helpful","Memorigi","April 19, 2021","Thank you for your review. Feel free to contact us at support@memorigi.com if you need help or want to share your feedback. Regards.","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","February 21, 2020","Memorigi has grown to be my favorite To-Do app this past year. Most prominently, I love the app's layout and design. That's what attracted me at first and that's what keeps me using it. The spatial layout of task categories, combined with a plethora of colors/icons allows a layer of customization that many to-do apps lack. Sure, it's aesthetic, but the design is what always makes it a pleasure to open and easy to work with. That's not to say Memorigi lacks functionality; I seldom find myself constrained in what I need to do and plan out. I can track my progress, create any variety of recurring tasks, and embed notes and sub-tasks with ease. The app is always evolving. The developer is constantly researching and working to improve the app, whether aesthetically or functionally, and is regularly taking feedback and suggestions from the community. It's nice knowing that Memorigi isn't going to stagnate any time soon. Give it a try!","30 people found this review helpful","Memorigi","February 26, 2020","Hi Mettrovski. Thanks for reviewing Memorigi. Don't hesitate to contact me to rylexr@gmail.com in case you need help or have suggestions. Have a great productive day!","Show review history"
