"
  Flipd: Focus & Study Timer","username","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a/ALm5wu3bIRXxz4oy1byW69Ek0VTc6iQdZqiDriE7ITtIHQ=s32-rw-mo","Nandika Chawla","July 15, 2021","This is a lovely app, I love its ambience and feel. Flipd motivates me to study, and virtual study groups are so much better and focussed than real ones, and Flipd lets me have one. Things I'd like to see in this app are: • A place to write a to-do or a time-table for the day and then the week. • Reminder notifications incase, we've been away from it and not been studying. All in all, a great app! Keep up the good work, Team Flipd!","22 people found this review helpful","Flipd Inc.","July 22, 2021","Hi Nandika, thanks for taking the time to leave this review! We really appreciate your feedback and will consider adding those features to the app. :) - Alanna","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8VSH6-3TnMWMJ2aIwCdG0K4jTw_lcbcHMt5cudpg=s32-rw","Anjel Richardson","September 14, 2022","Is there any possible way we can change the settings so we can't just simply cancel the focus lock. Seems very pointless that once my phone is locked all i have to do is cancel it. What's the point in having a whitefish. I regret paying for this app. The free version was better.","8 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_23v2g992Oy9NwJxsFHLOn1wbLq8hOkkiTISDc=s32-rw","Prachi Sharma","September 25, 2022","I really loved to use this app.....this is really good for students who wants to study with Focus..... And the best point that I like in this app is that you can select the background sound also....loved it.... Thanks 👍","6 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_4svmNeD7N2NOLx5gkfLcntemSVBsKCrQwAb-r=s32-rw","Yamin Thant","November 10, 2022","Really useful app to study and focus.Music are also a supply to clam and relax.But,one thing the only thing I won't appreciate is once I study40mins and save the progress but it's not recorded.Not only once, again and again.I'm so sick of it.Except of that one, everything will be 5 stars for this app.Please fix it .","3 people found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_uO7Oq_tognpuwaSOhwh1KV1UeA9VH_xQTs3ev6bw=s32-rw","Sashwati Mandal","November 19, 2022","Timer stopped Sometimes the timer don't save the progress,and you manually cant add it , it's very irritating .","","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1ekj7k4WMhac0uwPAshzexEkTnvPtQZZh7Km0=s32-rw-mo","Ayisa","October 22, 2022","This app is great i downloaded it today and it's great but the thing is it doesn't save your stats means the total time you studied/focused ...Please fix this bug in next update.....i don't want to uninstall it so please","3 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_ruMiFSD7StiURgDHxH9Q1OCdUo3a8RpiuvlR45g=s32-rw","Charlie","October 13, 2022","NOT a way to force yourself off your device! This has a feature that temporarily bricks your device if you have problems unplugging to go to bed or to work, etc. Unfortunately, it can't be scheduled which defeats the purpose.","2 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8mJyLTjCsGpDaxrbL_O79qCUu0-8R-tRFHb7B--Q=s32-rw","Ansel Colby","November 4, 2022","The app is alright, but I'm unable to open it on my Pixel 7 - it just crashes every time so I think I'm done with it for now.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9czIGOP-92Lk6jB_TdvoEGAO35XqzKtBsZy4KtTA=s32-rw","子绚:c","October 24, 2022","when i use the focus lock mode during the saving of time or during the end it just doesn't load and the next time i get into app i will be stuck in that page","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-AFHyT_Xu3i1C0gouBOASIUQ0efQ20aQRMKyOiBQ=s32-rw","Siri Kalla","September 3, 2022","UPDATE: with the last version, most of the bugs was gone, and I was really enjoying the app again. However, with the last update my phone has started to crash every 5 minutes or so. I downgraded to an old version (using an APK site) and the problem disappeared. This update was clearly not fit for release yet...Have written to support but no response in a week's time.","89 people found this review helpful","Flipd Inc.","June 18, 2021","Hi Siri, thanks for taking the time to leave this review. We're aware of these issues you've brought up and will be addressing them soon. Thanks for your patience in the meantime and if you have other feedback let us know at info@flipdapp.co! - Alanna","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu1n9sBpSuIAU8EoO8LkLPeIYvV14no8k7M-Fbs7=s32-rw-mo","TL","October 5, 2022","Log in doesn't work, I enter email, I get the link, app says ""can't log in, use other method"" (0022)?? When will it get fixed?","1 person found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_2G6ktgYncJfdY4NC4k97xT2sBNSX06cTKHSWHWg=s32-rw","Violet Colwill","August 26, 2022","This is the best app I could find that helps me have a stable study time. It also have costome music you could put on to help you focus. I would highly recommend so use this app whenever you need to study","4 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8CMr4RSiSz__RK184tSNzfCjaG2hLNVdOKRU1y=s32-rw","Anik Biswas","November 16, 2022","Please bring the update with weekly graphs and pie charts ! Please Dev...","","","","","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu1s7AUdzBRQsOtRzxYM8GBOHXaJtNDFb0ECXsqu=s32-rw-mo","Javier Heng","August 22, 2020","Aw man, I really liked the old version despite not having the whitelist option. I enjoyed having a choice between the stricter full lock mode and the normal mode, as well as the ability to set 1, 2, 4, 8 and 12 hours full lock as a student without the full version. In the new update, finding that this was removed and I can only set a maximum of 40 minutes is extremely disappointing. It also breaks the competition system ☹️. Wish the developers would add these features back in or revert it.","80 people found this review helpful","Flipd Inc.","August 27, 2020","Hi Javier, thanks for your feedback! We put a lot of work into this new update based on user research & feedback. Full Lock is still available under Focus Lock now, and it includes a Whitelist option too. Although some features now require a subscription, we hope that if you enjoy using Flipd that you'll consider subscribing! - Alanna",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","September 24, 2018","I am so flippin' happy with this app! It is so effective and exactly what I needed. I love that I can still use some functions, like text, call, Google Maps, Calendar, calculator, and clock/alarm. Thus I am not ""disabled"" like we all fear of being when taking a phone detox, but I am also totally unable to waste my time shopping online or looking at social media. In all honesty, I should leave Flipd on all the time! The ONLY wish I have is that I could pre-select which apps are allowed before I Flip off. E.g., I'd rather be able to use Waze than Google Maps, and I'd like to have access to my Gmail and notes apps.","12 people found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","May 7, 2019","Not having a music player when my phone is flipd off is a major downside. It is amazing for keeping me off my phone, but right now I would like to have my phone flipd off AND enjoy the radio station I am currently listening to via app, and I can only have one or the other. I would probably buy a subscription if I could access music apps when my phone is locked. ***Edit: after my phone's latest update my whitelist apps no longer work in lock mode. super disappointing, glad I didn't buy premium.","19 people found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_4O9MgN-1O4A0iaEtTjJ3gmnL-1NTDm75ChR4Ebw=s32-rw","Lovely","October 13, 2021","It feels like a challenge, like the timer is challenging me ""hey, bet you can't study for an hour"" makes me feel excited whenever I study, which also makes studying a lot more enjoyable and comfortable especially with the musics. It is a bit on the laggy side so I wish you could fix that issue, other than that this app is amazing. Thank you :)","40 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","November 23, 2018","Lovely app. Just one tiny suggestion. It'd be awesome if I can choose my whitelisted apps. I've read the FAQ and they said it's better if they choose it. I understand that and I agree. But if you could whitelist the apps that are categorized in play store as educational it would be great. I'd like to use my scientific calculator and some other dictionary etc, while ""flipping off"".","2 people found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","March 4, 2019","I've been using Flipd premium for a few months on my OnePlus 6 android phone. However it's become unusable recently because of a major bug.   1) The full lock countdown isn't working properly. e.g. every time I set a 6hr time lock before sleeping the countdown pauses at some point. So when I wake up 8 hrs later there's still 4 hrs on the countdown etc.   This is seriously annoying! My phone is locked right now ...   2) Not a bug but a feature request. Flipd in their FAQ's say it isn't possible to allow users to make their own personal whitelist of apps due to tech constraints. However, for Android at least this is not true.   I have several other competing apps that allow me to do just this.   The idea that it's better for Flipd to only provide a short list of whitelisted apps is shortsighted to say the least. Every User is different, certain apps are only useful in certain countries etc. Please change this so you can provide a decent user experience.    I for one won't be renewing my subscription until I see these improvements. It's a great app, just needs significant upgrades.","11 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_onVeX_rIR4eMttG3-xkFYtcuBtckbUiNazMCkXA=s32-rw","Usha Nandhini","October 27, 2021","Well I'd say the concept is great. The free version is almost useless. The timer stops exactly 40 minutes, and I have to open the app again to save the record and then continue another 40 mins... that's just very distracting. I cant afford a premium coz I'm s student and I don't have a credit card and I'm sure so many users can relate. Study/focus apps normally have a feature for students who don't have credit cards..anyways, the app is amazing.. the design and the UI is great. That's about it.","85 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu30p2L7ipglkKs3jUFK8FyeZySYsV7tCJ2HvaN-=s32-rw-mo","Rachel Joseph","October 1, 2020","The focus lock option has changed since the update. Not only does it limit the time on free mode. I can only go up to 40 minutes which is not ideal at all. It also glitches out when you attempt to use the focus lock. I will be searching for another app because this was my favorite but it's become very disappointing and the reviews show that.","29 people found this review helpful","Flipd Inc.","October 9, 2020","Hi Rachel, thanks for taking the time to leave a review. There are many features that you can still enjoy for free, but we also depend on our subscribers to continue improving and maintaining the app. We don't advertise or sell your data. Please let us know at info@flipdapp.co if you would like to explore a premium subscription option! - Alanna",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-Frod7Hk4X2KY0JmNyARwr_YZvLrJndor1ZwT8eA=s32-rw","earlgreyisamazing","April 16, 2021","Not only is it incredibly expensive, but apparently you also have to pay for every device you want to use this app on? Honestly? The features are fine and the UI looks clean so I really wanted to give this a go and got the monthly subscription, yet I started regretting that choice not even an hour after the purchase. I just can't wrap my mind around why I would need to pay twice...","48 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","March 27, 2019","SO MUCH POTENTIAL WITH THIS APP! This app falls short. Firstly get rid of the bugs, there are many bugs that need to be fixed seriously. I cant seem to change the time of reminders for my study group which is really annoying or set specific days. Features that would be great to see added (for premium at least) would be actual messaging between members in a group and being able to make friends on the app (not just messaging with alana to troubleshoot). Automatic locks should be schedulable too.","6 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","January 27, 2020","I love the interface and features, visually it's very clean and easy to use. And you get so many great features in the free version! My only issue is sometimes it doesn't work. For example, when running a ""mindful moment"" timer, when I lock my phone the session ends, making it completely unusable.","2 people found this review helpful","Flipd Inc.","January 27, 2020","Thanks Iman for your kind review and feedback, we will share with our team. If you're still having trouble please send an email to info@flipdapp.co - Melissa",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8Adeo70Sz92FYYwVVympcrqtUvVJ4VPLrQhOh4CEs=s32-rw","Lisa Ostrowski [Catterall]","September 7, 2021","Absolute necessity - this app really helped me (forced me) to put down my phone and focus on work when I needed to. It's super effective, and i like that you can still access certain phone functions/apps that you set in advance. In addition, the customer service at Flipd has been incredible - Alana was super responsive and helpful. A great experience all around.","3 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8w6Fd4h2RkILGHc3bMd-y2uJ_HR7qE_70dwMPW=s32-rw","Corey Fawcett","July 6, 2021","I used to have no problems with the app but it has been functioning terribly lately. I can no longer edit my whitelist or click on my whitelist to go to specific apps during focus lock. I have the latest version of the app and have reinstalled more than once. Pausing the app is also super annoying because the confirmation message won't go away. It's sad, I used to love it and it helped me a lot. It's basically unusable for me now.","23 people found this review helpful","Flipd Inc.","July 22, 2021","Hi Corey, thanks for your review! Have you had a chance to try out the latest version of the app? If it's still not working well for you please contact us at info@flipdapp.co. Thank you! - Alanna",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","June 3, 2019","A recent update locked a lot of previously free features that I had gotten used to using behind a paywall. I can no longer flip off for a custom time, only the preset times of several hours. I have ADHD, and I used the app to flip off for 5-30 minutes at a time to manually disengage from my phone and get started on tasks, but not block me from my phone if I need it. Now I can no longer do that without shelling out money. Currently looking for an alternative to this app.","","","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","October 21, 2018","I've enjoyed it so far, especially the full lock feature. My current problem is that the iPad app won't let me select higher than 4 hours, despite 12 and 8 being on screen. In addition to this, when I log into my account on my phone it says that the 4 hour iPad session last night has completed, but my iPad is still Flipd off, and I have no access to my apps. Update: uninstalling the flipd MDM thing in settings worked, but I'd still like to know how to not have this happen in future.","4 people found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","January 14, 2019","It's a great concept but the app needs more work. I 'flipped off' for 30 minutes and the timer kept freezing. In reality I was locked out for about an hour. Also you can't choose which apps you're allowed access to. I use bus pass to get around and I don't have access to that while 'flipped off'. Also I use Pandora and Spotify. I was given access Spotify but not Pandora. I use Pandora more so it would be nice to choose that over Spotify.","24 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","April 25, 2019","This was a great app, i used it for studying and sleep. However last night I set the timer for 8 hours, and when I woke up 8 hours later the timer had 6 hours left. Not ideal because I need to use my phone during the day. Unlike other timer apps there is literally zero way to tap out of it, not even by uninstalling or disabling permissions through settings. While this is good for productivity, it's rather annoying in cases like this. I'll be using a different app in the future, which is a shame.","10 people found this review helpful","","","",""
