"
  Notion - notes, docs, tasks","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","April 5, 2020","I just love this app. The features. Customisable templates. All good. You guys could work on UX more but it's decent now. But I'm going back to Evernote for only one reason. App loading time. It just takes forever for me to open the app. I keep waiting. 10 to 15 seconds maybe is not a long time. But when you quickly wanna note something and waiting for long time is not a great experience.","37 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-SPvm53G0DGNHKZe3Msd22i6INEjwcLWJyiXyh6zA=s32-rw","Satyam Dahiwal","Show review history","August 11, 2021","Desktop version is good. Can't say the same about Android version. It's sooo slow. Otherwise same functionality as desktop. But still thanks for the app, notion is the best. Android app is only useful if you use desktop version, and need something to quickly check your stuff. Not suitable for anyone who wants to use it as standalone app.","139 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-u6vLGMr1nXcbnLXrVOIUkdR5kLGieVM0hKqf15A=s32-rw","Usnish Ghoshal","Show review history","October 6, 2021","It has improved quite a lot in terms of speed and usability. But I still dislike the way it handles images, specially the inability to zoom makes large images almost impossible to see properly. The pdf embedded is also useless in mobile app. Please consider these , preferably the image zooming feature in the next update. EDIT: The zoom has been fixed in mobile devices and I'm happy with it, changing the review to 5 starts","61 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","March 6, 2020","Completely blew away the competition in the niche. I was so impressed that after 5 years of OneNote, i switched instantly to notion. The desktop software is just amazing and infinitely versatile. Even the mobile app is nice and works fine. I did not experience any UI loading problem as mentioned by some other comments. It's working seamlessly. Guess notion labs have fixed that problem. Kudos to the developers for making such an amazing platform and especially making it free for students.","15 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_zOVBm98osQC7g5Y9-ixYz9ZQkl8KK1_PYgz5-=s32-rw","Elizaveta “Poor Yorick” Zamkovaia","","November 4, 2022","I absolutely LOVE Notion! It is amazing for keeping everything in one place , even synced inbetween devices. The designs are gorgeous and there are loads of opportunities! Now, to the obstacles. This app is glitching like there's no tomorrow! For instance, I like to get an outline for my notes ready in advance. I do that. I close the app. I open the ap half an hour later - everything is scattered all over the place. There is also no drag-and-drop function which is mentioned in the description!!","3 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9Wk8sftqVVf8XMQFC3PjWedPsI0my4hkmOP0Xw=s32-rw","Jenn Blesh","","November 15, 2022","This app would get better stars if using the Redo / Undo didn't cause the keyboard on my phone to disappear everything I tap on it. An entire paragraph I was typing disappeared and I needed to Undo to retrieve it. Very. Annoying. Among other issues that bring the rating down but it is unfortunately the most conducive for my writing right now. Thank god for no ads at least.","2 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-1okbYqxb-ebXmf_oDhyg_j7Yc9i8DfMl-0Yyb=s32-rw","Johanan Liebermann","","November 20, 2022","The developers must utilize local caching for both getting data from the server and writing data to the server. The former will make the UX much smoother. The latter will allow typing reliably over unstable connections. Right now everything seems to be done against the server in real time which causes sluggish performance and serious reliability issues.",""
"https://play-lh.googleusercontent.com/a/ALm5wu1eJ0yFSn7tiaF7aOXDyQMjx0YS6FoJUt0OXbnx=s32-rw-mo","AROUNDTHEWORLDD","Show review history","November 17, 2022","It's a decent app and I use it for my scripts. but it has bugs that can get annoying, like files not loading, your words randomly dissapearing or crashes. Would recommend if you have a pc since it works best with it. Not sure if this was iOS designed, since those bugs occur on my Samsung aNote10 - wich is an Android - so I'm not sure. If these bugs would get fixed, I would give this 5/5 star review. I'll wait to see if there will be any updates - but take your time!",""
"https://play-lh.googleusercontent.com/a/ALm5wu1H2OWsd87VQSHXjtjC4rzdWeq4j4Ayk58VFaIJ2DI=s32-rw-mo","Catherine Ryczanowski","Show review history","November 17, 2022","i do like this app - it's useful to organise things, but it's a laggy mess. i will click the enter key when editing part of it and it starts me typing at a completely random part. also, it's very annoying there is no way to write a line, click enter and not make a new block. that also makes it hard to cut large pieces of text.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8OveFGUHCUrm0_Nq5rcEAvjugTwBY_yTuDg2rZ6Z8=s32-rw","K C","","November 2, 2022","The PC or web-based version is fantastic. The app however can't even do the basic task of saving your notes? Like many people stated, anything you type through this app does not save and disappears, making the whole point of this app obsolete. Also, it's really slow to load pages. I'm paying for the premium version of this program on my PC and would expect a working app too. Please fix this asap or I will have to cancel and use a note-taking app that can at least do the basics.","48 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu1w37OqzL2BgwrS7TlA8uqNM0Us-TiWuwcGMzD2=s32-rw-mo","Sam Axtell","Show review history","October 26, 2022","I really like Notion. It's great that you can sync it across your devices and there's loads of brilliant stuff you can do with it, but there does seem to be a major problem with the Android App. I've lost so many of my notes mid-sentence or mid-paragraph that I only use it in an emergency now. The desktop version is far more stable. No-one from Notion is responding to these negative reviews so I've downgraded my review to 1 star. It surely can't me a difficult issue to resolve.","68 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_06W9TZvDgabPjozwZpgkm2OlZ90uvBdGefzIuNQ=s32-rw","Chris Nejfelt","Show review history","October 29, 2022","I love Notion, or more specifically the non-mobile version. Web & desktop apps are fine. The mobile app, however, just cant effectively and quickly load data. It works, but has a noticeable and consistent lag between you pressing the screen and the app finishing that action. Needs some quality of life upgrades. I cant use Notions photo import because it crashes with my gallery. If your only experience with Notion is through this app, you'll likely think it's terrible and move on.","33 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-VQH9x58oa9MaTXVVndEb1oIZbLaLjrjeytNiYaw=s32-rw","Kyla Ferrer","","October 25, 2022","This app is great on desktop but really disappointing on mobile. It loads so slow, sometimes my page does not show up, and sometimes it doesn't save what I inputted(but it will show up once, I tried to redo what I typed so it'll mess everything up). I hope this will be fixed, because this is a really great application for those who want to organize work/school/personal stuff.","19 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-MCA_LBD97GuWT2a07BwI6gv7_g-_Db09LdhZ2Wg=s32-rw","LeiWasHere","","October 27, 2022","First time using this note app, a friend suggested this to me and i decided to give it a shot with typing Biographies. not even 10 minutes in, lag, it surprises me that a note app is lagging on a phone, and whenever i type something in the notes, it sort of just disappears after a while, is it trying to sync my notes? or is this just very wonky to use? but overall, it needs a bit more improvement on optimization and obviously fix the thing where it messes with your texts, it is not a good thing","4 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_jKsRVjaCUXsbvGKLDXdHtg9lFtJiVyGZqnxNgWQ=s32-rw","Анђела Пендић","","September 16, 2022","I finally found a place that fits my way of organizing thoughts, to-do lists etc. I've been struggling to get them all together, and with Notion I have the opportunity not only to do that, but to create the best visual for each category and area that I want to put in order. It's amazing, I am enjoying it so much, it offers plethora of tools and fosters your creativity along the way. I use it for my goals lists, for assembling the notes while reading books, for planning, collecting ideas... ♥♥♥!","20 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_Y_ijZyETL7_NP1wKEh4mQGN7Tmj8bb21HJMHvRQ=s32-rw","Tyrese Paul","","September 14, 2022","It's a wonderful app... I really love how it keeps me organized and caters to my organizational skills. But there's a problem with the syncing between devices. Every time I open my phone it's not the same information I updated on my laptop and it's really an inconvenience because it's like I'm working completely two different pages when it's just one. Please fix this soon I really enjoy this app","10 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu1BaRGW03nX6Qzo1NXIBZ1IT62tPpN0b8xN3HK5=s32-rw-mo","Jacob Russell","","September 10, 2022","A few weeks ago there was a bug that would only let me use the Android app upon a fresh install. After I closed and reopened it would crash immediately so I had to reinstall. Looks like that got fixed so I wanted to add my review. First review of an app in the play store and it's because I love Notion so much. Truly a life changing tool which sounds dramatic, but Notion has been the biggest force multiplier I have found in the last 2-3 years since I've been using the service. 5+ stars.","14 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-VAyS5CrnzyWuL1UvJETWPNZCKQQ4IvEkGPOwRE-I=s32-rw","Robert Berrier","Show review history","September 3, 2022","Frustrating to use. Moving pages around is difficult and frustrating. You would think ""press, hold and drag"" a page will give you the option to move it. But it fails most of the time. Making pages is unclear where it is being created. Sometimes it's being created in the top (root) of your account. There are modes (i think). The overview, and the ""editing of pages"". It is vague what you can do in one or the other. Overall for a hierarchy page tool. The app had a frustrating UI. Sad :(","25 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_tVExkJmnS5-xQi3KHpWR_ZWyYABU84ZkfJV6O=s32-rw","Dekira","","October 17, 2022","i absolutely LOVE the website. But the app on mobile sometimes fail to save your changes. I wrote a paragraph once and after i left and went back it disappeared. But the website saves instantaneously, not to mention all the features, which exists in the mobile as well, but all without the saving problems. I still use the app anyway, and it definitely doesn't deserve a low star, but i need to stress how important it is not to lose your edit changes in these kinds of apps.","24 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_-IA7AzqAIvRDxUHAwzscVu-rgrF3uiMDCYW7WGA=s32-rw","kaiii kaiii","","October 20, 2022","I love notion sm but i only gave it 4 stars because: 1. It doesn't sync properly on all devices. It lags so much on the mobile app but the notion on laptop seems fine. I understand because it has many functions/options, but it kinda gets annoying when I have a very simple page with a plain text and it won't sync. 2. I hope it has a less basic search function like OneNote. The search function right now on Notion only works when searching for pages on databases.","8 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9oEKBsLYdRdoWhJ48WTJaDwHntkglIbZcv1OQ5dg=s32-rw","Geroyuni","","October 20, 2022","I use this Notion mainly on PC (via browser), so this app comes handy rarely when I wanna view or make small changes away from a PC. Even then I have issues. I tend to accidentally move text when trying to scroll, common enough to make me avoid the app sometimes. Also, text is uncomfortably big compared to even the same page on phone browsers. My experience with Notion outside this app is good. It's easy to make good looking organized guides and knowledge bases, which is what I need.","1 person found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-CUXea4l7lFn1-rGk7DzkiNobeHg-m8GaHBGP7nFk=s32-rw","Muhammad Ahfas An Nahri (annahri)","Show review history","October 21, 2022","Yes, the updated version loads the app much more faster. But, the biggest inconvenience is in the note taking experience itself. I noticed my previous paragraphs were mysteriously got erased and it seemed trying to recover the paragraph very slowly. But then, the next day I reopen the page, the missing paragraph is now complete but the next one is completely gone. I hope this gets fixed in the last update. I'll revise my review later.","19 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9xeUohUAXN6KSHCKcRYjhLVZuNvbhuetiIXXl9Yw=s32-rw","Carobt Artist","","November 17, 2022","I'm writing some journaling in here. Have to constantly retype already harsh things to type. It's supposed to help me be more structured and it doesn't save all words I write or write in double or leave my sentences half finished. I'm supposed to get great benefits from doing so but I want to throw the phone in the wall because of Notion. This app is incredibly frustrating.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9TgwTRaHNXiP53N0HrkmEedW7I9y_MUqIDNUBkFA=s32-rw","Nath Gtz","Show review history","September 2, 2022","I've found it very useful to organise tons of ideas that I tend to forget if I don't write them down, pretty cool with the bookmarks, embeds and view of the pages. Only things I'd like to suggest is 1) adding the option to move/reorganise the order of pages you add to ""favourites"". 2) Being able to color the text and/or background on a single square/block when you make tables because I want to have different colors for subjects on a table schedule.","10 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8JDqQnTajnGh-05P-eEnHKXQHVjV_EE8jFPMq7rH0=s32-rw","Jakeypoo","Show review history","October 17, 2022","I love Notion on desktop to death but the mobile app has been a letdown for years. There's so many bugs that never get fixed and features on desktop that are nonexistent here. It works for quick notes but otherwise, I just end up closing the app in frustration. It's been years and this still feels like a fraction of what the desktop version has always been. Foldable devices are also not supported still it seems. Hoping sooner than later Notion on Android will be improved so I can give it a 5/5!","22 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_A1O2TL9ZtYyb4C31YVm3tleVsI5P8xXtBLbC6yhE=s32-rw","Michelle Biondini","","October 1, 2022","This app is the best by far!! I have tried Samsung notes, Momento Database (which has like 24 folders) and other means of trying to organize my files and notes. I work as a freelance worker doing many different jobs for multiple people. I can create new folders for each client and keep all invoices and assignments with the right person. I truly think that I will be staying with Notion for the rest of my time. I definitely recommend anyone download and try it..","44 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-MIdLpCxpBk1Y-U34WFA84Ty2boZ1dOj6vhQI9Uw=s32-rw","Danny","","September 13, 2022","I can't open notebooks anymore. I loved this app a lot, but since recently, it takes ages until a page opens, if it opens at all. Also, sometimes while I'm writing, some letters or words just get deleted and re-appear again which stops my flow of writing a lot. It's really frustrating since I use notion a lot and I hope it'll be fixed soon... I also wish for a function to take pages out of other pages you've accidentally put/created them in. (I have a Xiaomi Mi 10 lite 5G)","8 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-KV3C24GkrR9trzRy4fGYyiTMir_YDMJLu_zRmgQ=s32-rw","Fish","","October 9, 2022","the performance of notion on mobile is just so bad compared to the desktop version. When i get into the app i want to access my notes as quickly as possible. However most of the time when i open the app i will be on the sidebar when clicking on a tab, it will just throw me back to another page i was in earlier and that is so frustrating. The search function is also garbage, when i search for a term and click on it, it only brings me to the page it is in, not the actual location, and i to scroll","16 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_ccR6xzNl_kr7FcP7o51-yL8-WowdXChui2twYw00=s32-rw","Adam Michał Małecki","Show review history","October 15, 2022","Very buggy in the areas related to basic features, like loading data in a shared workspace, or writing a text field. Of course one would like to have all features on par with desktop and adapted for mobile experience, and that can be challenging, but those basic features should just work, yet they either don't work or have strange hiccups, like others describe in their comments.","14 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9K15RPrgiNCDeRaCi_mtZN51GZM61k6QcK3WkMKQc=s32-rw","Francisco Diez","Show review history","October 18, 2022","I love the web app. But the android app is a nightmare. When I start typing in my tablet, suddenly the text disappears when it starts to sync. It's a pitty but I'm forced to look to an alternative since it's really diffcult to work when your text starts disappearing. Update: The app is also closing itself.","6 people found this review helpful"
