"
  NETGEAR Orbi – WiFi System App","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu-ScggmwJPjZQEJqFJHGFHjoSH3ivPDnr2F0wqWC0Y=s32-rw","Steve Warren","November 14, 2022","Sadly the mobile app will no longer allow me to log in to my Orbi. I get a ""Login timed out"" error every time. I can log in using a laptop with no problem. I've uninstalled and reinstalled the app, rebooted everything, checked for updates, all to no avail. The mobile app is completely worthless to me now. Not sure when this happened, but it's been this way for more than two weeks.","2 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu3KDGlbdnZnc7ZFr6YUggNRVYnaVTDxJcCapVmT=s32-rw-mo","Mario G","November 16, 2022","Orbi app worked great on Android phone for years. However, after updating to current version 2.20.2.2506, can no longer access the network through the app (web browser access to router still works). Been monitoring Netgear community for solution for weeks, but still not fixed yet. Convenience, performance, and ease of use is why I bought Netgear products. When they stop working as intended for weeks (hardware, software, or both), I start looking at other non-Netgear products for solutions.....","1 person found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu12vPraDHfpJU9Je0ZN6b32xmRt3J4NL41uGpOr=s32-rw-mo","Charlie Alba","November 5, 2022","This app is absolutely garbage. Had to install it to get my orbi system started. Couple of hiccups at first, ok no big deal it got up and running. Then we decided to rename the network due to intrusion on the network. Now app is stuck in this eternal loop of admin password timeout error. Had to perform all setup features and tasks via website, fortunately that works. Netgear support was gracious enough to offer me a repair service that would have cost double my investment. Thanks","11 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu0S8MDT5divtauSoTmLdUEhcStj5Tp4QhqIzDRr=s32-rw-mo","Nathan Edwards","November 9, 2022","I don't normally do reviews but felt compelled to do this one. My house is L shaped and I have a detached Garage/ mancave that has metal walls. I had dead spots all throughout the house and really bad in the garage. the TV in the garage buffered a lot. signal was terrible. I unpackaged this system, downloaded the app and in just a few minutes had super fast internet with zero dead spots! very happy with this product, strongly recommend it. 700+ up and download speeds. Highly recommend !","3 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu3DYdyV02awgl6550oS1pR0w32lYJRXXatgvAmZ=s32-rw-mo","Lindsey Verzella","November 14, 2022","I've had orbi for many years. All of a sudden the app won't work. This is a huge inconvenience. Update 11.14.22 App is still not working if it is connected to the WIFI. The satellites won't update firmware and I only have stable internet in 25% of my house. I am not sure what is going on but something is not right. This needs to be fixed.","2 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_rAjzIjSZnIwUtpY3SA12qxYl7sdoEflhOFqFaZQ=s32-rw","David","November 7, 2022","[Edit 07 Nov] Now getting a ""logon timed out"" error. [Original post 22 Oct] The app was working well enough, but recently, I've been getting nothing but ""Sorry, your device list failed to load. Please try again later."" Updating the all devices to firmware v2.7.4.24, a restart, a reset, power cycle, a reinstall of the app, nothing has resolved the issue with the error. Apparently there doesn't appear to be any other advice, on any site, to fix this issue.","12 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9PrKlY8hcTmxr_209xKZrM8G-h5_hO69XximmDFdk=s32-rw","Nate Bosch","October 21, 2022","App is completely non functional. Any attempt to login results in ""Logon timed out, please try again. If this issue persists, try rebooting your device."" But no amount of rebooting the router, satellites, or phone will get past this. Doesn't work on multiple Android devices. Stick to the web interface.","197 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9DRrJKGrKoRsN814f8gbfXi09kKkLTzjI4EK2ddNI=s32-rw","Jarred Truschke","October 31, 2022","""Logon timed out"" error like literally everybody else recently. I can't manage parental controls which I'm paying extra for. Please at the very least, acknowledge that there's a problem, that you're fixing it or something. Otherwise it appears that you either don't care or don't know. Based on the recent reviews and community posts, I can't imagine that you don't know, so I'm inclined to believe the former at the moment. I'll absolutely amend my rating if you'll get this problem fixed. Thanks!","48 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9Uih7vb-Mi_hOrehw-EOnc050yI-0PqNyucvi-dg=s32-rw","Juergen Teutsch","November 16, 2022","Disappointing. Orbi setup had always been painful, but since the last firmware update (2.7.4.24) the Android app doesn't work anymore. Netgear login is OK, orbi is detected and then I'm required to fill in the orbi router password. Doing this I get a message that logon is timed out and that I should restart the device if this persists. No restarting (neither phone nor router) works. Also reinstalling the app doesn't change the situation. IOS app works. UPDATE: Latest version works again! Thanks!","7 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu0EzX_kF7oK7UkoX7FWRcVdeVENUB4wMysVLJEa=s32-rw-mo","hssa hssa","November 18, 2022","This app stopped working and it is useless. I get an error everytime I tried to log in ""logout timeout, try again"" . Netgrear needs to fix the issue which started just recently. It used to work very well. Update 11/18/2022 Thanks Netgear. The recent update to App fixed the logout timeout issue. The App is working as it should.","1 person found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-r5DIfvICM4WsZVeCZ5cNLpoVOvjrdPOqB2Sj_oA=s32-rw","Aaron “HeartDad” Davies","November 13, 2022","Absolute garbage fire of an app. The one thing I want to use this app for is occasionally blocking devices from the network. It detects the devices fine, but sometimes I have to try up to 10-20x to block a device or give it back access to the router. It's absolutely maddening.","2 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-JFrUAhyys24ef4lm1cLRKqs302pTKi5wWwV80i8E=s32-rw","Darren Stones","November 6, 2022","Logon timeout app error Had this system for a few years now, now getting a logon timeout error when trying to log into my router, reset my router and 2 satellites, installed and reinstalled the app and cleared all storage data. Works if I go through internet browser on phone but overall for an expensive piece of kit, software is really bad.","2 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu0AaFQhJVbOqW3EprPYG5AZfJemG4ttHN1RcfEE=s32-rw-mo","Roger","October 17, 2022","As an older person this was easy to set up with a little help in the beginning from the person at place of purchase. The directions (prompt) to help you get through the setup we're quite easy to understand. That said being from a person with not a lot of tech know how I'm very pleased so far. The wire connections are easy to read and get to. We'll see how it works down the road. I can recommend this for a person of my age.","3 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu3W9ET381lCjd-fSQ_jfTkMM2CuLtM7Ch_ym8zw=s32-rw-mo","Lucas Nickerson","November 3, 2022","Loved this app but no longer works. It goes right up until it boots you out. Have not quite given up... Net gear if you're out there, I am an avid fan back since my first 8 port 10/100 with coaxial and have been the back bone of all my networks since. Please just fix this access issue to what has worked so well so far","2 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-Dz25BEqbrdDTB87cWwO96eu5f3qWKhRcBcBiIvQ=s32-rw","Jaret Montuoro","October 17, 2022","Was working fine for about a year. Now satellites won't allow anything to be connected to them. I've tried a fresh install to no avail. App is super buggy as well during installation, constantly asks the same boxes be filled in over and over. Definitely ditching Netgear and headed to another brand.","23 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-H3YvQI8T59MiLwJS399G2S4yMh1RsoQn-IJB_2A=s32-rw","Richard Francis","November 17, 2022","Now fixed.!! Unable to login. Gives timeout error msg. No amount of rebooting etc works. App not usable. Android phone. Appears the IOS app works fine just not the google play app. Still able to logon via browser. Many reviews on google play say the same... After working with netgear support, new google play app released to fix problem. Now works!!!!!!!!","3 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu1YroIiWYT5iOw_-igXFOal7kgHk7kccjlh8-PW=s32-rw-mo","Nishant Pandey","November 20, 2022","Update: Bumping up the rating to 5! The login issue has been resolved. All the goodness and ease of use of the previous versions of ORBI app is back. What is the purpose of this app if the user can't login at all? ""Login timeout error"" is frustrating! When will the NETGEAR team solve this problem?","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-sUgvMvG3eUB7oBmTcActRr15k7itdFIHcGwk_XEM=s32-rw","Paul Horsell","November 15, 2022","Built a home network a year ago and had great access and control using the app. Within the last month I can't access the app. It demands my admin login info and 'times out' everytime. Looking through these reviews seems it is a known issue. Turns out the Netgear support online is unavailable for the app. All usefulness is gone!","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu2nEFGMqtyqfK4sIUBI0vpml73m3-_nVpZmoofT=s32-rw-mo","Brian Wallace","October 29, 2022","10/29/22 review update: once again the Orbi app has locked me out of the app, ""login timed out"". Once again I followed the router re-boot instructions but still unable to use the app. I have to now log on in the browser which has limited resources, can't test speed or check strength of the incoming data. This is the second time I encountered this over the years and it's a royal pain.","9 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8nwpFRXlQF8r6QtRst9wZo8Ds5uwxSMmSCcrcvtw=s32-rw","Larry Melling","November 19, 2022","11/18/2022 I can login to my router again via Android again, THANKS! _______ Android app not functional, cannot login anymore! Works fine from browser. This was working fine for a couple of years, no more. I tried changing my adnin password, reboot, no luck. Please fix ASAP.","4 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9rvb7OnHEwvTk6NMjqYkN0XwsnEGNi6fJqUd5f=s32-rw","Joseph Rigdon","November 8, 2022","Can't Log on anymore. Was working fine a couple weeks ago but today it asks me to log in with my fingerprint but then drops me to a log in screen. I put my password in and it give me an error of ""Logon timed out, please try again. I've tried restarting my phone, the router, reinstalling the app but nothing works. From what I've read this is a known issue, please fix because when it works it is a 5 star app.","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8Iid-DAKf4OqJixmCmHH9C2SDGHV4Dj0exvuPc=s32-rw","George Prokopos","November 14, 2022","Latest update rendered the app unusable. Attempts to to login to router fail with ""Login timed out"" message. I have rebooted the router, uninstalled and reinstalled the app and still get the same error. Logging in to the router through a web browser still works, but not through this app.","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8J-sh8ZUKXndaPkSGmQH8v5ACGWyg41br4BItbabc=s32-rw","Beyleigh Duda","November 14, 2022","Everytime I try to push the support option it crashes. Which should explain the rest of the functionality. The app will constantly tell me my orbi is offline when indeed , the rest of my devices, will tell me otherwise. The app has no search feature for the orbi's serial number , which is a downfall. it's overall mediocre. I've tested this app on my Android phone and ipad to see if functionally would improve across different devices. I was a fool to think so.","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu1eNgy-gsLsU79xzmAXdb2lVZWUfY68u0NsoCDT=s32-rw-mo","Robert Woosley","November 16, 2022","If you're looking to upgrade your WI-FI system look no further than the Orbi AC 3000! Connection speeds are great and coverage is, well I'll put it this way I can go anywhere around my entire house and yard!","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8z519R5WfHtd5cJeZROLO8OkYTubbSKXShDIva=s32-rw","Jonas Perman","November 9, 2022","Had the same experience but today, the login was successful. Latest version said logon timed out and no way around it. The iOS app on my iPad worked fine. No longer a problem but very annoying when it happened as i was just in the process of setting up a new system","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9HZEVb6IiHgcTVHR7kB_LrKdKpU5XHjgHh7G5uvw=s32-rw","Karl Bray","November 4, 2022","Like everyone else recently, it worked fine up until recently. Do NOT install this app, it's completely broken with a 'timeout' error and Netgear seem completely uninterested in helping, either through help desk or forums. You've been warned.","6 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-8JlQurXzW8CqbmmluxVAg4CugjpJhzyJtqSW4Rg=s32-rw","Thomas","November 12, 2022","This app has become trash. Now everytime I try to log into my router, I get a timeout error. Absolutely useless if I can't log into my router to control the functions. Yet I keep getting ads everywhere to upgrade to their $1500 wifi 6 router. No thanks switching to eero or Google mesh.","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu3B5FGNXxIcIy7Gs0IvJsXuxjlylVH9M_O080sN=s32-rw-mo","daaznrichard","November 3, 2022","No longer works. Won't let you login, always gives the same login timed out message. I tried to follow their instructions on factory resetting and it just turned into a giant mess because now I can't use the app to set it up(bc login still isn't working) AND now my router is reset. Luckily, I was able to set it up using 192.168.1.1 address but I have no access to any of its features. DO NOT USE NETGEAR","5 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-E4_DN31ILeG4TIYH_3T41WEGhBavZsVF0Jbp7kg=s32-rw","Steven T","November 14, 2022","I agree with the last review. The hardware is fine, but the app will not let you log in. No matter what you do it says, ""log in timed out, please try again. If this issue persists, try rebooting your device."" IT DOES NOT WORK! THE APP DOES NOT WORK! I'm so ready to return this to Amazon and purchase the same system but a different company, and never again Netgear! They don't even respond to their reviews about anything like other companies that care. So frustrating! Netgear listen to customers!","1 person found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9cyaUNp5ByQArioaYet92x2XbveEC682zLzpgpbQ=s32-rw","Rebecca M","October 31, 2022","App does not work!! Every time I try logging on I get an error message saying, ""logon timed out!"" This is ridiculous this problem has been going on for 2 years already!! I've tried Uninstalling and reinstalling the app and still the same issues!! Please fix it!!","5 people found this review helpful","Show review history"
