"
  Quire: Unfold Your Ideas","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","September 22, 2019","Very good app and concept. I also have the issue where sometimes it will log me out when I close the app. It happened like 10 times yesterday but today it is working fine. Anyway, all empirical but it only seemed to happen with my non-Google login account, which weirdly displays as 'not signed up yet' when viewed from other users' profiles. Also, please add support for multiple accounts! Anyway great service though.","8 people found this review helpful","","Quire team","October 8, 2019","Hi Ethan , our technical team has solved this problem. Please update your app to the latest version. If you have other problems, please contact us at feedback@quire.io."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","August 27, 2019","Great product. It's so good, I'm considering moving 10 years of Todos from the app I've been using for 10 years, so that I can use this app. The only two things this app doesn't do...and it is a big deal that these two functions are missing...They don't have a chrome extension that allows me to create Todos via a chrome extension while I am online anywhere. They also do not have a gmail add on, so that I can create Todos out of my gmail's...I'm trusting they will add these two functions ASAP?","22 people found this review helpful","","Quire team","August 29, 2019","Hi, Thank you for taking out your time to leave us a review! We really appreciate it. Both of the features are in our future plan but as we are working on other features right now, we have not gotten to them yet."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","September 14, 2019","This is a promising to-do/ project app, meaning many good features., but still have rough edges to smoothen up. The subtasks mechanism is a bit difficult to use (show/hide subtasks, move up and down the heirarchy, etc) , even frustrating at times. The developer could look at the app ""OUTLINER"" to have an idea how to do it. Keep working on it because, again, it has lots of promises. I'll give 4 stars for now.","1 person found this review helpful","Show review history","Quire team","September 17, 2019","Hi Ronnie, We've forwarded your feedback to our developers. Thank you for taking out the time to send us your suggestions!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_palxrYABcQbol7BoJHLzcoLsUP8ygZiCB98WshA=s32-rw","Karen Manahan-Singson","July 20, 2021","Loving it so far. One bug: Icon colors display for Projects in one Workspace, but not for those in another... 🤔[UPDATE] Thanks for troubleshooting! ☺ And a suggestion: Hope to see the same functionalities already in the app (buttons for formatting, etc.) in the browser version as well. More theme options/colors would be nice too, just to help feel motivated while working through tasks 😊","8 people found this review helpful","Show review history","Quire team","June 24, 2021","Hi Karen, thanks for the review😍. For the project icon display, please enable the option for showing the project icon in the Project Settings. For the other suggestions, I will pass them to our team and will let you know if we have any updates. If you have other questions, please reach out to support@quire.io. We will assist you there! Thanks!"
"https://play-lh.googleusercontent.com/a-/ACNPEu98-lDerarvIKcvKHeQnRocF0EqiSBJSNJVAYeNSlk=s32-rw","Adam Tucker Composer","July 13, 2022","I love this app. It helps me organise my workflow better than any other task organiser I've ever tried. Cant recommend it enough.","1 person found this review helpful","","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","September 22, 2018","I have been using quire from years Before the android app was released. The beauty of this tool is, it's fit for simple checklist to complex project, from personal to agile team... almost everything! It appears to be very simple cascading list, but when you'll need a feature, you'll find it's right there - tags, permissions, comments, attachments, sharing, assignment, ... The only thing I miss here is - API and Time logging. However, thanks for the awesome app, it's as good as the idea itself!","7 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2E5gVtb-2CyfJ7XIGlRAYlTkbIltCPG798i5cOLQ=s32-rw-mo","Zak Cooper","May 26, 2022","This app is great, but a lot of features that I want are blocked by a ""pro version"" subscription. No problem, if its good I'll pay for it. So why 3 out of 5 stars? I can't subscribe. There's no link in the app, no link on the website. So i cant use the features i need. I want to give this company money, and I just can't work out how. Can you imagine? Other apps slap it in your face all the time, so kudos this app doesn't. But it's not under any menu, it's not in account settings. Baffling.","11 people found this review helpful","","Quire team","May 30, 2022","Hi Zak, thank you for your review! We have looked into this issue and it has been taken care of by our developer team. Please use a web browser and navigate to the Quire page in order to enter our free trial version or upgrade. If you have any further questions, feel free to reach out to feedback@quire.io, so we can assist you further via email."
"https://play-lh.googleusercontent.com/a-/ACNPEu9E02V49CA9kpPFIalFbjxsjoiSr6Nm6urFMNiS=s32-rw","Bhavesh Shah","April 2, 2021","There are plenty of todos app in playstore. Free and Paid. Few apps are amazing because of features. I tried almost every app but Quire.io is different. It has Web and Mobile App. It has n level subtasks. It has smart folder features. It has tags. It has kanban. It has reminder. It has an option for collaboration. It has everything which I m looking. Small Request - It would be very great, if Mobile App UI can update.","14 people found this review helpful","Show review history","Quire team","April 8, 2021","Hi! Thank you for leaving a five star review! Please reach out to us via feedback@quire.io and please share more details on how you would like our mobile app UI to be updated. Looking forward to hearing from you!"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","November 17, 2019","thanks for the very quick fix and response. i confirm it works again. and the advanced mode configuration i requested earlier has been introduced gracefully. awesome is yr work! ～～～ it is no longer startable on samsung s8 after today's update. reinstallation doesn't help. reboot of handy doesn't help either. the splash window keeps flashing forever.","1 person found this review helpful","Show review history","Quire team","November 18, 2019","Hi, sorry for any inconvenience. Download the latest version 4.02 to fix this issue. Please reach out to us if you have questions at feedback@quire.io. Thank you very much."
"https://play-lh.googleusercontent.com/a-/ACNPEu_Ssg9vq7a0aGJlsDziouP08l89cGSLog_0qUwaYQ=s32-rw","B.D. M.A.","February 7, 2022","Simply love it, nice interface, great themes for customization, great visibility for projects and subtasks, excellent project and task management tool; one remarkable thing is that there's no project limit with the free version I'm really grateful for that.Two little suggestions: widget transparency option and a smoother operation, because from time to time there's a glitch while modifying tasks in bulk on the My tasks screen.... Nothing crucial but it would be nice to have a fix.","","","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","August 28, 2019","It would be really useful if we could asign tasks to multiple projects. For example, I want sticky notes to be both in ""office supplies"" and in ""projectX"" since we need them in general, but will also need a lot of them specifically for projectX. So I don't want to just copy the task, I want it to be shared between those projects. There are other examples where you'd want to update task status as you progress along, so it would be tedious to do it separately for every project it appears in.","4 people found this review helpful","","Quire team","September 2, 2019","Hi, thank you so much for your feedback. This request has been brought up by other users as well, however, due to Quire's list view is nested tree structure (with multiple levels of root tasks and subtasks), this is quite hard and complicated to implement. Please let me know if you have other suggestions, contact us at feedback@quire.io. Thank you!"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","May 23, 2019","Enjoying putting it though its paces. Although it has an in progress option i would like to see a percentage marker. i also do not like their approach to boards. They expect you to manually add tasks of choice rather than automatically seeing all tasks as with competitors.","5 people found this review helpful","","Quire team","May 28, 2019","Hi, thank you for taking out the time to send us your suggestion. Turn your phone to landscape mode, then the percentage will appear. The reason why we don’t add tasks into a board automatically is we let users select out the crucial tasks that they need to focus on in a short period of time."
"https://play-lh.googleusercontent.com/a-/ACNPEu-CiXXIR8Sa_sxgRYaCXJkvsMegyK_mFi_R3lSRnlQ=s32-rw","Qua Dizzle","October 24, 2022","Just didn't seem to be what it claimed... And a lot was locked behind paywalls. not useful to me. i can throw a rock and find several basic task lists like this one right now. Was disappointed. 😓","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-8GikmNG3alcv6Q48PF_6jtyHL3B6NfwAk3nnMEuc=s32-rw","Iván Satizábal","June 26, 2021","The only thing that keeps this app from being on top is the ability to completely use it offline. While it does provide data syncing after regaining connection, an offline mode is essential while traveling. Thanks for your effort!","1 person found this review helpful","","Quire team","June 28, 2021","We are always working hard to improve the app. We will forward your feedback to our developers. Thank you for your review! ☺️"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","April 6, 2019","Really nice work on the app. Visuals are really simple and minimal just like the usage of the app. The dragging mechanics are a little clunky at the current version. It's a tad bit hard to grab and drag the tasks around to where you want them.","9 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","March 13, 2020","I was searching for THIS app for such a long time!!! Absolute satisfaction!!! 1 thing i want: Just let the app make a ""offline cache/copy"" of the projects and it's contents so that i can edit them on the go, and when i connect to the internet, it will sync..","4 people found this review helpful","","Quire team","March 16, 2020","Hi, thank you for your review! 
If you access the project when you still have an internet connection, you would be able to access it when you are offline. If you add new tasks offline, it will sync back when the internet's connected. Please reach out to us at feedback@quire.io if you have any questions. Thanks!"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","April 28, 2020","I wouldn't be able to manage my life without Quire. It's my project manager, my todo list and my persistent mind. Helps me to do a ton of stuff without being overwhelmed. It's a wonderful fully featured free app. I can't think of any feature that Quire misses (and even if it does I could use it's API). It is just excelent in all ways. Thanks devs!","2 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","October 9, 2019","I love this app -- it helps me organize projects separately and without clutter. My only concern is that the widget for the Samsung Galaxy S9 does not auto-update. I have to remove the widget each morning to refresh my tasks for the day. This gets a bit tedious.","1 person found this review helpful","","Quire team","October 14, 2019","Hi Lily, the widget doesn’t update automatically. You would need to press the update button at the top right corner. Thank you for your feedback, if you have other questions, please contact us at feedback@quire.io."
"https://play-lh.googleusercontent.com/a/ALm5wu1RugfN3qeJBh8ecuty6FWyJZ5rz1v52OZM8vrGNA=s32-rw-mo","Constantin Runge (Uroc327)","March 10, 2021","I love this app! It provides means to very quick, easy and frictionless note entry on one hand and hierarchical project structuring on the other hand in the same app with the same interface. The web app integration is great as well.","3 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","April 13, 2020","There's no a way to see sublists in the app. There's no even a way to change task's sublist. Please, add this feature. Sublist is the most needed organization feature in this app. UPD: Sublists were added. Love this. Thank you. Would be also great to have possibility to change task's sublist from the task view. This is as well for the web version.","4 people found this review helpful","Show review history","Quire team","April 15, 2020","Hi Volodymyr, I will let the team know about your suggestions. Please reach out to us at feedback@quire.io if you have other questions, thank you so much!"
"https://play-lh.googleusercontent.com/a-/ACNPEu9Wh9HM6i1NFe3CmnWLT2PJSgm_2TUgYyb-MB-pHQ=s32-rw","Omkar Kekre","April 12, 2021","I wonder why this app is not very famous The creators have done a wonderful task by focusing on tiny aspects of task management. Have been using this since one year now and has been a boon during pandemic times where we had to embrace remote working. Few features which makes it amazing for me 1. The keyboard shortcuts while setting tasks and subtasks 2. List, Board and Timeline. 3. My tasks with all filters 4. Peekaboo tasks - they are amazing. Thanks a lot Quire team for this well thought app","9 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","August 13, 2019","Tried it fine but can't use it realistically till they decide costing. free till next year and i expect a monthly charge which is no good to me. if its a one off charge i would be good with that. 13.8.19 The point is your info on pricing doesnt give any idea of pricing ie monthly\one off? So might come back and have a look in a year!","2 people found this review helpful","Show review history","Quire team","August 13, 2019","Hi, we target to introduce our pricing plan in the first half of next year. You could see more information at our pricing page: https://quire.io/pricing."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","October 17, 2019","Great app! I use it to keep my team organized and on the same page. Some things I'd like to see are a calendar view, more project management tools/options (like tables), and a team chat option","2 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9rtBHxKC1YlUby8fA_pY6XwW1f_yvu3hHUVgL59Q=s32-rw","Daniel Connolly","March 25, 2022","If the app rotates due to sensor, it causes a full app reload with splash screen. Resulting in ALL UNSAVED DATA BEING LOST. Do NOT use for editing on the go, unless you turn off auto-rotate sensor! Please fix, would be a pain to switch to a other service 😥","5 people found this review helpful","","Quire team","March 25, 2022","Hi, we have not had this issue reported to us before and we have tried to reproduce this issue on our devices, however, when the app rotates in editing mode, the data will be saved. Could you please share the details of in what condition, several steps back of what you were doing in the app, of the issue happening? Sorry for the inconvenience!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-gI5bF8gTdeEImc6RoMftCXGVX1UAeCmQxelLpOw=s32-rw","Jisenku","May 19, 2021","The simplicity of the app doesn't take away from the incredible functionality! It's simple to use, completely free (at time of review) and is just a m a z i n g. If you need a simple, easy to use project manager, this is perfect for you!","5 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-K_0HZ26mqVtLTv6cpkMYnwRRjON7ERzgIeB7rsdA=s32-rw","Festum Qin","August 18, 2021","Best markdown notebook, thank you for the table support. Ticket on the board is hard to move by drag and drop. Multi-status filter doesn't work. Very buggy and confusing, hope it could be fixed and simplified. It stops me using Quire as a todolist management tool.","4 people found this review helpful","Show review history","Quire team","August 20, 2021","Hi! Thank you for your review. If it's not too much trouble, could you please share with us a screen recording on the features you find buggy and difficult to use? This way, our Mobile team will have a visual understanding of what might be going on. Please contact us at feedback@quire.io. Thank you for your help!"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","February 24, 2020","I rarely take the time to do any rating because I'm super busy. But the amount of effort that has been put into this project, and what you get for free inspired me to take the time to give it a rating. I'm fairly scatterbrained and being able to organize and construct a flow plan for my thoughts with this app makes me want to recommend it to everyone. I would just recommend adding location tagging in addition to the already implemented time setting for a task.","8 people found this review helpful","","Quire team","February 25, 2020","Hi Battleman Meta, thank you so much for your review! You're the best. We are glad that Quire had helped you with organizing and constructing your projects. 
Feel free to reach out to us at feedback@quire.io if you have other suggestions! :)"
"https://play-lh.googleusercontent.com/a-/ACNPEu8X_SZyPUs5i-AQYhMMdpY1eUqUEPhc0JFcQrVkOpM=s32-rw","Ben Sargison","July 1, 2021","It's the most genius app of its kind that I have used. Clearly a lot of thought has gone into it (and continues to go into it). I think of features I'd like it to have and find in the help files that it is already supported. Genuinely very impressed so far.","3 people found this review helpful","","Quire team","July 2, 2021","Thanks for your 5-star review! Please recommend our app to your friends, and don’t hesitate to shoot us a note at feedback@quire.io if you have any questions. 😎"
"https://play-lh.googleusercontent.com/a/ALm5wu1CP8Q-aPbXrtx2hK0-C2ADbU7cMUjZ6ysh_Nty=s32-rw-mo","Savva Pouroullis","May 22, 2021","Been using for a couple weeks and it has everything I need and is fairly easy to use. The interface is a little quirky though. I feel that it could be a bit more intuitive. Perhaps it will get more streamlined with familiarity.","2 people found this review helpful","","Quire team","May 27, 2021","Hi! Thank you for your review! Could you please share more details on which features/parts you find difficult to use and quirky? Please contact us at feedback@quire.io. Looking forward to hearing from you!"
"https://play-lh.googleusercontent.com/a-/ACNPEu9yIRc0wQOhoFUTf_m0tJkkR-jJKzqdTu7BCZJ8jA=s32-rw","Alex O'Brian","September 29, 2020","Quire is one of the best Wunderlist replacements. And so much more than that! It has Kanban support and features so many handy tools for project management. Hopefully the company behind it can maintain independent as long as possible. The only downside is the restricted offline usage. You can only access the last opened project. Full offline support is a must have from my perspective. Please add for 5 stars @QuireTeam.","14 people found this review helpful","Show review history","","",""
