"
  Taskade - Tasks, Notes, Chat","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc"
"https://play-lh.googleusercontent.com/a-/ACNPEu-JHCJL15rsd8rg_Gl2myQ3bIRc_URgyRCIQD7VxIc=s32-rw","Katelyn Caillouet","Show review history","September 19, 2022","I love this app but I guess the most recent update broke it. App will not load. Already tried uninstalling and reinstalling. 🥲 So 1 star ATM because it's broken. Update 9/2/22: I updated the app. It still won't load! Please fix this! Update 9/18/22: I cleared the app cache and was able to get the app to open again, but not for long. Now, when I open projects, I get an alert that I'm offline (I'm not.) And occasionally, the message that a project doesn't exist anymore. 🥴","11 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8QlYxlSckUeMnrx5cOpkeOlEJ1g5_OULtA2iv7HCY=s32-rw","Matt Jansen","","September 3, 2022","Great set of functionality for keeping track of tasks dn borders on competing with something like Notion, though there isn't a direct corollary for databases yet. Very easy to add tags, export data when needed, and upload related files for projects. I've also found it easy to add more users Looking forward to the future of Taskade and I hope they keep the features of a Knowledge Management system in mind to expand the use case","3 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9cidt18JG_854h1lNwWi3SUTE6YJIlbAVTXN60mqE=s32-rw","Nicholas Tantardini","","November 12, 2022","Love the App! I've tried countless productivity, project management and task management apps. This one beats them, it's simple, straight forward and lets you get right to work. I wish they implemented different views on mobile like they have on desktop!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_4c9P_mwuXwS7yFPTEToKnCjiNtoq5RqprJvok8dE=s32-rw","Jim Manley","Show review history","November 17, 2022","Taskade, is the simplest, yet most productive by way of efficiency, 'Task/Project' Application on the market ['period/.']. This Bounty of Resources within one app allows for the possibility to integrate 'AI Content Creation' in the form of Publishable Content, images, audio, video, and presentation. It's so close you could almost see it if pictures, videos, and such were resizable and presentational as in PowerPoint for example. I'll submit these suggestions to John. Thanks, Jim Manley",""
"https://play-lh.googleusercontent.com/a/ALm5wu2U7KON8Hrfn_h80yJeiWjmQ3RjeZg-9McVXLJu=s32-rw-mo","Hadiwanderz","","September 19, 2022","Hy there....the app is good. I'm currently in the process of switching from todoist to taskade but I'm encountering a serious problem. That is, whenever I click on the Quick Add Widget, I'm taken to the Taskade app but the keyboard doesn't open up. So I'm unable to use this crucial function to capture my thoughts on time. Can you please check and make it working in the next update? My phone is realme 3, running Android v.10. I use a launcher called Niagra Launcher. Thanks in anticipation","1 person found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-i302Cm19nRaLnYzQubcl8OG8maxI_4IzfGq-caZY=s32-rw","Eilleen Carrion","","August 26, 2022","THIS! is exactly what I needed. Very fast to learn as you go and the ability to share my lists, the flexibility to have other things that aren't checklists... Why is no one talking about this app? The compatibility!!!! Desktop + Android + IOs? Highly recommend. Am currently using it to plan my wedding, out-of-state move, and college requirement. It is perfect for big projects, brainstorming, note-taking, and organizing, and there are different ways to view your project to visualize it better. 5*","3 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8IaMYIYyKZ6XA_tc8CCztkDo3-SEoxihFdzRHaOQ=s32-rw","Andy Giroux","","August 24, 2022","Love this app. It's by far the best task and project management tool I've used. And I've tried about 10. It's incredibly quick to enter tasks and information thanks to the document style interface, but it still has a ton of power despite its flexibility. The team is also super responsive and constantly working on improvements, which is awesome","6 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-6dFR6h4MJ5o8gXAyeq9nEnKxLg0g7A5k0kRvu2Q=s32-rw","Vijay Vidhu S","","October 19, 2022","Taskade literally saved my life! Being dyslexic, I could not organise my routines and was wasting my time. Taskade has both visual and checklist interfaces and can easily organise your days and work schedule. It's also very easy to edit... Awesome app !!! Must try!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu---QVY_p7f1CM3TmmV2KC_I8VAV3lhbr9NxZZKcQ=s32-rw","Cadence Ford","","October 17, 2022","Taskade is AMAZING. It's an all in one productivity, project management, task management, & team collaboration tool. The mobile app is great for checking on projects & responding to stuff on the go, but it only shows list view, so not ideal if you're doing mobile only todo lists - and not ideal for creating projects/templates. It has replaced trello, asana, notion, and whatsapp for our remote team. The devs are really responsive to feedback and support community input.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-rxw143nyOJCjEVAhXLNckcKs_uXcEul_Eqsu-asg=s32-rw","Askar Hussain","","June 20, 2022","Excellent concept, something I was looking for in a while now. This is pretty much a one tool to rule them all. Some UX shall be improved, and UI can get a new coat of paint. ClickUp excels in its UI, and I almost switched over to it for that one reason, it got to be pleasant to use as well. But Taskade's feature set is just unbeatable! Please improve the UI/UX.","19 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8x63k1LYASIk4097CHoE0SGf8PjU0u3ZKIpI8T=s32-rw","Abhijit Chatterjee","","November 18, 2022","Organising things has never been this easy to me before.... I'm in love with this app..the interface is cool and very easy to use. It is available on various platforms so i can handle it from any of my device",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9g3mCfKybxl775YBLbYQlZNZTyIncIkfoJzRb7jm4=s32-rw","Santiago Rivera","Show review history","October 25, 2022","Originally 5 stars but now had to update it. A few weeks ago an update made it imposible to use the app on both of my devices, now i can even see my workspaces, i can only access projects from recnts, used to recommend this app as i think it has lots of potential, but I cant really do it anymore as an app for project management should be as stable as possible, if you have a big firm your management app breaking should be the least of your concerns. Please fix the app and add functionality.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-FVxru_tyVLegkoNavKJAybWikt-e_F7IhJ8QK3Q=s32-rw","Dave K","","November 7, 2022","Taskade is easy to use and is exactly what I was seeking from an app to use with BASB. Features, simple to use UI, options and searchability. Great job!!!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-eeE9e_KBCbEw9GvAGxsy6hpRH3ri0T-hLNl3T-Q=s32-rw","Nuke","","November 7, 2022","Cool app with many functionality, it still has a long way to go before becoming the absolute best but it has potential and the developers seem motivated and driven to always improve.","1 person found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu01qtzymrdwAXr7I8r8Er0EttTbJHLQMPEoGDv_=s32-rw-mo","Geejo Joy","","September 10, 2022","I use this on PC, however am unable to use this on Android because of how the widget takes screen space. Can you please remove the extra line for ""no date"", ""past due"", or place them inline with the title ""My tasks"", so that the widget gives more real estate to actual items.","1 person found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8WcVwFtG-DKaeOkIJ4D6WjNB0bgls4vN7qCmnpaEU=s32-rw","kumar praveen","","October 3, 2022","This is a super useful and easy to use app. It quickly became my go to app for organising my work and personal life. I have become more organized and productive by using this app. Kudos to the team for coming up with such a thoughtful and easy to use app. 10 stars from my side.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9SO4dxEc9yl64ydRkI-SBJcNmK9etafqkdTeVkxQ=s32-rw","Areej Shykh","","October 30, 2022","Need too much improvement. Whatever I write in Taskade it's gone when I come back. Adding people is difficult. And if all the stuff written in the app is gone when I open it then what's the point of the app.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8TocqOuwtsXPUpmoMTRGmgGLgvwposw2YSf4as=s32-rw","Carmelo Maita","","November 20, 2022","Excellent! I love the folders systems, the multiple views, how can you organize your projects, And the fact that you can share them and let anybody edit them for free!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-uAejHqqCUxjd6rf7ZcUBg2uUosHxaK6Wo3OO-6w=s32-rw","Ibi Mboto","","November 13, 2022","In-app meetings do not work. The other persons appear muted during calls even after unmuting at their end. Video calling also doesn't work.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_YJ1kfSRXXy0fsMmDYttWt4aMnMqPXUD5TOdYZ8EQ=s32-rw","John Crumpton","","November 7, 2022","Really impressed with Taskade! We use it at our digital agency as a client portal. Makes keeping in touch with clients easy!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-3qIKX9EejndSzSF3TJm8LR_i96TiSbmsiJk_Q=s32-rw","Nidhi Gupta","","July 29, 2022","Great app Though the only issue is when I set tasks to daily repeat, I am unable to strike them out for that particular day and it even shows me upcoming tasks for the rest of the week. Overall great for organising, has templates for all sorts of people looks good and has a ton of features for free!!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_0WDtVV3zjVzQTSvtDF2aSKGsmumq5M2j9TwG6fFw=s32-rw","Thu Ngan Trinh","","September 7, 2022","Great app and useful features that others don't have! Very nice platform and very intuitive! Tried many to-do lists, this one is the best so far.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-13GietanKtLfpUCujE2q9FV6IkTRXKyRmJBEjCw=s32-rw","Rafael Oliveira","","September 13, 2022","Very confuse to start using, doesn't sync with calendar. Looks like a simpler version of Notion and I don't need to learn how to use another Notion",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-8R69vCP_1yDnERWYc6dnDpSB3ZrsRjVCYZiGT=s32-rw","Siu Nhơn","Show review history","June 25, 2022","I love how this app structured by splitting things into workspaces and folders. However, the widgets really need to be improved! The widget showing My Taks doesn't have a add button itself but requires another widget, which takes much space on my screen and also ugly to have. Another point is that when I added new tasks for myself and it appeared in My Tasks list in the app but didn't show up in the widget. The widget didn't update changes at all, which made this app so useless for me.","3 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9heou1yR4fy4qQVF7uLVoIcXhu_5pdTc6ulgxa-g=s32-rw","Zubair Ashraf","","November 7, 2022","This is a Superb App. Taskade itself is my best investment & value for money. It makes my life easier & now i'm maintaing my business easily. Strongly recommended for solopreneurs, entrepreneurs and business owners of startups. :)",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-eUq6upILwwDF3Ecdp55Mfm_uG2veYpW0qm1eA=s32-rw","Dale Joseph","","October 31, 2022","When I signed In the app I could not use the app it keeps saying I am not signed in but I can see that I am sign in please fix this problem, thanks!",""
"https://play-lh.googleusercontent.com/a/ALm5wu0vSW8owbMzh2XqyzgzgnL5RWmAcbBO-hK9yyDR=s32-rw-mo","Andrew-Brittany Diaz","","August 17, 2022","This is my favorite planner/to-do list app ever. I have the whole family on there to delegate tasks as needed. It's so customizable, which is wonderful. I've found myself buying planners sometimes that aren't the most efficient for my lifestyle and therefore less effective.",""
"https://play-lh.googleusercontent.com/a/ALm5wu1G8vX2_txvS5v15xpb0_Zck9FkwjTBD6vmA1R3=s32-rw-mo","Daniel Esterhuizen","","July 15, 2022","The best task management tool yet. I have tried many tools which were ok, but when I started used Taskade they were swiped off the table. It is the only tool that allows me to visually think through my work, to structure projects, and to see where my tasks fit. This become important when managing many tasks and projects. The tasks view allow me to focus on the work at hand, helping me not to get lost in the detail. They deserve more than 5 stars.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu91PQGyHpjjF7B0MGcH8OoMnHFo3Ql3BFf_jxnRlg=s32-rw","Elaine June Fiel","","October 11, 2022","I hope there's an option to link it with my Google Calendar. I want to see my Google Calendar reminders/tasks in the app and vice versa. 😥",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_86ucXLvIHPbUx5Sr6rQGltK3-VOa470a1ZbwkYQ=s32-rw","Aquib Peerzade","Show review history","September 2, 2022","Not connecting to wifi or mobile data. Says offline when every other app is responding. Update: Working in the current update",""
