"
  Square Home","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a/ALm5wu1e6tS9kWeuHXVkyhXGlCkPeYY_BTie5lniy-7a=s32-rw-mo","Rajitha Gamalath","","October 5, 2022","Been using it for a month as my launcher now (on a pixel) Have to say it is almost perfect! The one annoying bug is, when you swipe up to open the recent apps from the home screen, it shows the square home 'app' for a moment before hiding it, to show the 'next' most recent app (the actual most recent app, which isn't the launcher). Please fix it, it's the one dealbreaker :/ Wish notifications could be viewed by long pressing the tile in the app drawer too, like you can with home screen tiles ☺","31 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-ksHQeENRyRs5sGnpOSmHxsLqj2qmLNRq4dJnCNg=s32-rw","Paulo Rodolfo Mariani Bittencourt","Show review history","September 22, 2022","This is a great launcher! Much more customizable than it seems at first! The only problem I have with it is that it often crashes when I try to configure an Android widget. It's easier to delete the widget and make a new one. Apart from that, it's pure gold. I made a mistake when I bought the one year license. When it runs out I'm getting the lifetime one for sure.","26 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-m4V0KNl0_rGZi0pFGsiNSjbYYDo_ZO4D_SydRZg=s32-rw","Thomas Mace","","October 20, 2022","Man this launcher is amazing. it's so easy to use it's functional, and I mean just downright creative. it has so many functions that it's mind-boggling. I love it, it's great accessibility and all around the customization of what you can do with your launcher is outstanding great job guys. As far as connectivity of bugs I've been really encountered much of any of those problems. l will review and rewrite if necessary. Again awesome job in this launcher I really do enjoy it.","25 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-YigK0JP1lesY5oV82nkV4D9EBiOspcga4x6SszA=s32-rw","Dydimos","Show review history","October 17, 2022","The launcher is nice, but it had the problem that it started asking you to confirm that it was the default. very annoying. That was common in version 2.3.6... but then the ""fixes"" began and the launcher now doesn't work, without warning it stops working, it opens program windows in the background among other things... and of course , it always asks to be the default program every 20 seconds. All this in a TVbox T95 2021 android 10.0","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0GKwFe-RS8Ttiy2Yy89POdk63pwmjBgHEzIAhe=s32-rw-mo","Peter D","Show review history","September 24, 2022","I've been using this launcher for a few years now. I've used it on my previous smartphone and am using it on my current smartphone + tablet. Now whenever I'm on a phone with a default interface, I'm lost and frustrated. Also of note: the day before yesterday there was a problem app update after which the launcher no longer worked. The dev launched an update fix for the issue on the day itself. 👍","11 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1__XXLvQLYxXWwzWH9SfiAaFNHliRlnf7I_RxI=s32-rw-mo","MoT","Show review history","September 21, 2022","Latest update broke the app. Crashes on launch. Have been using the app for years across multiple devices without issue. Have to reinstall the app to fix this recent issue. Less than ideal since all settings are now lost. I read an earlier review that did perform a backup but the backup was corrupt and failed to reload.","12 people found this review helpful","ChYK the dev","September 22, 2022","A new update is available now. Please try to update. Thanks."
"https://play-lh.googleusercontent.com/a-/ACNPEu9MQNDH7sM_CaiZwySbvZkI9ca-lTFsq-djPfp2=s32-rw","Paul Emmerson","Show review history","September 22, 2022","Great launcher, have used it for a few weeks now and had minimal problems. Bought the premium version to support the developer. Having admired the Nokia Windows phones of old, but never had one, this launcher is ideal. Edit Sep 2022: update introduced a bug that deleted any cube tiles that had a 'tile group' on one of their sides. Subsequent, fast released, bug fix update sorted it out - thank you.","6 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9Afb5M6d5lQcKl6vTev0VEIVRQAe21DECW84rp=s32-rw","Urban Avsec","Show review history","November 7, 2022","Ah, the nostalgia. This app is good. One problem: It is kinda hard to reach scroll bar in contacts as a lefty (bottom options bar is not appealing to me). Can we get Alphabet blocks like in Applications menu? Can be a toggable option.","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-GtAkTe3R9OxFiR2KRMou7e4EF09Krunl5Z01zFsI=s32-rw","Kelvin Jordan","Show review history","September 22, 2022","Really love this launcher, it is very customizable and the live tiles work so much better than expected. Everything has been pretty seamless and despite packing my homescreen with different tiles displaying different info dynamically the touch input and my phone in general works without any lag. This has been one of my favorite experiences with any launcher.","9 people found this review helpful","ChYK the dev","September 22, 2022","A new update is available now. Please try to update. Thanks."
"https://play-lh.googleusercontent.com/a-/ACNPEu_v6FDhR_g3kpClCG5BjbUu29pvnYJZjlM5zpTnu6Q=s32-rw","Ilona Sullivan","","October 21, 2022","i am using SH as a launcher since 1+year and the price for premium feels like a total steal considering how much it has to offer! the UI feels intuitive and tweaking on my home screen is definetly like fiddle therapy for me. i come across minor inconvieniences often though and making an improvement suggestion didnt show to me yet as a one click thing. my HUGE ask would be a preview mode. i could maybe split screens and have it working but dunno yet. i got more but running out of letters🖖😄","2 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_THM255eYqiGiV-f57LoaruIh4dRM5EcfzYH2z7wA=s32-rw","Sofia","","September 14, 2022","Really good, but I wish there was an option to temporarily enter edit mode on long press like Nova launcher. If I want to make 1 small change I don't want to enter settings to tick and untick the edit box, but if I stay on edit mode the little + and the edit pencil sign drives me nuts! If only there was a way to stay on edit mode without it looking unsightly... Ability to have vertical divider would be nice too","18 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9dU8RQKc7_Jk0xA_nrcMqmLbM0dcz8NT4no0SMvw=s32-rw","Frantic Kirmit","","September 21, 2022","I loved this for when I had the note but it's not very optimized for any of the Folds and just like the fold has 2 different screens, both are the same regardless of using the smaller screen or the bigger screen. I hope this becomes more optimized down the road so I can actually use it.","8 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_BIrTJSkNiVkarYJKo69G1uTnfeoqwq-FRv4IzVJQ=s32-rw","Jeff Eitel","","November 15, 2022","Excellent features, fair monetization model. To me some of the UI and design feels dated, but I still use it as my primary launcher because of the great feature set. Nice work!","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0kQp17CflfJh5IWOh3T7M3H10oqm_ppYIPTkDQ=s32-rw-mo","Charlie Farm","","October 3, 2022","The app works great, but I can't make any changes or even find any options to edit. I turned edit off after initial set up and I guess I can never change anything again. If so that's extremely inconvenient and good reason to uninstall. Is there a way to reopen the edit options???","1 person found this review helpful","ChYK the dev","October 4, 2022","Home options - Behavior & UI - disable ""Do not edit"". Thanks."
"https://play-lh.googleusercontent.com/a-/ACNPEu-MsfA69NEeq32k9Q5ygY23bp_AHloZYyIk4JMqJg=s32-rw","Charbel Eid","","September 4, 2022","Absolutely love this launcher, it's now my favourite. Efficient, convenient, and love the scroll feature. Love the tile adjustability and interaction with the notifications, brilliant. The only reason I put 4 stars is that I believe it hasn't reached its full potential yet and there's always room for improvement. One suggestion is to have a smart feature that automatically organises the apps into folders that you can add to your screen. It's obviously better with the lifetime paid feature too.","15 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9n9uL7_2ny8FmDnKjhUOyI5Mqk1FaaDaL2gKSqLQ=s32-rw","William","Show review history","August 30, 2022","Very pleased with my purchase. I'd always liked the home Windows Phone had and this improves on that style. It looks nice, I like vertically scrolling, lets me remove the Google bar from my home, and widgets work great. There are a few minor bugs I've encountered and Android has started randomly asking what home I want by default (I suspect that's an Android issue). I would like it if editing mode acted more like default Android/iOS.","11 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu97H_Ienbig_LLTIouccruCkrim6XFnFbYLvICJ=s32-rw","Amit Ben","Show review history","September 1, 2022","Really great! highly customizable and feels very polished! Animations are solid, and everything is very fast. I can set tiles to be in any size, and customize the behavior and appearance of them. developer is very responsive and it's clear they care. probably there but I couldn't find it: disable 'recents' sec app drawer list or duplicate apps in their normal sorted position (so apps don't disappear from sorted position so I need to guess they moved to favorites)","17 people found this review helpful","ChYK the dev","August 29, 2022","You can set the tap action of the calendar widget. Just looking press it to select and press the options button on it.
You can disable the live tile per app in Home options - Live tile - Apps for notification.
Thanks."
"https://play-lh.googleusercontent.com/a-/ACNPEu8ZfKP2g3ulIGLq-FuGirNj3jwKoNO7S2ptPKCK5w=s32-rw","Persephone Hope","Show review history","September 22, 2022","I've been using this launcher for years. It has tons of customisation options and in my opinion does the best job of making many apps available at your fingertips while also maintaining a clear and simple aesthetic. Edit: Thank you so much for your prompt update that fixed my problem!","","ChYK the dev","September 22, 2022","Very sorry for the inconvenience. A fix is going to be released soon. Thanks."
"https://play-lh.googleusercontent.com/a/ALm5wu0ijvAD4nNbfpPOPiJ0ATtlIqnWCxywIiF14JIC=s32-rw-mo","Laa Suw","","October 19, 2022","An excellent app, but recent glitches remain. I still get blue dot place holders showing on the Home screen prior to the squares appearing (the last update has sped up the disappearance of the dots but the dots are still there). Also, the font numbers in the clock widget remain unstable/wobbly.","12 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9l_p1SWo3uLDGwun-kQE0YrY_XCBqi_qObG99zFw=s32-rw","R W","Show review history","September 22, 2022","(21/09/2022) App is not working as of the recent update. When returning home it will keep asking me which launcher I'd like to use, and will keep repeating this process if I tap on square home. Home screen does not come up, nor can I open the app settings. Entire launcher is unusable at this time. Will change review if problem resolves because I do love this launcher. (22/09/2022) Excellent responsiveness from the author. The issue has now been resolved in a following update.","","ChYK the dev","September 22, 2022","A new update is available now. Please try to update. Thanks."
"https://play-lh.googleusercontent.com/a/ALm5wu2nKDNN35VsKwAHKqi2tnBDbIazPp-jkrUDdQIY=s32-rw-mo","Daniel Brady","","September 23, 2022","Forgot just how much I liked the tiles effect on the windows phone. Customisable to the extreme ... Great app. To be left with only 2 real phone op system when windows was ""getting there"" is still such a disappointment. App will remind you why!! A must have 😁","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8xFH0KaGs4nupKEhRkkimFx0n9Ou1-jOkzCKGvGw=s32-rw","Joseph Stilson","","October 3, 2022","Best Windows Mobile launcher in the play store! My only two gripes are that it uses more battery than the stock One UI launcher on my Galaxy Note 10+, and it can glitch in screen and folder transitions occasionally. Otherwise it's pretty fantastic!","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-Enu0S83I19DcB9NLjwcXbklEAwuNkw2QSXJjlyQ=s32-rw","William Roach-Barrette","","September 13, 2022","Folding Phone Users Rejoice! This application remembers your layout for each orientation AND screen. So you can customize your cover display to push certain tiles to the top that are then reorganized when you unfold the phone. My only complaint is the margins. I got my margins slimmed down by doing the following: turn on tablet mode, set desired margins, turn off tablet mode BUT DONT LET IT RESIZE WHEN PROMPRTED. That did the trick for me.","3 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9-XlC5djwsd4tj3wSIj2V32pFIuWHE1f7QEhZi=s32-rw","Jason Anderson","Show review history","September 22, 2022","This launcher is my favorite. I used to have a Windows Phone and it reminds me of that, but with more customizations. There was a recent issue that caused it to crash on startup and the developer was quick to respond and fixed it in a day. Thank you!","","ChYK the dev","September 22, 2022","A new update is available now. Please try to update. Thanks."
"https://play-lh.googleusercontent.com/a-/ACNPEu-UzbJQ_tYMJMPtFYaAMibn1YcYu1oNr1cGoLr_kw=s32-rw","Styyx","Show review history","September 22, 2022","Great app so far, but impossible to launch it since the last update. I get stuck on the app carousel without being able to display my home... Hope it will get fix soon cuz I'm already addicted Edit the morning right after my comment : a fix have been released, solving the issue, I now have access to everything once again, thank you very much for your answer and the fix!","","ChYK the dev","September 22, 2022","Very sorry for the inconvenience. A fix is going to be released soon. Thanks."
"https://play-lh.googleusercontent.com/a-/ACNPEu-fSzhtIr523qY6T1oMRJdAcLedT9vQM5_k0H1aA8M=s32-rw","Nadeem Ahmed Mohammed","Show review history","October 2, 2022","Have been using paid version for almost a year now ..it's a fantastic app, I use especially on my grandparents phone to make icons and squares big for them to easily click. One request if somehow a timer can be put in cube option so that the cube will rotate after set time, is this possible? My grandad had set time widget on one and daily news widget on other face.. as of now he needs to swipe it to read news ... If it can keep moving between sides it would be helpful for him to have a glance.","","ChYK the dev","August 8, 2020","I'll take them into consideration. Thanks."
"https://play-lh.googleusercontent.com/a-/ACNPEu_SfGqCeuBqbPU-E_BBWCFV3qvMdWKTfT60966AYQ=s32-rw","Scott Halerz","Show review history","October 8, 2022","Love it. Worth the full purchase and I love all the deep customization options. There are a few things missing of course, but mostly...PLEASE PLEASE...add custom folders to the app drawer!!","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0pQdjGQFaZzvD5XNVRyTTxbMM6J7NCAlyAq6eP=s32-rw-mo","Louis Gucciardo","","September 26, 2022","Excellent, great feature set. Very stable, no technical issues. Kudos to the developer. The tile interface let's me have more apps on my screen and provides better organization.","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8_NMeosGOynKJjaFMCjeJsqXTuKLZ4JpVFky6f0g=s32-rw","Timothy Allen","","August 6, 2022","I'm a few days into the free 14-day trial and have found this launcher to be fascinating. I've had fun transforming my home screen into a colorful display of blocks, cubes, and widgets. There are options for a wide variety of appearances and functions. I could even choose how I'd like it to be organized in landscape mode. It's also interesting to see notifications on the app tiles. However, after enjoying the time I spent exploring the options, it became too busy for my everyday use, but thanks!","30 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-iJWZdscaPdxPEExKEWGpsYJuAT53NXdjEx2Kxnqo=s32-rw","Mickaël CORINUS","Show review history","September 22, 2022","Erm... Not sure you are aware, but the latest update broke the app. At least on Pixel 6. I simply cannot launch it. It keeps on failing. It was fine just before this update... EDIT: quick reaction and catch! New updates, less than 12h after, fixes it! We are back! <3","1 person found this review helpful","ChYK the dev","September 22, 2022","Very sorry for the inconvenience. A fix is going to be released soon. Thanks."
