"
  Google Photos","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu-A1BBBms6Czx80W88OxVtJsy_qC-lFzyAIsL_oNA=s32-rw","Not Your Business","October 30, 2022","I actually rly like google photos. It is kinda bittersweet at times. When you're looking at some items the app creates for you like the ""from _____ year(s) ago today"" pictures. It brings back memories and reminds you of certain events/people/things that you almost let slip past your memory. Also i wouldnt be surprised if you're actually able to turn off these features (like the ""moments"") etc. Personally, I like the things the app makes generally. Plus the app, at least for me, runs smoothly.","830 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_EvAHdRZDU_nd5OtvONGu_IfcCtCh_v2Dnu9Dib-Q=s32-rw","Nick","October 30, 2022","Recently implemented a ""feature"" I hate with a passion: slideshows have a slow zoom on each image. I can't find a way to disable this, and the official response is ""contact us with feedback!"" Well, here's your feedback. Please make this optional. Some of us aren't entirely neurotypical and find that sort of zoom immensely diatracting and irritating.","140 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu3Lk6WM-tMWWLdnC6StIiBmnaIn4PWqqkykqPHc=s32-rw-mo","Jacqueline “MONKEY” Meares","November 3, 2022","It would be nice if Google would quit changing the formats on all of their apps and then they decide to eliminate them for a newer app that doesn't work nearly as well, like Google Gallery, it sucks. But this app needs fixing still. If I am placing a photo into Archive folder why does it still appear with the other photos? There is no need for a photo to appear in multiple folders, if I put it into a specific folder, it shouldn't be in any other folder it's a waste of space.","288 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1i_p7Hh6QkAW1Tn73aOHKXQzOkQ0jqLVMTjzVu=s32-rw-mo","Born of Love","November 8, 2022","It really is the best out there. I've tried other photo/gallery apps and they just don't compare. The ease and the flexibility of capturing, backing up, modifying and reaccessing just can't be beat. My only glitch is I'm not a fan of having things out in some 'cloud.' When I find something that can outperform Google photos and regain my full privacy I'm gone.","1,598 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_O9Cbb1rbot6mNxumxsVczdo2871vPJH6hWmLl=s32-rw","Staci Gerardi-Ellison","November 2, 2022","I was honestly fine with the app and would have rated higher until the last 3 days. The app has been glitching and causing the screen to flash like crazy, then locks up the phone. I've rebooted the phone several times but it only happens when I'm using the Google Photos App. I also uninstalled and reinstalled the app and still have the same issues. Ran my virus protection again just to be safe and it shows no issues with the phone itself so it's problems with the app itself.","171 people found this review helpful","Show review history","Google LLC","November 2, 2022","Oh no, Staci! We're sorry to hear you're having trouble. We suggest that you take a look at this article: goo.gle/37eSSXM to fix problems with the app. If the problem persists, we ask that you post a topic in the Google Photos Help Forum to get help from our experts: goo.gle/3o5JIVl. We hope we helped."
"https://play-lh.googleusercontent.com/a-/ACNPEu-53bhEoHqZKanxuNquAxmuo-9dDSAp9EjUMYxcPFs=s32-rw","Kendra C","November 10, 2022","Overall this is a great app. I'm lucky to have extra storage through Google one. If I didn't, I would probably have to buy additional storage which in my opinion should be free. Also would love to see more editing options to keep up with other free apps available. I love that I can have all my Google apps connected and synced on all my devices.","890 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8qYu8eLRfJOxiotSieCWdWnJQsKt6LDcyQuAqZ=s32-rw","Nicci Goetz","November 9, 2022","This app has helped me to choose photos that are blurry and out of sync with my devices and that I have duplicates or multiples of that I do not need. It also helps me to utilize features like changing the light effects and making the picture brighter and easier to view. I would like to try the option of creating a GIF which does seem to be an option. The Google 1 storage is also a great value for storage of photos from Google.","876 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_xXgO4t4BRLO67gcTLLLZkBBVII-7USyWwZhIVHg=s32-rw","Michael Bosslet","November 15, 2022","Hot take incoming - This tech company Google, makes good products for my life and needs. I really like having everything synced up amongst them. I think there are always features that could be cooler, or some of the UI might be improved in some ways. Ultimately I need my products to work consistently, and do what I expect them to do. Photos does that for me 100%. And IMO every UI that's ever been created, has been one's favorite thing, and another's worst ever. Not a factor for my rating.","425 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-_WDkiKIt_dTCaUh0Td1PJvYWsKLS5vpTEImnwg8w=s32-rw","Arya Elise Chen","November 17, 2022","I love Google Photos. Apart from being able to store and access my photos from different devices, I have to say that the photo editing tools are just great. It's unbelievable some of the edits that can come out from the basic editing tools. 👌👌Really like the additional features it's been bringing such as the highlights and the photo map. I like using the vignette feature but not being able to apply it to other margins if the focus falls on one side can be a downside.","45 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9rL88qhN1uX2v0Mu_aRV8Y_6EjZhTVn6JrYPGuQbU=s32-rw","Cailie","November 3, 2022","so: great photo gallery, love the sync option! however, it periodically does this glitch where it only shows my photos and videos from the past 5 months and only if they were in the 'camera' folder. i don't know what's up with that, or if anyone else experiences it, but it's really annoying having to constantly redownload this app to fix it.","117 people found this review helpful","","Google LLC","November 4, 2022","Oh no, Cailie! We're sorry to hear you're having trouble. We suggest that you take a look at this article: goo.gle/37eSSXM to fix problems with the app. If the problem persists, we ask that you post a topic in the Google Photos Help Forum to get help from our experts: goo.gle/3o5JIVl. We hope we helped."
"https://play-lh.googleusercontent.com/a-/ACNPEu9iSSM_sny38azYKzIDnMqzcGrhV1_4p5KIT6f6fA=s32-rw","Omar Esteves","November 1, 2022","As far as cloud services go, Google Photos is perhaps, by far, one of, if not the best when it comes to backing up images. Its only downside is that it shares the storage size with your Gmail. I would like to see more options for customization, such as background colors and sorting/viewing options, as well as more options for Archive management, such as being able to create folders within the Archive.","95 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-M4nS1QXyy6DvIBIhDueP196BsFqe22fZNrYPQE84=s32-rw","John Harrison","November 4, 2022","It is reasonably useful for storing and organising images. There are some good editing tools that can enhance images, blurry backgrounds is a highlight. The facial recognition is terrible and inferior to every other I've tried. Each person in my gallery has been confused with multiple others. That happens occasionally with others, but with Google it's rendered it meaningless.","114 people found this review helpful","","Google LLC","November 4, 2022","Hello John! We recommend that you take a look on the ""About models of faces"" of this article: goo.gle/2GK3KBD to know how the grouping by facial recognition works. If you wish, you can share your feedback with our team here: goo.gle/3sPwq2I. Thanks."
"https://play-lh.googleusercontent.com/a-/ACNPEu-5HkRlPLVyXYQsCCK1jV8WoIu7m_X9Oa4HBlDefg=s32-rw","Reaghan Buckels","November 15, 2022","My trusty go to app for all my photos to backup to, so I never lose a precious moment! It's super easy to find a photo your looking for with it's search features, like grouping photos by location, things, people (each different face it recognizes you can name who that person is making it that much easier!) Plus they give you sooo much free storage space! They make you collages and show you memories which are always nice on gloomy days!","348 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8S1IV8x-S_yxih0IHpH-ZUlDI6V5EdPIR9YzpCoik=s32-rw","Austin Duggan","November 11, 2022","The new update to memories is terrible. The photos now have some sort of dynamic zoom so the photo won't stand still. Google now hides the Android navigation bar so that you have to use the unnatural vertical swipe navigation they've recently introduced, and can't easily navigate out. The feel is unnatural because a timeline is intuitively horizontal, not vertical. And in any case Android is mostly a horizontal navigation scheme. Please change it back. If it ain't broke don't fix it.","1,317 people found this review helpful","Show review history","Google LLC","November 13, 2022","Hi Austin. We value your feedback. Please share your thoughts with us here: goo.gle/3sPwq2I. Thanks!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_JJZUUa1GN5HUGjV5X9lZtmHUs29EOIrWunK81vA=s32-rw","Gregory Nelson","October 31, 2022","I enjoy using Google Photos overall, but there is room for improvement. One feature I would like to see added is the ability to view all the folders I've got my photos organized in, and the ability to sort the folders in alphabetical order. I can get to my photos via the ""Library"", but I can't the folders are not sorry in alphabetical order. So I have to scroll through the list until I find the folder I'm looking for. It would also be good to be able to sort them in selectable date order.","110 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9Jcq8_WkDRDjJJNuDIsxkhcT8K0YOudWl4KBNBnXw=s32-rw","Vriska Serket","November 15, 2022","Used to be really good for archiving all photos on my phone and laptop and being able to access files from my laptop on my phone. Lately the mobile app has completely stopped working though. I can't delete photos or videos, add anything to albums, or access anything uploaded from my laptop whatsoever. I can no longer edit or crop photos either. Photos is my phone's default gallery app so I don't have a lot of other options available to me, and It's making accessing my files extremely difficult.","29 people found this review helpful","Show review history","Google LLC","November 15, 2022","That doesn't sound good, Vriska! We're sorry to hear you're having trouble. We suggest that you take a look at this article: goo.gle/37eSSXM to fix problems with the app. If the problem persists, we ask that you post a topic in the Google Photos Help Forum to get help from our experts: goo.gle/3o5JIVl. We hope we helped."
"https://play-lh.googleusercontent.com/a-/ACNPEu_4SZq7jPPZR9tL6ldltbS-Ob2kSMukv0-Kb3uDpA=s32-rw","Doug Brightshue","November 10, 2022","Please add an option to hide albums that are on the sd card. And an option to set a cover image for each album would be nice as well. This app came pre installed on my phone. So I don't see ads but I also don't get some options in the editing feature like ""blur background"". Many items in the editing feature are paid options if you upgrade the google storage.","824 people found this review helpful","Show review history","Google LLC","November 10, 2022","Hi there! Thanks for the suggestion! Feel free to share additional feedback here: http://goo.gle/3sPwq2I. Appreciate it!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-wXKYP7dGJ9tN6YZdujG2F_XQNQd0bzPFO0PUbCA=s32-rw","Luna Crowley","November 12, 2022","I'm tired of dealing with this app. It gets frustrating having to restart my phone every time I want to access photos in my SD card or taking new pictures. It's ridiculous to have to restart the app to make sure a photo I would take is still there. Not to mention my SD card has been scanned numerous times in and out of my phone, w/ no viruses, only for it to be unmounted after a few minutes due to this app. No, I'm not going to allow myself to be dollared to death for extra storage space either.","102 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9lRa5C7-1k9urIC_px9MH0hVuOQ3ebTir1hTE0Nw=s32-rw","Raymond Dunne","November 7, 2022","I don't like the backup persistence and the editor is pretty much useless to me. I set it to leave my photos alone but it insists on doing what it wants regardless of my settings and the editor has lots of frills for people who think they're unicorns but nothing that's useful to me. I can't adjust the size of the pen nor where the text is placed on a photo I want to edit. I don't use effects or any of that junk. I like to keep the photos real but add my own comments and mark ups.","61 people found this review helpful","","Google LLC","November 8, 2022","Hi there. We value your feedback. Feel free to share feedback with us here: https://goo.gl/FR5ib2. Appreciate it."
"https://play-lh.googleusercontent.com/a-/ACNPEu-jTsiMCfQs8TrI2SQGdbF6sZeEd3z6CWxVndb5yg=s32-rw","Adrien Wallace","November 2, 2022","It is incredibly difficult and cumbersome to save photos to the device from the cloud. Each photo must be opened in the app and individually saved. Trying to save photos from shared albums uploaded by others has been a new level of frustration, and still eludes me. The app is mired in feature bloat with features nobody asked for, but lacking basic features and usability that would seem common sense for a cloud storage app like easy mass download of pictures.","99 people found this review helpful","","Google LLC","November 4, 2022","Hi Adrein. We value your feedback. Feel free to share feedback with us here: https://goo.gl/FR5ib2. Appreciate it."
"https://play-lh.googleusercontent.com/a/ALm5wu2wfUnDL4sMSQQIQoSX3SjdNbd8Yl8Gy6sgm_qTgPY=s32-rw-mo","Firuza Alizada","October 30, 2022","So disappointed after recent updates! :(( I've been using it for almost 7 years and nowadays it has lots of bugs making me so annoyed and worried. Most of my synced photos from previous dates have disappeared and instead of my fave functionality ""this week x years ago"" it gives random dates with ""remember this day?"" and photos which are totally useless. Moreover, it has another language and even if I change it again and again in the settings it's still not showing my language!","44 people found this review helpful","","Google LLC","November 9, 2022","Hi, Firuza. We value your feedback. Please share your thoughts with us here: goo.gle/3sPwq2I. Thanks."
"https://play-lh.googleusercontent.com/a/ALm5wu24IdIxKkoMiEB73ReDL8ieqbrHo_y_uAZPt0mu=s32-rw-mo","Rishelle MacLean","November 19, 2022","My experience has been great. I've decided to utilize Google's photo album creator as a unique way to express myself as a I get ready to publish my first book. The fact you can add text to photos not only brings out our best, but it also allows any audience to capture the author's creative side but allows the readers to get a full understanding of the story's concept. I love how quickly Google feedback implements my suggestions as I provide them with real time needs for my creative works. Thanks","8 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9u1dGboMAx47OBZPuFxaAUVlz1HcYXyQaNM1XIbg=s32-rw","Kip Andrews","October 28, 2022","Disable cinematic photo memories. I have android version 12. I enjoy the ""looking back"" photo memories it shows me multiple times a week. But recently they added a ""cinematic"" feature where each photo slowly zooms in or out slightly with no way to disable it. It's distracting and made the experience way worse. Disable the cinematic photo view. ALSO when scrolling through the memories, I used to swipe up to dismiss the feed. Now I have to press the X, less intuitive. Can I roll back this update?","674 people found this review helpful","Show review history","Google LLC","October 29, 2022","Hi, Kip! Thanks for contacting us. We suggest you take a look at this article: goo.gle/2Y1aiV8 to learn how to view and manage your Memories. If you still need help, we ask that you post a topic in the Google Photos Help Forum: goo.gle/3o5JIVl. We hope we helped."
"https://play-lh.googleusercontent.com/a-/ACNPEu_jy7rp46kPdH0zNYqJu5AJWEhbReC5oIXnqSRdvA=s32-rw","Myst Nyssa","November 16, 2022","Unable to select an individual folder to back up automatically, it seems like you can but it actually doesn't gives you the option to not upload your camera folder. Adding photos to albums directly from folders other than camera is more difficult than it should be. Uploading is weirdly clunky and takes far longer than it should for others to be able to download the photos on other devices.","25 people found this review helpful","","Google LLC","November 16, 2022","Hi there. Make sure that you are following the steps in the ""Changing backup settings"" topic in this article: goo.gle/3985Zxw to select folders that you want to back up. If you're having trouble, post a topic in the Google Photos Forum to get help from our experts: goo.gle/3o5JIVl."
"https://play-lh.googleusercontent.com/a-/ACNPEu_fqj88cgF2oSTOmp_o-Fv5iNVKnFYHtht-ZjW8Dw=s32-rw","Mattia Buonaiuto","November 12, 2022","Great service to save and share pictures easily with the family! The only thing I don't really like is that it uploaded all the pictures I take, even if the are not family related (i.e groceries receipt, scanned documents such as passports and even credit cards, if I'm so silly to take a picture of it). Would be nice to have a way to actually select which pictures to upload from the camera folder, and which to keep on the phone...","33 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-X3Uzd_ZOmD5exc-kJ3HhcYQC54qDSIp4Ys5eAIhg=s32-rw","John Deere","November 9, 2022","The app lags, especially when trying to access the trash can. I hardly use this app except for storing backups of my photos. Deleting photos straight from my camera is a hassle because it uses this app. UPDATE: It lags even more now. It even crashed just now. ""Photos isn't responding."" Even trying to send feedback the app just goes to an all black screen. UPDATE: Believe it, or not, the app is now even slower.","383 people found this review helpful","Show review history","Google LLC","November 10, 2022","That doesn't sound good, John! We're sorry to hear you're having trouble. We suggest that you take a look at this article: goo.gle/37eSSXM to fix problems with the app. If the problem persists, we ask that you post a topic in the Google Photos Help Forum to get help from our experts: goo.gle/3o5JIVl. We hope we helped."
"https://play-lh.googleusercontent.com/a/ALm5wu2szSGljztmqMpw4TlDIfv694RP1Y7aWKyuBU8A=s32-rw-mo","Doug Trease","November 8, 2022","This has been one of the most horrible apps I have ever used! It archived all of my photos, and although I can still access them they are no longer separated into the albums I had created. To make matters worse, it took the photos out of the albums in other storage apps I was using. On top of that, it claimed to be free but when it started backing up my data it quickly ran out of free storage space and threatened to stop my Gmail until I purchased a monthly additional storage amount.","107 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-tnv3HueoZxPdOxsxgGcwE2szMTNuYHsOqbpjddm4=s32-rw","Marc","November 3, 2022","My device albums in this app are scattered all over the place. It sorts itself to last modified. I end up spending a lot of time looking through the albums to find what I need. Please put an option for us to sorr albums alphabetically and pin important albums for easy navigation. In the mean time, I have to use 3rd party photos app.","194 people found this review helpful","","Google LLC","November 7, 2022","Hi Marc. We value your feedback. Feel free to share feedback with us here: https://goo.gl/FR5ib2. Appreciate it."
"https://play-lh.googleusercontent.com/a/ALm5wu2xDhheFiwWvuHlk2W7tiS_OTP9_CDyA_R21NC7=s32-rw-mo","Dylan C","November 2, 2022","The app gives you absolutely ZERO control over how you want to organize your photos. Automatically sorts them by date with no way to change it. Sorts albums into a single flat hierarchy instead of letting you group them into folders so you'll have to scroll though hundreds of albums to find what you're looking for. Trys to use AI to sort your photos but the AI sucks. Clearly made by a team that just wanted to deploy something and move onto the next project.","85 people found this review helpful","","Google LLC","November 2, 2022","Hi Dylan. We value your feedback. Please share your thoughts with us here: goo.gle/3sPwq2I. Thanks!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8KLPiSVcz0GwM6ds_cYEGjCTHRz9MeDRmuUNYkcQ=s32-rw","Jesse Bauer","November 2, 2022","I love almost everything that Google Photos offers. Except for one very minor detail. I believe it would be so much better if there was a simple ""on/off"" toggle switch that could easily stop photos from being added to both Google Photos & the default or built in photo gallery. Simply because I dislike having to delete every miss-taken photo or temporary screenshot from both platforms platforms. This is tedious and could potentially be confusing.","104 people found this review helpful","","","",""
