"
  Ratio: Productivity Homescreen","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a/ALm5wu2IJ8-p_pKMIMJLKuUdT7MP-lOULIY0l4iJwRy_=s32-rw-mo","Rahul Baidya","Show review history","June 28, 2021","Unique and functional. The app developers are doing a fantastic job of making it better update by update. I'm not sure if it is a bug or if I'm doing it wrong, or if it isn't a feature yet, but tapping the calender card doesn't open the calendar app. It'd be great if it could do so. Also, it'd be even better if there were an option to select a particular app to be opened if a card title is tapped.","9 people found this review helpful","Blloc","July 2, 2021","Edit: Rahul, thanks a lot for your review and suggestion! Indeed, that's not a bug - but we will take your suggestion on board!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_lPL4SPJ8A0Pvkeq-wXhnMttU_tt7x2A0BadXxrw=s32-rw","Benny Rachamalla","","September 24, 2021","Looks good, doesn't work (sometimes). Latest version is usable. However, still not recommended for daily use. Notes doesn't work properly which will freeze and lag the UI. Conversations is still in beta, but it restarted my phone suddenly. Doesn't sync fast. No clock. Timer doesn't have volume. The whole point of timer is to notify with ringing. No option to disable icon pack. You can apply/reapply. Once you apply an icon pack, no option to use system default icons.","4 people found this review helpful","Blloc","September 24, 2021","Hey Benny, thanks for taking time to give us feedback! We're definitely aware of the issues and will keep on working on them with each update."
"https://play-lh.googleusercontent.com/a-/ACNPEu8zb7_sjmDG2wu9qmdduf7rb-79MfEqFwG65n7yb4I=s32-rw","Sharath Kumar Hari","Show review history","January 3, 2021","Soooooo...Goooddd. Apart from its way beautiful minimal UI, there were some bugs too: 1. Lagginess in the scrolling part of The Root section. It's not stable yet. I guess you can add a black gradient at the bottom of the screen in The Root section to make it look more cleaner and beautiful. 2. I guess you can add a time bar at the top of the Tile screen. 3. When I applied the Sun theme, I was not able to set the wallpaper for it. 4. Sometimes it hangs. Really appreciate your work.","40 people found this review helpful","Blloc","February 8, 2021","Hi Sharath, thank you for your kind review! Clearing Root always helps to make the experience smoother! We will take your suggestions into consideration. We are working for making Ratio experience more optimized with every build, so keep your eyes peeled on our updates!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-nrip5-drQvB6Y-yfKmLt96EZlFVXU4cchKoauEQ=s32-rw","Ilanchezhiyan S","","June 16, 2021","This is hands down the best launcher out there. However there is this small bug i experience. Whenever I open an app by typing on the search bar in the home screen, use it for a while and swipe from the bottom of the screen to return to the home screen, the search bar kind of gets stuck mid screen. Hope this will be resolved in the future updates..","7 people found this review helpful","Blloc","June 16, 2021","Hey there! Thanks you for reporting - this should be resolved in the coming update!:)"
"https://play-lh.googleusercontent.com/a/ALm5wu1smdRFF8TvOkLcWkqAId851hqj-thNQFoVPw5tGQs=s32-rw-mo","Shail Upadhyay","Show review history","July 15, 2021","Much awaited update features finally! Thank you! Overall design is fabulous, It's still consuming a lot of battery, but i really like that 'dock' feature, but I'd like to have an option to adjust the position of the dock, (right or left), because, that way it will be more accessible for me. Also an option to 'add color(tint-blur) to the dock' and why is 'coloring tiles' so unaccessible?","23 people found this review helpful","Blloc","July 16, 2021","Hi Shail! Thanks for all the feedback - we'll take it on board. We're considering different color variations!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8ICFRiR6IsunHGGZZAFI80tfi0o9j7lVblNgR5RmY=s32-rw","Sohan Ray","Show review history","December 19, 2020","App is quite nice and impressive. But, it consumes a lot of ram memory in the background. A little less than 1 GB. I guess it needs considerable optimizations. Also the animations need to be smoother along with the scrolling in the widgets page on the left where calendar, calculator, Weather etc are present. Also the double tap to lock sometimes work and sometimes doesn't. It also conflicts with the pull down gesture to expand notification panel.","11 people found this review helpful","Blloc","December 26, 2020","Hi Sohan thanks a lot for your candid review and yes you are absolutely right we are already working really hard on a lot of optimisation that will launch in Jan."
"https://play-lh.googleusercontent.com/a-/ACNPEu9Po_pij8Dr1IB9ltYEjXNcdZj4GqYx_W0tiyUevQ=s32-rw","Ravi Roy","","March 30, 2021","This is the best minimalist launcher out there. The tree functionality is not only the best feature, it is brilliant. There is one issue with my One Plus 7T though. When I put biometric authentication for accessing the messages in the tree, it asks for my authentication twice. I have reported this issue as well ( Report ID 577). Hope so it will be fixed in later updates. I love the launcher though. Awesome.","18 people found this review helpful","Blloc","March 30, 2021","Hi Ravi, we really appreciate your feedback and all your support! We followed up - looking forwards to hear from you!:)"
"https://play-lh.googleusercontent.com/a-/ACNPEu8MxRI_9tKkxVhRe5NX8VBUE4AmYfU5Rw7LwRXhbVA=s32-rw","Lajeet Adhikary","","November 3, 2020","I think this is the best Productive Android Launcher out there. The classifications with the detailed usage and design is so clean and minimalistic in nature. Loved it. Couple of suggestions: 1. If I can change the color accent according to my wish with a color palette, that would be great. 2. The root layout's animations is laggy at times. Would love it if it's performance is at par with the Drawer layout. 3. Would love to see support of more icon packs for thr same.","7 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8kLRZ7lXw0ajV_OGR0yk1-z8h55LjusSpOPIKWJrM=s32-rw","Pranavbala Ganesh","","November 10, 2021","Extremely well thought out concept, but poorly executed. extremely painstaking setup process, from drawer creation to icon packs. The conversation and ratio notification is broken on my phone. Notification just cuts off and replying from launcher doesn't deliver half the time. Anyone looking for a basic launcher. This is more than sufficient, but for anyone looking for a smooth seamless experience, ratio still ain't good enough. It probably will be, but as of Nov 2021 it still isn't.","","Blloc","November 10, 2021","Hi, thanks for the feedback! Not sure how drawer set up is painstaking? Please expand!:) Ratio takes over your notifications, which means that regular ones will not be coming through. When you're replying from Conversations, have you encountered any problems that you could specify? Thanks!"
"https://play-lh.googleusercontent.com/a-/ACNPEu892WnFwyPMI69xCzy6hu7uXScazULgnRu16VWZpA=s32-rw","Rajat Mandal","","February 13, 2021","Great idea but it's still in its infancy. The app switching animation would still show a wallpaper. Messages don't work well, gestures in app drawer could be better, the root/tree scrolling lags and stutters a lot. It hides the messenger lite app from the app drawer which is more trouble than its worth. Overall a good launcher that is tailored to my taste, at least in terms of the ideas.","9 people found this review helpful","Blloc","February 16, 2021","Hi Rajat, thanks for your review and feedback. To apply the wallpapers in Ratio to your system, please go to Ratio Settings > General > Wallpapers > Apply dark/light wallpaper to system. Regarding the other issues, we would love to help with them so please get in touch with us at info@blloc.com. Looking forward to hearing from you!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_idanJNblVzZ5xHzUCy1Upjg72N4JWLKIUmJLORg=s32-rw","SARTAJ SINGH","","May 5, 2021","Practical option. For me the critical part apart from aesthetics is the convenience of getting your app search results right at the middle of the screen. I am yet to come across search results being displayed within the comfortable reach of the thumb. I just wished they could incorporate contact search results as well. Would be a boon for people with heavy calling frequencies.","","Blloc","May 6, 2021","Hey Sartaj! Your suggestions sound really great! As we're updating Ratio, we'd like to know more in detail of what you'd like to see. If you could also include screenshots of what you mean, would be great! Reach us at info@blloc.com ! We're working on universal search, so you'll be able to retrieve contacts quickly."
"https://play-lh.googleusercontent.com/a-/ACNPEu9Oi_Ui_DOjIPsNDUAxcQbdyojaU13NOTOJhk8TOA=s32-rw","Sai Theja Pamarty","","January 1, 2021","Very good, like the concept. But if I were to nitpick then for my phone(oppo f7 running on color os) the app always restarts when ever I go to other app and press home ( this happens less frequently if it's not in power saving mode) the time it takes isn't that significant so okay. I would time, weather and location (big format) widget on home screen(on the right empty space beside the drawer) or on the search assistant (on top in a fixed position). Same like messages(tree), emails at one place.","23 people found this review helpful","Blloc","February 10, 2021","Hi Sai, thanks a lot for your detailed feedback and suggestions! We're currently looking at the best way to implement widgets & more integrations are planned for the Tree. About the issue you mention on colorOS, would you be able to share some more details so we can investigate further? Looking forward to hearing from you: www.blloc.com/bug-report"
"https://play-lh.googleusercontent.com/a/ALm5wu1Qree44nsW-N3S4Fl_6a6jJtRbNYRyw1tBVHlI=s32-rw-mo","Shashwat Chandra","Show review history","November 15, 2020","I really like the design and ideas but bugs occur very frequently. It crashes, stops notifying and Spotify card stops working. It's a shame because it really has good potential and I can see it using on all my phones. Edit: I came across another bug where the locked apps can be opened through notifications and it won't let me edit the locked apps by the long press. These bugs are not even reproducible so unfortunately I have to stop using this launcher.","1 person found this review helpful","Blloc","November 20, 2020","Hi Shashwat, sorry to read that you have encountered these issues. We're continuously working on fixing all bugs when they get reported so be assured that they will be fixed in upcoming updates. Concerning the Locked apps issue, Ratio is probably missing a permission that allows it to work properly so check Ratio Settings > General > Permissions."
"https://play-lh.googleusercontent.com/a-/ACNPEu8PClTIInCl_xnmrtyTksbCRVfO2hLFycngF04ao4s=s32-rw","Thariq C P","","October 11, 2020","The best minimalist launcher ever!!! Have been using the beta (invitation based) version for the past few months. The Tiles simplify things - apps can be sorted automatically or manually into groups with option to highlight important ones. The Root has some very useful simple 'widgets' which go very well with the launcher's basic theme. Provides usage statistics based on apps and Tile groups. The app detail view is another highlight.","1 person found this review helpful","Blloc","October 14, 2020","Hey Thariq, it means a lot to us to hear you've come such a long way using Ratio! Thank you for being part of the journey and we hope you'll enjoy what we have coming up next for Ratio!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-rD3_4L7hfnwijQLcJTMSjKKO-p7nscz9oaOjviA=s32-rw","Vineeth","Show review history","May 22, 2021","There are some bugs that haven't been fixed yet. I'm using this on my OnePlus 7T, and whenever I double tap on the screen to lock the phone, notification panel triggers before locking. It acts weird. And sometimes, the name of the drawer shifts to the right after any changes have been made. Please fix this. Thank you.","24 people found this review helpful","Blloc","May 25, 2021","Hey there!:) Really glad to hear you are making the best out of Ratio, and that it serves as intended. Happy to have you since the early days and hopefully forward into the future! Edit: Please share with us screenshot / screen recoding of this issue - we'd like to look into this: www.blloc.com/bug-report"
"https://play-lh.googleusercontent.com/a-/ACNPEu_TmwlOMq0PAyUtd_mtJxnz3yqCW3ZY87ofrPCB8g=s32-rw","Yogansh Bhatt","Show review history","April 30, 2022","It's an experience unlike anything! Feature rich, innovative, beautiful, aesthetic,simple, customisable, everything i need at least. One feedback would be if you can add some shortcut way to delete notifications from the conversation that i don't want to see, for example by swiping right to left on a notification it deletes it or left to right to reply it! It'll make it easier and quicker to delete multiple notifications and also make it look less messy. Thank you❤️","50 people found this review helpful","Blloc","May 1, 2022","Hello Yogansh! Thank you for this feedback and suggestion 🥰 We are super happy that you're enjoying Ratio!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_JviF5Ceb5LpMcnagWF7BTtXChY7LwnntcFza48g=s32-rw","Sunnysingh Rana","Show review history","August 27, 2021","The launcher is excellent and basically fits every box, I was looking for. The only issue I've encountered is with the auto reply. The auto reply will keep on sending the text or reply continuously. This can be such a pain as the person on the other side sometimes ends up receiving more than 200 reply. Kindly please look into this and rest all seems to be working great.","6 people found this review helpful","Blloc","August 27, 2021","Sunnysingh! Thank you for the review! We'll look into this bug asap - and apologies for the inconvenience caused."
"https://play-lh.googleusercontent.com/a-/ACNPEu_Rr9RDpEV3t_sUSaUKWFeZgXR-U_2YbzRzn7HMfUc=s32-rw","Aman Raj","Show review history","January 6, 2021","The best launcher ever designed and the fact that it's absolutely free makes it worth 5 stars. I would love if they somehow managed to insert widgets of other apps in the launcher, then it would make it even better. I would also like to request the feature that it should show the screen time in the root area so that user can be more cautious of time wasted on Phone.","16 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_PJY59sfpnG28KoS1rrlUpCyX8qMUgkxc0KuBmgg=s32-rw","POGGMATHON","","November 10, 2020","I gave this launcher a week. It was an amazing experience in the beginning, My productivity along with my daily usage changed a lot. Basic features along with the tree notification tray when you swipe left is very useful for keeping notes and getting your work done. It gets a lot tricky and buggy when you try to use some advanced feature like Fingerprint lock, sometimes it dosent even give an option for fingerprint. Very buggy. Battery life somehow is very average. I wont use it daily.","1 person found this review helpful","Blloc","December 14, 2020","Hey, it's been over a month of bug fixing, working on crashes, optimization and stability. With the launch of Ratio 4 and the much antecipated Tree messaging hub (in Beta), we'd love it if you would give Ratio another shot and tells us what you think of it"
"https://play-lh.googleusercontent.com/a/ALm5wu2uI3jrige7aPP3o4w9yWlMhndXxdoaNsQdTsWh=s32-rw-mo","Gaurav Choudhary","Show review history","November 29, 2021","Potential for huge success and defining UI as a concept. I love it, though obviously it is in initial stage so expect some rough edges, but I look forward to their finished product. I keep switching between this launcher and another one of my favourite after every reset but may choose to always opt for this one in near future. My only suggestion- make a option for closing all drawers after either every opened application or after a few minutes of standby.","15 people found this review helpful","Blloc","April 9, 2021","Gaurav, thanks for your in-depth feedback! We're working hard to make Ratio experience as good as possible. Good suggestion - will take it on board!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8kPQonX_xHF1mQRqD7suY3ZivThpA7ZL0v5-fBrQ=s32-rw","Mohammed Junaid Dawda","","November 29, 2020","Very good concept and overall experience. The only downside for me is: There is no similar functionality or area for very frequently used functions such as dialler app and contacts as compared to regular bottom quick access bar. I found it difficult to use that. With that quick access bar, I can open dialler without even looking at it. For this reason I had to uninstall it unfortunately. If developers bring similar feature as optional it definitely deserves 5 star and my usage.","","Blloc","December 1, 2020","Hi M Junaid! Thank you for your feedback, our design team is actually working on bringing this dock functionality to Ratio so we hope you'll see this feature in a future update. You can keep an eye on what we've included in our latest Ratio releases here https://www.blloc.com/updates"
"https://play-lh.googleusercontent.com/a/ALm5wu3nPJnDHAxscVjGL2sWuGRmTntT6dU7yyTVj_U9Qw=s32-rw-mo","Rahul Oraon","","November 13, 2020","this is a very cool launcher n I starting to love it. but there are some issues. 1) while enabling dark mode in my device, some icons are not visible as they completely lost in dark. 2) I am not able to change the app icon background to bright highlights, its only classic or marker. 3) opening and closing of app drawer is not working properly. 4) i am not able to delete some notes from root, I always have to do clear root and it clears everything. kindly shortout these issues and be great again","13 people found this review helpful","Blloc","November 13, 2020","Hey Rahul, we're working hard to solve these problems. The dark mode issue is not a problem with Ratio, but with an android setting called 'override force-dark'. It tries to create a dark mode for apps that do not have a dark mode, and sometimes it messes up. If you disable this setting (in developer settings), everything should work as intended."
"https://play-lh.googleusercontent.com/a/ALm5wu1acNzSsKdnxynjEKojr3fYQjCZetbU0YCE75okSg=s32-rw-mo","Shubham Bansal","","October 27, 2020","I really really like this app. It decluters the homescreen and entirely changes how I interact with the phone. Thumbs up for that. I would like to provide a feedback though. There are some apps i would like to access instantly. Like the dialer. I would like to pin them to the left most screen like a widget. I am not sure if that is a feature but even if it was, it was not entirely evident.","","Blloc","November 20, 2020","Hi Shubham, thanks a lot for your feedback! We'll soon be opening up an SDK program , and if you're interested you can sign up at blloc.com/developers Widgets are a highly requested feature, and we'll see what we can do about this from next year :)"
"https://play-lh.googleusercontent.com/a-/ACNPEu_fiGrIEPx0vB_gFA4VZvppr4I5TguuV8uXv3gJ9A=s32-rw","Saksham Bhutani","Show review history","January 14, 2021","Stopped doing half the things it's supposed to do in 2 days. Good idea though Edit: 1. The wallpaper and themes wouldn't change even upon selecting the options. 2. The tree i.e. the message hub also stopped working. The same message would be repeated multiple times in a conversation. Upon reinstallation it started showing the code for each message within the {} brackets with the message in a content= marker.","","Blloc","January 15, 2021","Hey Saksham. The issue with messages displaying within {} is because you must have accidentally toggled a developer setting. In the 'For devs only' section, turn off 'DEBUG', and this should no longer happen. For the wallpaper, after selecting the wallpaper you want please select 'Apply Light/Dark wallpaper to system'. Let us know if this fixes it"
"https://play-lh.googleusercontent.com/a-/ACNPEu-oJw8bOSgaTgMNbh8dk6xU1Y6R0N6vVxtZ_YGD6A=s32-rw","Rhishabh Soni","","October 23, 2020","Totally in love with this launcher. It helped me manage my usage and reduce it and helped me focus on other things without much of a distraction. A must have if you want a digital detox. Have been using for a few days now but I am satisfied with the outcome. The UI is clean and minimal and gives me only important information. No clutter or stupid apps popping up with push notifications is just a bliss.","3 people found this review helpful","Blloc","April 9, 2021","Hi Rhishabh, thank you so much for your review! We are really humbled that Ratio helped you to manage your phone usage & distractions. We would love to hear from you further about your insights on this topic & further tools we can bring to improve Ratio. Please reach out to us at info@blloc.com. Have a great weekend & we hope to hear from you soon!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_CfhPzUqPMLd6F6sf4fqFakilHc4MHg_iyaRF7zQ=s32-rw","Rufus Immanuel Raj P","Show review history","June 19, 2021","The latest version V5 seems to have solved the lagging problem with me. Great job devs👏. But one more thing: The app drawer seems to interfere with the navigation gestures. Whenever I try to open recent apps from ratio, the drawer seems to show up for a second. You could solve this by making the app drawer trigger only when swiped up from the dock. And you could make an INTEGRATION WITH KLWP. Like send a broadcast variable value when on home, another value for root, and another for conversation","14 people found this review helpful","Blloc","May 10, 2021","Rufus, many thanks for your feedback! We're tightly monitoring feedback after this last release. So, if you could elaborate and gives us more details on when it happens, please write to us at info@blloc.com"
"https://play-lh.googleusercontent.com/a-/ACNPEu-luYqHmRfB4z75wGWmPdDmeAsGVfiGYuSVBUj9rA=s32-rw","Arnold Jose","","November 26, 2020","Really enjoying the launcher so far, it's a smooth and a pleasant experience, the root is fantastic and nothing like I have experienced before but the only issue I am having is with the wallpaper, where it says can't find the file even after the download and it would be great to have the lockscreen as seen on your site. Really looking forward to it.","21 people found this review helpful","Blloc","December 1, 2020","Hey Arnold, thank you for the feedback! We're sorry the wallpapers are causing some issues for you, but we will be releasing a big update to how Ratio handles wallpapers soon. In the meantime try checking in your gallery if there's a folder called ""Ratio Wallpapers"", hopefully you'll be able to find them there."
"https://play-lh.googleusercontent.com/a-/ACNPEu_wUl_HPnbZBy1Ic6eHkQdSri877MVpY5cdnJ_UIw=s32-rw","Nitin","","March 27, 2021","I just switched back to Ratio. It feels good but i don't know why it is crashing automatically again and again. User experience is still as amazing as it was before moreover it has improved a lot. But the default launcher appears everytime I use my phone after some time. Please help me out with the crash.","9 people found this review helpful","Blloc","March 29, 2021","Hi Nitin - thanks for your review! We will be soon releasing a patch that should help with the specific crashing!"
"https://play-lh.googleusercontent.com/a/ALm5wu1afOCQ-hRtcUhMhd73oXtH-iGqvEv9lq-5H-RmJQ=s32-rw-mo","Vishakh KV","Show review history","July 8, 2021","1. Integrate contacts and file searches into the search box. It will make our job more easy, quick and powerfull --powerfull search box will go long with minimalism 2. Include a toggle button to enable/disable swipe up app drawer. Since there are powerful features like home screen drawers and search box, an always enabled swipe up app drawer seems to be against the spirit of minimalism 3. Try to provide a rigid build. At times many features appear to break even after several reinstalls.","","Blloc","July 8, 2021","Vishakh, thanks for your feedback. 1. You're reading our mind. 2. We're currently working on optimizing the app drawer and UX with that. 3. We're be happy to have more information on that from you - if there's anything specific, please submit a bug report: www.blloc.com/bug-report"
"https://play-lh.googleusercontent.com/a-/ACNPEu_usfcGLnezFI-sLpa0wcVAiODYUZAoz2TXFZvzlg=s32-rw","Mayank Auddy","Show review history","December 17, 2020","All the features of the launcher are working perfectly fine, except for the tree, which is stuck on the ""Hello"" screen. How to fix this Devs? Thanks alot Devs! It is working now, the only suggestion that I have is that you can include playback of videos, and voicenotes in the tree itself, and also, the Instagram chats are not very stable, please look into that also. Otherwise, I am extremely satisfied with the look and performance! Looking forward to hearing from you soon!","19 people found this review helpful","Blloc","December 17, 2020","Hey, sorry to hear you experienced this issue. You need to enable Ratio as a notification listener in order for messages (from whatsapp/telegram/instagram/messenger lite) to show up in the Tree. You can go to Ratio Settings > Tree > start onboarding, and enable it in the Permissions. Let us know if this solves it!"
