"
  Rabit: Habit Tracker & Planner","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc"
"https://play-lh.googleusercontent.com/a/ALm5wu25mRuJk0BJkz1OyKY_35Lx0sH5pi5L9hcazmAX=s32-rw-mo","Nikola Errico","","October 5, 2022","I used to love this app but I just recently installed it on my new phone and now I can only track three habits with out paying a subscription. Will be looking for a new but similar app",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8IwmzeKNbsD3G7pSGJJYSmDs5m4wWYyabZGBQAV-g=s32-rw","Chelsea Strong","","October 15, 2022","I like the idea of the app and it's visually appealing, but I will be uninstalling it because the plants are depressing. It's extremely demotivating when you have worked at a habit consistently for weeks and one day of missing your habit and the plant is dead. It's not encouraging, it makes you feel like you should give up and all the work you have done thus far is meaningless. I would recommend that the plant deteriotes over time as you miss more days.","56 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-NXlYGbNzlSPa_TxTfw5vMFdd8iKtFCMoSV_jsLw=s32-rw","K Logan","Show review history","September 11, 2022","It gets the job done pretty well. My only major problem is that the new update erased all of my list which for me is an issue as I used it to keep a lot of things in order. Basically my primary use and now all that information is gone.","1 person found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8itVcXn_JyvMjcNW3PuR3Hs-NOySnTX1SvMk4AENc=s32-rw","Laura Clark-Cheever","","February 20, 2021","ALMOST perfect... This app is downright adorable, and the little plants are so much fun! I do have a couple of issues though. My main frustration is that I can't find a way to mark a habit as partially done. For example, if I set a habit to drink a glass of water 10 times a day, I can't swipe it left to track one of the ten without the card disappearing completely. I have a terrible memory so I won't be able to remember which glass I'm on, and making 10 seperate habits for water looks messy. 😟","222 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9VX9mnubnv8T_lP4MSj4rC-ar2fxBTvFjhRbwnRw=s32-rw","Eddy Violet","","October 21, 2021","This is a good app with lots of functionality. Two things that would make it much more useful: being able to view the actual number of times you did a habit in the overview/stats chart, and being able to rearrange the order of the habits. For example, my habit for going to bed shows up before my habit for brushing my teeth before bed. This makes it kind of annoying to read the list. I realize that's a nitpicky thing, but it would improve the experience.","214 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_Kd2MEc2StbZSwfDaRL2xdB1MHCtZBWsXZrAMJj2s=s32-rw","Bret Betnar","","February 4, 2022","First impression after a few days. For things I like so far... The UI looks nice enough and tasks seem well designed as types, like the ones with timers. But I haven't yet understood the purpose of the plants. There appears to be no way to interact with the plants except seeing they exist. The Todo list, which there are many free apps that you could use instead, is included in what looks like a ridiculously expensive subscription model. And I've run into bugs already with some UI elements.","13 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu88G2wCuUBJqjCAYIr06-DW8vrAxOYlhardls-gYQ=s32-rw","Victoria Valchev","Show review history","April 24, 2021","I like this app but a little more flexibility would go a long way. For example, I'd like to work out for 5 out of 7 days every week but it's not always on the same days. Also if I'd like to read at least 5 hours per week, and I do 2 hours one day and 3 hours the next, it shouldn't appear that I've skipped the next 5 days when I've actually made my weekly goal. An excel download option would be awesome and also the ability to view the whole habits chart at once. Otherwise, I love the design!","53 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-u-hMvtdixPAGeIfh2TLtxNQ3K03dESXlUj3uMAA=s32-rw","Mohamed Nagy","","March 2, 2021","I like the app and the idea of planting very much. But the app has lagging issues and feels overall slow and the experience isn't smooth at all. It doesn't have any widgets too, which is unfortunate for such app. I think it can also use some sound effects to make the experience of using smoother. It's also a little hard to navigate. I want to change to light mode but I cant figure out how ?","7 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9zYlBPGqksF-A5Q8wL6QDcBhWIqP5OD32-GSslWAA=s32-rw","Ellie Hoyt","","April 20, 2021","Good at keeping me motivated. However, a lot is based on subscription to the premium version, so it loses its fun. I wish that the consequences of missing a few days of habits weren't so disastrous. The last thing I need is to be in a depressive episode, barely able to get out of bed, only to find that all my hard work getting plants is down the drain. Progress is not linear, and therefore missing days should not kill plants, just limit their growth temporarily!","28 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_JAeoVYnFCNt247e6xXqdB9d-SzIGo_KSdT7RRYw=s32-rw","Shelby Machado","Show review history","November 13, 2021","The function to link tasks to a goal is broken. I select specific tasks and it groups irrelevant tasks. Then different tasks altogether show up in the list. It's insane. Works for a few hours at a time. Then black screen. Forced restart phone. Nope. Forced stop and restart on the app. Nope. Uninstalled and reinstalled. It works for a few hours at a time. Then the same issue occurs. Its frustrating because it's still the best app for my needs despite having to reinstall it a couple times a day.","21 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu0cP1FMRXbIjgwNYcHcFZu0RoqTJ_rc9-EEFIqe=s32-rw-mo","Meredith Brand","","June 22, 2021","It was great until the last update. Now for some stupid reason they reversed the way you swipe to check things off. Even once I got used to that, I have several habits that I do multiple times per day and it's so hard to just mark one instance complete. It used to be that I'd swipe once for each time I completed the task. Super simple. Now I have to swipe then press the tiny 1 button. If I swipe too far, it'll automatically say I completed all instances instead of just one","4 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8yJ-Cnf3u-kMPp6YkdC2EAC_SWNG2psJhM_Tit6A=s32-rw","Kade Uecker","","February 2, 2021","I think this is a very cute and aesthetically pleasing app, but there are some glaring issues. For instance it doesn't tell you how to mark a habit as complete, you just have to kinda guess or look at other reviews (swipe left if your searching for the answer). I think it would be a good idea to have the instructions at least pop up after you've made your first habit. The only other thing that I think needs improvement is adding a widget so you dont have to go in app to see what you need to do.","114 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9Yta5LwdLDhZ9sJQ9YSDupHXCu4BupkbADO2ukrA=s32-rw","Julie","","February 25, 2021","This app gets 5 starts for its aesthetic. Everything is very soft and neat, which I love. It's been helpful keeping me on track. I'm frustrated with signing in through a Google account being the only option. The second thing I don't like is the premium content. Some new plants being unlocked would make sense. Watching ads for coins to unlock objects seems like a thing you're stuck doing when the app is free. Even if a few were premium unlocks and the rest ads, that would be an improvement.","26 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9op9KSBPhWul1xHJLbYJRg9nuOLszYDCnqV0Z_U8g=s32-rw","Eric Eggers","Show review history","January 29, 2021","Amazing app that makes me feel compelled to keep my streaks. It would be even better if I could connect with other users, or have a shareable page for instagram/Facebook stories to help share and find accountability. I also would love to support the developer(s), but the premium price is just too high monthly. A one time payment, or a cheaper annual fee, would be better, in my opinion.","89 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9orP5lUFylDcbY9N8stoHIOeoUQsPjD4klLVNHFw=s32-rw","Aiden Malecky","Show review history","April 23, 2021","LOVE this app. Visually, it's so appealing that I really enjoy using it and it makes me want to complete my habits. It's also super simple, which is great because lots of bells and whistles can overwhelm me. I really like how the pro version has a todo list and and goals that you can link to habits. One thing that could use improving: have a way to check off goals as if you finish before the deadline.","6 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu2Ub775hqIS79_S9vQ8H7DgAkDTjQZUSnag1jMk=s32-rw-mo","Riley Mist","","May 6, 2021","This app has helped me a lot with habits that I've struggled to keep for years, and I love that I can choose what each habit is. The one thing that's kind of buggy is when you pause a habit (which is a great feature) if you only pause it for like a day or two, when you unpause it, it goes back to the day before and makes you say whether you did it or not, even though that's the day you had it paused. So you have to either lie and say you did it or let the streak end, which is unfortunate.","15 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu94YsccmlOIwI3UXWeyee58kKm_KZpxeFddDzaZ6ps=s32-rw","Kathleen “Katie” Marme","","November 14, 2021","This is one of the best habit trackers for someone like me that I've ever tried! I have a severe case of ADHD and I have struggled my whole life with keeping up with routines and sticking to goals. This app keeps me motivated with the cute premise of growing a plant and not letting it die by not completing my habits and goals for the day. It's so customizable and cute and the ability to set alarms to remind myself is absolutely helping me stick with it. Try this app, you won't be disappointed!","67 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9HVegSQhMoLLR_3HJ5v7AT4iOn-Q8_zsjeVsoN=s32-rw","A. G.","","March 22, 2021","Really, really helpful app. Simple and pleasant design, especially the colours and the dark mode. Although, overall it could use some improvement; some in-app sound, for example, or the possibility to move the position of your plants, or different garden sceneries. IMPORTANT!! Current notification system doesn't work. I'm not receiving notifications from the app even though they are active (I checked).","53 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu90F8pxJcWZlkmgaaz3tyxFIa135Ml2paspf4BR5g=s32-rw","Alyssa Harris","","August 6, 2021","This app has been pretty helpful all in all, but a few things need to change. 1) it doesn't always give me notifications at the time I set it to. 2) new plants cost way too many coins and you can't change which plant a certain habit is without paying, which I am not going to do. 3) I would like if there was a way to set tasks for specific days (i.e. the 16th of every month or once every 2 weeks). 4) on the calendar screen you can only set the start of the week to Fri or Sat, Sun is not a choice.","71 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu2GYHm5hoBAMgBd_pRODl15yPDNTEtf9ZW7LvHx=s32-rw-mo","K Staton","","November 18, 2021","Loved the app, and was fully prepared to cancel my subscription to my other planner. Then the app just started showing nothing but a black screen and won't load past it. It'll work for a short amount of time if I keep uninstalling and reinstalling, but that doesn't last long and I'm not about to keep doing it over and over. Kind of a bummer because I found it extremely helpful.","49 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9Y0AzaTFn155J7ipgTB1iwkHF6bia_Ivg0AwIk1w=s32-rw","Shaina","","May 29, 2021","this app is really cute! im using it to keep track of my exercise routine and growing the plants and keeping streaks is very motivational! the only issue i have with it is that the ""pause"" feature doesnt work. i paused my habits for a few days and when i went back it had broke the streak and killed the plant, even though i had paused it. i hope this can get fixed soon","14 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_gyZNihgl8d_IskJvYbd7ryJUohCdyiaOPS2iPlw=s32-rw","Joe","","December 13, 2021","It's a good app, really cute and helpful for tracking repetitive tasks. I liked it enough to pay for a subscription, only to find out I still have to watch ads to do basic features like pause/unpause tasks. If intentional, it's a really predatory model and I won't be renewing my subscription.","18 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_QXGa8eFLIG9o-B7wrtLv9vDMgdrec4xXXZ69Tqw=s32-rw","Mistis","","January 23, 2022","I thought the alarm reminder feature works in background even if you left the app. This is the biggest drawback of this app, in my opinion. If this wasn't a problem, this app is actually good. It's interface is easy to navigate and is playful by design. Everything is helpful, and it does motivate you to focus on a habit or a task. Uninstalled it, now","22 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9_Nn7H88v5-RjF7x2gEnJPKJtuiQQrq_LBrmEoug=s32-rw","C. Holliday","","November 9, 2021","I really like the user interface with the tasks and swiping. It's easy o understand and add things. I do not like the plants, them dying is demotivating me from using the app. I wish you could snooze a task for the day when you just don't need to complete the task, but didn't fail it either. It's way too black and white with pass/fail.","2 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu2RYfZEAew6lo0bNRVLd0RbpejeppPAJY6VZ1tG=s32-rw-mo","Philomena Tayi","","February 18, 2022","This is great, it's motivational and has everything you need in a habit tracking app. The simplicity is refreshing. HOWEVER, I just hate when it randomly decides to crash ... forcing you to uninstall it and redownload it! Gives me anxiety knowing all my progress might be erased. Luckily if you register it backs up your data, but the app is so temperamental, I dont really trust that either. Hence the 3 star rating ... Sort this out guys!!!","77 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu3RtxUZsUW_wveKreANoehu9desPfpJcLoffsRv=s32-rw-mo","B R","","January 29, 2021","While they're are in app purchases it is entirely realistic to earn the coins without dipping into your wallet. Their ""premium"" options are super affordable too and offer a bunch of other helpful aspects to the app. The layout is smooth, organized and easy to operate with different coloring options for habits and anything else you can think of. Love that it offers reminder alarms.","39 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-mVlg1GjtmaHNLYVgx8mdmZAS1N9_B1S7HVg3NnQ=s32-rw","Connie Gravitt","","February 3, 2021","An amazing and colorful app to boost motivation and keep your tasks on track. I would love to invest in the to-do tracker and support the creating team, but a reoccurring payment of $20 is a bit steep. If it were a unique one time payment, I would gladly support them. I'm saddened by the choice in pricing.","12 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_rADySaQ5tWy9CY-0hgS7JOEAcaEJdojYPett3eA=s32-rw","Sonya Duke","","May 5, 2022","Really great for getting into rhythms with habits and routines. It helped me to be able to fall back into a helpful and healthy routine. I especially like the ability to see an aesthetic simplified version of each task, but also be able to have reminders, timers, number of repetitions and more! Would 100% recommend!","66 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_JqE1BwX8JdBindAxdkH7FVR3HCVVQDS-3cZgO-H4=s32-rw","R. E. M.","Show review history","April 21, 2021","[A few months in, still loving it!] Would change: notification messages are quite aggressive, would prefer supportive style. Possibility of changing the order of habits without having to assign times. Otherwise, fantastic, functional app, which improves on other apps in crucial ways: the habits disappear after you do them (I have adhd, lists with faded/crossed out items are confusing and messy to me), the day ends when you end it (great for this night owl), dark/light mode, etc. Recommend!","47 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_0ZPwweJmG8g7nTTAmH3VmRj3nvnGqLL70EjWckA=s32-rw","ALEX","Show review history","March 21, 2021","Subscribed for 6 months and kinda regret it. App is really buggy (specially on Tasks) Can't export, alarms and notifications don't work. It gets a bit laggy at times. Goals section is confusing. Timer function is cool but there should be an option to make the phone ring or vibrate when it's done otherwise whats the point. More stats would be appreciated like time of completion, time you spent on an activity with a timer, etc. Beautiful app but can't rate it higher with all these issues.","34 people found this review helpful"
