"
  Tapet Wallpapers","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu_JDF2nHFGPTxLzQrTjNd3CXR0L68T85aWN4PivNA=s32-rw","Kelsey R","Show review history","August 25, 2022","I don't typically rate anything but I enjoy this app so much that I had to! I am always hunting wallpapers online in Google images and downloading collaborations of pretty colors. Now with tapet I don't have to search anymore! Tapet provides all the tools, patterns, and colors necessary to always keep your wallpapers pretty and unique!! Thank you tapet!","3 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_aNpIFKVmjviWI6fC9oqYIgVJOGU5g2j_qj1QBjw=s32-rw","Daniel 777 Gilmore","","September 3, 2022","I personally really enjoy this app. I became very tired of wallpaper apps having inappropriate content on them or just having stuff that wasn't interesting and having to sift through tons of photos and patterns and not finding anything I liked. On this app there are possibly infinite combinations of colors and patterns to choose from or randomly select and now that I have premium the app is even better than ever I really enjoy this app and would highly recommend. Thank you to the Creator. 10/10","4 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu3bNskahpUpy_5yAJT36TA6eejnnkJYqPjJWCOy=s32-rw-mo","Sebastien l","","October 21, 2022","Been using this app for years. I purchased Premium even though I was perfectly happy with the other wallpapers just to support the developers. What I'd love in the future is a way to sync settings and preferences across devices.","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu3TtFsiQeqbgS_wG9jr4qQv9juZPEcXcu7ZGJjw=s32-rw-mo","Eniayesanfun Israel Feyijimi Kehinde","","September 23, 2022","As good as it is, no option of saving downloaded images to gallery, if you say you want to download another one for use the previous one will vanish. If want good ratings put that option. Secondly, it is slow in loading wallpaper images.","2 people found this review helpful","Adrian Aisemberg","September 24, 2022","The app doesn't download anything. It is all generated.
Have you tried using the Save button? It does exactly what you want."
"https://play-lh.googleusercontent.com/a-/ACNPEu_gUEEBW_6V3S2yfgoerrr5R_P5R3jeBeX95DZh8Dg=s32-rw","Mechack Ferguson","Show review history","September 1, 2022","Used to be perfect.... Now stays on the same wallpaper.. So doesn't change, regardless of the interval settings. Dissapointing considering I paid for the premium version. *previous issue now sorted.... Changed the update interval to 30 minutes as opposed to the previous setting of 15 minutes","22 people found this review helpful","Adrian Aisemberg","August 27, 2022","Please contact me at adrian@tapet.app and I'll investigate."
"https://play-lh.googleusercontent.com/a-/ACNPEu_ufr4myfhWedvnSoN2NXhphB9HvZA4J5yZ-3qBnr0=s32-rw","Josh Ravelo","","October 9, 2022","The UI is a bit confusing at first but I love how gorgeous the patterns look. It fits perfectly with Android 12.","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8HLBzUgJr3akoape_hqXwxe3fW2ouFQ4TgNdWmBQ=s32-rw","Robert Taylor","Show review history","May 30, 2022","Perfect app for a long time but suddenly today we get watermarks on ""premium"" patterns but all of the patterns are premium patterns. I respect people want to get paid for their work but it's a shame a nice wallpaper changing app is now more than I'm willing to pay for it. Uninstalling as a result. 5* for the app it was, 1* for the app it is. 3* seems fair?","4 people found this review helpful","Adrian Aisemberg","May 30, 2022","It was a bug. Fixed now."
"https://play-lh.googleusercontent.com/a-/ACNPEu8K85KpqypCCEwnUlbNhmwc6uS8164ioXs_cVw7WQ=s32-rw","Roy Jones","","June 30, 2022","Just recently downloaded this app and was impressed by the limitless amount of background wallpapers it can generate automatically. Just one flaw I found is that when we set a particular colour background for ""homescreen"", it also makes it as ""lockscreen"" wallpaper and I wish it could make it both differently. Thanks to the developers of this app. Hope you'll read my review and improve on it in the upcoming update!","3 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2EiQ1ir39ZBFzurbH1T-SNrfen4LEWBm3-DQPI=s32-rw-mo","M D","","October 30, 2022","Gorgeous wallpapers. I'm looking for something different but this is a great app. TONS of included patterns for free.","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9u08nVyef8k_0fPQZgXOevt2NZEJ3hZejWMUrRnQw=s32-rw","Josh Webbs","Show review history","September 17, 2022","Deleted the widget functionality to change wallpapers on the fly, this App was sooo good about year and half to 2 years ago. Now the app is just pushing downgrade updates and not actually keeping great features and adding on to them. Sad and frankly pathetic!","4 people found this review helpful","Adrian Aisemberg","September 18, 2022","The widgets were replaced with modern and standard shortcuts. Have you tried long-tapping the app icon?
You should see a list of shortcuts from which you can drag and drop to be used as widgets.

I'll gladly answer any other questions you may have. You can contact me directly from the app via the About page."
"https://play-lh.googleusercontent.com/a-/ACNPEu_VCjL6sDETI6Iy-wE0OC79jDPlbyrqppLa18I3=s32-rw","Napoleonic S","","October 14, 2022","a great abstract wallpaper generator that's easy to use, allows you to save the generated images as well, maybe it has no unlimited pattern but it's okay and free","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0EslfEJjkbMuJN9RAmtG7LIMps6voN_SX8tlc=s32-rw-mo","Ibukunoluwa Amusan","","September 28, 2022","Great app but docking it one star because I cannot get it to change wall paper at 1 day intervals, though it works at 12 hour intervals...","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_RSbI9OSFPZT5ULSSuOgcF5Ieh-W__jsb3He8T8Q=s32-rw","Jason Stephen","Show review history","June 6, 2022","Developer is incredibly active and involved with the app. An update caused a bug which disabled all the free patterns. The same day I posted a 1 star review complaining about this, he fixed the bug and released a new update. And the app has been working fine ever since. Definitely convinced me to purchase premium ASAP to support his hardwork and dedication. Thank you!","4 people found this review helpful","Adrian Aisemberg","May 31, 2022","It was a bug and it's fixed. Please check for an update."
"https://play-lh.googleusercontent.com/a-/ACNPEu_FyVY-u_JJvr2wtNsmlJ_WL1o7wkVS63PIAqEgDRs=s32-rw","Mirza Dervišević","","August 20, 2022","This app turned on auto changing wallpapers months after I installed it. I took me days to figure out why are my wallpapers changing on their own. I had to uninstall dozen of apps trying to hunt down the culprit. This kind of behavior is unacceptable.","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8TxyWOgLBNSwn7gUCudjs3MLO-zSTxCCJo4EAY2mU=s32-rw","Jean Gambell","","September 28, 2022","I love this app! It took a bit to get the hang of it, but I absolutely love the different patterns, the level of customization in the colors, the ease of use and how simple and aesthetic the interface is. My only request is to have an option to regenerate the same pattern/color combo, as I have noticed that the patterns don't always generate identically. Would love to be able to regenerate the same pattern/wallpaper multiple times to see the variations!","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu03Lj7DwY9ukJqkNP8P0cBUK9YJcfq0Sg9XfhjX=s32-rw-mo","Tom Prouton","","June 29, 2022","Really good app but am struggling for it to consistently to change the wallpaper automatically. I have given the app the required permissions RE battery and background activity but it seldom changes on its own ! Any assistance much appreciated!","2 people found this review helpful","Adrian Aisemberg","June 29, 2022","Hi Tom, please contact me at adrian@tapet.app.
Meanwhile please take a look at dontkillmyapp.com."
"https://play-lh.googleusercontent.com/a/ALm5wu3FWXO5KoIFnePEUTI0d-JQ98wCEgUrV0n7Unzg=s32-rw-mo","Tanya Mata","","November 3, 2022","I absolutely Love these wallpapers!! There are Countless of different patterns and colors to choose from!!","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8DjUvqqMwztVoi7-JyYCfhHQL3CigRqYtjCslwSw=s32-rw","Adam Goddard","","September 19, 2022","Absolutely loving the app. Purchased full license with minutes of trying it. Please continue to add more variables to the algorithm thus expanding the possibilities.","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8aFk-jDLU3RuEJm7_X9w5tCUBpjAwDUUH7pxdG_xQ=s32-rw","K","Show review history","October 3, 2022","very cool wallpaper app - I'd only pay $3 for premium, not $8, contact me when you get sane on the price point for wallpaper.","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_5V1cgwKDJ_UE2R2jk548GH6mLql-wGN1WKDRy5EM=s32-rw","Shadab Azmi","","July 25, 2022","Have tried many wallpaper app but no 1 come's even close to this app ... I loved the concept it gives loads and loads of editing options which are very simple and not time consuming their collection is just eye catching...","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9o2JxyIbPf6Bxo1yNyYM7xsSaIM7ZxrKZDaGUM_g=s32-rw","Lisa M Elliott","","August 14, 2022","I was pretty disappointed. I thought it was something it said it's not!! It's hard to figure out, especially if u smoke a lot of pot! Nevertheless, It's a bit stupid! There didn't seem to ANYTHING in the setting to explain jack, when u hit that button?? If it takes that long for me to like it an have it figured out an all up in my phone, then I'm moving on. Short attention span I reckon! Oh well~Boo Hoo!","","Adrian Aisemberg","August 14, 2022","Not sure what's disappointing but feel free to reach out and I'll gladly help. There's a contact button in the About page."
"https://play-lh.googleusercontent.com/a-/ACNPEu8saq1jMCiSu_HAWavbdBUY12XzRpWwWqL-WqPykg=s32-rw","Jean Garrison (Jean)","","October 10, 2022","This is awesome. I had this a while back and I put it on my galaxy z fold 3. Keep up the good work. Thanks for free.","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8NacgmOdNktj3vcsEV2pnQS4B_lTXPxE8KuT9glU0=s32-rw","Christopher Howard","Show review history","March 18, 2022","Just noticed the entire app was overhauled on my Pixel today and I must absolutely say, this is FANTASTIC and I LOVE IT. So much. Huge kudos for the redesign and everything! It's so beautiful. That said while I will give it the 5 star rating it deserves just for the sheer artfulness of this app, I will state a few words more on the update: Unless it's not completely obvious here, there's no auto-save. Is there? Hard to say. Specific pattern repeats: this used to be a slide interval for each pattern, however this too has changed, and it's not clear if that's a feature still. That said I noticed that some patterns are history now, which many of them I did not quite like to begin with. I do like that you can drill down on each pattern and see variations, so that'll do. I must say the color picker is a little confusing. After you have set your specific colors and tell it you want ONLY those colors you've chosen, when you back out of that feature setting, it does revert to the default color picker screen and that does throw things off a bit. That said I've not seen my chosen color palettes stray on the patterns that have come up so I will leave it there. Lastly, this may be a device thing more than anything but the path to save generated patterns doesn't seem to stick, at least if you're trying to save it to a custom folder. I still however say that unless the auto-save feature is now default for the app, I would still miss the feature all the same as there's no setting for it at all. UPDATE: Beat me to it. Auto Save is back. Thank you much for bringing it back!","57 people found this review helpful","Adrian Aisemberg","March 21, 2022","Thank you so much for your support, Christopher!
Please stay tuned as more features and patterns are brought back and please feel free to reach out via the app (button in the About page) if you have questions or other feedback you wish to share."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","December 12, 2019","I love the quality of the wallpapers this app generates, however it should be noted that it is resource intensive, so really low end phones might have some problems. The only reason why I took off a star is because I can't seem to edit the location where the generated image is stored. If I figure it out I'll definitely adjust my review. Great app.","6 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu83i09chTqVU6T8RQaA0ATI_g-tYRck6puuNS5WoX4=s32-rw","mtk","","October 27, 2020","I am surprised how much I love this app. I'm kind of obsessed with wallpapers and visuals in general and am constantly swapping apps in and out, but after a few minutes/hours/days I always come back to Tapet and it's always such a weird relief lol. The designs are simple but the colors, textures and composition are extremely satisfying, and the variety is amazing. I'm constantly seeing things I haven't seen before. It's not over the top distracting, it's pretty much the perfect wallpaper.","24 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","December 26, 2019","This is an excellent wallpaper app. It generates an absurd number of unique wallpapers that you will most likely never see twice. There are tons of color palettes to choose and designs to pick from. Customizability is incredibly high with the ability to choose even the minutiae of details like how often you want to see a particular design with which colors. Dark mode is also an option! Cannot recommend it more.","6 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_YG-fM4n2YUaIiyVDZ-9nBKHeqgy_ky4SqQnIQAw=s32-rw","Jim Pennington","Show review history","April 1, 2022","I was originally upset that this new version made me lose all my previous likes, history, etc. But I can't deny that the new version is so incredibly good and fun to use. Basically all of my phone backgrounds have been from this app for the past 5 years . You won't regret getting the premium patterns - they are some of the best ones. Another tip: If you find something you like, you can also save one in the resolution for your desktop computer - even dual monitors.","35 people found this review helpful","Adrian Aisemberg","April 1, 2022","Thank you for your feedback! Cheers!"
