"
  Any.do - To do list & Calendar","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a/ALm5wu0f4f0MZrduiDFK2XbKaDOSagXxFbXXBFZP24dn=s32-rw-mo","c bolduc","","September 4, 2022","I'm about to delete this app. It's constantly updating on its own, and when it does, it erases all my lists!! The whole point of getting this app is so I won't forget things while I'm shopping and sometimes I don't get everything in one trip, so when it deletes my lists, I don't always remember what was left on there!","32 people found this review helpful","Any.do To-do list & Calendar","September 5, 2022","Sorry to hear that! It sounds like you might have logged in to a different account. Please submit a bug report in your app (via Settings - Support) or contact us at https://www.any.do/contact_form, and we will be sure to get to the bottom of this for you :)"
"https://play-lh.googleusercontent.com/a-/ACNPEu8SsGeB3ikDUi9F2WKsdogE_Lz0FYxuit50KctMRg=s32-rw","Channing Ferguson","","September 2, 2022","Just downloaded this app and so far loving it! It's super simple yet effective. However, as a student who has a lot on the go I think that having the option to change the color of a task/event would be a super useful feature to help be even more organized!","3 people found this review helpful","Any.do To-do list & Calendar","September 4, 2022","The Color Tags are a part of the Premium features. However, standard users have the option to use the yellow priority tag, or prioritize the tasks by categorizing them into different lists. If you are a student, please feel free to contact us here and ask for a student discount- https://www.any.do/contact_form."
"https://play-lh.googleusercontent.com/a-/ACNPEu8-u_7YKGw4vPwkwQ2R0ECSgwSn_l_hJgdyVrAZoQ=s32-rw","Michael Fae","Show review history","October 29, 2022","Reminders not flexible enough. Why can't I set a reminder ANY TIME/DAY I WANT TO? Even if it's in the past. It's such a small feature but with so many use cases. I didn't leave Google tasks just to make things more difficult for myself, not to mention something I'm paying for. Uninstalled","1 person found this review helpful","Any.do To-do list & Calendar","October 31, 2022","You can set up a custom reminder for any future time! We recommend checking out our help center to learn about all our features here: https://support.any.do and if you have any questions, please let us know at https://www.any.do/contact_form"
"https://play-lh.googleusercontent.com/a-/ACNPEu87H9IfzmHk7VUMfX5dEmQ3OwkAYDqVzrOLZB1_=s32-rw","Hakeem Simmons","","September 25, 2022","It's an ok app, but it's automation is terribly annoying. The widget is awesome, but it I can't add new tasks without pressing a button of sorts. I successfully managed to add a task using Google Assistant, but it added the task to ""someday"" for some reason, as if I got this app to procrastinate as soon as I got it, and the controls on this are unclear. Like how do I make it stop adding tasks to the wrong catagory of time, and have it listed on widget? unclear","","Any.do To-do list & Calendar","September 28, 2022","The google assistant integration by design adds the tasks to the someday section, from there you can add the correct due date and also drag and drop it to the location you want. Should you have any more questions feel free to contact us at https://www.any.do/contact_form"
"https://play-lh.googleusercontent.com/a-/ACNPEu_RCFPJGHeZ2XNZ8L-pXIjC1584ve2qEQ41N-idMw=s32-rw","Laura Johnson","","October 27, 2022","If you have ADHD and need something where reminders are consistent and obtrusive enough not to ignore, a visual widget of the tasks for the day and something that not only reminds you to plan and walks you through it - but also LINKS EVERYTHING - then this is the app you've been looking for. I've never paid for an app before but I'll be getting the Premium of this. It's linked to Google Calendar as well as FB events and anything else you want to link it to. Really pleased. Thank you Devs!","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-dp_3ybuhwQID4IeUT1WYJPknK3pJYflmBvEe4=s32-rw","Kevin Bjorn","","October 27, 2022","This is so far the most convenient to-do app that I have tries. I do not usually give review to the appd I used but this one just needs recognition. Highly recommended, especially because you can sync all your devices so you can access your list easily. Thanks, developer! Nice job. ✨","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu14NL4FBrvzp2gxDGs78wBIZMG-kUtOCtwBXaaa=s32-rw-mo","謝怡丸","","November 9, 2022","Hi, I love this app so much! This is exactly something I've been looking for! However, I do have something to suggest for you. So I am using one of the widgets, the ""Light Calendar"". However, when I add a task to do on a specific day, I wish I could see the little dot marked on that day via the ""Light Calendar"". I noticed that only events have little dots, not tasks. But if I don't see a dot on the calendar, I will think that I have nothing to do on that day with a glimpse of the calendar.","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8EM0FJdNi0WMIXiiNRHz3NlVxYKjf6BwXkMyT8Aw=s32-rw","Kiyuki Peery","Show review history","November 12, 2022","App so far is amazing, however, it keeps crashing and it's most frustrating. I think a bug is within the notifications. They now won't go off unless my phone is on which is agitating... so far, those are my only issues with it.","","Any.do To-do list & Calendar","November 14, 2022","We're sorry to hear you're experiencing issues with your app. Please reach out to our Support Team, at- www.any.do/contact_form, mentioning the app version you are currently using, and we will be more than happy to advise accordingly, and make sure you are able to use the app properly! :)"
"https://play-lh.googleusercontent.com/a-/ACNPEu_fZtUTaUANnuC_s2gRV_qSCSAABycq6GQ0N91xtw=s32-rw","Kandace Andaya","","November 1, 2022","As I am OCD, I LOVE this app! You can make multiple list and it helps me stay organized. I recommend this app to everyone! The only con... You of course have to pay to unlock the better upgraded features of the app....","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9V6I6D7DhsCLWVOB3vGcIAVGG2Vv0OosqZ9CF4fkw=s32-rw","Bernard Ritchie","Show review history","October 24, 2022","Exactly what I wanted! Not anymore! They eliminated the free list sharing. So far, the lists I have shared with my spouse previously still work. I just wanted lists, now a calendar or scheduler. $36/year is a bit much for a retiree to be able to share lists with his spouse...","1 person found this review helpful","Any.do To-do list & Calendar","October 24, 2022","As we’ve announced on our Blog and sent by email to users with shared lists, The list sharing will be phased out in favor of our new collaboration and sharing we recently launched. You can try it out right away with a 14-day free trial. You can learn all about it here: https://www.any.do/workspace"
"https://play-lh.googleusercontent.com/a-/ACNPEu_Z7WDffaElT3JR9LJ2Jha7m3_78cNfoTrOO4j6tg=s32-rw","Ondřej Hrtoň","","July 19, 2022","Coming from ios where I have been using Tappsk for a long time. This is getting a bit to used to, needing to write the time and tag by words in to the task itself is weird but gonna be fine eventually. Also I find overwhelming to create lists separately. I am also missing the aesy habit tracker. BUT I like the simplicity, ability to connect to other apps, dark mode which should be by default everywhere but for some reason it's not, and that I got a year premium for free (:.","42 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1iU463Q8roH7SODDGBxwOyEoIXxG3o5JOBsIdL=s32-rw-mo","Kaffeekatz","","September 7, 2022","handy, and I like the ability to group tasks, and set up repeats and reminders. Subtasks would be nice. One complaint is that it doesn't seem to update across devices, so I get reminders for something I already checked off on another device.","8 people found this review helpful","Any.do To-do list & Calendar","September 7, 2022","We have subtasks you are welcome to read all about it here: https://support.any.do/subtasks/ Regarding the sync with other platforms please send us a bug report bug via (Settings-Bug Report)."
"https://play-lh.googleusercontent.com/a-/ACNPEu9L7KQo0nGsGtQ-pelLta0EDq-AU4ParxtlOqohgg=s32-rw","The Real Deal","Show review history","October 11, 2022","Unusable without signing up for an overpriced subscription. SOFTWARE IS NOT A SERVICE AND I WILL NOT RENT IT FROM YOU! False advertising from developer who claims this can be used for free. Yeah, for SEVEN DAYS before you autobill. I'd have paid a one time fee, but I'm not paying you monthly for something you can stop development on at any time while still billing me! EDIT: Received spam email from ""Roy"" on a ""no-reply"" email. There is no legit reason for a company to use that type of email. 🙄","2 people found this review helpful","Any.do To-do list & Calendar","October 12, 2022","Our 7 days trial allows free users to give Premium a try before committing. Any user can dismiss the trial offer or take the trial and cancel before the 7 days are over and use the app for free for as long as they please. If you wish you can always unsubscribe from the email list from the bottom of the email."
"https://play-lh.googleusercontent.com/a-/ACNPEu_wEIyQ--Qg5ufkROmcZl3tHZ0NKt2z8pV1bXiBFwQ=s32-rw","Derek Foreman","Show review history","August 31, 2022","They imply repeatedly that you'll be able to set reminders using Google Assistant. You can't. I understand that this is a limitation on Google's part, but their landing page is specially designed to make it sound like it's possible. I had to get to the point of trying it myself before I found out it was notes and lists only.","2 people found this review helpful","Any.do To-do list & Calendar","September 1, 2022","We have all of the information on the google assistant integration on our Help Center here available to all users https://support.any.do/anydo-google-assistant/ please send us the exact location that it says you can set reminders to our support team so we can investigate https://www.any.do/contact_form"
"https://play-lh.googleusercontent.com/a-/ACNPEu-brq2hfaATj-ajnmMjPWUuyyF6mJdpNyl0Dcbe=s32-rw","Sanjip King","","September 27, 2022","This app is one of the few which has a very good UI in the `reminder` class of apps. Has a wide range of functionalities which cover almost everything a normal person needs. PS: I am not much of a fan of monthly / yearly plans, If you can remove the integrations like Whatsapp and stuff along with the priority support, I am glad to pay a one time fee for the app.","5 people found this review helpful","Any.do To-do list & Calendar","September 29, 2022","Thank you for your review, like similar apps on the market, we have decided a subscription is the best pricing method, and therefore we do not offer a lifetime plan :) For questions, please contact us at- www.any.do/contact_form."
"https://play-lh.googleusercontent.com/a-/ACNPEu-Ry5NdPrB7PabJ7yt_-nmCIuAoZQSFWGtkpaHNjHc=s32-rw","W.G. “Gta” Runyan","","September 28, 2022","always the best calendar to-do list integrated app I've ever seen. The only downside that ever existed in my eyes was lack of being able to connect to my overly large proportionate of Google apps when. as long as the sink process through savior works though I'd say all in all pretty damn good.","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_amsETn14cVhVUmt6tA-FaY25p8KRHE3vuyeKQSg=s32-rw","Christopher Jenkins","Show review history","October 1, 2022","Most Likely The Best To-Do List Functional, experience enhancing widgets, clean UI and cloud saves with Google. Only issue I had was editing sub categories. I've tried an immense amount of to-do apps and this is uncomparable to it's competion. Fine job Any.do just fix the subcategory saving issue.","11 people found this review helpful","Any.do To-do list & Calendar","October 2, 2022","We are unaware of any issues with the Subtasks. Please make sure to follow the instructions on our Help Center at- https://support.any.do/subtasks/ :) That said, our team will be happy to look into it for you, should you submit a bug report via Settings - Support."
"https://play-lh.googleusercontent.com/a/ALm5wu2wzrTjmtby7gASvp9qbaTGsO5XX9jnyRkupxlE=s32-rw-mo","Steve Green","","October 20, 2022","Backups don't work per their support link. If you go to support.any.do/export-import, Android/ iOS does NOT have a share link under the ""..."" icon. This is with latest free version on Google Play. One must resort to antiquated print screen & save to your external drive.","1 person found this review helpful","Any.do To-do list & Calendar","October 23, 2022","We do have the share icon on the top middle of the three dots menu, if you are not able to see it, we highly recommend you submit a bug report in your app via Settings - Support, so we can get to the bottom of this for you."
"https://play-lh.googleusercontent.com/a-/ACNPEu_hyRtNmR9pn-VUfk3-Lb1YtPK53tFbh0g4WF9P8w=s32-rw","James Schilleci","","October 16, 2022","I've tested over a dozen task apps, and Any-Do is hands down the best of the thousand or so apps out there. I luv the big change recently too, not just bc it already crosses off my only suggestion to make the app better (the Day Function but that yall are not afraid to make changes to adapt with the times and customer recommendations. Well done, yall nailed it.,","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu89UJuN2ApRDJjYcvS1tdfBtxjqG8H308413ifkdg=s32-rw","Justine Thompson","","September 18, 2022","I've been using any.do for years. It's great. It's helped me alot especially through my last years of high school. I recently started college and I swear to you, between that and dealing with being an adult, any.do has helped me to map out and organize life as I go through it. Love the app so much. Thanks so much for creating it.","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9K8gCQIWp7aTf8bl31JhGYTeIlfhzLDhkDzM6g4Q=s32-rw","Å sAd Søül","","October 3, 2022","Amazing and Helpful This App is so helpful to me as a Student, I love that most of the features are free and you can use it freely , it doesn't feel restricting , I have used this and it's very helpful , It brings smile to my face that I can use it freely, I'm okay with the ads because it's not annoying like others , I hope you continue this program and keep helping people through their day!","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu94Kb9H8gdNlUULl0tD1JNVFqQSmJlOMMAEerldgJQ=s32-rw","Tanya Irish","","October 17, 2022","I tried many planner apps before any.do. for me it is the most user friendly. I love the task widget and that it integrates with my calendar. It is easy to set up reoccurring tasks, and set priorities.","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu3FmrUUNYAJx0ymfgJZRGcrtWm-I4M8mv1pdb_j=s32-rw-mo","Viv Loviska","","September 29, 2022","Very optimized. I would like to be able to set an ending for a repetition of an event, not just the reminders. Everything else is is smooth sailing","","Any.do To-do list & Calendar","October 2, 2022","Setting the end date for recurring reminders is a premium feature, for calendar events you can set the repetition end. We also occasionally offer promotions, you can inquire about them at www.any.do/contact_form"
"https://play-lh.googleusercontent.com/a-/ACNPEu_qWwTv54XT4MJ6SOoc6Y8-23kBlyiLMbMYb0lhUA=s32-rw","Jairu Barrera","","November 19, 2022","I like the interface yet some parts may be enhanced like counts for subtasks done within the task (e.g. ✓ 12/20), also it's redundant to have the TASK DETAILS above the task description or title since all that you put are details. But overall, like the app.","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2yshjsoZktfWDy8ZRWEnwzWzHw1fYYmskAV7pV=s32-rw-mo","Grunwald Family","","September 23, 2022","This app keeps on freezing on me making navigating the app extremely frustrating. I'm actually going to stop using the app. If wouldn't freeze up it probably is a good app but I just keep on having it freeze up so I'm not sure if there's a bug or something.","","Any.do To-do list & Calendar","September 25, 2022","We're sorry to hear you're experiencing issues with your app. Please reach out to our Support Team, at- www.any.do/contact_form, mentioning the app version you are currently using, and we will be more than happy to advise accordingly, and make sure you are able to use the app properly! :)"
"https://play-lh.googleusercontent.com/a-/ACNPEu811bFzxL1HPufAznIDOI3MYJL5IYgM_2Vq5cQKS8s=s32-rw","Heather Louise","","August 27, 2022","Any.do is a maddening smart, and intuitive app! Having been diagnosed with ADHD as an adult and trying to manage my gazillion paper lists has brought me to research the many ""to do list"" management apps out there. This app, by far, supercedes any other that I have found. Amazing development Any.do!","","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","September 1, 2022","I love the app, sinking with my Google calendar is awesome, and the reminders are very helpful, but I'm unable to share a list or a task. The person only gets an app download even though they already have it, but it's not sharing & sinking ☹️","","Any.do To-do list & Calendar","September 1, 2022","As we’ve announced on our Blog and sent by email to users with shared lists, The list sharing will be phased out in favor of our new collaboration and sharing experience which will be launching very soon. You can try it out right away register here https://www.any.do/teams After you register the official invite and links will come within 1-3 days."
"https://play-lh.googleusercontent.com/a/ALm5wu37KSVt9DkNlESWmvXCUonlKAJrKxP0OeYjezX2=s32-rw-mo","Ann Floyd","Show review history","August 30, 2022","No notification of changes in functionality. Unable to share tasks with my spouse. This ability was working great. Just disappeared. You did not answer my question. Why did ability to share tasks within the app go away??","7 people found this review helpful","Any.do To-do list & Calendar","September 1, 2022","We created a new version with fixes to the sharing abilities, to separate personal tasks and shared tasks completely. You are welcome to try it out for free and give us some feedback."
