"
  PomoDone App – Timer for your","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","June 17, 2019","Very good idea and nice execution. Integrations are working very well. However, 1) The UI doesnt look very nice. 2) In the Windows 10 app, adding a task with just the date but no time dowsn't seem to be possible. Is that the case? EDIT - Thanks for the quick reply. Please try and improve the UI to make it more easy to use.","2 people found this review helpful","Atgalaikas UAB","June 17, 2019","Hi Nar, thank you for your feedback. 
The due date's time for Desktop/Web app's defined as the end of the day, meaning the whole day is within the due date. 
You can adjust it. Not sure how is it relevant to Google Play though ;)
EDIT - Thanks for the review and adjustment! We work on UI!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8zwA7nhVI6aFuSlBeMTsEsYPKn7o7GyQhnDh-5Cg=s32-rw","Phoenix","","August 5, 2021","Utter Garbage. Stops is between, doesn't have a good interface. A very passive app which stops on it's own and doesn't work well. I don't usually write reviews but this app just was too much and I'm having this issues almost every day. Only Good thing is ADs 😐 I had the lite version and I regret having it.","3 people found this review helpful","Atgalaikas UAB","August 5, 2021","Thanks for your feedback. The app does not stop in between by itself but could be killed by Android OS if you didn't configure the battery-saving allowance (or device-specific layer settings e.g. screen sleeping ones). As far as the Lite plan, can you please contact us with your account details and we'll see what we can do about it? Thanks"
"https://play-lh.googleusercontent.com/a-/ACNPEu9KIVmXMvYInTRlB-H8kvG5yM-6h-d26TZnQhO4bQ=s32-rw","Saqib Mohammed","Show review history","September 8, 2020","The phone app doesn't sync with the web and windows desktop ones. The timer button of the chrome extension has stopped working with the Todoist web app. But, the team is working hard and communicating professionally. Willing to give the guys more time to fix the issues.","9 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","December 19, 2018","The timer always stopped and I lost track of my time again and again. It was supposed to be a productive app but not to me. I have turned off the battery optimisation for this app and it worked for awhile like for 5 times before it crashed again. I'm dissapointed.","17 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","December 24, 2019","As others have said the UI is lacking as well as the integrations. Missing attention to detail and in general needs more polish. It ""works"" but definitely not the best experience. Is buggy and still needs some major improvements.Hope they can fix these issues and continue to improve further.","2 people found this review helpful","Atgalaikas UAB","December 27, 2019","Hi, we are always looking to improve the experience for our users, and really appreciate the feedback."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","August 16, 2019","The app has great potential and integrating services like Google calendar and tasks is a great plus. However it lacks some work in the interface and rethinking a little the workflow. Also adding some visuals to the statistics will be very helpful.","","Atgalaikas UAB","August 18, 2019","Thank you Maikol, we're working on the interface. As far as the visual/stats, can you take a look at app's Sidebar menu &gt; Current Stats?"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","November 10, 2018","Trello integration is a feature. But the essential qualities of a pomodoro timer isn't there. Merely a vibrate sound which I never hear when engrossed in work. Enabling the sound makes horrible constant ticking sounds instead. Uninstalling for now.","1 person found this review helpful","Atgalaikas UAB","November 10, 2018","Thanks for your feedback, Hikari. 
You can turn off the constant ticking sound (there are 2 settings for the timer, one is looped and one just to notify you about the timer start). The same for a break. It's customizable. 
Vibration and notification work if your device allows it + if the app is not visible at the moment (e.g. in the background)."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","April 8, 2020","This app help me focus on my work. Very useful to work in 5, 15, 25 minutes, you can split your big work to small task to complete, it is easier. The app also integrate with your already app like Wunderlist, Trello ... Many many extensions are free. Very happy with free license and I will consider subscription license in future. Thanks author!!","8 people found this review helpful","Atgalaikas UAB","April 8, 2020","Thanks for your review! Please recommend our app to your friends, and don’t hesitate to shoot us a note at Info@pomodoneapp.com if you have any questions."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","February 27, 2020","Doesn't sync the tasks from my Microsoft Todo list even though it's linked. Rosponse: There's an App called Microsoft Todo. I think that's one only todo app the have on playstore. I've linked the app but when i add the task in pomodone using the Add icon it gives me a blank screen. Nor does it sync any tasks from my List from the Todo app.","","Atgalaikas UAB","February 27, 2020","Hi Joe, Thanks for your feedback. Can I ask which Microsoft ToDo's list are you talking about? Looking forward to hearing from you soon. Best, Alex
Update: Can you please contact us via our website's feedback form or live chat system? We need to know your account."
"https://play-lh.googleusercontent.com/a/ALm5wu1DuNJ6V9EOB6JIkjV-2F4PmLh1mgR1k2CYyFuK=s32-rw-mo","Neil Coles","","May 1, 2020","Good platform integration with a basic Pomodoro function. Still needs some elaboration in presentation and gamification...e.g incentives, garden grows, levels or points etc. Can be optional but for personal use it's still too plain to get enthusiasm even if functioning well.","2 people found this review helpful","Atgalaikas UAB","May 1, 2020","Hi, 
We've forwarded your feedback to our developers. Thank you for taking out the time to send us your suggestions!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_lfQ30PFvUVNRJ9n7v4XOSPg1FlcvYUFdmJ7Nk-A=s32-rw","Pritam","Show review history","April 28, 2020","Tremendously bad app. Sluggish as hell. Wasted a good amount of time of thinking it would be a good app to work with. Tried only because it had multi device syncing capability. But nope! Its slow as snail. Uninstalling with big frustration.","3 people found this review helpful","Atgalaikas UAB","April 28, 2020","Thanks for the explanation. 
Big surprise it works as expected on our devices and on thousands of users' ones. I am not sure how can we fix it for your device though. Thanks for the review."
"https://play-lh.googleusercontent.com/a/ALm5wu3Rw0My5pfnfLPc0cAm0pFK1lLdI_LBxvwsZYsq=s32-rw-mo","Stuart Clough","","January 24, 2021","Desktop good. App has been terrible. But today its working. It has alway been unstable. Randomly freezing and just useless. But its working now. I hope as a result of an upgrade. If it does then 5* await.","8 people found this review helpful","Atgalaikas UAB","January 24, 2021","Can you please reach out to us at Info@pomodoneapp.com? I suppose the freezing can depend on something else. Looking forward to hearing from you soon."
"https://play-lh.googleusercontent.com/a-/ACNPEu8UbdmR5-JU5xUFgOQCaNYqVyt5NkZ9OJUQA6MY=s32-rw","Soumyajoy Das","","April 15, 2022","Auto rotation feature in the mobile app is annoying. Also the app is missing some features to add music before starting the task and adding music before the break time is not possible. If the app has the feature to add different music for the task and the break time before starting the task it will act as a reminder to complete the task.","","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","December 27, 2019","Hello, I have a question. Based on your earlier answers you said a sound on timer start is possible. However, I only have the option for a looped sound or No Sound. How can I have a sound played once on timer start? Regarding your response, you've already helped someone through this format regarding what I just mentioned. So I would appreciate if you did me the same courtesy and provide a public response to this issue.","3 people found this review helpful","Atgalaikas UAB","December 23, 2019","Hello! Thank you for your positive feedback! We are pleased that you are satisfied with the application! Can you please contact us via our in-app form or using our website to sort it out?"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","February 26, 2019","The app is kind of useless when you want to track time for activity on the same device. Devs: have a proper foreground service that will also display the timer as a notification. How come it wasn't done like that in the first place? What's the point of a timer that can be killed by the OS at any time? Update: did you try implementing foreground service as any other app of this kind, instead of asking users to tweak the battery settings (which obviously doesn't work btw)?","7 people found this review helpful","Atgalaikas UAB","January 5, 2019","Thanks, Szymon, 
Unfortunately, OS can kill anything at any time, especially if its configured the way. Did you try to adjust the Battery Settings?
UPD. Yes we did. Can you please contact us directly? Thanks!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_vpr79h3ZZH8cY-syom0OgMfAWP1CrjjC_ci6t=s32-rw","aanyaa pandith","Show review history","October 19, 2021","*This application has changed my life* I really appreciate this app. It helps me to sync and organise my work for maximum productivity. This application has literally changed my life. I downloaded this app in my Windows and it has truly made me a better and more productive version of myself. Highly recommend this.","8 people found this review helpful","Atgalaikas UAB","February 27, 2022","Thanks for your review! Please recommend our app to your friends, and don’t hesitate to shoot us a note at Info@pomodoneapp.com if you have any questions."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","November 16, 2018","Brilliant to have the Trello integration but the UI is really disappointing. If you could replicate the UI of 'engross' with a proper amoled black theme etc you'd be on to a real winner!!","","Atgalaikas UAB","November 16, 2018","Thanks for your feedback. Did you try to switch our app to the Dark Theme (you can find it in app's Settings)?
We're working on new UI, however, it takes the time."
"https://play-lh.googleusercontent.com/a-/ACNPEu8AIzdSnpfrR84iuIGJF_lf-mblWTKXeI54DKgDj1E=s32-rw","Greg Powell","","August 31, 2022","Didn't integrate with my to-do service (Chaos Control) and I didn't like the way it switches between tasks. I'll keep looking...","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-W75xyjhHun_-69eMySFPDDeyW4UU7cP8mmp4ikg=s32-rw","JustRavi","","June 15, 2022","Hey, can u please add Taskade in the synced lost of platforms. Taskade is on the rise for go-to task platform. I love using both taskade and pomodone. Having both of them together would even be better and seamless. Thank you.","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2HMmK5dW0lIokQ1dxRSry8xzC99kzbLNYhu5nA=s32-rw-mo","Nik","","January 28, 2022","Very hard to navigate, the settings don't get saved, no in-app guidance. The desktop version is very good though","2 people found this review helpful","Atgalaikas UAB","January 31, 2022","Dear Mister Belar,
Could you please contact us via Info@pomodoneapp.com? We'd love to hear more about this issue in order to assist you. And we'd like to invite you to give our Beta version a try. Thank you!"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","September 29, 2019","Awesome app! This is my go to pomodoro timer. I have it integrated with Trello and Todoist and it works like a charm. If offers a lot of flexibility and tons of stats. Great work!","10 people found this review helpful","Atgalaikas UAB","September 30, 2019","Thank you very much for your 5-star review!!!"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","April 17, 2019","The whole service is interesting, the gui is not comparable to the good competitors, needs improvements on this side, especially the android app. I don't understand the presentation as these integrations are presented as non premium features :  Trello • Todoist • Wunderlist • Evernote • 印象笔记 (YinXiang) • Google Calendar & iCal • Microsoft ToDo • Zapier • Toodledo • OmniFocus • Google Tasks  Which is wrong, except trello and todoist, you won't be able to integrate the others. This is wrong marketing here. EDIT: Thank you for the answer, noted and verified, one more star. Good news for the gui which really needs it","4 people found this review helpful","Atgalaikas UAB","April 17, 2019","Hi Alexandre, thanks for your feedback. 
Our free plan offers you to add up to 2  integrations from the list, but you can add any 2 from the list, not only Trello and Todoist. 
We're working on UI at the moment."
"https://play-lh.googleusercontent.com/a-/ACNPEu8DLzB1IU_kSD0KaFg-MmwuHiXXPeXMerjay00rvQ=s32-rw","Kush Surti","Show review history","April 18, 2021","Update :- Now the app seems to work, syncs perfectly with the web, no need to uninstall and reinstall after 4-5 days, for it to sync (work properly), but when clicking on current stats it shows stale data and doesn't update at all just loads indefinitely.","14 people found this review helpful","Atgalaikas UAB","April 19, 2021","Can you please check different layers of battery saving that can kill the app in the background? It can be quite specific for your model and can have a special manager app for battery saving, sleep mode, screen dimming etc.

Thank you for re-considering!"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","January 17, 2019","Superb web service and great well thought through app! Just wish that the timer would work in background even with battery optimisation on. I keep losing timers :(","5 people found this review helpful","Atgalaikas UAB","January 17, 2019","Thanks for your support, Tim 
Did you check, perhaps your device has extra layer of background killing functionality?"
"https://play-lh.googleusercontent.com/a-/ACNPEu_C_dxABMD4VVlpVvGLclk26ucDmx4HvxWG7MpVNP0=s32-rw","Juraci","","May 29, 2020","Statistics are not working and the viewport is hiding the stop and complete buttons on my phone in the vertical orientation. This app seems abandoned.","","Atgalaikas UAB","May 29, 2020","Juraci,
Could you please contact us via Info@pomodoneapp.com? We'd love to hear more about this issue in order to assist you."
"https://play-lh.googleusercontent.com/a-/ACNPEu87QgtUZP3cx0XxERLB2wHpiKtrKDK0e7GZSbWkYQ=s32-rw","Faithfulness Alamu","Show review history","May 30, 2021","The last changelog says you fixed device rotation, yet it still autorotates even when I don't want it to. How about letting me decide what orientation I prefer, then I'll gladly rate this 5 stars because it does its job well 👍🏽","7 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","July 22, 2019","Hello, make support for android Wear OS. Also check it out how your app works in split screen mode. Make numbers and text smaller or put start and stop buttons in visible part of split screen.","","Atgalaikas UAB","July 22, 2019","Hi, 
We've forwarded your feedback to our developers. Thank you for taking out the time to send us your suggestions!"
"https://play-lh.googleusercontent.com/a/ALm5wu1LJ4FOuf6fsWC7EL-xCvohYnrwOrdOP7fTE-tS=s32-rw-mo","Nikos Karanikolas","Show review history","February 25, 2021","It's a great app. You have to give some time to establish integrations but after this it's a game changer. The app even log time automatically to Jira! Bravo","7 people found this review helpful","Atgalaikas UAB","February 25, 2021","Thanks a lot for the review!"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","January 31, 2019","I would like to see a proper implementation of timer sync that includes a persistant notification in Android to display the active timer. I want to view my active timer outside of the PomoDone App, and on my Wear OS watch. Is this on the roadmap?","1 person found this review helpful","Atgalaikas UAB","January 31, 2019","Hi Ennis, 
Can I ask, did you turn on Timer Sync in Profile Settings: 
https://my.pomodoneapp.com/profile/settings/#sync
If it's on, you'll be able to see the current timer on all of your PomoDone App instances (including Chrome ext), will be able to stop it and even receive the notifications, if your Android apps notification is turned on."
"https://play-lh.googleusercontent.com/a-/ACNPEu-ZmZmgLhH88jDq_lJKhwosH0rnK5Tg2pZP3jpKcA=s32-rw","D S","","July 28, 2020","Everything is good and the app works perfectly but it's unnecessarily bloated. Why does a Pomodoro Timer require 50 mb? I loved the app but it's bloated characteristic made me switch to Engross.","1 person found this review helpful","Atgalaikas UAB","July 28, 2020","Thank you for your kind feedback. We are aware of this problem and are currently working on solving it.  Please update your app to the latest version when you see an option."
