"
  Google Tasks","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc"
"https://play-lh.googleusercontent.com/a-/ACNPEu-QIo2Sp2-54NfdzTWZl6dSiK6mINXLRhHLb6tFqak=s32-rw","Jesus V","","November 13, 2022","I started using this app/service after seeing a YouTube video on the advantage of using it along Gmail and Google calendar. I just wish it had a single page that shows all event due ""today"" instead of having to switch between list to see each lists due dates.","2 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9xdR_g-jlETf7IQ7p8vPPZdSSHIrCmPODGCzOQKQ=s32-rw","Stephanie S","","November 8, 2022","broke my ankle and i am using it to keep my medications schedule on track absolutely perfect. notifies me and was able to put it on repeat for the days. only thing that would have been nice is the option for repeating in hours, so I wouldnt have had to put so many tasks in. otherwise love it its great. plan to keep using it even after Im healed","6 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu18-z_a40AhS8gvRzUDkEeF9hv4PXqC7ZqpIcol=s32-rw-mo","Loki1324","","November 17, 2022","I love the app, but I would love a way to show all the tasks in one place, instead of having them be on their designated list. I have a couple of lists of tasks, but sometimes it is useful to have a view where they are all together so it is easier to manage your deadlines.","2 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu1Zi0mRf_xv-0amFK8t5rNinn6LXW_k259KWAfz=s32-rw-mo","Evan Parry","Show review history","November 6, 2022","A feature I would love to see is the ability to drag and drop tasks from one list to another. Also the ability to collapse/expand subtasks view so they're not taking up screen space.","4 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9nS76yS2Hjo3ijSyY_zFszp_0hSVYxC8m-XLhr90E=s32-rw","Soumodeep Ghosh","Show review history","November 20, 2022","Notification is not available when screen is off. And sometimes, it doesn't even show task notification. So, a app which shows important tasks, is not showing notification. So, what's the utility of this app?","3 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8iWNGB1dGfqqojtf0uvKtPPYEdr3NT21HrLpSbuPg=s32-rw","ally chambers","","November 10, 2022","very useful app but for repeating tasks it'd be helpful if once i mark a task completed, it automatically showed up under the next due date rather than not showing up in the list again until the next due date actually comes around. makes it hard to plan ahead when i cant see my week laid out if that makes sense","3 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_j6pRguf1t167z11c3SFKNGZPV8gTZtQmpiJ-ysUQ=s32-rw","Umesh","","November 17, 2022","If you click on the radio button for a repeated task, it marks it as completed and doesn't repeat it next time. But this isn't the expected behavior. It should only mark the current occurrence as completed and show the next occurrence.","2 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-_-wtueMKktBaJaDHVxVybrrOr8CkKSyz5IGxZsA=s32-rw","Yulia Dutch","","November 16, 2022","I use Tasks as a personal planner. Easy to use, you can sort tasks by importance, set categories, set reminders etc. Everything one needs to keep up with day-to-day agendas. My biggest 'like' - you can add emails as tasks straight from the Gmail inbox. I recommend uninstalling any third party apps (especially if you are paying for services) and using google tools (available for free with a Google account).","1 person found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu3oiXjzpyYMtUdygmyx_LmC_LvHNqCd3Rer8RqJ=s32-rw-mo","Cory Burkhardt","","November 8, 2022","I don't know what happened to this app. It used to work fine, but recently it's had big problems. I have a reminder scheduled for every 25th day, but it seemed to be notifying me too often. At some point I checked and it notified me only 11 days after the previous. Separately, I had a weekly task that it was supposed to notify me of last night at 10 pm but I didn't get it until 12 hours later. It had been reliable until now. What good is this app with these problems?","14 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_XQapSVxgMEv62Xuo4vcgi6P3eINORrAHf_LcsjQ=s32-rw","Oscar Munoz","Show review history","November 19, 2022","Nice looking app. Not many options to make it better. Can't set reminders, no widgets, no integration with other apps. Missing many features. Good start but not much else","1 person found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-WiRwxtz4E2DYoMpJANHoH4B1iaLcLOIUAlY8ARg=s32-rw","Nick Del Vecchio","Show review history","October 3, 2022","Lots of potential but still needs a lot of work. A task which repeats should be shown once and float day by day until it's checked off and then another task is created. Either per original schedule or from the day it was checked off. But populating years worth of monthly repeats is useless. And bimonthly tasks are showing up every month. So that's another bug.But the sync between platforms is great so I'm hoping this gets fixed. Wish Datebk would come back (Pimlical just doesn't make it...)","38 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu2MZ6bC1WpLjwe-ZK1phAYBf4ujw7WTPtpQU65W=s32-rw-mo","Oreofe Adegbola","","October 11, 2022","I think this is a good app. Although I would love for the app to have access to the camera and gallery. Why?? So as to be able to scan a timetable already drawn for the week and then the app will recreate it and schedule it's reminders according to the timetable. Also the option to repeat the timetable over and over should be available","7 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9L7KQo0nGsGtQ-pelLta0EDq-AU4ParxtlOqohgg=s32-rw","The Real Deal","Show review history","November 13, 2022","It's weird how terrible this app is. So much not here. Why can't we change task colors? Why doesn't ""Daily Tasks"" populate with tasks from other lists that are due today? Why can't we easily move tasks from one list to another? Why don't reminders work? They NEVER fire like they're supposed to. It's like Google, one of the largest tech companies in the world, didn't even halfass this... They QUARTERASSED it.","2 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-8F8AeZ9hUIq0g6jJuuTGunlXZxA4V9_IWpNqeGg=s32-rw","Ardie","","September 26, 2022","Set yourself a task/reminder when you are at a certain place so your phone prompts you with a list of items to buy from a store when you are next there?....nope! This app can't do it. ! It's like location and lists can't be brought together to make your life easier...it's too hard for Google to do that. It's only ,2022 , Google doesn't have that sort of technology yet!!!!","25 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu1q-o2wdq_0YxyRozLiLOHnKRc8Qmu_7ESa3J88=s32-rw-mo","William Brunhayne","Show review history","October 18, 2022","App Version: Specifically the widget. I recommend adding the *option* to have the widget as ""view only"" so that you can view tasks but not accidentally check them off as you swipe through the screens of your phone. Desktop Version: Allow the Gmail Tasks bar to expand to fill more than 20% of the screen. A lot more. Like half. Or the whole thing. Either that or bring back the full screen tasks.","24 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu25Vum1JhrqZggJoHxF7itCkMp8f3hj7Oyq9Opn=s32-rw-mo","Troy W","Show review history","October 15, 2022","Google started out strong, making flexible and versatile apps. Seems as though they'v decided to coast on their early success. This app's developement lacks keyboard support, navigation options, too few menu choices, and the settings only consist of two items. ""What's New"" as of October 3rd, 2022 includes ""General improvements and bug fixes"" - really? Like what? The fact that Google let's this app claim to be part of their collection say's that functionality developement is unimportant.","21 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu89DeSxaXXLJCfWKdnuYecgsL_O068bD2XhRCdaOg=s32-rw","Suzie Withers","Show review history","October 7, 2022","It changed my life! I was trying to use labels and so on to organise emails that required action and got in a mess, but then I noticed ""Add to tasks"" and the sidebar on my Gmail window and it's brilliant. Integrates with Google calendar and really helps me to organise my time and my work, which all comes to me by email. And you get that satisfying sensation of ticking it off when it's done. Magic!","7 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_PsFD_StSF9mUGlXxYkCnm0SBWwiQYeOuD5fg0=s32-rw","Paul Woolstenholmes","Show review history","September 27, 2022","Great for syncing up chores across devices. Dark theme not implemented correctly in widgets (text doesn't lighten and top bar stays white). ability to switch between accounts on the widget dropdown (as opposed to only being able to switch between lists on a specific, pre selected account on a per widget basis). Would also like to have the option of completed tasks instantly respawning for their next recurrence instead of having to wait, this would allow marking the next occurrence as complete.","30 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_29KUBvJoLacUcUJYZanT8JFNvPp2YrTIeNnbx=s32-rw","Jay Bustos","","September 23, 2022","The app needs more ways to re-organize, not just the created tasks, but the actual lists. Also, when a task that is to be repeated, the subtask feature disappears. It should stay on. Some more filters, labels, and categories would be helpful. If possible, progression and streaks might make the app a little more enjoyable; to help people strive for a goal.","366 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_aF9_W8WFTyXshkV-SpA2jxNwcTCH3XHJPQdrRCA=s32-rw","Michael Rothman","","September 18, 2022","It needs search. Badly. Other than that, great for having just the basics that I need - multiple lists, integration on multiple devices, due dates available but not required, and recurrence. But it needs the ability to search both individual lists and all lists. Why? Because some lists are not ToDo lists but convenient and possibly very long lists of things you might vaguely remember a week, month, or year from now. So, it's great. But did I mention it needs search?","354 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9jjw5YgchmtTt3hj64tF07FbAFyginAL7uktdjIg=s32-rw","Joel","Show review history","November 3, 2022","Such a mediocre app. Can't move tasks to another list. Recurring tasks are terrible and when I use the widget to add a task, it opens the whole app which makes the widget pointless. There's no 'today' view so I can see which tasks are due today. I have to go to Google Calendar to see that. No reason to leave Todoist for this.","4 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-gOQWPtiWY8Wa-F5cDlwTfLq3__tQsWQ1eIklWcQ=s32-rw","Eniola Adeyemi","","October 12, 2022","The fact that to always set a new task always pops up whenever you open the app is totally useless. Then what I had in mind when I downloaded this app was that I would be able to have my to-do list always appear on my home screen saver so that when I look at my phone I'll know what's next on my list. But other than that I like the fact that it automatically connects to your Google account.","6 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_i5n_8IP7NwHSehgzsOXaLXfn9zitdY6mPziOCn34=s32-rw","Ann S","","November 3, 2022","Love using this app more than on a desktop version of Google calendar at times. It has extra features and if I need to change the date or time, it's quicker to change on the app. I like that it remains on your top bar as a reminder. Definitely recommend","4 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_NNrk296tpCzAJcEMgfd0gey6Q-2IFnSk64Xqz1A=s32-rw","Caley Dorsey","","October 26, 2022","Great app! I have a few feature requests though--the ability to archive lists and the ability to move the order of the lists (not just the list items inside the lists). It's getting cluttered, but I really don't want to delete old lists.","6 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu3zb4aeDx9GBdK89nPoMZcjQj_K9bWea9szyNaB=s32-rw-mo","Eric Smith","","October 24, 2022","Unable to add an end time this app seems to lack quite a bit of nuance. That would be needed to make it necessary when you can already have some of these features in the calendar, which is kind of stupid that you can't switch between making a task an event and vice versa. Like usual Google drops the ball","14 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu0vAKmrVaKsjCf3DQbhNxT94rLHmtxHy_oqTNTE=s32-rw-mo","Mahnhee Kazakos","","November 4, 2022","I would really appreciate if it gave me an option to have a set of tasks and have them reset every day or week or 9 days or anything, just let it be customizable to the user because it would be helpful and it's also the reason why I installed it. I got this app so I could keep track of things I would like to achieve every day and making it more manageable would be greatly appreciated, thank you for this survey.","2 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu0WBf72cjTLvqkxUi4P-A-I2jNqvwA3QYyTRgX3=s32-rw-mo","Milan Bogojević","Show review history","November 9, 2022","It's ok but missing functionality like Microsoft's to do list. For start when you sort by date all the subtask structure is removed and all task are then same, which makes i difficult to navihate through tasks if you have a lot of them. That is not the case if you use tasks on computer. Fix that first. The subtask can't have repeat option, which is a shame.","8 people found this review helpful"
