"
  Adobe Acrobat Reader: Edit PDF","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc"
"https://play-lh.googleusercontent.com/a-/ACNPEu-Bg3vAPOMCjVnrfaW-a5g6smx7j19t6WM1WjgYyg=s32-rw","Zach j","","November 12, 2022","I only use this app to download and store documents (and occasionally sign docs), but I have experienced no issues or hiccups with the app so far. Just open the app and you can find all your most recently downloaded docs. I have an Android Galaxy and have been using about a year.","7 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu0nXt8DpEKp1IuttqhSUmZATseuvWMc3Xn2YWFd=s32-rw-mo","Melanin Godd","","November 13, 2022","DO NOT PURCHASE!! After purchasing the yearly subscription I cannot access the features at all. After attempting to reach out to Adobe for assistance they did not help in any way. Also no refund was provided. Save your money and invest in a different application.","9 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-IbCWYlxcUUqiNje5r27T8haFdeEbjrbMkgarLIg=s32-rw","Christopher Koehler","","November 15, 2022","I took 2 stars away for trying to trick me (and others) into a subscription by obscuring the options (such as during login, and storage). Developers -- No one appreciates being tricked. Make the options clear so that the true value of your app will shine through.","3 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu3UTKcvePmzTPQTxiiQ3vDNvpDo-eS9tY4ORr8=s32-rw-mo","Brum Brum","","November 11, 2022","Probably a scam. Tried to subscribe. It was asking my google password, still saying it's wrong even when it's the right one. No subscription in Adobe account but I can't remove the card from google account because ""it's associated with this subscription"". No way to contact Adobe or Google in this, they're hiding.","12 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_3ZHzOAOWawpNlHv_FpxuQO74jpjZmwVVJxiVn0w=s32-rw","Sumit Goswami","Show review history","November 11, 2022","After the new update there is a problem i am facing, whenever I open a file recieved through whatsApp or any app second time it shows a different name of the file after opening . When I opened the file for the first time it showed the correct name of the file , but when I reopen the same file from WhatsApp it showed totally different name. it's very annoying . This problem is not in the previous update . I hope , you guys understand what I want say . I hope you guys will fix this problem .","10 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu3kD2i6L1E0Q9NkcEwRiPxi63z89N3ucpnNdGG09w=s32-rw-mo","Jean R","","November 7, 2022","After recent updates, the app now wants full access to all your files even files not related to the app and it doesnt have to notify me. Yeah.. this seems a lil sus and intrusive. I just deleted it because all i needed it for is to read pdf's, thats it. Instead it wants to look at everything in my phone. No thanks.","12 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-60BBRXE6mm3dIzApfiyoCALQK8KL2N905AK6wPQ=s32-rw","Cecil Hardin","","November 15, 2022","Not sure because I mainly use it as a reader. I would buy the acrobat suite but , too expensive. Although it comes with edit and creator. Great for PDF reader. Allows save or not. Others autosave everthing pdf you touch. I gave 4 stars because of reasons above. More free tools would be awesome.","1 person found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-9w6ktwhHLwqcrrC6FoSLzAx6M3lL7hcepCP6SVg=s32-rw","Robby Bennett","","November 19, 2022","Extraneous permissions (all files instead of just media files). Automatic login is unwarranted. As a result, using it the first time is frustrating.","1 person found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu1ylN0XQuPIS2-AYAVZKEzpU-axwtXggkmTKbwo=s32-rw-mo","Joshua Odewale","","November 1, 2022","Adobe Acrobat Reader is a wonderful App for documents download. It is always neat and clear. Even when you change your phone the contents are intact as long as you are able to sign in. It is inability to sign document that needed to be added to the free edition for better patronage. I commend the developers.","51 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-_a38QQp-VwOukJQf93ztFKOMzvK6hxVTNzRRGOEI=s32-rw","grace komatz","Show review history","October 27, 2022","interface is slow on chromebook and task bar disappears when not hovering over it, without ability to lock. at least it isn't warping files when converted, but the tool bar needs some bugs worked out to make the system more user friendly","6 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-p075vLR6ZoKxazSfRKD-Cdg9SeLPkf4PnAk9wqKw=s32-rw","KimGB","Show review history","November 2, 2022","Simple enough. I'm using the free limited version, which allows only 2 major functions: Comment and Fill & Sign. But I can't find any Help for this version - only info on paid subscriptions is listed. Keeping track of files is also not made easy. Last year, I regret updating to pay for confusing ways to get different things done. I barely used it. The free version should have Help info & option to delete pages not needed to take up less space. Overall, this is a decent Adobe app to have.","37 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu0FhWFiJlb1tXyXtRpo2m-Zu2K5cGHPG-1PmLOq=s32-rw-mo","Riya Verma","Show review history","November 1, 2022","Hey so there has been a glitch in the app in my phone where the American as well as the British accent has changed into something which is not understandable at all I have tried to reinstall it but it's of no use and I have checked it in other devices and it's all fine there would love if you can help me with it thanks.","20 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu1xxNhNP-dYD0uXMaY5qssN0VvxiBLTeCAo1m5N=s32-rw-mo","Leana Levy","","October 29, 2022","Exceptional with the management of documents. It makes editing and submitting documents a breeze. Thanks to the brain behind this app. It is 100% effective add easy to use.","14 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-8tRtV6ofI4XH8leyPDq_DB9SN2RTap21j8dnPwg=s32-rw","Shut da hell up","","October 24, 2022","Every time u open a file it replaces the previous one with the current one. You cant multitask with two files at the same time. Its very annoying to go back in the file manager and reopen the previous one.","24 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu1lWWAZF0FmxYcnKJg8tUnyCzVjVfVL1gFyKSdt=s32-rw-mo","Raymond Smith","Show review history","October 5, 2022","When you go to files, they are displayed in no particular order. How is that helpful? Even the most basic pdf reader allows you to sort by file name or date or folder, etc. Why has this basic of most basic features been missed from Adobe in the year 2022? Surely I'm not the only person with more than a few PDFs who can't open anything because i can't find the document i want. Edit: you can't zoom out further than the borders. Why does drive pdf allow it but Adobe no? 😢","150 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-aUL2aowroS0fT1W7hjmhitRebarA0dTPV_bZHlw=s32-rw","Charles Kaszap","Show review history","September 22, 2022","The Android version of Adobe Acrobat appears to have a problem. I store the PDF copies of my magazines subscriptions on my OneDrive cloud. I can open all with the Acrobat Reader on my laptop but a significant number come back as ¨damaged or corrupted¨ on the Acrobat Reader on my Samsung Galaxy Tab S7+. Since it was working fine before the update, I assume the problem showed up with it. Update: I can open my ¨damaged¨ Scientific American copies with MS Word. How embarassing.","57 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-2rZSS4Zgq9SVaJBHo5X-JewxKuX7cKRQi7qfycg=s32-rw","Rishelle Hartman","","September 23, 2022","Exceptional experience. I would recommend the Adobe Acrobat reader app to family and friends without a doubt because it's so easy to use and understand. I love editing my photos on the app, and the quality of the photos appear to be better than the platform they originated from (once printed I will update the info as necessary in regards to the quality). Adobe has additional apps to consider as well. Adobe makes learning enjoyable and fun for the beginner. Adobe, I look forward to future apps.","44 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu80z9PTomN2R7OiIrH-g_QQjVhzbuCW5kpMb8UOeA=s32-rw","Azhar_05_44","","September 25, 2022","It's a shame that your home screen/ start screen set-up is just stupid. And whenever I wanna find something, I manually need to go to ""on this device"" to find a new pdf file. And to make it worse, many of the recent or new downloaded pdf are always missing there! Completely gone, no cluse. But then when I search for them using their name then suddenly they stars to show up in the ""on this device"" area. Are you blind or something that it didn't come up to you at this moment of the day?!","86 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu1BD2Pmw80oSllKlg9k9LI7klt6OaXkqO2axKoz=s32-rw-mo","Abdulaziz Mahmud","","September 11, 2022","Best PDF reader. I've been using only the free version and it get's a rating of five, imagine what the premium will be like!. Nonetheless if possible can you please make the files on one's device all appear in the same place in grid form with cover page displayed for each PDF and not sorted according to location like it is now.","196 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu2jEdvFWwa7AzEV8nyFZNlTWFRHRrTN3H7as6ta=s32-rw-mo","Cheetahmk2 Cheetahmk2","Show review history","September 9, 2022","The overhaul to the GUI for the latest update is hideous, and it takes more taps to get to things like Night Mode. Further GUI updates have removed the ability to return to the previous page that you were on, which is inconvenient and frustrating if you tap a link by accident. Adobe needs to stop breaking what was a perfectly usable GUI","84 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-ZlVO_3fOAv7FCrVWxbi5AUHWAKLJoOpUhRubUBg=s32-rw","Ricky","Show review history","October 13, 2022","After the recent update, the full screen display, which was previously fine, now has an added white bar to accommodate with the notch which I find super disruptive when I'm scrolling through the pages. Please fix it by the next update, you guys don't need to fix something that's not broken.","26 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu2x-hYKaufvXMCTBvbDn-nDUnjIC5GPc98zrddn=s32-rw-mo","hyeju park","","October 14, 2022","I unlocked the premium features last month with a 7 day free trial but after using it for a short while I realised it wasn't what I was looking for and promptly cancelled it. A month later I discovered I had been charged for the annual subscription despite canceling. I contacted the google play store and they said to contact adobe. I went to my adobe account page which directs me back to google play. How can I get a refund?","37 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_bWjoltIA9Azq5GuDQFtO5b3yfh6-pHgTEaKACMw=s32-rw","Peter Davis","","October 10, 2022","The lack of auto scroll like the desktop app means it is of limited utility. Also, every page flashes a message ""page does not reflow"" No way to turn it off? Did not see any ads so that is good.","15 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8fsvjueZZthfp3aWngmIWvG65LBNcH2WfY4p3jhg=s32-rw","Offthe Grid1day","","October 13, 2022","There's no ability to cancel the subscription within 7 day trial period. I have contacted customer support and submitted screenshots of ""no subscription found"" and zero response. Today, I was charged for this service that I've tried to cancel as I didn't need the service. Don't subscribe!","32 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_fzLfR2bqIExWNbN4KDpc0uuPUZ2Xraxnao7f21A=s32-rw","Joyce","","September 25, 2022","I mainly use this app to annotate notes and PDF files. It's been the third time now that after editing a file, everything I added suddenly gets deleted when I close the app after saving. No idea how to recover the deleted notes. I just wasted hours using this.","37 people found this review helpful"
