"
  Google Assistant","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a/ALm5wu3bNIhARlKEDIWUDYod3oxcLCxEDG2egHeoaSuw=s32-rw-mo","The Multiverse","","October 28, 2022","This thing constantly spys on you and frequently pops up when not called for. I'll be strwaming netflix and it will randomly pop up and try to search for whatever audio it picks up. I thought you'd need to say ""hey google"" to get it to pop-up, but it will pop-up for anything, even things that don't sound remotely like ""hey google"". This app is far more trouble than it's worth. I'm saving myself from the frustration by simply deleting this app.","65 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9dVmuGcvhsugjCh8Y7RQv4wJt96YixyQtC2yUG1A=s32-rw","Christine Thompson","","September 25, 2022","When I first downloaded the app and used it for work, home, and travel it was awesome. But since the late August early September update, I constantly get a response from assistant: ""Something went wrong..."" I have tried to reset assistant, turned off data and wifi (rotated them), and Uninstalled and reinstalled. Nothing seeks to help getting assistant to work. Google really needs to investigate and send out a patch.","285 people found this review helpful","Google LLC","September 25, 2022","Hi Christine. Thanks for your review! If your application has a problem, try the steps from the article: https://goo.gle/2H5hF5N. Alternatively, if you continue to experience issues with this, please create a post in our Google Assistant Help Community for our experts to assist: https://goo.gle/2Ts2BnR. Hope that helps."
"https://play-lh.googleusercontent.com/a-/ACNPEu_dirLp4Janc-vHkoNfk6D15CE_L9lP9gxWxhgVSA=s32-rw","Tom LaBelle-Seymour","","November 14, 2022","Google Assistant is okay and cute for local things on your phone and or small services. When you need it to do the heavy lifting as in working in tandem with smart home apps etc., you're in for a headache. I haven't bought or found one home smart device that easily connects with Google Assistant, yet for that matter the same goes for Alexa. Same old story everything worked fine until the ""UPDATE"".","2 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu3xpjk1BYqW1z-MKSQU3LJHcKCA1hUsDV8Uxas1=s32-rw-mo","Randy Juber","Show review history","October 17, 2022","Up until the most recent update, I would get directions automatically when driving mode loaded whent phone connected to my car. These directions would be for work in the morning, appointments, or even home after work. Nothing any more. I also looked at all the links Google has been replying with, all worthless links to put the blame on someone other than the developers. Admit to the bug and just fix it already.","21 people found this review helpful","Google LLC","October 17, 2022","Hi Randy. Thank you for reporting this issue. Can you please submit a feedback report and tell us a little bit more about what you're experiencing so we can investigate further? Open Google Assistant App - More (three-dot menu) - Send feedback, this will help us ensure that this gets reviewed by the right team. Thank you!"
"https://play-lh.googleusercontent.com/a-/ACNPEu80EZ1n4PrzWAw2FQTz29ld7sKCOxxhCORzxQsgrg=s32-rw","Nuno Chaves","Show review history","October 22, 2022","The driving mode, imposed by Google at nobodies request, is the most useless thing ever... Having to resort to alternative apps to replace Android Auto since it no longer supports phone screens. - Unable to manage/control the media player. - No landscape mode. - Lacks settings, starting with loudspeaker. - Cannot manage home screen. Could continue, but starting to question my choice of smartphone...","31 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_tX37Qc8jjzfTVDKCzdeHaxWfMmfV7uZbukxPlbQ=s32-rw","Coolexplosives (Coolexplosives)","","November 18, 2022","Google assistant is a really useful tool. But the reason it only gets 4 stars is because it's ""offline"" mode doesn't actually work offline. Installed the English language (United States) as well as changing it to my default language for my phone. Can't actually turn wifi or flashlight on while offline which is weird since it can turn everything off just fine. Seriously... It can't turn a phone flashlight on without wifi. Please fix this.","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0K5ZRb16r4iGSKh8Ec2heLUd65OsE2lyPPwGZ_=s32-rw-mo","Patrick Burnham","","October 17, 2022","It's no longer responding when I say Ok Google. I removed and reinstalled the app a couple of times. I've re-recorded the voice authorization three times as well. The microphone works and I can dictate to the phone after I've manually opened the app. But I cannot longer check the weather or change the song while driving","30 people found this review helpful","Google LLC","October 17, 2022","Hi Patrick. Sorry to hear you're experiencing issues. Please create a post in our Google Assistant Forum for our community of experts to assist: https://goo.gle/2Ts2BnR. Appreciate it!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-G9F4BA7Mvu6n6dPvVTGkBxU262paSoYVHHMvFEOA=s32-rw","Jeff Whyte","Show review history","November 14, 2022","First we lost Android Auto for Screens, had it replaced with Assistant Driving Mode and now it is to be shelved too. So disappointing. To have a card based UI for vehicles without screens was so handy for so many drivers, now we have to start up Google Maps even for a journey that does not require navigation. Please give older cars the ability to safely view and control, hands free, our music & messages on our phones again as we drive.","5 people found this review helpful","Google LLC","November 14, 2022","Hi Jeff. Thank you for reporting this issue. Can you please submit a feedback report and tell us a little bit more about what you're experiencing so we can investigate further? Open Google Assistant App - More (three-dot menu) - Send feedback, this will help us ensure that this gets reviewed by the right team. Thank you!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8d7CcO6vlmhV7vQdgb1x-OqehFc3VT2Q4CpypCnQ=s32-rw","Bobby V","","November 20, 2022","Updating caused it to not understand me, but retraining the voice model seemed to fix the issue. I only use it to turn on/off my lights, so for my uses, it's just fine. My only gripe is that it switches to itself after a voice command. I rather it perform its tasks when commanded and dismiss itself to bring the app I was on back.","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-7NKZgaKh5Tl3aH8xNteKmeG--0-sbsbM1zGUjAHY=s32-rw","Ashley Royal","","October 29, 2022","More than half the time it doesn't respond to ""hey Google"", when it does beep it doesn't follow the command. Doesn't understand me 96% of the time, no matter how clearly I pronounce things. And I've got the option on that says it's supposed to help it learn how I speak or whatever. Only works OK when it decides to. Very frustrated with it. Seriously considered switching to IOS because I've never heard of so many people having these issues with Siri. Get it together Google.","13 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-Tyc0vfPK5QoEoMKt-T9yiSAIq3mc8UFLuqjBSWA=s32-rw","The LARP Channel","Show review history","September 30, 2022","This feature has become completely pointless. Literally does nothing except verbally respond. Doesn't do anything else. It won't open any apps or other features, it doesn't show any results or give any indication of trying to produce results. Absolute waste of space on the device. And yes, I've already tried all the basic stuff to make it work. No, it does not work.","36 people found this review helpful","Google LLC","May 31, 2022","Hi there. Thanks for your feedback. We've asked our product team to take a look at this and we'll get back to you with more info as soon as we have it. Stay tuned!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-PXrjEWJh4s8Ndds4w7RVPojZX7gdaz-a49i25fLU=s32-rw","Christopher Crammond","","November 8, 2022","Overall I have had a reasonably good experience; however, since Oct 2022 the service quality has downgraded. Standard commands that used to complete successfully still do, but now 30-60 seconds later an error message saying “Something went wrong” occurs. Annoying and no way for me to diagnose the problem or how to report it.","3 people found this review helpful","Google LLC","November 8, 2022","Thanks for your review, Christopher! If your application has a problem, try the steps from the article: https://goo.gle/2H5hF5N. Alternatively, if you continue to experience issues with this, please create a post in our Google Assistant Help Community for our experts to assist: https://goo.gle/2Ts2BnR. Hope that helps."
"https://play-lh.googleusercontent.com/a-/ACNPEu-IVMQDK3wKCJz_xhbM11i0gE_LZYeubK5hGf-raA=s32-rw","Ben “Fatty McFarty Dad” Johnson","Show review history","September 24, 2022","Assistant driving mode is awful. Way worse than the app it replaces, which google have now disabled. I want Android Auto back, not this junk. More info as requested: 1. Driving mode doesn't work in landscape mode. 2. Driving mode doesn't support the same apps that Android Auto did. (Waze, BBC sounds etc) 3. Driving mode doesn't support languages that Android Auto did. Please just give us AA back. Assistant is a retrograde step for safety and functionality. Edit. It now ghosts every screen too.","75 people found this review helpful","Google LLC","March 15, 2022","Hi Ben. Thanks for your review! We'd like to help you. Let us know more about your question. Alternatively, if you continue to experience issues with this please create a post in our Google Assistant Help Community for our experts to assist: https://goo.gle/2Ts2BnR. Appreciate it."
"https://play-lh.googleusercontent.com/a-/ACNPEu9RoQF3oLkmxMuG8FD1XcmejYvg0eB81pAuzMc9_g=s32-rw","k s","","September 25, 2022","It's really annoying for Assistant not to respond more than 90% of the time when I've got it set up properly. It's also annoying to have to wait for a tone to tell it what I need. This is especially frustrating when driving since this is the primary reason I use it. I never thought I would say that I like Alexa better than Assistant. Also, I really dislike saying ""Hey Google"" or ""OK Google"". There should be something simpler that isn't so many syllables. Please fix this.","59 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1j2AlnQ841h8MSTUC6UC3j_bINPVXSSwJYtO78kQ=s32-rw-mo","Andy P","Show review history","November 5, 2022","I've had three phones with the Google Assistant; for two of them (Pixel 2 and Pixel 6) it was so-so but it worked with non-Google apps. Now, the latest update made it so that the assistant won't work with any non Google Messenger texting platforms. There's no reason for this because it has always worked with textra-- my preferred texting app. If I was okay with having my choices limited I would have an iPhone. Taking away functionality with an update isn't an update-- It's a downgrade.","2 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu30lHZXSwo7f-2PTGZcZajLQtWHazIgL9aIyYyF=s32-rw-mo","Greg","Show review history","November 12, 2022","A really great app. Had issues recently between Google Maps and Assistant which caused problems on Android Auto that have since been corrected. Can ask just about anything and get an answer, complete tasks, set reminders, tell jokes, play songs and much more. One change that would be nice is add the same search and answer capabilities on Android Auto as on phone (e.g. tell me about the atmosphere on Jupiter, who played Luke Skywalker in Star Wars, etc.). Otherwise, fantastic.","23 people found this review helpful","Google LLC","November 7, 2022","Hi there. Thanks for your review! If your application has a problem, try the steps from the article: https://goo.gle/2H5hF5N. Alternatively, if you continue to experience issues with this, please create a post in our Google Assistant Help Community for our experts to assist: https://goo.gle/2Ts2BnR. Hope that helps."
"https://play-lh.googleusercontent.com/a/ALm5wu2C-DIfH37kNKEdyR_Pz43Ybr73A2N-PeS5LoH7=s32-rw-mo","S M","","November 17, 2022","I hate that it even operates on my phone. I wish I could uninstall and completely turn it off. I've never intentionally used it, but it still pops up from time to time probably if I brush the svren or maybe I say something? Which means it's always listening even though I don't want it to. And trying to find a setting to disable / uninstall / turn off? Ha! But hey, Google is the king of Privacy Invasion, right?","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1CUEZ0a2aMvAzv0B9Q4_jDPzfpGpHMQlzrwbaQ=s32-rw-mo","David Peirce","","September 21, 2022","No longer works like it used to. Doesn't open podcast when requested although it acknowledges the request and says it is playing but never plays. Home button on my phone Sony Xperia 5 ii home button no longer functions like it's supposed to before these recent updates. In fact, navigation and closing windows, going back no longer functions like it used to. It wasn't broke. Why are they trying to fix it? I would like to roll back.","38 people found this review helpful","Google LLC","September 21, 2022","Thanks for your review, David! If your application has a problem, try the steps from the article: https://goo.gle/2H5hF5N. Alternatively, if you continue to experience issues with this, please create a post in our Google Assistant Help Community for our experts to assist: https://goo.gle/2Ts2BnR. Hope that helps."
"https://play-lh.googleusercontent.com/a/ALm5wu2leqjlqHclfAM262rmHaskxeOviJBm-tVZjSO2=s32-rw-mo","Bobbie Jo Bates","Show review history","November 18, 2022","I updated my review again on 10/29/22 It's now 11/18/22. It still doesn't work on my phone. Getting really frustrated with Google assistant. I used to love being able to use it. Update. It's still not working. I wish there was another app I could download. I'm about to delete this app. 😡😡😡 I'm really mad. I love having google assist, especially when driving. Sad 💧😭💦 Doesn't work at all. Yes I have retrained my voice. I've tried . doesn't even work in driving mode.","1 person found this review helpful","Google LLC","October 29, 2022","Hi Bobbie. Sorry to hear you're experiencing issues. Please create a post in our Google Assistant Forum for our community of experts to assist: https://goo.gle/2Ts2BnR. Appreciate it!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8bcGIAH1BpJrQrEMLCnCHS9EVZX1FPZOHKDAKAXA=s32-rw","Richard See","","October 29, 2022","Hey Google is becoming exceedingly slow and at times totally unresponsive. I have several speakers around the house and I have adjusted the sensitivity on each but the problem persist. All the speakers worked flawlessly until about 3 or 4 months ago. I guess I got spoiled and still look forward to an immediate response.","6 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu3YrSE9jvpYru8w1O_Q1LMNW7kWCp08GDPPsQeh=s32-rw-mo","slow hand","","October 24, 2022","A great app that just stopped being helpful, the ""OK Google "" was a very helpful tool , but sence the last Google assistant update, quit functioning properly, with the Android Auto App. Where I really got the most handsfree use of the assistant app, now when carring out an Ok Google command the mic stays on for 60 seconds indicated by the green dot in the top right corner of my phone's status field , before turning off & allowing for any new commands, very unsettling to deal with while driving,","10 people found this review helpful","Google LLC","October 24, 2022","Hi there. Thank you for reporting this issue. Can you please submit a feedback report and tell us a little bit more about what you're experiencing so we can investigate further? Open Google Assistant App - More (three-dot menu) - Send feedback, this will help us ensure that this gets reviewed by the right team. Thank you!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_ALqgZ5E2ufEQNiUGIbz83qz6ctHo_vH8UJsPHvg=s32-rw","T “Sean Don” Moore","","October 17, 2022","The whole google ecosystem sucks. Google Assistant doesn't work majority of the time as it won't respond at all. Their notifications are 3 hours late notifying you that something triggered the cameras or even when someone comes to the door. I don't know what Google is doing but if they are trying to lose customer's this is the perfect way to do it. I definitely am doing and will continue to let's potential customers know about there problems and advise them to use something else.","64 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9fOhvZLan32F9PVsiGlpPquLe2zeLT97u__r7_jw=s32-rw","Gillyfish 88","","November 5, 2022","This thing has a lot of customization option however it is not fun to talk to which I could look past if it had any shining qualities beyond a lot of customization, it doesn't understand any kind of speaking besides a tone you'd use to communicate with an almost deaf elderly person. Heaven help anyone with an accent more complex then standard American.","2 people found this review helpful","Google LLC","November 6, 2022","Thanks for reporting this issue. Try these steps to retrain the voice model (See ""Teach the Google Assistant to recognize your voice"" section): https://goo.gle/36vRHTQ. If you continue to experience issues with this, please create a post in our Google Assistant Help Community for our experts to assist: https://goo.gle/2Ts2BnR. Appreciate it!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-nyNeXI7bLLGkJoqG7ZppRwl19awfcEJTJ-Co2hw=s32-rw","Mr.Bobcat","Show review history","October 29, 2022","Update: 29 Oct. 2022 it still will not answer me while my phone is in my pocket. Please fix it.. After it got an update it will not work when my phone is in my pocket. That's not a good thing Google... Excellent service works great. I even have fun using it, I enjoy using it every day and night Great work Google! It would be a nice option to be able to change the voice to a male voice.","17 people found this review helpful","Google LLC","May 21, 2021","Hi there, thanks for sharing your feedback with us. We're constantly working to improve the Assistant experience across all devices, so we'll be sure to pass this along for you."
"https://play-lh.googleusercontent.com/a-/ACNPEu8IHmZU-WjaDqffrtTu80eXFaqVtwO-29h1H_dSuQ=s32-rw","Kayla Donn Richardson","Show review history","November 7, 2022","Trash. Here's my running list of issues. screen stays on after task. no chime?!? have to scream to activate sometimes. sometimes, have to unlock phone just to get it to respond. keeps asking to text ""John Doe, custom...is that right?"" when the contact doesn't have a custom number. tells me voice actions aren't available for that app (apple music).","5 people found this review helpful","Google LLC","April 21, 2021","Hi Richardson. Sorry to hear you're experiencing issues. Please create a post in our Google Assistant Forum for our community of experts to assist: https://goo.gle/2Ts2BnR. Appreciate it!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_e7nL6hYKYYq1sNIEOKdsj8eJkBYaHb6UIxigs=s32-rw","Charles Dale","Show review history","September 23, 2022","I have Quick Phrases turned on so I can answer or decline calls and shut off or snooze alarms with my voice but that never works. I only have American English as the language I use and speak to the Google Assistant and I have restarted my Google Pixel 6A but it still does not work. I heard back right away from the developer on ways to possibly fix my situation. I will try them and let you know how it goes.","13 people found this review helpful","Google LLC","September 23, 2022","Thanks for your review, Charles! If your application has a problem, try the steps from the article: https://goo.gle/2H5hF5N. Alternatively, if you continue to experience issues with this, please create a post in our Google Assistant Help Community for our experts to assist: https://goo.gle/2Ts2BnR. Hope that helps."
"https://play-lh.googleusercontent.com/a/ALm5wu1WWaA_XQAHXnnL3lwJjpyNZltvK_QV03lfHgae=s32-rw-mo","Irvworth","","October 15, 2022","Driving mode is supposed to replace android Auto, but its terrible and incompatible with half the apps I want to use when driving. Android auto was effective, clean and easy to use whilst driving. Google assistant cannot understand simple instructions and keeps making unprompted mistakes (playing messages and podcasts that I haven't asked for). This makes it distracting and dangerous. Most people do not have cars with screens and do not want to pay the android auto license fee.","41 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_mzgwPgvQVMoR2TVjJlNGNUcc--mnuMpnIwao=s32-rw","Savannah Gebers","","November 1, 2022","The app works great on my phone and used to work on my watch but now it is terrible. Tells me contacts don't exist but somehow it still knows their names. Will open when prompted and listen to command but never actually perform the request. Very very disappointed right now. Please fix this issue. Only feature that works right now is setting a timer. AND the contact email on this page is no longer monitored so contacting the developer is a nightmare. Unacceptable!","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8v4BlPK-lKm9Xureckr8fkmqfwuD4Q_0lkHCvkjg=s32-rw","Nancie R","","November 19, 2022","Barely works and when it does, it doesn't last long; voice recognition is okay but that's about the only good thing. It completely stopped responding or opening for the 2nd time in two weeks even after reinstalls and updates. Not worth the effort when I can do it myself.","","Google LLC","November 19, 2022","Hi Nancie. Thanks for reporting this issue. Try these steps to retrain the voice model (See ""Teach the Google Assistant to recognize your voice"" section): goo.gle/36vRHTQ. If you continue to experience issues with this, please create a post in our Google Assistant Help Community for our experts to assist: goo.gle/2Ts2BnR. Appreciate it!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_dzlRViO-rkcnU7MSN3UldCHWIKYGOuC-7gB6BUw=s32-rw","david floyd","","November 2, 2022","This app is in the way when driving - unfortunately it came installed on my phone. Whenever navigating on Maps it pops up & won't go away easily; it takes over my music app & phonecalls, clicking private calls over to speaker-phone without notice; damn near crashed into a parked car swerving around while trying to forcestop it & silence a private call in a car full of co-workers one time.","3 people found this review helpful","Google LLC","November 2, 2022","Hi David, thanks for sharing your feedback with us. We're constantly working to improve the Assistant experience across all devices, so we'll be sure to pass this along for you."
