"
  Engross: Focus Timer & To-Do","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","January 11, 2019","Very useful application. I use it everyday. Some suggestions I would really like to see implemented soon are: In the to do list, I cannot move the tasks up or down to set or modify the order of priority. That is something which would be really helpful to me. Adding to that, I cannot add tasks in daily planner without setting a start and end time limit for them; removing this restriction would help me plan three days in advance. Hope to see these features in the app next time :)","1 person found this review helpful","Engross Apps","January 22, 2019","Hi Sidharth,
We do have plans for creating custom and advanced schedules. We will try to implement this feature soon.
If you have any other suggestions or if you face any kind of issues, please feel free to write to us at support@engrossapp.com.
Update: Hi Sidharth, We have added reordering option in to-do, please update to 5.6.0."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","September 9, 2020","This is the best pomodoro timer I've ever seen in my life. I'm really satisfied with this app. Love u engross. Edit:- I bought the premium version 3 days ago, and it is fantastic. Worth the price. One suggestion:- please make the percentage bar automatic. Or give that option in the settings. As the timer goes on, the percentage bar should progress on its own.","4 people found this review helpful","Engross Apps","November 9, 2018","Hi there,
Thanks for such a positive feedback. It is great to know that Engross is helping you with your productivity.
In case of any issues or suggestions, please feel free to write to us at support@engrossapp.com. Thank you."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","December 8, 2019","It has been less than a week since I downloaded this app. But I must say it has had a positive impact on my study cycle. The best feature is the reminder for a small walk / a water break after a long study session and the Hit me button when you're distracted. I am following this religiously and it's helping me miraculously focus more on my work. The other best feature is the automatic turnoff of the wi-fi so that I am not distracted by the notifications while I am working. It's a wonderful app!","11 people found this review helpful","Engross Apps","December 21, 2019","Hi Purnima,
Thank you so much! We feel really happy on knowing that Engross is helping you with your studies. Keep up your great work and All the very best!
If you have any suggestions for improvement or if you face any kind of issues, please feel free to write to us at support@engrossapp.com."
"https://play-lh.googleusercontent.com/a-/ACNPEu__zljDjay-y6wcSFOskMoBw82rlWtkuDb3qS_Q4Bo=s32-rw","xiexie","","August 21, 2020","This might not be a big deal but this thing doesn't have ads, and for me that has always strayed me from using apps but this one is just too good. I am using the free version since I just started using it, it has most of the things one would want, to-do lists, target setter, timer and stopwatch (I prefer stopwatch and have seen in very few apps) tracking and so much more. Though I started using today, I already want to upgrade to premium for the extra benefits! Amazing app!","","Engross Apps","August 21, 2020","Hi Sesha,
Really glad to hear that you find all these features useful. We hope Engross works very well for you. If you have any suggestions for us or if you face any kind of issues, please feel free to write to us at support@engrossapp.com."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","December 8, 2018","WOW WOW WOW! There are lots of timer apps that crashes as soon as you press back. This app, has supernatural powers or what? It *never* crashes. I bought the paid version (just not expensive -Rs99.) Just one problem- The pause button sometimes gets buggy. I have a suggestion - Can you make a column for the actual time we worked. Like we pause the time and sometimes have to go so can you make a column of total time we spent in between (actual time+paused time) Else your app is literally best 🙌🙌 already suggested to all my friends!!!","4 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","April 22, 2020","The audio notification thing is the most useful. I mostly use timer notification sound, when 1 minute is left on the timer, but sometimes their is no audio during notification. It doesn't work all the time. I have OnePlus 5, could you look into that plz ? I tried everything, battery optimization excluded, phone volume changed, but it is totally random. It's more of a hit and try thing to do. I really love your app. Looking for updates.","2 people found this review helpful","Engross Apps","April 29, 2020","Hi Jagjit,
Thank you for your appreciation, we are really glad that you like Engross. Regarding the issue on OnePlus, I request you to please get in touch with us at support@engrossapp.com so we can understand the problem better and fix it."
"https://play-lh.googleusercontent.com/a-/ACNPEu-HEn7eZ-0KEN7r1wLALuT2Za3uq8Bv0wXsYdw0YT0=s32-rw","Medhaa Chaklanabish","Show review history","August 23, 2021","The best pomodoro app out there. It has all the features that a student might possibly need. I switched to premium within 30 mins of downloading it, and I absolutely have no regrets. However, the APP WHITELISTING feature isn't working properly- it blocks no apps when I start a work session. Will surely give 5 stars if the problem is resolved. Kudos to all of you behind such a beast of an app! Can't thank you guys enough. :)","13 people found this review helpful","Engross Apps","September 6, 2021","Hi Medhaa,
Thanks a lot! We are very happy to know that you find Engross so useful, and really sorry for the issue you are facing. I request you to drop us an email at support@engrossapp.com, so we can communicate with you and fix the issue."
"https://play-lh.googleusercontent.com/a-/ACNPEu8KT9FiVnnoqpO397q4f_dXpnYpu-JOSVvX9eeF9oo=s32-rw","Akarsh Sharma","Show review history","July 10, 2021","I immediately bought premium when I downloaded this app, but I don't regret that at all. The app is clean, practical, and just has a cool aesthetic. This app has a lot of tools to offer which have helped me out a ton. There are some issues when it comes to syncing with Google calendar, but let's hope that's fixed soon. Premium is also a hella cheap one time purchase and totally worth it imo.","30 people found this review helpful","Engross Apps","October 21, 2020","Hi Akarsh,
Thank you! Really happy to know that you like Engross. :) Please let us know about the Google calendar issue at support@engrossapp.com, so we can assist you and look into it. If you have any suggestions for us, please feel free to write to us anytime."
"https://play-lh.googleusercontent.com/a/ALm5wu0TRPG4NA2Q0VavhqOoGqa405xlw3v1jq03Stey=s32-rw-mo","Prakashraj","","June 24, 2020","I have so far tried many applications that could track my work as this one do. I think this is the only app that has matched my expectations. The interface and the options to customize tracking are quite flexible. There are some improvements needed in some areas and i hope those things will come in the future updates.","3 people found this review helpful","Engross Apps","July 17, 2020","Hi there,
Thank you! :) We are glad that Engross matches your expectations. We hope it works really well for you. We are constantly working to improve the app. If you have any specific suggestions for improvement or if you face any kind of issues, please feel free to write to us at support@engrossapp.com."
"https://play-lh.googleusercontent.com/a-/ACNPEu_PWSWeOCvPOiDK0UAkgEn1fwPmO5q3taxTmGEeVQ=s32-rw","GOKUL RANGAN","","March 21, 2022","I am using this app for more than 1 year. It has helped me to focus on my tasks and avoid distractions. It is a good app to track routine habits. But for the past few weeks whenever the app give a task notification it's ringtone ringing more than 2 minutes and my phone gets hanged, I couldn't use my phone for 2 minutes. Resolve this issue ASAP.","28 people found this review helpful","Engross Apps","March 22, 2022","Hi Gokul,
Thanks a lot! We hope that the app keeps working really well for you. :) Really sorry about the issue you are facing, we have replied to your email with a solution, please check it out and let us know if you need any assistance or if the problem still persists."
"https://play-lh.googleusercontent.com/a-/ACNPEu_ddLOss07eCN-C8zt72riAT36a3fhHiZImUNJ_FA=s32-rw","Mingji","Show review history","February 7, 2022","Great app for me. Tells my actual study time and develops a great habit to get our focus on the ongoing task by hitting the distraction whenever you're getting internal and external distractions. There's no ads. The app is great visually and an easy to use interface. The main feature is ofcourse the star of the app. This app works great for both POMs and flow timers. Please don't add any distracting features which don't serve the main purpose of the app. Its the best as it is, now. ☺","18 people found this review helpful","Engross Apps","February 12, 2022","Hello Mingji,
Thank you so much for such a nice feedback. We are really happy to know that you find Engross so useful and wish that it keeps working great for you. We only aim to make it better and more helpful. If you have any suggestions for us, please do let us know at support@engrossapp.com. All the very best!"
"https://play-lh.googleusercontent.com/a-/ACNPEu9sXtHtzDGE2HTI7iBf-zl9Pt4329zx_yUlSj5SnQ=s32-rw","Deepti Rajan","Show review history","June 11, 2021","It's a very good app for focus and helped me. I paid for the premium version but the features are still unavailable. Tried reinstalling but now I'm totally locked out of my account. I just wrote an email and I'm waiting for a response. Update: After talking with the support team, the issue is now resolved. They were very polite and listened to the issues carefully. This app is worth installing.","7 people found this review helpful","Engross Apps","January 24, 2020","Thank you for your appreciation. We are really glad to know that you find Engross useful. If you have any suggestions for improvement or if you face any kind of issues, please feel free to write to us at support@engrossapp.com."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","February 8, 2020","One issue with the app. I'm not hearing any sound once '25 mins' is finished. I would like to hear some sound as indication to take a break and also when break is over. And as a side note, I tried all the troubleshoot options, my phone sound was max on all profiles (alarm/music) yet it did not give any sound as an alert.","4 people found this review helpful","Engross Apps","February 14, 2020","Hi Rohith,
I am really sorry for the inconvenience you are having. Engross does have notification sounds. I request you to please get in touch with us at support@engrossapp.com, so we can help you with this."
"https://play-lh.googleusercontent.com/a-/ACNPEu_wvsCSDIyflw3ah44SdhsOCS_Rabq8lG_RauaJuI4=s32-rw","Lynn Pinto","Show review history","July 1, 2020","I really enjoy this app. It helps me focus on my work/studies/meditation. The support/service provided is excellent. The app works as a sort of a pomodoro timer and additionally, it has a hit me when distracted button which helps me release the distraction when I hit it. I can also choose the sound it plays while the timer is running. Overall, an excellent app to help focus or concentrate.","","Engross Apps","July 17, 2020","Thanks a lot, Lynn! :)
Really glad to know that you like all these feature of Engross and our service. We hope Engross keeps working well for you. If you have any suggestions for us or if you face any kind of issues, please feel free to write to us at support@engrossapp.com."
"https://play-lh.googleusercontent.com/a/ALm5wu3aa3lCZY-RZTZqaIbZ8rslpinNcqkyzlo_plgM=s32-rw-mo","Sonia Chakraborty","","August 22, 2022","Definitely the best app in pomodoro and productivity. 1. It allows us to set/change the pomodoro focus duration as per our need without premium subscription unlike most other apps. 2. can add notes, sub notes, category, title, quotes and a lot nore important stuffs. 3. Can set schedules and allot time durations for the same. 4. It allows almost every basic and necessary thing without having to go premium and that's the best thing. If you are looking for a genuine productivity app, its the best","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8KJYSAJxGV1uEtqJZa7c5u6dG2nn7Lp27FLXtY99k=s32-rw","Jyoti Dad","Show review history","February 26, 2021","Thank you team Engross for solving my trouble regarding transection and premium membership so quickly. A very good initiative by Indians. This app stands somewhere now. But still needs some improvement like as I started using the app it worked off screen too but now the sound gets stopped in standby mode, though timer keeps running. So basically we have to keep screen on if we want the sound to play continuously when the timer is running. And that charges a lot of battery. Please fix this.","","Engross Apps","February 19, 2021","Hi Jyoti,
We are really sorry for the trouble. I've checked for your transaction, it wasn't successful, please don't worry about the deducted amount, it will automatically get refunded to your account. I've also emailed you a screenshot of the transaction status. If you need any assistance, please let us know. Please rest assured, we are no fraud."
"https://play-lh.googleusercontent.com/a-/ACNPEu94ByVjLVVRu_jYAkSLaSAeSf8z6JzcFTPdPnkKfw=s32-rw","Robin","Show review history","February 2, 2021","Being a premium user, I can say this app helped me to complete the deadlines on time..🎉One of the best apps in play store.. Update after 2 months usage: I'm getting a bug once in a while.. Sometimes after pausing a session for a while,its not showing the option to 'resume' the session...at that time,we have only two options.. either skip that session or abort the entire sessions..hope developers fix that bug 👍apart from this bug, it's a perfect app💯 ..👍 ❤😘","20 people found this review helpful","Engross Apps","October 18, 2019","Thanks a lot, Robin! :)
Really glad to know that you liked Engross!
If you have any suggestions for improvement or if you face any kind of issues, please feel free to write to us at support@engrossapp.com."
"https://play-lh.googleusercontent.com/a-/ACNPEu-iMU8LxhElHnZA85QRdUxc2KbEWa0ZnYQ-EDN05NU=s32-rw","Aprajit Jasrotia","","December 9, 2021","Dear Engross team, I'm a premium member of engross and was using the application for the last 1.5 years without any issues or glitch. But now I'm facing problem while using the application. When i start the timer, it automatically stops the countdown and when i opens up the app. it shows 00:00 time and then i pause and resume it to get the exact remaining time. So kindly look into the issue. Thanks AJ","11 people found this review helpful","Engross Apps","December 9, 2021","Hi Aprajit,
We are really sorry for the issue you are facing. The app might be getting killed in the background, this should get fixed by changing some settings. I request you to drop us an email at support@engrossapp.com so we can communicate with you better and fix the problem."
"https://play-lh.googleusercontent.com/a-/ACNPEu_1BJPoJiqpeiG09ulZarhBrbWU4ledli5AvJqPDQ=s32-rw","Richa Negi","Show review history","September 12, 2020","It's a good app for tracking your study routine and maintaining it. It allows you to repeat task. My favourite is, when I fail to do a task, it shows as overdue the next day. It helps me realise my lackings. I wish timing was much bolder and bigger on full screen. All in all, it's an app worth my money.","","Engross Apps","September 21, 2020","Hi Richa,
Thank you for your feedback, really glad to know that you find Engross useful. We'll surely try to improve the timing font in the coming updates. If you have any other suggestions for us or if you face any kind of issues, please feel free to write to us at support@engrossapp.com."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","April 21, 2020","I use it for my studies. Only thing I want to be changed is the notification should be unique for each task(custom) right now it picks the default system notification to alert when the task is over. So if I set notification low.. don't hear when task gets completed, if I set it loud every message, whatsapp notif, Facebook notif is loud and it irritates every now and then when you are trying to sleep or meditating. ******Second review/feedback Calendar does not shows Time spent on a single day..","","Engross Apps","April 20, 2020","Hello J J,
Thank you for your rating. You can change the notification tone & other settings via 'Manage Notifications' in the App's Settings. You can also use the 'Priority' or 'Do not disturb' features in your device to get rid of unwanted notifications. Please get in touch with us at support@engrossapp.com if you need any assistance."
"https://play-lh.googleusercontent.com/a-/ACNPEu9mc1y9eD3DLM7rPn4NLOChBSFlVlre0JSy72_A=s32-rw","Jishnu Nair","","December 31, 2020","I really loved the app since I am using the premium version , I ll insist the analytics plot to be animated compliment to the UI. Apart from that as an feature I'll request to build a web version / windows application for the same so that its easy to create tasks from laptop/desktop as well. Integration should be also be included like 2 way sync with google calendar and notion so that note taking also becomes easy. The app is really amazing.","27 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9xpPThxecak7Z7o7IRCjNekvuqgKLbYnzdUZn8XQ=s32-rw","Kath","Show review history","April 18, 2021","This is one of the best apps to keep yourself on track and organise things and to be actually able to execute them. As the app aint that tacky, it was quite easy for me to navigate through. The planner's synced in with your calendar too. That helps a lot. I'd recommend it for someone who wants to focus and do their thing.","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_XFYp3VnyXCNNTjbB-3TFY6MbYjbDOt3ZsYuoArA=s32-rw","nageli sreevani","Show review history","October 14, 2020","Great app. We can choose if we can pause the session or not. App white list. It has both timer and stopwatch. Can set study, revision and break times and multiple sessions ( though I have noticed it does not take the revision time under total study time, please do consider and add the revision time to total study time.Had to choose 5min/10min, would be better if we could choose in btwn minutes )The to-do with the completion bar is perfect. Happy with it.","","Engross Apps","October 29, 2020","Hello Nageli Sreevani,
Thank you! Really glad to know that you find Engross useful. We'll surely work on both of your suggestions. If you have any suggestions for improvement or if you face any kind of issues, please feel free to write to us at support@engrossapp.com."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","November 11, 2019","The new updates are amazing. I'm lovin it. I love this app and its simplicity. It helps me focus. I was looking forward for a feature, where I could schedule tasks. There's a tab for tasks in schedule area, I don't understand the reason of it being there, when we cannot block a certain time for certain task. Please see, if such a feature could be incorporated. Thanks a lot!","12 people found this review helpful","Engross Apps","July 26, 2019","Hi Kritesh,
Thank you for your feedback. I totally understand your point, in fact we were planning to have this feature, but could not implement it due to certain constraints on repeating tasks. But, we will surely try to incorporate it and efficiently. If you face any kind of issues, please feel free to write to us at support@engrossapp.com."
"https://play-lh.googleusercontent.com/a/ALm5wu0ozJUjEhb2GYpJqXmp4WEXlJhbTKqXCPJ31sx3=s32-rw-mo","Jim Daniels","","January 11, 2021","I have been looking for a pomodoro timer app for quite a while. My requirements are simple. Set long sessions with multiple pomos with long breaks. This app has it all, none of the core features are behind a paywall. So I could try it and then pay the developers as a token of appreciation for their work. Plus get some cool features too. The app is feature rich. It is great especially for students. Engross keeps you engrossed in work, not the app itself. That made me fall in love with it.","8 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9NMu6bnXCO8SLz_rEaKrptC1DZjQM8dW4ahuNevg=s32-rw","Kumar Nilesh","Show review history","May 20, 2021","This app deserves 5stars and I was about to purchase its premium option but it's lack of synchronisation across devices limits it's usability as a full fledged time& task manager. The apps like Clockify & Toggl don't stand a chance with engross in terms of functionality but they have a web version whichakes them easier to use anytime & anywhere without any effort. That's the reason I'm switching back. It would be a great advantage for it if it creates a web version, just a simple site for the go","","Engross Apps","May 24, 2021","Hi Nilesh,
Thank you for appreciating and really sorry for the inconvenience. We are just working on the sync feature, we'll be having it up soon and we do have plans for a web version in the future. Thank you for all the feedback, we'll work our best to make Engross as useful as it can be. :)"
"https://play-lh.googleusercontent.com/a/ALm5wu0_ojel7560o1uT1g-E6KW5eKZkcqluc49Lb3P9=s32-rw-mo","Sudhindra Namanna","","July 17, 2020","This is highly recommended app for productivity enthus!! I have paid subscription and here are my 2 suggestion to be made. 1. long break is not possible after completing the session. For example if I have 4 sessions planned, planed long break has to happen before that. Which is not correct. 2.if folder structure along with lists would be much useful, other than using labels I was big fan of TickTick app, but this app too has potential to be better and best.. All the best","4 people found this review helpful","Engross Apps","July 21, 2020","Hi Sudhindra,
Thanks a lot for recommending Engross! :) 1. Actually, there is a separate option to start long break at the end of all sessions, you'll find it on the right of timer. 2. We'll surely try to add folder option in the future updates. If you face any kind of issues, please feel free to write to us at support@engrossapp.com. Thank you!!"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","March 9, 2020","A very convenient app if you have the problem of not being able to concentrate in your works because of constant distraction. It basically uses the pomodoro technique where you study in sessions for a long amount of time and take a shorter break. You can block distracting apps during your work.In the trial version you can only use limited features so better to buy it as it is one time buy. This app is useful not just for students but pretty much for anyone who needs constant deep focus.","3 people found this review helpful","Engross Apps","March 9, 2020","Hi Manabjyoti,
Thank you for such a wonderful review and recommending Engross!
We are really happy you find Engross useful. For studying, you can also try the revision timer, that would help to retain things better. If you have any suggestions for improvement or if you face any issues, please let us know at support@engrossapp.com."
"https://play-lh.googleusercontent.com/a-/ACNPEu_GN__XUsJboQ-IIsN9joeE9SLZ4Li2C9lBLY0gUEw=s32-rw","sarada gvl","Show review history","October 19, 2020","This app is very useful to regain the concentration by keeping our procrastination aside. But it would be even more nice if at least the statistical development is shown for limited tasks or sessions to know how one can control and controlled themselves. However, this is a very useful app. Thankyou developers and I hope that you might consider my request as a suggestion.","2 people found this review helpful","Engross Apps","October 19, 2020","Hello Sarada,
You're welcome! :) We are really glad to know that you find Engross useful and we hope it keeps helping you well. If you have any suggestions for improvement or if you face any kind of issues, please feel free to write to us at support@engrossapp.com."
"https://play-lh.googleusercontent.com/a-/ACNPEu-IeM6jOHHU-LWoGLdYM_PYy3Mo-UzMutWC4A62UQ=s32-rw","PranshuSucksAtExams","Show review history","May 19, 2021","Farmost this is the best application I've ever experienced it has easy interface no problems no glitches no crash But the only issue should be removed that when u accidently remove the engross from the recent tabs then the timer stops the countdown after a while... Then I have to pause it and resume again so that it can show the proper timings again in the notification bar... That's the only minor issue with this app Edit:- i haven't received any response yet 🙄","4 people found this review helpful","","",""
