"
  Resplash - Wallpapers","username","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","March 19, 2020","Installed with wallpaper autochange enabled by default, plaguing me daily with a random succession of some very dreary images that I wouldn't have chosen for myself in a month of Sundays. No notification that the wallpaper had been changed, so tracking down the culprit took some time. So app did something I didn't want and didn't like, and nor could I stop it without some effort on my part. Hence 1 star.","27 people found this review helpful","Brandon Lam","March 19, 2020","Hi Nigel, sorry to hear that you experienced this issue! But I can assure you that auto wallpaper is not enabled by default (otherwise you would think that more people would complain but this is the first time that I'm hearing of this). I hope that you'll reconsider, feel free to reach out to whoisbrandonlam@gmail.com with any concerns 🙂",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","September 23, 2019","Great app! One question though: Is there a way to set the auto wallpaper to only access specific collections? Edit: Wow, that was a lightning fast reply! Great news, thanks for the update! Now that that's answered let me just tell you that I looove your app. It's just beautifully designed, truly stands out among this bunch of other Android garbage. Never had any problems with it.","30 people found this review helpful","Brandon Lam","September 23, 2019","Hi Konrad, this is a feature I'm currently working on! Hopefully I'll be able to release it in the near future 😄","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","October 17, 2019","Great app. My only recommendation is that there should be some kind of report functionality if there isn't one already. There are quite a few images of a transaction via square reader occurring. Either this is the greasiest ad campaign or ya'll know about it and are getting the bag.","","Brandon Lam","October 17, 2019","Hey Alex, you can contact support@unsplash.com to report inappropriate content. In the case of the ""Square"" images, I do believe that this is part of an ad campaign run by Unsplash. Unfortunately Resplash is just a third party app that pulls images from Unsplash and we don't have control over the content that they give us. Hope that helps 😊",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9iLhl2kDkX-WlTPUO2ujKIbemaQSnks39da1RuNg=s32-rw","Nospheratt N","August 29, 2021","Easy to use. Does what it says, gives you an easy and fast way to navigate Unsplash for wallpapers, and set them with a click. Allows you to save the pictures to your own Unsplash collections, so you can find them later.","1 person found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_YN0rM9ev87kubq4U17TOyl4UyQ0Q66qOW2ZUMR68=s32-rw","Apuroop Mahadev","March 21, 2021","Great app. Personally as photographer, I get inspired a lot. A small suggestion - can you keep log of downloaded pictures, because me personally felt it's double work to dowload and save again. So if there is a list of downloaded items, that will be automatically saved in my profile. Thank you ❤️","21 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-uD9KWazLUdfzxke_e9HX85DjPpJL92zA9pkLl=s32-rw","Farzad Abdi","July 1, 2020","Sometimes there are duplicate photos on the home section, otherwise nice app! Edit: The new version is way more smoother and I'm loving it! But the duplicate photos are still there, although i feel they're less frequent. Thanks for the nice app!","1 person found this review helpful","Brandon Lam","June 27, 2020","Hi Farzad, please try the latest version v3.0.2 and let me know if your issue has been fixed. Thanks!","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_4L3lAVPk_8RLERWFxSv2dTe2Mqq3jA-r2XuVCfA=s32-rw","Nithin Sai","June 2, 2020","Great app. One issue though, when I tapped the Floating Action Button, it asked me to choose between chrome and the app, and I chose the app and set it as default. Now Everytime I tap that button it opens chrome and reopens the app. Nothing else happens other than the app getting reloaded.","1 person found this review helpful","Brandon Lam","June 2, 2020","Hi Nithin, that issue should be fixed in an update soon. That button should open the browser and direct you to the upload page but Resplash is also setup to open links from Unsplash which is why it is directing you back to the app. I would recommend resetting ""Open by default"" settings for Resplash and choosing Chrome instead. I hope that helps 😊",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","February 5, 2019","Really great app, makes me have the best of unsplash. One thing I strongly would like to see in the app, is the option of adding photos in a collection, so that I dont have to jump to the web version every time. Regards.","9 people found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","April 19, 2020","Amazing app. Love the quick tile for changing the wallpaper. A few suggestions. Please add an option where the user can add the collection or an artist as the source of the wallpapers. Also for the launchers like Pixel launchers, if there are more than 1 page on the home screen then, the wallpaper is not centered for the home page. For this, please add an option for horizontal wallpaper fix so that the wallpapers are always centered.","11 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","October 26, 2019","Great implementation of Unsplash. I was looking for a customizable app that would let me use keywords or custom categories to change my Pixel 3's wallpaper every hour or so and this does exactly that. The navigation makes sense and is highly easy to use.","","","","",""
