"
  Focus To-Do: Pomodoro & Tasks","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a/ALm5wu3e2XXYUNSGQvTfPz_1F300V2HInOfYfKwVKAcq=s32-rw-mo","Jo","April 23, 2021","The app is good. But there are a few issues. 1. Please provide an option to pause/stop the timer directly from notification panel rather than going in the app and then pausing/stopping it. It would save our time. 2. The app doesn't work in landscape mode so it's a bit of a problem to work in tablet","23 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9F76oSHpNVEdDTgmdpu4IyBhq43VCwvxpOTT0K=s32-rw","Kanishka S","February 21, 2022","This app is pretty good. It has a timer for focus and also, while you are at work, it won't let you to use distracting apps which is great! We can also put our to- do list and also plan for the upcoming days. I would definitely recommend you to download this app. But one small problem. I am using a tablet and it would be more convenient if the app could come in landscape mode. Other than this, the app is great!","42 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu0y5CUuGyR37B9-ZgIyUrQvF7z2Y_6MNjVdIHFFkBs=s32-rw-mo","anish dsouza","June 14, 2021","Very useful Pomodoro, with the ability of To-do list. Feedback: 1. I would like to use it for Time-boxing as well, you could add more features there for adding tasks and tracking 2.Like the Flip Timer it already has, I wish the dev can also had a Pomodoro timer display like how it looks in TimeTimer, like an analogue clock where the remaining time is shown in red.","3 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu32DB6tR2op69mW9HsjIe7UMZ6oMvB5zUu-JQd6=s32-rw-mo","Justin Dugie","November 7, 2022","One year later review: This was the app I was looking for and continue to be happy with my decision to purchase. I am a medical student who wanted a To-do list, organizer, and pomodoro timer to serve as my one stop shop. Focus To-Do works great for that. It's efficient, easy to understand, and minimalist. There's no syncing with my email or background organizing I have to worry about. It just does what I tell it to. Very satisfied!","7 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9PBw34ltZLfTkrknj6GHvtSxK3GXS9nzWpXH8RbPU=s32-rw","Val Santiago","October 26, 2022","Have used it for a while and really enjoy the set up and organization. Would love for them to update their desktop version and add a calendar view since it's great to plan short term things but not really comfortable to plan things on the long term or check future engagements. But I love the group system, the tracking, the personalization and tags and the options.","10 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-38wC1B5mMlEx1wCbcBrZPmqrujPf6_Mp8m_nafPE=s32-rw","Joseph Howell-Burke","October 19, 2022","This app has been awesome so far. No ads and I really love the breakdowns of my goals. To be able to see monthly goals/tasks I have completed keeps me wanting to complete more goals which in turn helps me feel like I am taking control of my life and not living on autopilot. Also the ability to sync between a computer and phone is really helpful","17 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_Hv7cZBI2z4xQZ_U227s237dOZ2A7wOK5OVcu5AJY=s32-rw","moon","October 12, 2022","I have been using this app to help me regulate myself when revising. So far i love it! With the pomodoro method it ensures that i take a break which honestly saved me from back pain because i would usually study for long hours without breaks. I find studying easier now while listening to classical music. So, if you're like me i would definitely recommend plus it's easy to use!","7 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9oKyDX_C5dDOxB44WGailDBe6aBThxZ08mo-4=s32-rw","Amy Andrews","November 16, 2022","My new favourite productivity app!!!! I wish I had found this app sooner but I am so grateful that I have this. This is a prime example or using your phone to your advantage. Brilliant app, simple, yet so effective. Love it. I used to use my timer app on my phone and the forest app, but this is hands down the best one out there, and it's free! Amazing! I especially loved the 'flip-phone' feature, astonishing!!! Nevermind, I didn't realise I had the free trial of premium.. now it's over.","","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu3vTKXjMH4w-lXAwnmLvJ9ZiDubrlst0E62xLHW=s32-rw-mo","Ada Lai","November 6, 2022","I use this extensively to focus on knitting projects, especially when I have deadlines. I like the analysis function as well that provides a recap of what time was spent on what projects. Best of all, I play music of my choice as an accompaniment. How to explore variously modes eventually.","",""
"https://play-lh.googleusercontent.com/a/ALm5wu3Cde9_tVcuq6yMAGoMh1ldvPlqlS4J1Llqschn=s32-rw-mo","Shatakshi Yadav","November 11, 2022","I downloaded the app all was going very smoothly I explored a lot of features and those were commendable but suddenly one day it said that all the main features could not be used and you have to go for the premium version I did not like it and I felt like cheated if you don't want to give those features to customers then why showing them and allowing to use them in the first place even all the main and basic pomodoro features along with task management stopped it made me very disappointed.","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8nFEWjT_PtBWQQSP_88Dcc2sAvc8Xa3m8uWBhirQ=s32-rw","Sam B","November 17, 2022","Pomodoro on your phone. Works well and doenst have annoying ads. Did everything I wanted to. My only very slight nitpick is the UI, but it's still very readable and usable. Doesn't lag etc.","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8X9WjsIxMoFABjyODKFVA4HYkvcfdEEk9d38Ne=s32-rw","Aaminah Cute","November 13, 2022","lot but I think you could just add an option to change the theme the colours and the fonts and and the white sound I don't know what it's called but the white sound I think you can change I mean add a few sounds to that to make it more realistic it was good the app was really great","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-cJF1LhVz-D2NrQMQq4AFg60ql3V_786Q_JYgwaQ=s32-rw","Abhineeth Maity","November 1, 2022","Fantastic app overall. Bought the premium. However, I'm unable to change the theme of the entire app to dark mode. Also it would be great if a start/stop button was added into full screen mode instead of having to exit it to start or stop. If this feature is added this review will be bumped up to 5 stars.","2 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu824M_uBTb2Ucu4ehDipl-XlXTnCKCwSYmeVyHrBk8=s32-rw","Hoormazd “Cyrus” Kia","November 19, 2022","Love the app in general, but I was charged twice for lifetime. Shouldn't have been able to do that, and I don't see a method to get a refund for the second charge. I found a ""help"" page with an email. assuming that's adjusted i'll edit my review, but this definitely will impact my opinion of this app.","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2TJ7Sdy0Kp4W2jhS_9n4lBhTCPTZZP_BTuoEC8=s32-rw-mo","Ole Didrik","November 8, 2022","It brings a nice combination of pomodoro worth to do list, what I hope they will make is the simple ability to add tasks without having to ""click make new task"" again. With Microsoft I can place down tasks somewhat rapid fire","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9hDXoE3QxxyBmQbUX5jWTPVh9tEmSP6q3N4w7Zzg=s32-rw","Michelle Charles","October 5, 2022","This app is a must have for anyone else who struggles wirh ADHD and smart phone addiction. It forces me to focus by locking access to other apps. My favorite feature is the estimated pomodoro because it really helps with time blindness. Being able to compare how long a task actually takes with my inaccurate guesses has helped me to block out more reasonable amounts of time. It's also super cheap considering it replaced my pomodoro app, to-do list app, white noise app and app blocker!","8 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu2EsCy16Ys6Gym1-IoJzorSg_-vo6sTCcQAyg9b=s32-rw-mo","Jack Wilson","November 15, 2022","The best task list in terms of synching between platforms. Tasks are shows on both the pc and the cellphone almost instantly. Notifications work like they should. Would definitely recommend","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9PYV61WuG_GyAfEHYgR72caz5yYks9EIVynCHsCg=s32-rw","Abbey Charles","October 6, 2022","I've tried a million different Pomodoro timers with every sort of interface and gamification imaginable, and this has been the only one to work for me. I love being able to set an amount of time for a task and work on it throughout the day, and the ability to repeat tasks on a schedule for things I have to do every week is awesome.","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu207acHGzBCmvIySPDS_aLqoVjJ1ujGMSWeBta0=s32-rw-mo","Sutapa Paul","October 8, 2022","It's a better app than those found in play store. This one is user friendly and easy going, even for a free user like me with this version.but I would like to say if the plant section/sunrise collection feature could be improved such as staying sunrise for 2/3 days or a week (even better) or if there will be a option for switch of the pop up notification of this feature.... cause it seems distracting me sometimes...","3 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_TCtILuDb2ofYAKXFiHJ3Ac_r-iM1tiEwxk4J0=s32-rw","Ari Also tori-san ;D","September 3, 2022","its very useful, it doesnt take much effort to use, theres no complicated options or features, just a planner and a timer and i think the sounds were a nice touch, i would suggest some background music as well, for example some classical options, but not having them would be fine either way. i would highly recommend it to anyone who wants something simple but useful.","24 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu2NHdHOzMi1c4LPNFrVcOaEL7vtS5GvscpYpL2-=s32-rw-mo","proviey shereni","October 26, 2022","Well for me it's a good idea for you to click that install button because it enables you to make adjustments to the amount of time y want your Pomodoro to have and u would be like working with purpose or so they write task and also listening to some sounds of your choice go for it bro it's a good one I have been using it for a Month now and no ads while using the free version","","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu3As0i2hw32KHSdxG5O8BSZpgqO6_0bmFArqpMc=s32-rw-mo","Sh Babul","November 11, 2022","It's a pretty good app at my opinion. A senior brother who is in BUET suggest me to use it.He said this kind of app is able to be a turning point in someone's successful career.It's been a few days I started to use it and I'm already getting quite some benefits.I totally suggest one to use this,if he wants to focus in study.","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu84zjaYud7_xGIEhIwMXTjL8hIO_FUrXVFNn2Lb8Q=s32-rw","Devlina Acharya","November 8, 2022","Dang! A great app to use. It's my second day of using, but it already impressed me to write a review. Helps you to focus on studies or your work. There's even a feature for locking your phone for the time being, locking apps or to exit the app. Really appreciated. Kudos! 🫶","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_KaZnZt6rd6B7TKQ--ogL3WEEscQYcPry5SZe4Vdk=s32-rw","Mahima Tanwar","November 7, 2022","I have been using this app continuously for the last 4-5 months and it had been working really good. But these days, I set the timer but its doesn't get counted idk what's happening. It's also hanging a lot.","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-zx78pZDKdTkFOW2QJ2aXNuFX6aCRt7Ks7ZHLQ5BQ=s32-rw","Andy Brokaw","October 21, 2022","This app is super helpful to me! I have very noticeable ADHD and hyperfocus is a severe problem in my life. This helps me to stop and take a breath, which is immensely valuable in the fight against burnout. It also helps me see things like, ""Gee, no wonder you're tired. You spent three hours cleaning. Thank goodness you took breaks or you would be a mess!""","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1JVlAA0otQ2NFKl-9YhZkttw5XJgPn1-a7-0rtdw=s32-rw-mo","Roy Zhao","October 5, 2022","Great app to help me focus. One thing I like about this app over other pomodoro apps is the ""strict mode"" which I use. It warns you whenever you use a blocked app and threatens to cancel the pomodoro if you don't focus again. Obviously you could ignore it but the little reminder to stop procrastinating is enough for me to remain on task.","","Show review history"
