"
  Music Widget Android 12","username","bp9Aid","review","I9Jtec","ras4vb","AJTPZc"
"https://play-lh.googleusercontent.com/a-/ACNPEu-oSnMUe3Jz1FcTJtfHhb2Ik2sE0wUx7JObY46xww=s32-rw","GEEKIN HARD","October 25, 2022","I can get it to work with android 12. Theres no way to enable auto start. All of the diagrams showing you how, are from older phones not current Android 12 phones.","October 25, 2022","We are sorry for your bad experience with our app.
Write to us at lst.developer.10@gmail.com and tell us more about the problem so we can help you.
We await your communication.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8I_oYt1rDG-pvUuAqkeltZRNJUHCG8anC2I_vg=s32-rw","José Lázaro Peña Herrera","October 7, 2022","The best UI you can find and amazing widgets but it crashes a lot!😥. Fix it, please, developers!😊","October 7, 2022","Thank you for reporting the problem, we will investigate your situation and work to solve it.
If you want to help us write to lst.developer.10@gmail.com",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_5PmKscRu6XHx8hL8lQLJ_yVZiRLDhfq0Sf5ArkJ4=s32-rw","Gautam Bhetanabhotla","May 20, 2022","So far, this widget has been functioning perfectly for me and looks amazing too! Would absolutely recommend downloading this.","May 22, 2022","Thank you for your great review, it is very helpful.
If you have any suggestions and want to help us write to us at lst.developer.10@gmail.com and we will compensate you with a gift.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8JWtw3J6FyzNpmrSvGRxvPgRj86Z9nDjkBOXwP1w=s32-rw","Neo Zone","May 2, 2022","This is what i was looking for!! 😊😊 It's so good It have premium version but there are good widgets even without paying I love it & prefer to install 5⭐","May 2, 2022","Hello! Thank you for your excellent review. You help us a lot.
If you have any suggestions and want to help us, write to us at lst.developer.10@gmail.com and we will reward you with a gift.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8bvowjlyvKlMUQYJhd_LSdNFm5XlDL2ssF2xRNBA=s32-rw","BIZNATCH","October 29, 2022","The album cover is pixelated..","October 30, 2022","We are sorry for your bad experience with our application. Some music players do not provide us with the cover images, as most do. In those cases we use the image that is shown in the notification of your phone which has a low quality.
We continue to work to find a solution to this situation.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-9vycbpv5eZ1IhbZ5_jUcwJFaYb0U5t6r9Bpe5yA=s32-rw","Sahil Bisht","May 27, 2022","This app is incredible no lag no shtutter no reloads just smooth with my ui and easy to use and very consistent love it","May 27, 2022","Thank you for your great comment, we really appreciate it.
If you have any suggestions and want to help us write to lst.developer.10@gmail.com. And we will reward you with a gift.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-2rMl1PwwKTPuFLKeGdr55BbqZS-tEXAxpkzdPelk=s32-rw","Sirinrat Ratthaphum","June 10, 2022","Really easy to use !!!","June 10, 2022","Thanks for your great review, it's really helpful. We keep working to improve it.
If you have any suggestions and want to help us write to lst.developer.10@gmail.com. And we will reward you with a gift",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_v9VK5ScJgn-UYSYAeRlBUtoKRdh0pWfm7PPB1eA=s32-rw","Ajay Kumar Meena","May 25, 2022","Edit:- suggested app added Thank You. Thanks for fast response. Great app. Please add BlackHole Music Player in supported player list🙂❤️❤️❤️","April 12, 2022","Hi! Thanks for you feedback. Great suggestion, we are working on that.
If you have more suggestions please write to us at lst.developer.10@gmail.com. And we will reward you with a gift.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_LWqLIWE8PECok7Q_h11_5QOvImHXo7jOfPTGP=s32-rw","Sojib Sarsilmaz (Murat)","May 23, 2022","Please update more as soon as possible because it's laggy and sometimes it's not showing anything 😢😢 Please give an update for proper work wish you fix it☺️ All the Best 😉👍","May 23, 2022","See Fix issues in the menu",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8sso2g67eGLDYgZllMCe4kb-r1VUD3bcsj9_AmZQ=s32-rw","Ashwry","March 29, 2022","Dude Your App Is Working super fine and that's really amazing, please try not to make this one paid :)","March 30, 2022","Thank you for downloading our app! We will keep working on it :)","1 person found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8YDbP0ZxsfmqKGQ0ERIWiHi4UnUG6f7tFXo_HmGOM=s32-rw","Rhys Davies","May 17, 2022","Open the app to find nearly everything requires a purchase - wouldn't recommend.","May 17, 2022","Hello. We are sorry that you cannot enjoy our application. The app has four free widgets with their respective customization.
If you have any suggestions or want to help us write to us at lst.developer.10@gmail.com and we will reward you with a gift.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_9bGN3YSYOE0lAkk82sOOPW6CBsHfBjpAQs9Gxyqs=s32-rw","Abhishek Jaiswal (sketch.ab)","August 2, 2022","Good but need some improvement","August 2, 2022","Thank you for evaluating our app. If you have suggestions write to lst.developer.10@gmail.com",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8O5ZE4hJliKKgKHWjM_RdfSpjUmw5U15NTGOw6Z3s=s32-rw","ks Ibrahim","June 1, 2022","Great. What I was looking for","June 1, 2022","Hello. Thanks for your great review, it's really helpful. We keep working to improve it.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_iM9XcdASfCNThm55w_HqlGuSUShFWCesR0fM3ugw=s32-rw","Vova Lyashenko","May 5, 2022","wrong size compared to youtube music, looks wrong","May 5, 2022","Hello. Thank you for taking the time to rate our app.
You can always resize the widget to fit the size of your grid.
We understand your suggestion, we will work to improve it.
If you have more suggestions write to us at lst.developer.10@gmail.com and we will reward you with a gift.",""
"https://play-lh.googleusercontent.com/a/ALm5wu3Dyn-HPyNJDvwk41ZRgYUesOwf58Uo1CDhlokb=s32-rw-mo","Diago DaGoat","May 23, 2022","Appreciate the help I've been receiving, HIGHLY recommend this app :D","May 16, 2022","Hello. Thank you for evaluating our application. Some players only provide images with low resolution and in that case we cannot improve the image quality. Could you tell us which player you are using? Write to us at lst.developer.10@gmail.com. We look forward to your communication.",""
"https://play-lh.googleusercontent.com/a/ALm5wu1tGBHkOVgo4O4_pZc2eNAMXNKG9KgqZXflex0b=s32-rw-mo","Shubham Yadav","October 31, 2022","Poor app service","October 31, 2022","We are sorry for your bad experience with our app,
write to us at lst.developer.10@gmail.com so we can help you.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_TfXDLynDakA_Domz_QgQc9RcSg0VosjKwcGU-oQ=s32-rw","Kian Santang","May 18, 2022","Nice. This is something I need","May 18, 2022","Thank you for your excellent review, we appreciate it and it helps us a lot.
If you have any suggestions or want to help us write to us at lst.developer.10@gmail.com and we will reward you with a gift.",""
