"
  Pomodoro","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu8ibydMXWyx3q282J25jQvFQj2zraKCmII0wDhNuQ=s32-rw","Reena Dixit","September 7, 2022","This application is really good. Unfortunately I do not get notifications for break when my screen is locked. Because of this, I tend to continue working even after my defined focus time is up. This does not solve my main purpose. If this could be fixed the application works perfect. Thank you.","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu26kvI50VrmLMMD35YkkDf6M2rtOkusfBn8UUvqYQ=s32-rw-mo","Rishika Paul","August 24, 2022","I love the app but few bugs like not ringing even after the pomos are over, even though I made sure to take all the actions on behalf of my phone are making it really difficult for me use the app. Still, please try to fix the bugs so that I can really keep using the app for its simplicity and user-friendlyness","2 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu92UX8tZPd1maHUmdjAG3YmnmVObEQtOb0r20AZ=s32-rw","Sereño, Koch Andrei O.","October 2, 2022","The app is helpful in productivity but I don't get notified when it's my breaktime nor my break time is over when my phone is turned off. Hopefully this will be fixed, it somehow eliminates the purpose of not checking the phone while working on something.","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_D4ESXNVgHQoZUOFvlopwcONlODpyUfya67iD25NY=s32-rw","Spandita Karmakar","July 27, 2022","Everything is good . Just one thing it makes confusion about the program. Even though after completion of pomodoros it keeps on running in the background. And one is unable to find the real time progress and task hours. So this problem should get fixed!","3 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-Gft_c88o_DFI91Vi7yvHKbl-x95DaKagrPVnuIQ=s32-rw","Prachi vijay","August 14, 2022","I have used many pomo apps and it's working best . Has everything I want , is simple , works in background , doesn't fails to give notification doesn't stops working after some weeks of usage (like other apps did) . Am literally able to do stuffs more efficiently . Best 🙌","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9mmIzd7AsMnI8tksn3BJ6-HQezCIP_QJ_dNxuhGw=s32-rw","Robson Francisco","September 15, 2022","it's very useful. Been using for some time. The only problem is the volume. When I'm done with each set, it's very loud, and I can't change it. This problem came from I think last two updates.","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8fTWJnWQUC4SN9-16uU06f6pu__Ahv-mvOQRqb=s32-rw","Abhishek Kumar Agrawal","July 17, 2022","Overall a good app but what if i need to edit a pomo. I think you should give us an update with 'Edit Pomo' button. And many times I want to start another pomo, by saving progress of current pomo (I have not finished it yet), then I have to face difficulty, so think about it.","2 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8fRMpdPhjkUjbauNVUDrvN4f-rjWmzgJZPtJG7tw=s32-rw","Rohan","August 5, 2022","Alarm works only when app is open in foreground, disabled battery optimisation for it, removed background restrictions, turned on auto start, locked app in multi-task menu, still I get no notifications or even sound when app is in background (even when phone is actively being used) Realme GT Master Edition Android 12","2 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu0DCGz9MXrR9iQt_uXxGgpaM-6PiwW6fjI5ImCm=s32-rw-mo","Hello World","August 2, 2022","Edit: My hero !!! You fixed it.Thnak you very much dear dev. Can you please give us the tik tik(this app's pomodoro starting sound) background sounds please(it is better we can add and choose sounds ).it is very helpful to focus on my studies and it also remind me to stay mindfully about my work.","11 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu2qUHcMruqkWA2uZjblNN0gA4Swfu8fmh7r7hAx=s32-rw-mo","Elmira Khorsand","August 15, 2022","Thanks for this great app😁 But it would be perfect if it shows focus time in today and weekly statistics or at least has the option to change from showing total(focus+break) to show only focus on statistics. Thank you😊","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8VoyorPJZVc9cktObuqiy7MLapM9Ldym0yLKE-hA=s32-rw","Dawn East","June 6, 2022","No amount of settings I change will allow this app to alert me without being IN the app. I'm a housekeeper and I'm prone to working harder and longer than I should without breaks. This app is helpful if you're in the app the whole time or have your phone screen on the whole time. It's a nice app, visually appealing, no ads (the best part!), and pleasant sounds for an alarm. I just wish it worked without my screen being on.","29 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu80VYl253mb3XWFu0bDaUWW-q19d7ljkuLfdvvlvzA=s32-rw","Pathway","March 2, 2022","This app is almost perfect! If you can add to features, that'll take it to another level in my opinion. 1) When the time is up on the focused or relaxed modes, have the screen light up. I usually lock and close my phone so it doesn't distract me, but then I miss when I need to stop cuz the screen doesn't light up. 2) The ability to change sound profiles when in focused or relaxed mode. Like, I want to silence my phone when I'm in focused mode, but vibrate/sound on when in relaxed mode. Thanks!","32 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9gFXqX9GYBf248LEpJ21TS_yEkhbJGEgyOlILvng=s32-rw","Amira Iqbal","July 16, 2021","The app is great. It is simple and effective. But there are 2 things, the data can be more specific (hours instead of %) and In the graph, the name of the pomos should be shown. It would also be helpful if we were allowed to switch between pomos and had an overall pomo count instead of individual. But it is a great app with lots of potential. Thanks :)","2 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu81gT-_e4ZpbKDSJysQm9BuxzsKpsO6Vouo29vaxg=s32-rw","Giuamo","August 9, 2021","Does what it should, minus a bug. I will give 5 stars when they fix the bug I experience. I cannot turn off the cuckoo noise or change any of the alarm settings. Hitting apply and going back to settings show they dont change. Not very useful if you need to be in a public place. The sound also doesn't play in earphones, but in the phones speaker. This is due to the media type they play the sound as, not required, but it would be good to add this as a checkbox choice in the alarm settings too.","23 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9rpAaRgfarRyCfviYhBStJhAbimKt2p5W2dD38fWk=s32-rw","Nina Marcellus","October 6, 2021","I agree with another review, this app would be perfect if you had the ability to pause it, even if just between work/break items. At work I sometimes can't just stop doing what I'm doing to start my break, so a pause - or even ""extend my time"" button would help. Or, a toggle option to make it so you have to choose to start the next work/break. Otherwise, simple and sleek and great 👍","160 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu1WZrg_HEPx6yYcEVz0Rlt4H1BEoWN51sm61xuK=s32-rw-mo","Hel Reg","January 28, 2021","Nice modern interface. Looks kind of a solar system, I find it relaxing. Nice colour selection. Reason for 4 is lack of sound customisation. Also it would be good to allow to set the timer to 1 minute instead of 5 (good for testing, does not interfere with functionality). If sound customisation was addressed (ability to select different sounds, including from phone or from files, and a pomodoro like sound), it would probably be one the best out there.","21 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu3NV1foqZKjmjIu2Axnf3e9HcvpcOoDBFSsUwdSFQ=s32-rw-mo","d00msd4y clock","September 21, 2021","Really cool app, specially for software engineers, we spend too much time focusing or aaall the other way, too much time procrastinating, and this technique is the perfect balance. Feedback input: I'd change the UI to a Material design(personal preference), and maybe add a ""post-it"" View where you store notes, reminders, or just daily things we used to stick to the fridge. Great job!","19 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9nrEXZcdEIfgQVzmZPN5RKdC138ICZkG1hwGCZEzY=s32-rw","Marianna Rutkowska","August 4, 2021","I love the simplicity, friendly user experience, the design. Basically everything. I've tested few similar apps and so far this one is the best. One feature I would love to have: option to add some background noise during the focus session. It can be traditional kitchen timer sound, nature sounds etc. It would make the app (for me) even greater.","16 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu3DwKMX9A7axz9VBK4lAcs1nuxXbDdWWk3oB6bzEA=s32-rw-mo","Monika P","October 5, 2021","I like the app overall, but I miss few options. For example, I would really like to see in my statistics at which time of the day, or which day in the week I am most productive. Also, if I forget to lunch the app, I am not able to add my study hours later. It would be great if you made this options possible and graphs visible.","10 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_QCkkOg4EAKzuhWEtS6GVLCkDF_ryCLG_zlCUt-g=s32-rw","Christina Goworek","August 1, 2021","This app is very visually pleasing but the image on screen that looks like a clock actually isn't a clock and just spins around at random speeds. I'm a very visual person and need an app that will show me a visual representation of what time is left. Honestly don't understand what the point of the clock-esque image is, if anything it's distracting because it wonder what it's purpose is. Also very basic app, no settings. There are much better pomodoro apps out there.","25 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8zIi8Xdkrpiu4e4umAIV3QaUCmKWvltZbw58xP6Q=s32-rw","tr (dr.strangecode)","September 28, 2021","Google isn't letting me edit my previous review for some reason. I like the look of the app but the alarm is jarring. Developer responded to let me know how to adjust. It's great to get a response which is why I'm adding stars. I wish you could adjust the alarm from the homepage where I expected, instead it just gives you a wiki which is what made me think you couldn't change it. I'd also like to be able to do custom sounds. All in all worth checking out.","9 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9UyhLpVt_XPihHW677Oksexh0T2y9ZsW4LqO-nLQ=s32-rw","Harshika km.","August 9, 2021","This is the best app I've found so far that can keep up with my work & studies. It's visually pleasing and I love the solar system-like illustrations hehe. I think this could be made even better with a few additions like : 1. Having the option to skip breaks (cuz some ppl work for long hours straight :/) 2. Switching to next timer Automatically 3. Having a to-do list or notes or a time planner of some sort This would make it an all-in-one app which would make a brilliant app! \^.^/","103 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-4BYv47xK5Ts--UMeIGtCqyAnIqNQ_00KMQ_n5Hg=s32-rw","Random Kid","November 17, 2022","it's really good at tracking your time, I just wish the notification would go off on it's own, instead of me turning on my phone for the timer to show it's run out","",""
"https://play-lh.googleusercontent.com/a/ALm5wu3HYJE-p2pA6r0Ou5O-D8I64tjI8I84b9sER26t7nM=s32-rw-mo","Maria Roşu","January 12, 2022","Great user interface: simplistic and beautiful but also configurable. It does exactly what it's supposed to do. I like that I can change the notification sound. I would also like to be able to minimize the break pop up to check stats during break or to change the settings but other than that it's pretty much perfect.","5 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu85oxge1aw7gy4WBjHvMA6C85ZPIh4_Iousw-y5Xjo=s32-rw","Uddhav Patil","July 21, 2022","definately its a best app for porodomo, i was frustrated setting manual alarms on my device and it was quite irritating, but after installing this app, things get easy for me. thanku so much.","",""
"https://play-lh.googleusercontent.com/a/ALm5wu3FC0WjoqnODw5wRfed_rM_ywowUL14BoeWXEOi_A=s32-rw-mo","John Ropoulos","January 25, 2022","Great app. Things to make it perfect: 1. Shows statistics of different pomodoros in the history. Right now it only has ""focus"" and ""break"". We should be able to see what takes up our focus time. 2. Give a report in statistics on how many minutes we have for each Pomo. Now it just gives percentage. 3. Allow us to customize alarm sounds 4. Allow us to download statistics reports","29 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9KhyBovXvr5AjWZQ9iSudIeiMxa1E9Fczb8vJP2A=s32-rw","Punit Gaur","October 26, 2022","What I like about the app is they continue to resolve issues and make the app better everytime. Cannot use anyother app for focus after using this one. ❤️","17 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9IefFtx23AkItOjlloixzQHQem4G57SiF2tVpD=s32-rw","ambre dubé","August 31, 2022","Really great and easy to use but I would really like a widget to put it directly on my main screen as well as a display option that would stay visible","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9igxnVltvt7LkE77J20fsW2CAg7JtFmrjTu_x5cg=s32-rw","Halwestyy","October 10, 2022","🤜out of top 5 pomodoro apps on play store that I tested, this one is the best. 🔊 sound effect when you click start is just perfect.","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_LgGquEFLAa_0Sw9__ejGoKUQ00rwaDx0syShGSu0=s32-rw","Zhuo","September 30, 2022","Everything was good even the design, interface or function but the problem is it is unable to landscape . Hope it will improve on this","",""
