"
  Spike Email - Mail & Team Chat","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu-5bqG0koOaahbCgRlzfHDh43MovXIGyHTSpv48GVE=s32-rw","Alpha Lim","","July 9, 2022","The UX feels great! It delivers on the promise of simplifying email to make it more like chat. However, some features are still confusing, eg, tasks and notes. I haven't figured out how to create a task from an email and the notes interface isn't intuitive. They don't ""just work"" like the email ""chat"" experience does.","50 people found this review helpful","Spike Email - Your Inbox reinvented","July 10, 2022","Thanks so much for your feedback! We're so glad that you love the Spike email client!😎 That's music to our ears! If you still have questions about how Tasks and notes work, please drop us a message at chat@spikenow.com, and one of our agent will be more than happy to assist further"
"https://play-lh.googleusercontent.com/a-/ACNPEu8U-ty-jKDG8BupxWa0JL-gm3da9XKjUae4ESgYQHk=s32-rw","Ben M.","Show review history","July 20, 2022","I'm getting a bug where read status doesn't sync reliably across platforms, and random past emails are set as unread every couple of hours. (UPDATE: I contacted the devs and they say it's a known issue - very responsive and proactive reply too). It's a great app - fills the void left when Inbox shut down. The only thing missing is bulk sorting, but collaborative notes and really nice Drive integration more than make up for it. Fantastic app.","35 people found this review helpful","Spike Email - Your Inbox reinvented","July 19, 2022","Thanks so much for your feedback, Ben! We're so glad that you love Spike secure email app! That's music to our ears! Regarding your specific issue, can you please drop us a message at chat@spikenow.com with a video screen recording in order for our team to be able to assist further? Thanks in advance 😃"
"https://play-lh.googleusercontent.com/a-/ACNPEu8kI09GNMe5ofnLzFSdnAtwEhsxQP2L2yRwj7Av=s32-rw","P Stockley","Show review history","August 10, 2022","ICloud on Android/Windows does not send email. This would be a great app, but it can't do the one thing an email app should be able to do. E. Not a pebcak error. I have done the setup numerous times, I have contacted support. This is a known issue without a fix for over a year. Sorry but your software simply doesn't work in android/win11 environments.","44 people found this review helpful","Spike Email - Your Inbox reinvented","August 9, 2022","Hey there, our apologies if you had trouble connecting. Sounds like you may have a setting enabled within your email provider's account settings. Some iCloud accounts require specific steps in order to login to a third-party email app. We'd be happy to explain how to do this, so please message us: chat@spikenow.com 😃"
"https://play-lh.googleusercontent.com/a-/ACNPEu_-LAlshxyHsTjx0L--XRy9del2asgQFXeMTTUquGk=s32-rw","Fractal Codex","Show review history","September 21, 2022","Overall love the app but often can't select portions of email body text. Disappointing 😔 was considering upgrading to PRO but not until this issue is fixed, its a very basic function. Please fix this 🙏 Reply to Dev: yeah I'm not a dummy. This bug only appears in certain emails. Sent you a support email on 19th September, still waiting for a response. Cheers. Updated to 3 stars because its worth that. 🌟🌟🌟","37 people found this review helpful","Spike Email - Your Inbox reinvented","September 18, 2022","Hey Fractal, this is how you can copy specific parts of the text: simply tap on the message to expand it. Then, you can copy any part of the text you'd like 😊. We'd be happy to assist with any other questions you may have! Drop us a message at chat@spikenow.com"
"https://play-lh.googleusercontent.com/a-/ACNPEu-Nfr4ZwSPd6KmnlKJEQ-xetdTewqOdzZfs_Y_ziQ=s32-rw","Barton Jeffs","Show review history","September 8, 2022","--Edit: Somewhere in recent updates they made the search function only work for emails from the last 60 days unless you subscribe. Really not a fan of feature removal via updates. Removed two stars.-- --Edit 2: They have now removed the ability to have more than one email account synced unless you pay $5 A MONTH. This is email we're talking about... I might have paid that one time for a pro version of the app, but asking me to pay $60/year? That ain't it. I'll be uninstalling instead.--","86 people found this review helpful","Spike Email - Your Inbox reinvented","September 18, 2022","Thanks for leaving an updated review, Cullen😎. In order to see the full search history and to add more than 1 account, you’ll need to upgrade your account. This way, you can continue using all the tools Spike has to offer - email, chat, calendar, notes, tasks, and video/audio calls. Please send us a message at pro@spikenow.com for more help"
"https://play-lh.googleusercontent.com/a-/ACNPEu-D1bQfmiS9L-H_GNcrK1sqwacvzmiMC4uYQFP5XAU=s32-rw","Kamlesh Lad","","October 18, 2022","Great app I am using last 3 month. Only one thing is missing. Mail view cheaking up down not available. First email up than second than3 Rd...in down side if we show first last email than second last . At present abcd view but dcba view not available if possible pl provide","2 people found this review helpful","Spike Email - Your Inbox reinvented","October 23, 2022","Thank you for the kind words, Kamlesh! We're glad you're loving Spike app and all of the productivity tools it offers. We’ve upvoted your feedback with our dev team - hopefully, it will be included in a future update🙏If you have further questions, drop us a message at chat@spikenow.com🤩"
"https://play-lh.googleusercontent.com/a-/ACNPEu8KZG8PDI5BMMYNiFPQagg1N4OA3y47f842WdCVyQ=s32-rw","Beverly Kennedy","","October 21, 2022","Love this email 📨! Shows how many emails you have from each person or group. And how many emails you have received from each one. I love it because I can have all old emails deleted at the same time. Helps clean up and give extra space for emails.","1 person found this review helpful","Spike Email - Your Inbox reinvented","October 23, 2022","You got it, Beverly! Spike is all about helping you clear out the clutter in your Inbox faster and making the way you email so much more efficient. Keep enjoying! If you ever need any technical assistance, we're here: chat@spikenow.com😎"
"https://play-lh.googleusercontent.com/a-/ACNPEu_WnKcYP56JOC5fqJ8ARkknFl-KW_zrvB7vQxsCZX4=s32-rw","ABHISHEK D","","September 20, 2022","When I open an email from notification, it doesn't directly navigate to that email. It takes me to the inbox, where the new e-mail doesn't show up. Need to go back and wait for a moment for all the new emails to load up. This is frustrating and simply doesn't serve the purpose.","3 people found this review helpful","Spike Email - Your Inbox reinvented","September 20, 2022","Thanks for the feedback Abhishek! We'd like to better understand your statement regarding the Spikeperience you have. Can you please drop us a message at chat@spikenow.com with more details and a video if possible with the subject line ‘Abhishek-GPlay’ so we can recognize you?? Looking forward to your update 😊"
"https://play-lh.googleusercontent.com/a-/ACNPEu9XSvdkHbZ4ExrldzthDWQqeAJdKobOT2ev4JeVGg=s32-rw","૮ ; ́ ᴗˋ、 ა","","September 4, 2022","Good app.. if you pay 10 dollars monthly, you can't add more than 1 mail account, which makes it unusable for me. I get it they have to make money but just add some non intrusive ads, like Yahoo mail does. I would give one star but the app is really nice, it's a shame I can't use it.","3 people found this review helpful","Spike Email - Your Inbox reinvented","September 5, 2022","Thanks for leaving a review. Spike is free for 1 email address. If you need help connecting more email addresses, we'd be happy to help! Drop us a message at pro@spikenow.com, thanks! 🙂"
"https://play-lh.googleusercontent.com/a-/ACNPEu--1Sg_G1WaOOhWd1i7Pu4D0wKZ2khhiO-u7FqrJQ=s32-rw","Triple C","","September 17, 2022","I must give 6 stars to Spike Support Team. Their response is super prompt and they follow through to assist my query, treating it as important as to me. Even though I have subscribed to the free version, they treat me indiscriminately well. I am totally blown away by their excellent customer support. For the app, it is wonderful!! I only regret not using it earlier. I enjoy very much using Spike to reply my email with much ease now from my mobile. Kudos to Spike!","5 people found this review helpful","Spike Email - Your Inbox reinvented","September 18, 2022","Spike is indeed unique since it turns your business communications into simple conversations, so professionals can work and collaborate seamlessly with clients and team members. And what’s the cherry on top? We offer a support team that is dedicated to answering your questions🙂. Don't forget, you can find us at chat@spikenow.com"
"https://play-lh.googleusercontent.com/a/ALm5wu39-pJ8DrP2uJpIpajBrTJEkfEFNjr6YoviPWYBdOU=s32-rw-mo","Daniel Remenyi","","October 5, 2022","After a year,I still can't remove people from people tab. I see unimportant people(emails) on the people tab. What's the point of that tab then? I left a review last year with 4 stars with this issue but you haven't fixed it since. It seems if I rate high stars you don't do nothing. Maybe people work like this. And I can't find sent mails. Where is it?","5 people found this review helpful","Spike Email - Your Inbox reinvented","October 6, 2022","At Spike, we are constantly rolling out updates and we're enjoyed by over 1.3 million people. To access your sent folder in Spike, go to Settings>Organize Conversations&select Inbox. If you have any other questions, please don't hesitate to send us a message to chat@spikenow.com with 'Daniel Remenyi-google' in the subject so we can identify you. 😊"
"https://play-lh.googleusercontent.com/a/ALm5wu1r4_YgY0BRbbH1toEOltuQAVeOYWcqlhnifbjm=s32-rw-mo","Rick May","","November 5, 2022","Forget using this if on Android and you use brave browser. It gets stuck in an endless loop trying to authenticate your existing email. Doesn't matter if you try to use Google account or existing email. Am error is thrown eventually after it tries two or three times.","","Spike Email - Your Inbox reinvented","November 6, 2022","Hey Rick, thanks for leaving a review. Would you please send our team a message to chat@spikenow.com and let us know what you're experiencing, which email address you're trying to connect and which device you're on? We'll be happy to help you get connected.😊"
"https://play-lh.googleusercontent.com/a-/ACNPEu9u7cvq-boECg9O8lkmpcvHjGkS6JvseKkOAuUjQA=s32-rw","Devendra Dewangan","","November 5, 2022","Unable to login. While using my google account or through email every time it takes permission and then start from the begining it has many bugs please fix it asap.","","Spike Email - Your Inbox reinvented","November 6, 2022","Hey Devendra, thanks for leaving a review. Would you please send our team a message to chat@spikenow.com and let us know what you're experiencing, which email address you're trying to connect and which device you're on? We'll be happy to help you get connected.😊"
"https://play-lh.googleusercontent.com/a-/ACNPEu8GiflEANmZgwT0jXIVGgSbaUp8Tyn5lNnMzTyX=s32-rw","Vivek Urolagin","","November 12, 2022","Very different, simple , solves many of your problems with traditional email system , collaborates many things in one window. Most important of all is , you can now write emails like chat!","1 person found this review helpful","Spike Email - Your Inbox reinvented","November 13, 2022","You got it, Vivek! Spike is all about helping you clear out the clutter in your Inbox faster and making the way you email so much more efficient. Keep enjoying! If you ever need any technical assistance, we're here: chat@spikenow.com😎"
"https://play-lh.googleusercontent.com/a/ALm5wu3z2Bfi43rnVrG43PMcfQ-NwEtl1k6Yds8YsM4h=s32-rw-mo","Sharon Norman","","November 13, 2022","I like your system thus far. Your program seems to be well organized, but I want to know the payments monthly data rates","","Spike Email - Your Inbox reinvented","November 14, 2022","Hi Sharon, thanks for leaving a review. For further information about pricing, please check our website and go to our Pricing page (URL's cant be added here, unfortunately) For further questions about where our sales team can assist you send an email to pro@spikenow.com🥳"
"https://play-lh.googleusercontent.com/a-/ACNPEu_nWx4fqLfkQF0FMzoCel-OZJ7KUkb8JKHIMJQl8VE=s32-rw","Chad Muller","Show review history","October 14, 2022","Spike is stillthe best! (10-14-22) Spike is changing the game on email. At first I couldn't be bothered with their innovations, but when they finally solved that one problem I had with other email clients - and then crushed the competition on every other part of an email client that I didn't realize I was in need of - I've been a hugely grateful supporter ever since.","1 person found this review helpful","Spike Email - Your Inbox reinvented","August 19, 2022","Thanks for your love, Chad😎. Spike's conversational style of email makes professional communication a breeze. If you have any questions, feel free to chat with us at chat@spikenow.com"
"https://play-lh.googleusercontent.com/a-/ACNPEu-X36wBmoc7cqi0HcPvBd6VKkEd89vYLipMNpWp=s32-rw","Martin Radlak","Show review history","September 18, 2022","4 for now. Looks very promising so I will test out more. Problems I have currently: 1. In dark mode, icons in the toolbar not visible 2. Mail widget - unable to click email from widget. Seems widget is read only 3. No calendar widget Solve these 3 things and you'd get 5 stars from me!!! UPDATE: Now only waiting for a calendar widget. 1 and 2 already fixed. Great work!","6 people found this review helpful","Spike Email - Your Inbox reinvented","August 22, 2022","Thank you so much for your encouraging star ratings, Martin!🙂We have shared all your comments with our
dev team, to be considered as future requests in the future. If we can ever help with anything, feel free to message us at chat@spikenow.com"
"https://play-lh.googleusercontent.com/a-/ACNPEu-36TykNOIxfT-0KO_Pm1eJIEsc5QlNiL320oFR=s32-rw","Graham W","Show review history","October 31, 2022","The best app for email available on Android ... Can be used on Mac, Windows and any Web Browser, so perfect for Linux users like me :) ... Also the support team is very responsive to any queries you might have ... 5 Stars *****","5 people found this review helpful","Spike Email - Your Inbox reinvented","November 18, 2022","🥳 Keep enjoying Spike, Graham! If we can ever help with anything, feel free to message us at chat@spikenow.com or follow us on @SpikenowHQ on Twitter for updates and great tips"
"https://play-lh.googleusercontent.com/a-/ACNPEu9lYcOTHeJRiKxS8Np7O481LbvDgvvI44RGOCzgDDE=s32-rw","R S","Show review history","September 24, 2022","Great app and concept however there are a number of frustrating bugs that prevent me from using this for business. I wrote a long email detailing my issues, they replied but put it on the back burner and seem to have forgotten.","7 people found this review helpful","Spike Email - Your Inbox reinvented","September 25, 2022","Hi R S, remember that Priority/Inbox is the organization from constant correspondences compared to the ones you don't have on a daily basis. This cannot be disabled currently, because is the core of the product. If you have questions about it, drop us a message at chat@spikenow.com. Have a good one😃"
"https://play-lh.googleusercontent.com/a-/ACNPEu_HA90KLR7vsPvtiAAjWaVqbTIavuQAwEKOQ6GT4NA=s32-rw","Chris Stevens","","October 20, 2022","Definitely a very handy app, especially when it comes with. Deleting a lot of emails at one time makes it so much quicker.","","Spike Email - Your Inbox reinvented","October 23, 2022","Thanks for your love, Chris😎. Spike's conversational style of email makes professional communication a breeze. If you have any questions, feel free to chat with us at chat@spikenow.com"
"https://play-lh.googleusercontent.com/a-/ACNPEu_CAS8eaNcSSDb2jMbzTfHjSeUTz0ynF3VgqktghQ=s32-rw","Gianluca Baio","","July 4, 2022","Used Spike for a few weeks now. Was on gmail to read my institution's emails, but with recent changes I had to find another client that wasn't Outlook (that I really don't like). Spike is modern and has lots of cool functionalities. It is not perfect - there are some quirks (like people/subject inbox takes a while to get used to). Tags could be more straightforward too (and multiple tags apply to entire threads too). There's no OoO (though it's been considered, I'm told). It works nicely so far!","18 people found this review helpful","Spike Email - Your Inbox reinvented","July 14, 2022","Hey Gianluca, thanks for your candid and honest feedback. Based on your review, the OOO is a feature request that our team is considering for future updates, as multiple tags as well. 🥳 Keep enjoying Spike! If we can ever help with anything, feel free to message us at chat@spikenow.com"
"https://play-lh.googleusercontent.com/a-/ACNPEu_YT71zbQ_DFKYDeMw0IqmdWmRJiex9ux3XHISRAFY=s32-rw","Michael Kashkov","Show review history","August 20, 2022","Amazing)) I had more than 999+ unread emails. I love Gmail, but it was a bit messy. Spike solved the problem, just in 30 mins I deleted, unsubscribed, sorted all of them! Cool 😎 + automatic deletion feature is awesome 👍 (edited: it would be nice to have a keyword filter option to auto delete email based on keywords)","2 people found this review helpful","Spike Email - Your Inbox reinvented","June 20, 2022","You got it! Spike is all about helping you clear out the clutter in your Inbox faster and making the way you email so much more efficient. Keep enjoying! If you ever need any assistance, we're here: chat@spikenow.com😎"
"https://play-lh.googleusercontent.com/a-/ACNPEu8XXMklseC1Mwf_2EvupZyG5D7XvIM6pWZiTOoi32g=s32-rw","Mitch Schwartz","Show review history","October 9, 2022","When I sign on, every past email ever is brought into my inbox and it take hours till they are all loaded so I can archive. This is a huge turn off out if the gate. I bet this is killing your stickiness. Concept is great and so is dark theme. Sriousoy though, please auto-archive me already archived emails when I initialize my account. Every time I come back and give a try its hours of waiting for old. Emails to flood my inbox. At least bulk archive is easier now.","14 people found this review helpful","Spike Email - Your Inbox reinvented","November 16, 2022","Hello Mitch, Spike email app has improved productivity and communications for thousands of teams. We are sorry that your Spikeperience was not according to your expectations. If there is any way we can assist with anything, please let us know! Feel free to send us a message at chat@spikenow.com."
"https://play-lh.googleusercontent.com/a-/ACNPEu8GT-E8dxoxrvx7y_ZICxTi27CH5tqbI40eC9a2=s32-rw","govindarajan ramanujam ponnuswamy srinivasan","","November 1, 2022","very useful app. with a little bit of imagination it can be used as a bookmark app also. also cuts the it saves yr time","","Spike Email - Your Inbox reinvented","November 2, 2022","🥳 Keep enjoying Spike, govindarajan! If we can ever help with anything, feel free to message us at chat@spikenow.com or follow us on @SpikenowHQ on Twitter for updates and great tips"
"https://play-lh.googleusercontent.com/a-/ACNPEu9oLgvx1wQngKlbSzv0nT6Rql4BqUNnchXPD-g-=s32-rw","Harry Green","","October 12, 2022","How is this better? I really wanted to like this app, but as I load the one account which happens to be outlook. It won't populate messages unless the app is open on screen! It does not appear to support active sync or realtime message notification, it never makes any sound when it does decide to display a message. The best thing about it is pretty. Which gets zero points on my book.i tried messaging support perhaps there are settings I missed. They choose to say nothing.","2 people found this review helpful","Spike Email - Your Inbox reinvented","October 13, 2022","Hi Harry, it sounds like you are experiencing some connection issues with your email account that you've connected to Spike. Our support team will be glad to assist you with this, please send us a message to chat@spikenow.com."
"https://play-lh.googleusercontent.com/a-/ACNPEu9jPX36ouRDGcAAhAMGxzCjSqVb0ssmO44XDrLgU3E=s32-rw","Rodney Turner Sr.","","September 10, 2022","So far it seems like a fantastic app, reading text style messages are faster and you don't have to read the entire email, the text topic generally tells you what's happening","3 people found this review helpful","Spike Email - Your Inbox reinvented","September 11, 2022","You got it, Rodney! Spike is all about helping you clear out the clutter in your Inbox faster and making the way you email so much more efficient. Keep enjoying! If you ever need any assistance, we're here: chat@spikenow.com😎"
"https://play-lh.googleusercontent.com/a-/ACNPEu8ydw1R5BZCdxpuuH4vT1j2Bc0fD4tElWRtJLGh0g=s32-rw","Julien Gorilla","","July 30, 2022","Once you get it going it's a good app. Just be aware once you get into the app that it's not a free service if you fully want to use it. You can only search back 60 days in your emails if you're on a free account. It works but it's just something to look out for","7 people found this review helpful","Spike Email - Your Inbox reinvented","August 3, 2022","Hey Julien, to see the full search history, you’ll need to upgrade your account. This way, you can continue using all the tools Spike has to offer - email, chat, calendar, notes, tasks, and video/audio calls - without restrictions. If we can help you with subscribing, message us at pro@spikenow.com with 'Julien Gorilla - google' in the subject."
"https://play-lh.googleusercontent.com/a-/ACNPEu_5CRydukyyxf4JCGn1iiWviuYkhM4pdIMiCY5BbZ0=s32-rw","Chaz Christensen","Show review history","July 6, 2022","Like the app a lot but it doesn't notify me when an email comes in, very delayed. I turned off all battery optimizations and enabled all background activity and it still doesn't notify when it should. Usually I have to open the app to check and then I'll see emails show up on the inbox homepage from like twenty minutes ago. Plus some emails don't fit in the page correctly and you can't zoom in or zoom out to see the whole email... Too many issues to trust, too bad because it's design is good","29 people found this review helpful","Spike Email - Your Inbox reinvented","July 14, 2022","Hey Chaz, thanks for the review. It sounds like you may need to update our notification settings. Please go to ‘settings’>’ account settings’> and check that New Message Notifications are adjusted to your liking. Please drop us a message at chat@spikenow.com we would be happy to assist 😎"
"https://play-lh.googleusercontent.com/a-/ACNPEu_D00bXXDdOKoYyQBrcR_IPb-QtWHY3EF1n81RY=s32-rw","Senorita Diablocita Junior Con Permissiona","","October 29, 2022","Amazing.....unlike the fact that we have to live our lives like other people that destroy everything in everyone else's world because their a lame older than the dirt square that has nuthin better to do than try to rob two exotic squarrels trying to get a nut and maybe a little acorn in the winter time since hybernation is past due diligence at this current moment in time!!!!!","","Spike Email - Your Inbox reinvented","October 30, 2022","🥳 Keep enjoying Spike! If we can ever help with anything, feel free to message us at chat@spikenow.com or follow us on @SpikenowHQ on Twitter for updates and great tips"
"https://play-lh.googleusercontent.com/a-/ACNPEu9RnTlJBb0B49a-I7dBlJcjOkxj-DayfsKQPugtAg=s32-rw","Cedrick Villarin","","September 29, 2022","Awesome! this is the future! But please add privacy in sharing notes, for some circumstances simply i want to show my notes but not letting them to collaborate. just like im pin some notes in my bulletin board. i like the live comments. it's like another chat box❤️ you did great please. to complete this awesome app, and make it perfect, Add Privacy to notes like limit who can collaborate. thanks","2 people found this review helpful","Spike Email - Your Inbox reinvented","September 30, 2022","Hello Cedrick, thank you for your feedback. We are constantly rolling out updates and adding new features, such as privacy in Notes, which help keep everything organized. Do you mind sending us a message at chat@spikenow.com? Our team would like to chat in further detail about what you have in mind 😎"
