"
  Forest: Focus for Productivity ","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu9bcEj4lUeOUhFW8Fa9_NBxDX8Or8RDLodRywmXa10=s32-rw","Sana Khan","Show review history","June 21, 2021","Edit: It is a highly productive app, which helps me focus on the most important work at hand. However, there are two issues with it. Firstly, the Sync feature should be automatic. We shouldn't have to go to Settings every time to update it. Secondly, even after syncing, sometimes I don't see my place updated on the leaderboard. Please correct these problems. Otherwise, it's a really great app.","37 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_AaySiUnbH4ny-XWTLRsAHfx65lLy4E1eAq-KeIQ=s32-rw","Alisha Singh","","July 6, 2021","I have been using this app for a week now..I must say, it's great. The deep focus mode DOENS'T let you use your phone, which helps in controlling your urge and also who wants to kill the beautiful plant anyway? The one issue I have is regarding the sound....there should be a loud bell to remind you ,that your decided session has been completed, otherwise it's just great.","135 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-wrCkGj5nORuyIiMgUFtO4yjlpiq1UrkLG4aNtIn4=s32-rw","Farha Ahmed","Show review history","February 20, 2022","Overall it's a really good app, it's visually appealing, very user friendly and also has trackers to track your progress. But there's just 1 suggestion I'd like to make, if you could add a feature, where once your done with a session it alarms you that the session has finished, that way it's easier to control breaks and the alarm sound makes you feel accomplished.","898 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8j3m73ECDtFnlnF9kLDuKwBWAI3W607rqfQm7N7Q=s32-rw","Yohan Billimoria","","February 11, 2021","Simple apps have less mistakes and bugs. This is a simple app, built clean, and it is clear that the creators have put effort into it. Gain coins by planting trees and focusing. The deep focus mode is very useful, and the system of tree planting and tree withering is fantastic. I have a very short attention span and this is possible the only app that allowed me to score high on my tests. You can buy music packs and different trees with coins. The premium seems very worth it. Thanks.","144 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","January 26, 2020","I can easily exit the app by clicking the home button and go anywhere I want to. The purpose of the app is to stop us from navigating other apps which I don't see getting fulfilled. I can Even go to tabs that I opened and didn't exit without my tree being killed. At first, I didn't know that it was that easy to fool the app,but after tad a bit of time,I realized that it was pretty easy to open youtube while my tree was growing and still ensure that my forest is lush and green. It's lame.","3 people found this review helpful","Seekrtech","January 26, 2020","Hi,
We are really sorry for the inconvenience. Some Android devices could not operate efficiently with Forest.
Could you follow the instructions in the link below and see if it helps?
https://forestapp.cc/faq/whitelist_notification/

If the issue remains, please send the details of the problem to android.support@forestapp.cc.
- Forest"
"https://play-lh.googleusercontent.com/a-/ACNPEu9N_tPA6nWWwlJhVZtyhd1K9V80ZxVRSpT6rNawHQ=s32-rw","Raozee Banerjee","","December 10, 2020","I've been using forest for about a week or so and obviously in the past week I had very less screentime. The app in itself is really nice but it would have been better if the allow list feature was free. That's the only thing I would like to have in addition. For school work u need certain apps so those could be kept in the list. U can use other apps if the deep focus mode is not on but u know how social media is. You are bound to open them. Overall the app is really easy to use and good.","89 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_t45Rrsuu8BQVLJpS1N_VrSrKrm3eBdVvjq5Fg_w=s32-rw","Aditya Agarwal","","August 13, 2020","The app is really good. But I recently found out that the app has access to considerable personal information. For instance it asked me to turn on deep focus mode; one of the permissions for that mode was access to all notifications on my phone which include personal chat messages. This is a bit dicey. If I don't turn on the deep focus mode then the app loses half it's meaning. While turning it on is a potential privacy concern.","39 people found this review helpful","Seekrtech","August 14, 2020","Hi,
The permission in Forest is needed only to operate the mechanism of Forest itself. We have strictly followed the GDPR rule and regulation. Please refer to out permission explained: http://help.forestapp.cc/forest-faq-english-version/android/access-permission-purposes

Feel free to contact us again if you have further questions or suggestion. :)"
"https://play-lh.googleusercontent.com/a-/ACNPEu_YbbsFXZv7TeFx386q_E_SD3_yiyftCYj2HF4I=s32-rw","Noopur Gupta","Show review history","August 30, 2020","I have uninstalled and reinstalled the app 50 times now. It keeps crashing as soon as I switch it on. OR when I do get it, I get an error message in a language I do not recognize. It was my most favourite app and the first thing I installed on ever phone. I have the paid version, owned it for 3 years now. Developers please fix the issue. I love the app and really want it to work!","349 people found this review helpful","Seekrtech","August 30, 2020","Hi, sorry for the inconvenience, please reinstall the app to the latest version again. If it isn't solved, for the free version, please email android.support@forestapp.cc. For pro version, please email premium.support@forestapp.cc or contact us via in-app feedback. Please provide screenshots or videos of the problem and your Forest account details."
"https://play-lh.googleusercontent.com/a-/ACNPEu8vr13sKJUqFu3A8nsfWDOzUMWOeds3fXDdCgNU=s32-rw","Jivitesh Pratap Singh","Show review history","May 15, 2020","A really good app. It helps you focus on your things in the form of a game. And if you get distracted you lose the game. I downloaded it and since then, my focus on study has increased. I recommend this app to everyone who needs focus to do work and gets distracted easily. The ads at end of a tree are not a problem at all. You can just turn off the net and there you go, your ad-free app is here.","156 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","January 15, 2020","Works great on the phone but had trouble multi-tasking on my tablet. The tablet version doesn't let me open a language learning app (or similar apps for that matter) without sending a warning message and killing my tree, not fun to use when you can't do what you set out to do. Such a shame. EDIT: Thanks for the response, I reinstalled it and tried again but the app whitelist is now only with premium in the current version. :(","151 people found this review helpful","Seekrtech","January 26, 2020","Hi,
We are sorry for the inconvenience. As independent developers, we don't take any investment from venture capitalist. and thus we have to strive hard for the operation of Forest. To provide better and stable service and for the long-term product plan, we need to put some features in the Pro version. We kindly ask for your understanding.
- Forest"
"https://play-lh.googleusercontent.com/a/ALm5wu1WM6JZklQ4c8A-BCsOSwBxz436RJXwbvzrna1r=s32-rw-mo","Michael Raver Domingo","","November 3, 2022","This app has helped me focus and complete more things; very useful. I would highly recommend it to someone interested in productivity or anyone who is trying to get things done. I really like the addition of sounds to help you focus. But I found one bug in the app that even when you tap the headphone button so that the background sounds will stop or when my tree is planted, the background sound keeps playing. To stop it I have to restart my device. I would appreiciate if you could fix this.","9 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_78X43juZOZYCsKYNC9gFCZ2uGDRVUmWKovanh-Q=s32-rw","Sina Eshaghi","Show review history","November 7, 2022","Everything used to work great, but I think in their new update, they have added a new sound each time the countdown is finished, a terrible sound is played which I guess it's a ""jungle sound"" but it's really more like loud white noise! There is no way to turn it off in the settings. Plz fix this. I'm not using the app as much as I used to, because of it","22 people found this review helpful","Seekrtech","November 8, 2022","Hello, sorry to hear about this. If you're using the Pro version, please sync your data manually in Forest Settings and then reinstall the app. If you're using the free version, please write to us: android.support@forestapp.cc. Thank you!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_nXKDZGKuVvZVdIyx6n01E0QegWXxqwTIYMKNmeA=s32-rw","Kara Medeea","","November 9, 2022","Brilliant app with a good cause. It's perfect for when you want to focus but want to avoid the distractions. The only downside is that after you plant a tree and you watch an add to double your reward, it sometimes glitches and the reward is never granted. Sadly this happens most of the time, so you lose a lot of coins...","9 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-AFHyT_Xu3i1C0gouBOASIUQ0efQ20aQRMKyOiBQ=s32-rw","Siri Kalla","","October 30, 2022","I love this app in many ways - but I was som disappointed to learn that it only let you plant a maximum of three real-life trees. The whole reason why this app worked well for me was that it feels purposeful to participating in reforestation, which keeps me sticking to my digital detox goals. Without that motivation, the motivation to stay off my phone is so much lower and the app lost its main value for me. I'd be happy to pay more/see ads in order to plant more real-life trees!","1 person found this review helpful","Seekrtech","October 31, 2022","Hi, thank you for choosing Forest to stay focused. Each user can plant up to five real trees. If this is not the case, please send us a direct ticket via our in-app feedback system so that we can look into the issue further, thank you!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8Cu9LT9DqIOQJe8zraE4SjoaKs__SsWsnjz-1d=s32-rw","Davy Card","","September 17, 2022","I'm a senior in college and I've been using the app for 3 semesters now and I'm OBSESSED. I love how you can actually see a physical representation of your hard work, and the plants are adorable! It really helps me avoid getting distracted by my phone both while studying and doing tasks like cleaning. It doesn't completely drown you with ads either, and the few automatic ones are very short. Overall great user experience, the devs did a fantastic job!","87 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8hyDdeCfOOwvv8LX2OZMJwL5iP64WNY60_eth0lTQ=s32-rw","Stephanie Marsh (sfm)","","September 23, 2022","Changes my mindset about focus. I somehow switch to focus work much more easily when I think ""I'm going to plant a tree now"" (positive) instead of ""I'm should stop doing this distracting thing"" (negative). I paid a little extra for pro so I can set an allow list with apps I need for work - worth it. Unfortunately a known bug I reported months ago is not fixed (ringtone sounds when a session completes). I'd like to use this for bedtime, but then it starts making noise at 1am (overriding DND!)","32 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8kI_e5vOg_clxd1P5zcZU3lihwCFubwFEKOcvhaQ=s32-rw","Sarah Grussenmeyer","","October 21, 2022","I don't ever rate apps but I really like this one. I have pretty bad ADHD and it makes it hard for me to sit down and study or do homework. I get distracted easily and don't feel like I really accomplish anything. But Forest really helps me stay on track by locking me out of apps and I get to actually see my hard work through my cute little forest. The pro version is definitely worth it (its only like $3) and I love all of the cute trees and flowers. :)","55 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9LvQi-qrOVZgzV3rv0-qELPm1crp5qxRhCakeUxw=s32-rw","Achu ash","","September 20, 2022","Forest is an exceptional app that just got cuter with the tinytan update. Being a huge fan of BTS and KPop in general, I downloaded. It has a timer and a stopwatch and it even redirects you if you go to another app that can distract you. You can turn this off btw. Next, it keeps records of when you study and has a forest rain sound if you want to listen to music but not get distracted. You have to purchase for bts event though and other items as well.","22 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8IVjrl-iHo-CR0N6FkU1DW1c9xsHNNVO5WmPJc=s32-rw","Athena Mejia","","October 18, 2022","this is a really good app that I definitely recommend, especially the pro version. it gives so many more options and it's a one time payment of like 3 dollars. the only issue I have is that there isn't a type of pause or break button. this would be helpful since things can happen and u might need to stop, but besides that it's a very good app!","12 people found this review helpful","Seekrtech","October 19, 2022","Hello, thank you so much for the positive feedback! We're glad that you enjoy using Forest and find value in the app. We will forward your request to our internal team and consider implementing a pause feature in the future. Let us know if you have other ideas. We're always appreciative of users' feedback and suggestions. :)"
"https://play-lh.googleusercontent.com/a-/ACNPEu_CMjJE0ARUC-b5YRIf3hLRiKz64eQYnC7PQ7RGFQ=s32-rw","Luca Forcier","","November 16, 2022","I highly recommand this app for people who struggle staying focused on tasks such as studying!! It helps you get things done like a little game : The more you get things done , the more trees you will have in your forest! Once you start the timer , your tree will grow! Stopping the app will cause your tree to die so it gives you more motivation to keep going till the end of the timer!! 10/10 would recommend","1 person found this review helpful","Seekrtech","November 16, 2022","Hello, thank you so much for leaving us an awesome feedback. We are always working hard to improve the app and so glad to hear that the its design is appreciated. Wish you all the best in your focus journey! :)"
"https://play-lh.googleusercontent.com/a-/ACNPEu8bP-epyN1ESuUXdyGFTFZdDJmNlRpVbKwa3NF1Mg=s32-rw","asmaa","","October 17, 2022","It's good but the Google extension isn't the same as the app. I tried to use the tags I made in the extension but I can't even find them. That's the main reason I got premium and I don't want to keep my phone with me when studying on PC, so it's disappointing. We also can't pause for breaks which is kinda counterproductive. It'd be cool to have a feature to enable/disable pausing. I haven't used this app for long so I may be confused but it's useful & cute overall :)","4 people found this review helpful","Seekrtech","October 18, 2022","Hi, sorry about this. Forest extension is currently a free tool and thus, many premium features are not included. But we will continue to make improvement. We will also be forwarding your request to the internal team and consider adding a pause feature in the future. We apologize for the inconvenience caused and kindly ask for your understanding."
"https://play-lh.googleusercontent.com/a-/ACNPEu83DWcFQ7HPjQMW_ipogJBqnI58nKP3cE3vahIMlg=s32-rw","Francois Guibert","Show review history","October 5, 2022","Very promising app. A few missing features are preventing me from using it in my daily work routine : - I didn't find how to see the timer on the locked phone screen - i'd love to setup my break duration automatically as in pomodoro (for exemple, 4 minutes, and 15 minutes after 4 sessions). And starting the break with a single click. Still couldn't have the timer on a locked screen, even though I removed battery exceptions. Thanks for your reply anyway.","20 people found this review helpful","Seekrtech","October 5, 2022","Hi, thank you for the feedback. Please turn on the option ""Countdown notification"" so that you can see the timer on lock screen. Regarding the setup of automatic breaks, we will forward your request to our internal team and see if we can work on it in the future. Thank you again for sharing your thoughts with us. Have a nice day! :)"
"https://play-lh.googleusercontent.com/a-/ACNPEu9f3m0lSHDyfIsGxBXiLNRy6XKRAl_Ij3YhDfrfUA=s32-rw","Atlas Wilson","Show review history","October 20, 2022","A WONDERFUL productivity app. However, there's a suspicious amount of background activity going on. Haven't looked into it further but for an app that's basically a timer, it shouldn't consistently use more battery in the background (even after manually closing the app) than actively watching YouTube. Could just be a bug but definitely suspicious Edit 2: Developer replied and now I'm downgrading to one star. There is NO reason for Forest to continually search for apps when not in a session","55 people found this review helpful","Seekrtech","October 20, 2022","Hi,
As Forest has to continuously detect the usage of other apps to ensure the proper functioning, planting trees requires certain amount of battery. To reduce battery usage, you may plant trees with your screen locked and/or remove Forest from the background when you're done planting. Thank you for your understanding!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8LsbTI9LzMUqBOSW7jOOJ_4mjyvgWxwSE5Mt7LY7w=s32-rw","Reagan Connelly","","October 6, 2022","I love this app! It's so fun to plant a forest and now all I want to do is work and study to make my forest denser! The only things I would change is that there is no pause button and sometimes I'll be 30 minutes into an hour session and I'll have something unavoidable come up but if I stop the timer, my tree will wither. I also can't figure out how to turn off the ambience without restarting my phone😅 otherwise a fantastic app!!!","27 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu3RqFiChuM87o3Z9ub8oqQNRc1tPjvMdZW_uJVUag=s32-rw-mo","Kester Griffiths","","October 31, 2022","Been using this app for years, really great idea. Just discovered that it doesn't accurately track time at all. On the forest tab it tells you how long you focused on a particular day. But if you actually count each tree the real time focused is higher! This makes the app absolutely useless for actually tracking time.","1 person found this review helpful","Seekrtech","October 31, 2022","Hello, sorry to hear about this, but this does not sound usual at all! When you have a moment, please write us an email specifying the issue at android.support@forestapp.cc. Our support team will listen patiently and provide further assistance. Thank you!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-Do9abvyFGGo39s6tnxNQZMllef8Bo6z68kjO0=s32-rw","lena viitanen","","September 19, 2022","I go through different types of motivation apps all the time. This has the bonus of being able to work to unlock some plants, but after I have unlocked those I do not know if I will continue using this app. Hope they come up with new plants! This app is one of my favourites because I can categorize my time in different tags as well as leave the app running on the background if needed.","2 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2xvNCFX-_MOIr2I5_JDCzjSsis1h85QdBzpAoy=s32-rw-mo","BJD","","September 12, 2022","One of the best with the one big draw back so many of these apps have - no visual timer suited to peripheral vision. No shrinking circle or shrinking bar, you're either looking at the size of the tree or reading the timer. Hopefully one day they add something easier to see without looking directly at the phone.","2 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_r6QbEqShZU6XVj-gbInF_GpiHUlT_a2mDfwzFOg=s32-rw","Rivkah C","","October 11, 2022","I've only been using for a few hours but so far it has been easy to learn the basic features. The monetization is a bit annoying, but I'm planning to upgrade to remove those elements (unless this app has a subscription model, in which case I'll suffer through the ads etc.)","7 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_4oisMyD3QtCRpVBqSNqRclF8cTBUnWw3RjQxlM3Q=s32-rw","Paper Maiden","","October 31, 2022","It is very nice app. Can actually help you focus on what you're doing. Just make sure to open the deep focus option. What I love here is that it makes me not touch any app especially that I have problem in my focusing system. It's just that it has a premium option. I can't afford that so I'll settle for less muna","6 people found this review helpful","","",""
