"
  Evernote - Note Organizer","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu_qXQyWo7gMGSIzr1bmsWDDPjtdbnnGDsnVCu_P=s32-rw","Tomasz Pietrzak","","November 19, 2022","Used it back in the days when it was fully free (at least Im pretty convinced it was). Now I discovered the paid version, still sticking to the free one because it takes care of most of my needs. The paid version seems relatively expensive, though might totally be worth it for some. Great app, lots of functionality, good looking and clear GUI and Im planning to use it to replace the samsung notes app on my phone.","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0sH6g9CkYvJxArHTxROE0k0xtKU3XDudqhuaN5jA=s32-rw-mo","Luca Bnz","Show review history","November 20, 2022","Cannot edit notes, have to restart the app to enter edit mode. There was an article called Evernote, the bug-riddlen elephant, and that was back in 2014. Seven years later, still the same. A brand new version work lots of useless new features, removed some of the useful old ones, and full of bugs that are going to take months, of not years to get resolved, thanks to paying customers. Mobile app extremely unstable, have to restart multiple times to edit notes. Edit nov 2022: keeps crashing.","70 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu21qv32_KkXzYi_INM1GHQ80X8lpX-nOpTmuFho=s32-rw-mo","Jessica Jordan","","November 7, 2022","I used to LOVE this app as I am a big list maker. However the most recent updates have been majorly glitchy. Changes aren't being saved and now I can't even access my notes at all and I have important things in my phone that I don't have saved anywhere else. It is frustrating to the point that I'll be switching to something else. I won't even go into how many times it asks you to buy premium, then tells you that you'll lose the offer. If only! I've declined a hundred times.","32 people found this review helpful","Evernote Corporation","November 10, 2022","Hi Jessica - we’re very sorry to hear about your experience and would like to investigate this issue further. Please reach out to us at appreviewhelp@evernote.com from the email address associated with your account along with details around what happens when you try to access your notes - we’ll be happy to help."
"https://play-lh.googleusercontent.com/a/ALm5wu0AGQ03s6Gtm1pdRYxl1YjdAHfxOoebO-VGe5Wn=s32-rw-mo","Matt Jaffe","Show review history","November 10, 2022","This app consistently does strange things when editing notes - deletes random words or whole paragraphs when backspacing once or tapping enter, cursor jumps to random places, locks up, etc. It also constakes takes 15 seconds or more to open - frustrating when you're in the middle of something and just want to make a quick update. The latest issue, I can't see any of my notes or notebooks from the app since a recent update. The web interface works great, but the Android app is terrible.","15 people found this review helpful","Evernote Corporation","November 11, 2022","Hi Matt— We’re very sorry to hear about your experience. This particular issue should be fixed. Please update your app to [10.43.1] to resolve this issue. If the issue persists, please reach out to us at appreviewhelp@evernote.com from the email address associated with your account - we’ll be happy to help!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-BVI6tZLdi5ip4pjNTi_d7szH2zgpfHEXZT71M8_k=s32-rw","Greg Metzler","","November 6, 2022","What did you do to break the App? This has been my goto App for note-taking. Now it is unusable. My notes won't display, there is a lot of synch failures creating duplicates... which I can't fix... because I literally can't do anything. Oh... and the ""send feedback "" button doesn't really let you or this review would have been provided there. It simply say ""Thanks!"" with zero opportunity for input. BL: I don't want to dump an app I'd normally give 5 stars to... but I need a usable product","46 people found this review helpful","Evernote Corporation","November 9, 2022","Hi Greg - we’re very sorry to hear about your experience and would like to investigate these issues further. Please reach out to us at appreviewhelp@evernote.com from the email address associated with your account - we’ll be happy to help."
"https://play-lh.googleusercontent.com/a-/ACNPEu_KA5PurKK9-BpZkWAhMR_po3lDBMwxO9Yx2n75Fzc=s32-rw","Mindy Miele","Show review history","November 10, 2022","My app became completely unuseable on 11/8/22. At first my notes would not update or save my edits. Then it degraded to the point that I was unable to access any of my notes. When I clicked on a note to view it, I would get a completely white screen with an endlessly turning grey circle in the middle. I read your response to other reviewers with these issues & laughed. The security policy doesn't allow me to screenshot. I uninstalled & reinstalled to fix my problems. Will export my data ASAP!","6 people found this review helpful","Evernote Corporation","November 11, 2022","Hi Mindy— We’re very sorry to hear about your experience. This particular issue should have been fixed. Please update your app to [10.43.1] to resolve this issue. If the issue persists, please reach out to us at appreviewhelp@evernote.com from the email address associated with your account - we’ll be happy to help!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-ieqIy7bU9rh4-cvOllZklg-D4mMEV3bTZ35uyGg=s32-rw","Dennis Kang","","November 9, 2022","unfortunately I'm going to have to reiterate what many users are saying. recently this app which has been quite stable is full of bugs on my android Samsung phone. for one it seems to be having issues with my blue screen filter app, as well as my keyboard causing those apps to constantly crash, and on top of that Evernote app has stopped saving my notes properly. I've lost many of my notes recently and I'd I don't loose my notes, the app seems to be duplicating my notes leaving multiple copies.","9 people found this review helpful","Evernote Corporation","November 11, 2022","Hi Dennis— We’re very sorry to hear about your experience and would like to investigate this issue further. Please reach out to us at appreviewhelp@evernote.com from the email address associated with your account - we’ll be happy to help."
"https://play-lh.googleusercontent.com/a-/ACNPEu8o6VPO1FWu52DNJTGdhg1UW6su5hCSwXIQbTjr4g=s32-rw","G.C. Da Biz","","November 8, 2022","So let me first say that I've been using this app for years and I love it. It's been very convenient and usually works perfectly. However, for the past few weeks now it's been very glitchy. At first my notes would take a longer than usual time to load. Then I started getting duplicate notes. Now today none of my notes will load at all. I can see previews of my most recent notes but when I click on any of them I just get a spinning circle and nothing loads up. I need help!!!","7 people found this review helpful","Evernote Corporation","November 10, 2022","We’re very sorry to hear about your experience and would like to investigate these issues further. Please reach out to us at appreviewhelp@evernote.com from the email address associated with your account - we’ll be happy to help."
"https://play-lh.googleusercontent.com/a-/ACNPEu-B-t_waX7_z1KfG0RZY0JRuBdJBfvxUH_0Voec2g=s32-rw","Bear","Show review history","November 11, 2022","I love this app, but recently it hasn't been letting me edit my notes at all. It'll perpetually say ""checking for updates"" but never gets past that point. I've had to resort to writing things elsewhere and copying and pasting it when I'm back on my desktop. I also have a persistent issue where highlighting text to delete it will not only delete what I intended, but also partial words that preceded it. I've also had this happen with just hitting backspace.","1 person found this review helpful","Evernote Corporation","November 11, 2022","Hello— We’re very sorry to hear about your experience and would like to investigate this issue further. Please reach out to us at appreviewhelp@evernote.com from the email address associated with your account - we’ll be happy to help!"
"https://play-lh.googleusercontent.com/a/ALm5wu3Rlcv1U3znmLXbuwqulfGY66FHozK-sUQtYQR8U2Q=s32-rw-mo","Tim M","","November 8, 2022","This morning, after spending an hour of note taking, the app would not save the contents. I waited for the ""green check"" in the corner, but it never appeared. My colleague was kind enough to share their notes, but it made me look incompetent! I won't go back to using this app until they work out the bugs. Now the PIA task, TX everything to Onenote. 😡","6 people found this review helpful","Evernote Corporation","November 10, 2022","Hi Tim - we’re very sorry to hear about your experience and would like to investigate this issue further. Please reach out to us at appreviewhelp@evernote.com from the email address associated with your account - we’ll be happy to help."
"https://play-lh.googleusercontent.com/a/ALm5wu19pfqyufHxs23bTrldc1Ut1UX4Sqz-EisEPAsy=s32-rw-mo","Jason Newton","Show review history","November 9, 2022","Latest update killed Evernote app, can't even load notes, doesn't work. Web version works but slow, and UI is not what I'm accustomed to so it's cumbersome. I use Samsung tablet primarily, but also have Samsung phone, have used and has worked well for years and now my info is being held hostage in the app! Please fix or roll back. I don't want to go to another app but can't work with this in its current form","7 people found this review helpful","Evernote Corporation","November 10, 2022","Hi Jason - we’re very sorry to hear about your experience. We’re aware of this issue and are working on a resolution ASAP. If we can further assist, you can reach out to us at appreviewhelp@evernote.com from the email address associated with your account - we’ll be happy to help."
"https://play-lh.googleusercontent.com/a-/ACNPEu9l4oq34NjU6Dsi553_eWjGp2g9IRKfZOvwTECRH1Y=s32-rw","31 Witches","Show review history","November 10, 2022","Like I've said before. this WAS a life saver but something is broken. It's not letting me edit or add anything. It let's me do all the work but I hit ""Done"" nothing happens. I wait till I have no choice but to x out. They Key is the tags, but while it retains some I input. the notes I created them for aren't saved. Please fix. I love this app! have ADHD and this really helps keep me on top of things. I","23 people found this review helpful","Evernote Corporation","November 10, 2022","We’re very sorry to hear about your experience and would like to investigate this issue further. Please reach out to us at appreviewhelp@evernote.com from the email address associated with your account - we’ll be happy to help."
"https://play-lh.googleusercontent.com/a-/ACNPEu8f55ez18TRfGPneLgQlNCE9OWfgvw8KgFxNU1LyA=s32-rw","laura grella","Show review history","November 14, 2022","Used to be easy & reliable. Now it seems like they're making it glitchy/horrible to get people to pay for a 'better' tier. Most of the time notes don't load & when they do, they automatically create multiple duplicates. I can't scroll without jumping all over the place. Can't edit anything. At this point I want this waste of time/energy app to work just long enough so I can copy my notes to a higher quality alternative & cancel Evernote altogether. Emailed customer support- they never respond.","8 people found this review helpful","Evernote Corporation","November 18, 2022","Hi Laura— We’re very sorry to hear about your experience and would like to investigate this issue further. Please reach out to us at appreviewhelp@evernote.com from the email address associated with your account - we’ll be happy to help!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-gWqQgX1I8XIIWTYFbLsjWV8IMtGcoqAXnQrWQFHw=s32-rw","Joseph M","","November 10, 2022","I've used this app for years. It's been reliable and trustworthy. The last few days notes have started saving multiple versions, failing to sync content, and now I can't even open the app at all. This is a huge breach of trust for me. I use Evernote daily to take notes for therapy and now I can't record my own thoughts. Please fix this or I'll be forced to find another service.","6 people found this review helpful","Evernote Corporation","November 10, 2022","Hi Joseph - we’re very sorry to hear about your experience and would like to investigate these issues further. Please reach out to us at appreviewhelp@evernote.com from the email address associated with your account - we’ll be happy to help."
"https://play-lh.googleusercontent.com/a/ALm5wu2LItKnMjuYjxWRKdXnBG4nEQzH-wMycjgUyFN8=s32-rw-mo","Daniel Kisa","Show review history","November 20, 2022","I use Evernote extensively for scanning large piles of receipts and find the scanner app very buggy requiring me to rescan the same receipt multiple times. It intermittently works which makes no sense. Changing the format to Document BW works about 2/3 times, the other times it messes up the image. I have a relatively popular and powerful phone, the Samsung S20 FE. Evernote, please test your product!! Do not ask user to do testing for you, unless you are going to compensate them.","2 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_HD1-GVX5WqIRMisSdn-hBejfFDjP1sE15gQ1K=s32-rw","Susan Schoen","","October 23, 2022","I love Evernote because I can access/edit it on both my phone & laptop. It's handy to be able to view when you are off-line. One thing that I do NOT see as an improvement is that it doesn't ask you if you want to save changes before you exit. A feature that I would appreciate is that if there is a note conflict, if it would highlight what the differences were between the two. In other words, highlight what is in one version as opposed to the other as there can be deletions & additions. Thanks!","22 people found this review helpful","Evernote Corporation","October 24, 2022","Hi Susan— We appreciate your feedback! We’ll be happy to forward your request to the appropriate teams, as we use these requests to add weight to decisions in our product roadmap. Hopefully, we can add save reminders and note conflict comparisons in the future!"
"https://play-lh.googleusercontent.com/a/ALm5wu1CoYbSXK6FrszKenNhjnAS8uGKIXNLwCrWQv09=s32-rw-mo","Elijah B","Show review history","November 16, 2022","For over a decade Evernote's been one of the most seamless & useful apps ever made for smartphones. But somewhere in the last year or 2 things have slowly declined to the point that its getting so frustrating to use the app that I find myself using it less & less. I'm getting to the point that I'm wondering if I need to find a better replacement & start moving things over. I've got a decade worth of my life in this app so obviously that's the last thing I want to do. But idk what else to do.","36 people found this review helpful","Evernote Corporation","May 2, 2022","Hi Elijah - we’re very sorry to hear about your experience and would like to investigate this issue further. Please reach out to us at appreviewhelp@evernote.com from the email address associated with your account - we’ll be happy to help."
"https://play-lh.googleusercontent.com/a-/ACNPEu9ik1ZuV5tiCNUe2GMICd73GI81M9HchWsXyhfBWg=s32-rw","Aaron Nikola","","November 3, 2022","This app doesn't sync properly between phone/computer. It always creates duplicate conflict notes and it takes mmforever to figure out which one has the newest information on it. When I create check lists on my computer and check something off from my phone, all of the check boxes turn to bullet points. I always have to change them back because I need to see which things are checked off without deleting them completely. Changing apps today!","7 people found this review helpful","Evernote Corporation","November 4, 2022","Hi Aaron, we’re very sorry to hear about your experience and would like to investigate these issues further. Please reach out to us at appreviewhelp@evernote.com from the email address associated with your account - we’ll be happy to help."
"https://play-lh.googleusercontent.com/a-/ACNPEu9qINDgWmpM4KtkyHBkORw5LvBd6wXKuYJ7eOOCTUU=s32-rw","Jeff Johns","","November 12, 2022","I'm not sure what this app is trying to achieve but it is not being a great note-taking app. After using it for many years I've now decided to stop. There are numerous bugs, from having to select ""find in note"" twice to make the search appear to losing text after the cursor when holding down backspace to erroring out while editing notes and creating 5 copies - it's no longer worth the risk of losing information I care about and need.","2 people found this review helpful","Evernote Corporation","November 18, 2022","Hi Jeff - we’re very sorry to hear about your experience and would like to investigate these issues further. Please reach out to us at appreviewhelp@evernote.com from the email address associated with your account - we’ll be happy to help."
"https://play-lh.googleusercontent.com/a/ALm5wu3CCGfUJ_73Q6z7eQpqNlmqawzcGYBMOtK1mbMe=s32-rw-mo","Andrey Panarin","Show review history","November 13, 2022","Don't know what business analytics think of, how developers done this but the app is getting worse and worse. I've been using it since 2016 and at that time the app worked much stable and convenient. I think if nobody would touch it during the last 4 years it would be even better, every change made is just terrible. Now it just can't manage even with main functions! When I try syncing notes: 1) nothing happens, green stickers are still on the notes 2) I've always gotten conflicts.","4 people found this review helpful","Evernote Corporation","November 18, 2022","Hi Andrey - we’re very sorry to hear about your experience and would like to investigate these issues further. Please reach out to us at appreviewhelp@evernote.com from the email address associated with your account - we’ll be happy to help."
"https://play-lh.googleusercontent.com/a-/ACNPEu-wmOAQYDqp5ocndSn0wx_TYYrIPATXkw_xKvcv=s32-rw","Michael Dixon","Show review history","November 18, 2022","Mobile app will not sync, uninstall reinstall resets it to mid 2021. After several days I finally got an updated sync and then it stopped again. It has now been more than a day with no updates to my mobile platform. Before you go there, yes, modern Samsung phone, up to date and the app is BRAND NEW because I keep uninstalling and reinstalling, but, still no regular sync and even selecting the manual sync in the settings drop down accomplishes NOTHING. What is the point - other apps work!","1 person found this review helpful","Evernote Corporation","November 18, 2022","We’re very sorry to hear about your experience and would like to investigate this issue further. Please reach out to us at appreviewhelp@evernote.com from the email address associated with your account - we’ll be happy to help."
"https://play-lh.googleusercontent.com/a/ALm5wu3vdkEzrTwV-Su_mN-N_lx83qEcIwhuGB307_vn=s32-rw-mo","Maureen Gillis","Show review history","November 13, 2022","Used Evernote since 2010 and LOVED it. Happy to pay for Premium. Its now unusable, especially on android. Duplication, losing notes, not saving, slow or won't open notes, circle of death, search not working. Now I'm bricking it that I will lose all the essential info I have stored for 12 years. Please please revert back to working version. Now googling how to export all my notes as have completely lost confidence in tool. Will cancel subscription when my data is safely stored elsewhere. Shame.","18 people found this review helpful","Evernote Corporation","November 18, 2022","We’re very sorry to hear about your experience and would like to investigate these issues further. Please reach out to us at appreviewhelp@evernote.com from the email address associated with your account - we’ll be happy to help."
"https://play-lh.googleusercontent.com/a/ALm5wu3bPRJiokRWIcNn5fMYKqfyCWAIJJlnxvtPnb66=s32-rw-mo","Lewis Elliott","Show review history","October 28, 2022","A very convenient app for note-taking. It's useful too that your notes are stored in the cloud, so you can access them from any device. However, there's an annoying problem: my notes keep duplicating for no reason. It's getting frustrating to have to open and delete several copies of the same note. I don't know why this is happening, I've never intentionally duplicated a note.","21 people found this review helpful","Evernote Corporation","November 1, 2022","Hi Lewis - we’re very sorry to hear about your experience. We’re aware of this issue and are working on a resolution. We recommend turning on automatic app updates to ensure you receive the fix as soon as it’s released."
"https://play-lh.googleusercontent.com/a/ALm5wu3je93sgiRbgo0x11V7k3BOjpEGpECuEFlrOj4W=s32-rw-mo","Ryan Nicoll","Show review history","October 30, 2022","I've been a user since 2013. If you want to scale up your organization, you need more than just a to do list app. Evernote is one way to go. I recently switched to a new phone and Evernote app from v8 to v10. It was a jarring change at first, but the new version helps save me time through the configurable home screen: I can show a list of notes with reminders due today right there. I seem to be able to more quickly and easily search to find what I need now too.","23 people found this review helpful","Evernote Corporation","October 4, 2022","Hi Ryan - we're sorry to hear about your experience. Feel free to reach out to us at appreviewhelp@evernote.com from the email address associated with your account - we'll be happy to help. 💚"
