"
  Habit Tracker","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu-zZMXSDh_Hkqgzx8RYKETa7oQ6gGFL8ITdD4JNEg=s32-rw","Namitha Satheesh","December 7, 2021","I have used the app for only a couple of months now. Love the scoring system and the related graph the most, which makes it really easy to see how well I'm doing over a period, rather than just the streaks. Multiple streaks display, with all of them in one place. Very easy and simple interface -the best proof for simplicity rules. Recommend to anyone trying to build it maintain a habit!","64 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_HyBQ4Tf0H_GYfPklelpu8e5RROsyBf5WbIkLALQ=s32-rw","Tech Gawwd","July 2, 2020","I have been using this app since few years. It's very minimal and absolutely great. Thank you. :) Can you add an option where we can mark as ""X"" if we didn't do it.. ""Tick"" ""Cross"" and ""Blank"" ?? Coz sometimes I don't realise if I didn't do the task that day or I forgot to open the app.. If there is an option to ""cross"".. it would be clear that I haven't finished the task that day.. and if it is empty.. it just means I forgot to update the status.","4 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu0WdU1Xrx-t_ElIj7Az_ODZtYJbF0aJb4gvYLpw6TM=s32-rw-mo","Ritu","October 23, 2021","The simplicity and ease of use is the best thing. I've tried using numerous apps which have a lotof features I wanted but eventually they became too tedious to do everyday. I think if keeping track of our habits itself becomes a difficult habit to maintain, then it's doomed to fail. This app lets me not only mark habits as done/not done, but also makes the distinction between a lapse (failure) and a skip (not a failure). And it still remains easy to use!","13 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-QIhHeAseW3o6n36ZGwmuKoIaDWBRI4zSP2nhvXxI=s32-rw","Shraavan Acharya","July 5, 2020","Would just like to have a small feature changed, where the top scroll only shows the date and day. It sadly does not mention the month and year. So basically something like a week/month view like most calendar app, but even in a simple view. Also, have you considered allowing 0 of 7 days as a valid tracking option. It'll help to track habits you're trying to break. Love the app btw, really cool","7 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","April 25, 2020","I love it. I absolutely love it. Suggestion: Could you please make it look aesthetically better? I mean, I like this look, but it's really compact and dense and the crosses that you hold to transform them into ticks don't feel very satisfying due to their small size. You know, that little ""satisfaction of the click"" makes all the difference in the world. It's a mental trigger to make you want more of that feeling. Also, please introduce more colours. All that for aesthetics.","7 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","November 29, 2018","This app is so good. Have been searching for an app like this. There are other good apps but they don't let you create your own habits. And they most of the times show your progress in the form of a graph or something. This app shows me my monthly achievements throughout the month in a glance. I wanted something that could show me how often I have followed a habit in the whole month. I love it..","13 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8tF3YVzzftkn9YRRApMYPCsaAQHKwiRHt8xkea2Mc=s32-rw","Chaitanya Shahare","September 22, 2021","I haven't used it for long but already have found it useful, the UI is clean, minimal and aesthetic it is very pleasing to get some data in and see all those stats and the app also has widgets that is a good way to remind myself to do something everytime I use my phone , very helpful app! Update: been using it for 9 months now and got to say it's one of the best productivity apps I've ever installed. I still stand by my first impressions.","48 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","December 19, 2019","It's been of great use! I use the app to track my workout plan. It has been doing just that smoothly. Lately, the app has developed a glitch. It automatically highlights days that I did not tap. I cannot even undo them. It forcibly counts them as days I have worked out. Please fix this issue soon. Its defeating the purpose of the app.","6 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu87ZPTGJHhegY-si4VyF8jJ68o473GVmuiwrRzPDA=s32-rw","Shhuayb","January 13, 2022","I've been using this app for over a year now and there are a few things that I feel is missing from the app: 1. Data synchronisation: Add a feature where we can save our data online automatically after each entry. 2. iOS app: I'm thinking of switching over to iPhone but the sad part is that your app is not available on App Store. This leads me to move over an alternative app which will be compatible on both platforms. 3. Add more vibrant colours to Habit Names. Thanks for this beautiful app!","89 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-8lLVots-owPxsVF4yxs15HxDi4lJcetyNhh1oEQ=s32-rw","Goutham A G","June 16, 2021","This app is very good, easy, helpful with good design. The features it includes are the exact ones I was looking for. I am grateful for the app. It increased my performance, skill set and helped me to keep up the pace. BUT I have one suggestion. I need multiple windows. For example one for tracking general habbits, one for tasks related to the professional life, one for tracking learning sets etc. I guess, if this is implemented, this app goes next level. And I also rate five starts. Thanks.","69 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu0SRzmxrGPCdo81BKtmmIt96n0rg7CSMfz8OXaaSTE=s32-rw-mo","Harpreet Gill","December 19, 2020","It's an incredible app, maybe the first app which truly has me sticking to my habits, hats off to the sticky notification config. I have one minor backend feature request though - the notifications/reminders only pop up when the app is opened. This somewhat defeats the point of reminders, as I have to open the app to be reminded of all habits i missed so far. Can this be configurable so that it integrates natively as push notifications? Only reason for one less star, all else perfect.","26 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-KaWCl2yH8kKAnH7uDG70wUPOnOhJLZ0v0g-qmJw=s32-rw","Nishant","May 22, 2020","This is a complete habit tracking app. I've tried many apps which had many over the top things like goals, dreams, etc. but failed to manage having a proper notification with a Yes or No button. This is, by far, the best habit tracking app I've used. The good; • It's simplicity. • It's free and has no ads. Wow! • It manages data well and can I can back it up. • Has customisation options. Thanks developers! You are awesome!","204 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9qEAYNgQQsi-QCE5kFq1eOBII8JM4-L_ZFkgRjjw=s32-rw","Ritobrata Ghosh","February 22, 2021","Absolutely fantastic, useful, and visually stunning. The app is visually stunning with the dark mode. I am grateful for the fact that they developer didn't put in ads or limit functionality before a paywall. Great visualizations, graphs, and analysis are available. Highly recommend that you use it. No need to pay for apps that offer a lot less functionality and charge highly.","15 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","December 8, 2019","Review after using the app for over a month. This app needs a little sophistication. There are times when out of compulsions we are not able to stick to our goal of performing something daily. It is unhappy to see streak being lost without our mistake. There can be an option for including on a certain day a box wherein we could write why we couldnt do something that day. That can also help in future to go back and see what happened that led to non performance. That way 1 can avoid same mistake.","4 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9IKTgQ7y5LBlLmb2UkblCTWulBtQX3r6rYey3EJkU=s32-rw","AMISHA NARSINGANI","July 6, 2022","It satisfies all the habit tracker facilities. Tracking all habits everyday with just a simple tick, giving statistics of them and sending reminders on the set time. I really wish to have a single widget to track all the habits, where all habits can be checked with a single click in the widget. Current widgets need to be placed 1 by 1 on the home screen, an entire list of all the habits as a widget would be great and helful for a procastinator like me 🙃","23 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","May 3, 2019","I have been using it for more than 2 months and this app definitely helped to keep me on track. I feel proud on myself each time I put a tick. It also shows a graph which goes up or down according to my habit. I feel really good when that graph goes up and up. It boosts my confidence and makes me want it to keep it like that, not to skip a day. Thankyou Loop.","2 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9Bm00KJpnF5qg81IKmGHUVsdpwUo6GcLeqgE2yQxg=s32-rw","Aakarshit Jaswal","May 18, 2020","It has to be the best app for tracking habits, the user interface is simple and there is a ton of statistics for each habits available. The best part is it has widgets as well that shows you the best streaks and the calendar for every habit you have. The best app, thanks to this app I am able achieve my goals everyday. And able to track them.","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","January 13, 2019","A simple exponential moving average way of tracking your habits is surprisingly the best I've seen till date. I used to keep track of my habit streaks and that didn't last long since you had to start again from 0, if you missed your habit for a single day. This app is a more realistic way of tracking your habits. Kudos to the developers for implementing this idea!","11 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-_7CvdcQNTcJ8L1BlYQmoJGDuUicD6sy-_Vlsm8Q=s32-rw","Aditya Sangwai","August 31, 2020","Best best best app in the world if you want to get in a particular schedule I would really like to thank the developer, only because of you I am not lazy anymore I am following a productive schedule. The interface is so simple and easy to understand. Prefect app for the guys who really are motivated and want to change their life. As this app is perfect and dosen't need and modifications but the least thing you can add is a bunch of motivational quote in notification about habits. Thank you.","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","May 4, 2019","the app is awesome. I've been using this for a long time to track my habits. the smooth and minimalist ui attracted me.but there is one thing that i require. i need cloud sync ability. why? because i have been using this app for tracking my 3-4 month old habit. unexpectedly my phone got format and i did not have the backup data for it. i had to start again. i had never expected anything like this. such a thing can discourage a dedicated person who's trying to make a change in his life. thanks!","6 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu0xJXZ_MosX-qjwcSoN9YuWX65V4gzsbrIoI_M9=s32-rw-mo","himthegreat","May 5, 2020","This is one of the best Habit builder app, no app can compete with UI of this. But there are some disadvantages. 1) I want to set counter/day for a habit, once reached can only consider the task/habit as complete. Like drinking water can only be consider as complete if it is done 8 times in a day. 2) based on 1st point, I want to set multiple reminders in a day to complete the task. 3)set strike target like if user want to set number of days by which he/she can consider goal acomplished.","5 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","May 4, 2019","the app is awesome. I've been using this for a long time to track my habits. the smooth and minimalist ui attracted me.but there is one thing that i require. i need cloud sync ability. why? because i have been using this app for tracking my 3-4 month old habit. unexpectedly my phone got format and i had to start again. i had never expected anything like this. such a thing can discourage a dedicated person who's trying to make a change in his life. anyway thanks for making a +ve change in my life!","2 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-vDYEv14SJhhoiwWsfU-l7iTgqE2bE_OmVK3nSfQ=s32-rw","Ashis Roy Barman","February 3, 2022","App is very useful. Features are upto the mark. Widgets are very good. However, avenue to put two or three reminders at different times of the day per habit would have been more useful for me. Conversely thinking, being minimalistic is good sometime, habit building is serious life changing task, too much features may not be a good idea always. So decision is upto the developer. Anyway, excellent.","61 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu0DRf_0eDTRTVTmtyV25FtRe4E-2rysr58N0HOJ=s32-rw-mo","Edwin Jose","June 22, 2021","Been using the app for well over a year now, maybe even 2 years. Love it. I do have a suggestion, not sure if it aligns with the vision you guys have for the app, but what do you think of a feature where you can track a habit for a day, multiple times. Rn, you can hold down on a day to check a habit for that day, but it would be nice to have a feature where you can track something you do multiple times throughout the day and it logs the time as well, AND it counts towards the total count.","2 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8wCR8-MxoqcsT7ZZXvMNfrFi34LQMkidmW1J_yZA=s32-rw","Anuranjan Singh","August 22, 2020","Amazing application for being productive and keeping track! I would like to make a suggestion, if it reaches to you. On creating a checkmark widget on screen, is it possible that if I checkmark a habit, it asks me the question I have specified and I get two options, Yes or No for marking the completion. It will be a good reminder to check if I completed the task as per question! Hope it reaches you..","12 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","April 20, 2020","Eady to use, No fuss.. Works perfectly! I just wish I could make MULTIPLE accounts sort of thing in the app. For example, habits in Summer & winter differ for me. Habits that need to be followed when back to school. I would happily run paralle instance, but thats not in-built either. If the developer manages something like that, this app will be GOLD!","4 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_hs2rINRjUz-RRLv7cuURkPe7b4JJ-gvZBhLkUkIc=s32-rw","mayank mahajan","May 5, 2021","This app has a minimalistic design yet offers all the necessary features. Mostly habit trackers on play store offer many unnecessary features for customization which end up causing a lot of distractions. On top of that, this app is free. It's the best in class, 10/10.","24 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu3IyHHuBaCT2QIRQpagwkHNRVFZN6QHEFzg_gAi=s32-rw-mo","Kate Jordan","October 31, 2022","I downloaded this app only last night and so far I love it. I tried a few other habit apps, most of them either charge for more than 5 habits or the interface is a bit rubbish. This app is cool and is fully editable. One thing that I've noticed (unless I've missed it), is that there's no option to set multiple alarms for each day (for example to remind me to drink water throughout the day), so I've just set multiple alarms on my phone instead. Apart from that it has everything you need imo.","7 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_FlNyNvpmtSVALL_Ru_tPGhIjBZd3S3l00VsyhsQ=s32-rw","Elizabeth Cannon","October 29, 2022","I really love the simplicity of this app. It's perfect for what I need. Not too many distractions or bells and whistles, just simple tracking of what I need to do and have accomplished daily, weekly, or monthly. Helps me to remember to do recurring tasks and also take credit for the things I got done. I like that you can choose either a yes/no option or a quantity and can set goals and it shows your progress and whether they've been met, but all in a very simple, clean interface.","8 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8YEOOA0BY9m9SM1nJZuR_b73m_QLA6pxNNSXV9E8w=s32-rw","Trapper MA","November 3, 2022","Very nice. Easy to update your progress and plenty of ways to view progress to keep your interest peaked at what it is you are trying to accomplish. I haven't had great success with apps in general for visual effects, but I like this one for it's charting and table views. What will they think of next? There are other features and settings. Exporting looks cool, haven't tried that yet. Might be interesting to see if the data loads into Excel for more fun.","2 people found this review helpful","Show review history"
