"
  2Do - To do List & Reminders",X5PpBb,username,review,review1,VfPpkd-StrnGf-rymPhb-b9t22c 2
https://play-lh.googleusercontent.com/a-/ACNPEu_Lrhe3_QNt_VyerOrHNQs6Xev3nBcID48AjhK1Xg=s32-rw,Crystal Dittrich,"November 1, 2021","I was really excited about this app, especially when I saw all the buzz it was getting. But it is so feature packed I'm having a hard time figuring it out. I've even watch the videos and still can't find how to sync between my phone and laptop-a feature that is always free on good apps (& I have found many statements from reviewers saying it is free) but when I try to do it I'm told it's a paid feature only... I'm hoping I am just missing it.",5 people found this review helpful,Show review history
https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw,A Google user,"September 25, 2019","Underrated app. If it had a web client probably it would see more exposure. My wish is that the developer continues to maintain the app, and if possible enable an option to sort the tasks manually which I haven't been able to find it seems. (edit: It does have a powerful sort feature, I missed it)",3 people found this review helpful,Show review history
https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw,A Google user,"October 14, 2018","Very impressed with the app has helped me get my tasks from my head and into action! I definitely recommend it better than the other task apps that i have used. Only thing that i have a slight annoyance with is when duplicating a task which has a repeating element of ""on end date"" and you change the start and due date the repeating element does not automatically change. Other than that fantastic app.",3 people found this review helpful,Show review history
https://play-lh.googleusercontent.com/a-/ACNPEu9en7kwXv30btHdVPAQwWrja-g6C_OkGMAEzn22zfs=s32-rw,Michael Potter,"September 3, 2022",Well design task manager has a lot of customization for tasks. No calendar integration (a show stopper for me). Would like to see OneDrive sync added. Recent redesign is nice.,,
https://play-lh.googleusercontent.com/a-/ACNPEu-TXz8xRD5K4HJeamvUgdIs9ZKd1C2JQKdfc_Pl_w=s32-rw,Andrew Lawson,"October 20, 2020","Awful. The most complicated interface, that is great if you want to spend time learning something and spending ages organising things, but never actually getting anything done. I have used this for over a year as its free with setapp but still dread using it. example of how shambolic the UX is, the area to click to mark a checklist as totally completed, is 1mm away from the area to click to enter the checklist. Do this by accident and you cannot get back, so you can't see which items were ticked",5 people found this review helpful,
https://play-lh.googleusercontent.com/a-/ACNPEu81g1NQ0MhtlkfIRdWcnVjDslpTk7Un-U5PuQJUZSA=s32-rw,Ariane Kinman,"July 10, 2022","Keeps throwing errors when I try to set up sync through Fastmail, throws an error when trying to see which services are best for sync (tried that hoping to figure out Fastmail sync since they have no contact info in the stupid app). Also tried syncing thru iCloud reminders, which allowed it to sync but I couldn't see any of my reminders. I give up. I paid the $20 upgrade fee so I am*not* happy. I would stay away",,
https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw,A Google user,"November 28, 2018","I have tried numerous task managers over the years in search of that one that hits the balance between simplicity and more in-depth functionality without the dreaded subscription fees and have failed to find one... Until now! 2Do is the holy grail of all task managers, whether you just want a simple checklist or fully fledged projects. 2Do is so flexible and customisable that it has genuinely helped me manage my life and business. A special mention to the developers must be made, I had a few queries and all I can say is that the level of support and the speed of their response was second to none. They care passionately about 2Do and their customers user experience. The biggest deciding factor for me is that 2Do is a one-off purchase and not subscription based which again the developers have also voiced their disapproval of subscriptions. This again shows that the developers care more about the quality and integrity of the product and customer experience rather than trying to make a quick buck. I can't recommend 2Do highly enough, buy it now, you won't regret it!",12 people found this review helpful,Show review history
https://play-lh.googleusercontent.com/a-/ACNPEu-KoDb9eWuctCXVg6T86Tr32mh0xf4vnps6OdfMxIE=s32-rw,Alan Stewart,"March 27, 2022","Overly complicated with no explanation of what icons do. Long pressing on icons generally does nothing, no information is displayed so I can't tell if they have a function or are just decorative. I have no idea of how to mark a task as completed. 1 star for user experience and an extra 2 stars for Customer Support as they did help me restore my purchase.",,
https://play-lh.googleusercontent.com/a-/ACNPEu-XDIYMBDsWF6uc7Vpcm_uARX605Lb-q6V5qmyNmA=s32-rw,Amy Pilgrim,"January 8, 2022",This app doesn't save what you're doing if the app is accidently closed or the phone is turned off. I'm busy and often have to put my phone down or off while I'm in the middle of something. This app doesn't save automatically. There's plenty of other apps that have this ability and so I continue to use those. Devs.... You really need to add that. If I'm missing it please let me know.,6 people found this review helpful,
https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw,A Google user,"March 1, 2019","By far the best app of this nature that I've ever come across. Simple in concept, which allows it to be incredibly powerful and flexible. Great execution and design. Can't recommend it enough. Would be nice to have a 1x1 homescreen widget that linked straight to creating a new task.",9 people found this review helpful,Show review history
https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw,A Google user,"May 5, 2019","Excellent, great UI, lots of functionality, BUT can you please add Google Drive Sync? I recently dumped Dropbox (like thousands of others) because of their new policy to allow only 3 devices on free accounts. So moved everything to GDrive, but this is one of the few apps that doesn't support that.",6 people found this review helpful,
https://play-lh.googleusercontent.com/a-/ACNPEu_PcV2UKHOWDGmRd52MItXAwqRTXSAd5Mm8rPifbQ=s32-rw,Rockie Smith,"January 27, 2022","I have used and paid for every pro version of every major task app that exists. I run my life with 2Do. If it didn't exist Todoist Pro would be the best I've seen. But I do read the tutorials, I do follow the prompts, I do use it 50 times a day. I have used every version since it came out and I have spent my life in software programming. There is nothing better for an individual user. If you run tasks for a large team or if you find tic tac toe challenging use another app. Best wishes...",12 people found this review helpful,
https://play-lh.googleusercontent.com/a/ALm5wu2jKXyAmPt3LdLTMueYr2fvnN9MNnBLkCKmeJw-Xg=s32-rw-mo,Mohammed Bahashwan,"August 23, 2022",The app could benefit from having a fully functional calendar that syncs with the to do list and auto schedule events based on the to do. Please do this before it's too late.,,
https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw,A Google user,"May 20, 2019","Since android caldav support this is the most versatile cross-platform task/project/goal suite in the app store. The developer has developed this app to a true maturity unmatching. Search, filters, tags, projects, tasks, actions (url's, mails, calls) , location its all there and all adjustable without ""crowding"" the UI.. an excellent development job... makes this an excellent and must have tool for the serious professional",4 people found this review helpful,Show review history
https://play-lh.googleusercontent.com/a/ALm5wu0vXLBcluNcrqjBp9OIFVhvvW6FCc6vJrmzGqHt=s32-rw-mo,Mohsen Kheyrandish,"December 24, 2020","This is a great app. Have many features further than necessary features. You can attach files, voice, url,... to your tasks. Change many settings as you want. No ads. I think it need some other features like: sync with calendar / being cloud base / have pc app too 🖥 / dark mode / change font and size / Also its UI can be improved. It's my fantasy, but it would be awesome to merge with Telegram :) 😎😊 Thanks this company. This app shows me that This company cares customers expectations well",12 people found this review helpful,Show review history
https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw,A Google user,"August 12, 2019","Love this app, there are just 2 things thus far that would improve it...1. ability to highlight a task (I used the app ""tasks"" before this one, and I liked that functionality) 2. if project tasks and checklists were indented, possibly with a symbol of my choosing so different projects and checklists were very obvious.",1 person found this review helpful,
https://play-lh.googleusercontent.com/a/ALm5wu0KHxA0EbDa9zYH1Xs0OMhxeAOCfhOgTOlrCcSE=s32-rw-mo,Richard Harris,"July 3, 2020","2Do is a great app, but it's a little difficult to read the white text on the light gray areas. Would be a help if the background in those areas were a darker gray for more contrast. I'd really love a dark mode so the app could visually integrate into the Android 10 environment.",1 person found this review helpful,
https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw,A Google user,"January 29, 2019","Full-featured and well-presented app, deserving of 5 stars, except for my ongoing gripe mentioned below. Noticed that the app now supports custom CalDav sync and this really gives it an extra half star and has prompted my return to the app as my main task list manager. Still really, really hoping that due dates (read-only) could be made to show in my main calendar, especially now with the custom CalDav sync. I'd happily award the fifth star if that could be done.",2 people found this review helpful,Show review history
https://play-lh.googleusercontent.com/a-/ACNPEu_5A8vRhLQHaSp_uQyvnIJX1saNKeKegLSj6qtoYA=s32-rw,Arun Augustin,"March 17, 2021","Everything is good but the key function is missing....reminder...the reminder just won't pop up...these reminders has to appear on screen clearly visible no matter you are online or offline... Also there is no web version..using toodeledo completely Messes up your folders... just because of these 2 factors, i moved out.",12 people found this review helpful,Show review history
https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw,A Google user,"November 27, 2018","I've loved this app and the one off payment. This has now ended with email support for capturing tasks via email, now an extra charge. What's worse is that this is not a mechanism to email tasks to 2do, but you have to give Beehive Innovations the keys to all your email. I'm not handing you access to all my email and it certainly isn't necessary for getting emails into 2do. Perhaps now is time for a change of app.  Response to Dev: I have not said it's a subscription, but that the one-off payment is now two one-off payments. Your app may not send you anything, but because my credentials are entered into the app, it gives you access to everything if you chose to access it. The more apps that have my email credentials the less secure my email becomes. I just want to send emails to it from my client without giving my credentials to your app.",12 people found this review helpful,Show review history
https://play-lh.googleusercontent.com/a/ALm5wu1xH4JRTLN9ARoDZctNxyH9SSUWxpGlyE6SPflv=s32-rw-mo,Adam Hawkins,"September 20, 2020","2Do is one of the best task managers! I've been a regular user for a while now and I continue to appreciate the stacked set of features and the clean UI. I have 2Do installed on Android, Mac, and iPad and it syncs great between all of them. Great work from the developers!",2 people found this review helpful,
