"
  Fun Habit - Habit Tracker","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a/ALm5wu0tTZ9SpSx-fnSGc-qX6Y3RLLd8-_Pm4x9Zgr8L=s32-rw-mo","Grace Ingalls","","March 18, 2021","Perfect for forming better habits! This has helped so much with not only forming better habits, but also keeping in check ""bad habits"". I don't feel guilty anymore for having 2 drinks on the weekend, because I know I earned it with all my good habits. There's still some bugs that need to be worked out (the back log feature acts up a lot), but still functional and fun!","10 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8SufpJqq-U1DO0QgYtrFAiYixfmGt49Ng1xywQCQ=s32-rw","Almira","","September 23, 2020","Greatt app but I'll be rating it with 4 starts for now since it still has a lot of room for improvement. First would be, they could add that calendar streak feature, expand their icon collection (more study icons please), separate the notifications of this app from the phone's own calendar (my phone calendar was already a bit full with my schoolwork due dates, etc and got too crowded when this app's notifications were added to it), and for the custom frequency, please let us specify the date 🥺","11 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2H10qGxZX3SYBtiuiA2IEBjA06d_TgxMhrbLIT=s32-rw-mo","Jaydeep Pathare","","January 4, 2021","I love the concept of applying gold coins/points for each habit/task. But the incentive for trying to complete more tasks in the day would be highly enhanced if you show the number of coins earned so far today. This should be shown in a big font on the main habit screen instead of having to go to History just to view the gold coins earned.","14 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu3JaVAnEUtRCRZKl2HhEbAeOBq1AdAPuuL7hgcM=s32-rw-mo","Jenny Sin","","December 31, 2021","A very good apps to use, after i use so many habit tracker apps. It can set what habit i want to track, and hide the habit after done, and able to backlog, ""tick"" yesterday habit if we forget to tick, and it can generate ""rewards"", that is gold coins, then we use gold coin to reward ourselves, it is fun, user-friendly, and it can pay one time to buy apps, don't need heavy subcription fees, G-R-E-A-T!👍🏻","7 people found this review helpful","SimiDev","January 9, 2022","Thank you for your love of FunHabit.
We will try our best to form habits and do better. ヾ(=･ω･=)o
Have a nice day！"
"https://play-lh.googleusercontent.com/a/ALm5wu0wPXp0CYwQQDREdt7___KqysOmOGSSbzc5JHnQ=s32-rw-mo","Sravanth Kumar CH","","January 19, 2021","I'm in love with this app. This has become a part of my daily routine. There are little bugs here and there. I've been looking for an app like yours from lock back. I bought the premium version. Thanks for making the app. Also, as other users suggested please show the count if coins earned per that particular day in the first screen (home screen). Thank you and best wishes for your other projects.","6 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8I4k_8LNIULB_Ce5WL9kh_IAwqKUPqbs5VBRveWSk=s32-rw","Valentina Puddu","Show review history","October 3, 2020","User friendly, cute and with the exact features I need!!!! Not overwhelming like many other apps! 4 stars because I'd like to have the option of paying to get rid of ads. Also the developer built my favourite app so I'd be happy to give something in return. For now I'll send you a hug 🤗","7 people found this review helpful","SimiDev","October 4, 2020","Thanks for you for your love of our app(Loop Habit - Habit Tracker, Goals, Daily Habits ), we will improve the function as soon as possible, and provide the function of pay to remove advertising."
"https://play-lh.googleusercontent.com/a-/ACNPEu96WdhseebTyLFVB6-AjVNBGO-K0FVUFEe_LR_30A=s32-rw","Tuner Prompunya","Show review history","July 20, 2022","I really like this app, I wish there is a calendar view of the app so I can see the weekly habits on the specific day","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2QsmrOMaCi23JK4yTdlpVgeZln3pUzHkj9k6gS=s32-rw-mo","GV Rajesh","","October 14, 2020","Actually, it is a plain app but it has all the needed options for a habit tracker. It has a wide variety of icons too.... which in my opinion makes it really aesthetic. You can also log in how much money for each habit, so that after you've finished the habit, it gives you the amount of money, which is really nice. So, if you're looking for an app like this, I recommend you to download it. Keep up with the good work. Thank you.","1 person found this review helpful","SimiDev","October 15, 2020","Thanks for you for your love of our app(Loop Habit - Habit Tracker, Goals, Daily Habits )."
"https://play-lh.googleusercontent.com/a-/ACNPEu8pjfoLx3w-WML-Ws5eV1c75QwfloDJ5uVA9Na5AQ=s32-rw","Hannah Anna","Show review history","February 9, 2021","Everything's great except for the fact that you can't add notes to the habit that you just completed. The stats are not very useful either. But I love how you can set a habit to be completed by a certain number of times a week. Most habit trackers don't have that.","2 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9PeWcLiQHTRyj00tZR6u-LFE-xZD439ow_RX2D-ME=s32-rw","IWAN SINARDINATA","","February 22, 2021","Just bought the app and find it quite useful to track habit. However need few improvements such as: - copy n paste for habit and wish: as i want copy the existing habit/wish and rename it with different habit/wish - allow entering negative coin: to be used to record bad habit case so that it minus the coin balance - allow tracking for multiple users: for my case, plan to use it to track my kids' habit too - allow filter history log based on group - set icon as non mandatory since not important","7 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_BfOdhsle4hLmiZNBYX5c7Oi9Zv8a1nN4EHeHb=s32-rw","Camille Guinday","","September 3, 2021","I really like this app, i even paid for this app, however, it doesn't sync well with google calendar. One day everything is in sync... the next day, there's no reminders bec it ain't in sync no more. I uninstalled it and emailed the team regarding this issue... will start using it again once they've replied to my email and resolve the issue.","1 person found this review helpful","SimiDev","November 28, 2021","Sorry for this problem. 😥
As far as we know, Google Calendar cannot insert notifications. Calendars of other systems can be inserted normally. Google Calendar did not provide the interface for inserting notifications to developers.
In the future, we will realize the notification through other ways."
"https://play-lh.googleusercontent.com/a-/ACNPEu9DEqpb6CbFek_Z-F31wZYwlDqFw5Ig7XFFZXJn=s32-rw","Copper Sssnek","","January 28, 2021","i searched through many and this was the chosen. simple and cute. thank you for your work, bought premium. one thing to add though: maybe you could make the wishes display the description when viewing list? i want to add habit-specific requirements for my wishes and would love it if I could easily read them too.","4 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8GRhR_LBNKZDJeNZzCvv7fv-hP37CDst0rjR0qrw=s32-rw","Shea Kelly","","September 5, 2022","this is a nice simple app to track and reward good habits. I'm having fun with it!","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_DkNUEZ4a8p-VOb7jVIoq-3gpxRaToml10ZUDTVA=s32-rw","Maheswari","Show review history","October 12, 2020","This is the best of its kind. Has useful and efficient features which motivates you to do what you hae to. It is cute, simple and functional. Highly recommended! Reminds you too.","3 people found this review helpful","SimiDev","October 13, 2020","Thanks for your love of our app(Loop Habit - Habit Tracker, Goals, Daily Habits )."
"https://play-lh.googleusercontent.com/a-/ACNPEu9sQj-jIlHgiyo2VGVZqk4KC-CCagIjzd7Yxng9Ng=s32-rw","Aravind Kathiravan","","January 24, 2021","App is nice and easy to use. Helps me to track my task or habits easily, only thing is that cannot be used for more than 7 habit without in app purchase. If you could increase that by a little would be really useful.","2 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_IA9K2MwIKCfVD9meQEgWkpKmOYV6kt0Sn0xYInw=s32-rw","Gary Almas Samaita","Show review history","December 26, 2020","I've paid the premium upgrade but it is not activated yet. Will update the rating when it is activated. Edit: Now the premium activated. I would give 3 star for bothersome upgrade, but end with 4 since the developer is very helpful & fast response.","10 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-QGDaWQ-boD_qVS_XuCv2muXtlGXMNJeFLQtZw=s32-rw","imong mama","","July 20, 2022","It's very simple and neat, the wish system really helps keeping me motivated","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8NVhBnWueKvGUh41g6PVcgUwmQSifQt40LkZZTsg=s32-rw","Monkey DNA","","January 13, 2021","I would said this is perfect if not because the calendar problem.. The habits are showing on my phone calendar.. I downloaded the separate tracker coz i want my calendar just for work schedule & important event. If i unsync, reminder not functioning.. Is there a way that i dont know?","2 people found this review helpful","SimiDev","January 14, 2021","Hello, using the system calendar to remind is the most stable way to remind. Because the app self reminder is easy to be killed by the system, it is not used. In the future, we will try to add a better way to remind ourselves."
"https://play-lh.googleusercontent.com/a/ALm5wu0_HEp5h_CoxlYW7AlX5YDIPnkAkyK2X-dkFZY9=s32-rw-mo","Saurav Limbu","","December 29, 2021","The system of giving rewards for reaching a certain amount of coins was very motivating. The app is also clean and astheticly pleasing. Thanks to the developers.","","SimiDev","January 9, 2022","Thank you for your love of rewards system.
We will try our best to form habits and do better (ﾟ▽ﾟ)/"
"https://play-lh.googleusercontent.com/a-/ACNPEu-OTEFU06lP_XBxpU-Kfs3R94G5kO2OV5fTuG8QuQ=s32-rw","Andres Grijalba","","December 1, 2020","I really love this app. Easy to use, it is what I've been looking for. Only one thing to improve, add more icons please. Even with premium it lacks a lot of icons","2 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2FVkBrLjW5Gp_WmHZpcRVpnEQHhA0cNJ5lRKhtwg=s32-rw-mo","Vitaliy Fomin","","February 11, 2021","It's nice a application. But I cannot select a calendar for reminders. They end up in another account, which is very inconvenient. please tell me how can I choose another account in calendar","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8AHtSmCmaJz1cuEfYm9_1_y_Se_cKnaH8QVAid4g=s32-rw","Olivia Ho","","September 28, 2020","The app has a very neat and pretty design but there are some bugs. I've watched 3 ads but it still doesn't allow me to use a premium icon.","1 person found this review helpful","SimiDev","September 29, 2020","Thanks for your feedback, this bug has been fixed in version 1.95, welcome to download and use"
"https://play-lh.googleusercontent.com/a/ALm5wu3v1q3Xt_He1ZeOOn5lUQUSLt56NwxYA1KwQHLM=s32-rw-mo","Anca Olcean","","October 13, 2020","I like this app because it's easy to use, very helpful to control your budget. Moreover it's very nice detailed with wishlist and also charts. Really cool !","3 people found this review helpful","SimiDev","October 13, 2020","Thanks for your love of our app(Loop Habit - Habit Tracker, Goals, Daily Habits )."
"https://play-lh.googleusercontent.com/a/ALm5wu1zZjhetvgkBI_nRlka1DmJzlNe5wAePfZXFJTU=s32-rw-mo","sise15","","November 4, 2020","The app interface is very convenient and supports various functions, so I think it is a very useful app for me who have various habits.","7 people found this review helpful","SimiDev","November 4, 2020","Thank you for your love and support for our app(Loop Habit - Habit Tracker, Goals, Daily Habits )! Hope it can boost your habit formation plan! :）"
"https://play-lh.googleusercontent.com/a/ALm5wu3l6sD6oNmtwWsDKww0kY5A0p70ti1RYiVNRzIk=s32-rw-mo","Eco Commerce","","January 18, 2021","Really good, simple and functional. There are some issues in the layout some widgets are overlapping.","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_96a4gztO_Bke5yHdEiU66CbYW5QvAtDLITxs9Tw=s32-rw","Narendra Madaswar","","August 22, 2022","Need 3 features • • 1. Auto Dark Mode with System. • • 2. Auto Dark mode for widget •• 3. Icons should be visible in widget","2 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8jzwZUTaa_3oj0YsKeOlw1QeriEhFT26KWo4Fmm8A=s32-rw","AM Games","","November 30, 2020","What a cool and intuitive app for keeping track of your habits. You can even collect rewards every time.","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0q2vHqRCKmB9VOv7ZBBrjG_Uyr0eFhALfjFZtP=s32-rw-mo","Live Life","","October 31, 2020","This app has a beautiful design. It is great for goal setting since it lets us the users to create our own goals, and rewards for what we set ourselves to do. Thumbs up!","4 people found this review helpful","SimiDev","November 1, 2020","Thank you for your love and support for our app(Loop Habit - Habit Tracker, Goals, Daily Habits )! Hope it can boost your habit formation plan! :）"
"https://play-lh.googleusercontent.com/a/ALm5wu1YcBg666nW4A3dC6Zj-eYKlXZbCBMDqBYVM-Yg=s32-rw-mo","George Strange","","January 17, 2021","Really loving the style of this app. The design is great. But yes, to do list/ habit tracker, great functionality and easy to use 🙂","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-o7r88MpEULjPwTtK-B_19oQwXr_3koVjjSMuXuw=s32-rw","Seth Kim","","December 10, 2020","This app is simple yet phenomenal. I love the style of it, and I'm hoping to see more features in the future. I'm considering purchasing the premium app when more features come ☺️","8 people found this review helpful","","",""
