"
  Focusmeter: Pomodoro Timer","username","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu8XMLH-Knh1TLascAde298dNdeliaKtRI9yhtR6Dg=s32-rw","Соня Кэррол (SonyaCarrol)","November 20, 2022","The greatest app for concentration. The main benefit of it is that you can see your focus statistics and set the needed time. Also I would be glad if you made the iOS version.","","","","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9EffJ1s1kwkuwivGqyj3cpO-z70FvAAK47mWtqFfI=s32-rw","Harvey Creed","September 16, 2022","What a fantastic app! The very best pomodoro app I have used (and I have been thru them all, believe me). I recommend you give it a go and see for yourself, you will not be disappointed. The stats pages and layout and simplicity of the app is a beauty to behold.","1 person found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2J7sx93QhbCy7SXIpYeeFSMszxkgkA_cGTQtd4=s32-rw-mo","miguel arrieche","August 4, 2022","It's the best app to track time without a doubt. However, it urgently needs an option to backup with the cloud; I lost all my progress from months ago due to my cellphone broking and there's no way to recover the data. I didn't want to before, but I guess it's time to move to another app that secures my data better, at least until there's something actually efficient and safe in Focusmeter. Really hope for this app to improve on this issue so I could come back again","6 people found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8rr6Z4Zko3QoWWsgObFxknv8f183zdsjqNu0eDuw=s32-rw","Aj Boyd","October 12, 2022","Apps great, easy to use, keeps me focused. But every now and then, the app will refuse to let me tap the start/pause button, change tags, and skip timers. Can this be fixed?","","zeitic.co","October 12, 2022","Thank you for your feedback. May we know where does this issue happen at? Is it within the app itself or the timer notification that is displayed in the notification bar?",""
"https://play-lh.googleusercontent.com/a-/ACNPEu87TgsClzIErpiP6Ud6H8QtfrnHyG1GVRrsqPdBHg=s32-rw","Amrit Pal","September 7, 2022","This app is really good but Pro feature is a subscription based. Please make it a one time purchase, most of are students. Or make a different slab of one time purchase with existing subscription based services.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-1SRNGnfPYSR3rU6LXYzLrVU-BnOnQNF6I0kLL5g=s32-rw","Hope","July 20, 2022","Even though the alarm usually doesn't work properly, i've wanted to give 5 stars because the charts that gives you the information that how much you worked are splendid! And i always use the feature that allows me to use 2 label together. *Please improve the app in order that alarm works properly.*","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8oNpNVFP1X6gsoqFafZOp73zfdBz_7HGc8Ad9jBA=s32-rw","Barathwaj Suresh","August 16, 2022","Absolutely fantastic app. Very useful for employees and students. The app is very clean and great for focussing in the task at hand. Most of the features are free which makes this app the ideal pomodoro timer and focus app . Would highly recommend 👍","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-8Ib6RP1_Tit6NyZmIAbsP50OWLJwORA_6qkV57g=s32-rw","Debangshu Biswas","July 3, 2022","If you are searching for a Pomodoro app, which can be customisable entirely as you wish(like MonkeyType). This is the best app, you will definitely love it. I've tried almost every Pomodoro apps in play store. but I couldn't get satisfied until I tried this one. This Focusmeter app is so underrated now. So please share it. Because it deserves it. As per now-1st July, 2022. Its totally free. There is just only one fault = *When my notification media is off This app dont play alert.","","zeitic.co","July 2, 2022","Thank you for your review and kind words! Please contact us at zeitic.co@gmail.com with some details regarding this fault and we will investigate it further.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-700CsdTsIIaKrE8Z48dVDLoONt1_PHGdtfAWbpw=s32-rw","Isha Halle","October 31, 2022","Best app..... No ads disturbance. Keep track on work. Works offline too. Thanks for this app:) This app has been improving time to time.","","","","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9wCoZ5pDvW2iQUOeyao5LaFQXm48Gmx2ZLVr6x2nk=s32-rw","Mhmd Riyas","November 1, 2022","Please fix the bug of calender menu I can't go through previous month the buttons are some time seems frozen after the second previous update","","zeitic.co","May 10, 2022","Thank you for your review! Please contact us with more details at zeitic.co@gmail.com and we will do our best to assist you.","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu0Zika225seEOgH0yh8RAjIyXJrVT4dP3PDhbC6=s32-rw-mo","Almatova Shaxnoza","August 27, 2022","Useful app I recommend this app for everyone who is struggling to manage the time . Only small mistake is that when I choose music for ringtone, it doesn't play after a day.","","zeitic.co","August 28, 2022","Thank you for your feedback. Please contact us at zeitic.co@gmail.com with more details and we will investigate this issue further.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8xVn3_DtFmSOZZQthhwWv3kSVliYxZw75Dfi1d=s32-rw","maneesha garala","July 27, 2022","This app is very nice and comfortable to use. But recently i found an issue that sometimes timer alert sounds are not coming i.e. rest timer alert as well as focus timer alert. Try to resolve the issue..","1 person found this review helpful","zeitic.co","July 27, 2022","Thank you for your review and feedback! We are aware of this issue happening on some devices and will continue to find ways to improve the reliability of the timer alerts.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_RpN4-UrY5MaTnQgBrQuzJnLS6R-V4uhE_U1wA=s32-rw","Vlada Solyanikova","July 14, 2020","Nice design, can modify time periods, no ads. Big ""but"" : it doesn't give a notification on time when the screen is locked and it runs in the background. Only when you unblock and enter the app, it gives the notification. Extremely annoying since the idea of the app is to track the time and that's the only think it can't do!","21 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_wba1yG-q-99IGCqSywULDfeEMx23eky815nCucg=s32-rw","mohammadhossein komeili","June 4, 2021","Hey, this app is great among apps for managing time and it has a lot of useful feature. I want to report a bug and I hope you can manage it in the next update. When I touch the minute counter in top left, the screen will become white and app will not show the clock for some days. The same thing will happen when I use calendar to see my progress in some days. Thanks for developing such a great app.","17 people found this review helpful","zeitic.co","June 5, 2021","Thank you for your review. Please contact us at zeitic.co@gmail.com and we will do our best to help you.",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","April 16, 2020","The layout is beautiful and the features are minimalist and helpful to track the time spent on work and during the day. But there is a bug : almost every time I run the timer, I close the phone and put it next to me, after a while I note that the app closed itself. I have to open it again to see the progress time. It's annoying.","14 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu3B68nrw6LNVKELz8Hr4N3afe_O-M6FCStVFoR2=s32-rw-mo","Patricia S.","July 16, 2020","Best productivity timer out there for people who love graphs and data! You get to see when and how much you focused, and if and how much you've improved. The graphs are beautiful and intuitive. I appreciate that the timer doesn't automatically move on to the next thing coz otherwise I'd just let the timer tick away without being honest about my activities lol. I also inquired about the missing July monthly stats, and they responded right away! Chill, the fix will be included in the next update.","13 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","March 16, 2020","Amazing app, simple to use and very flexible. It covers my use cases perfectly. The best out there from what I've seen so far. It's still got some bugs here and there - for instance, it failed to record one focus session and notify me when it was done. I now see that the activity recorded in the first day of the week is not showing up in my weekly calendar. However, overall great job, keep it up!","5 people found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu29IJ2O_TBLmc0KOppn6v5peu20MAw_ovX9q2Uq=s32-rw-mo","HaHa Haru","October 24, 2020","Really good, covers all of the functions I need without being overly complicated. There's one weird behavior that I don't like though: having to tap next after one block finishes, and then tapping it again to start. I want to auto-start next block. A 3 second countdown timer that you can tap to pause auto-start. Sometimes (a lot of times) I forget to tap next to start the timer... Would also appreciate if the reset button only appears after you pause! And option to change theme colors :)","12 people found this review helpful","zeitic.co","October 27, 2020","Thank you for your kind feedback! Those are some good suggestions to improve the user experience and we will consider them for upcoming versions. If you have further suggestions or questions, please contact us at zeitic.co@gmail.com","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","December 4, 2019","Too bad. This looked simple like I was looking for, and also not an ugly interface. But sadly it crashes and I cannot use it. The presentation works fine. But then it gets stuck on ""please wait"" forever. If I close it and start again, it crashes before it gets through the tutorial. I've tried installing again. It won't work. I would be glad to hear it's fixed and change my rating. This is what I needed.","","zeitic.co","December 4, 2019","Hi there, thank you for reporting this issue. We have fixed this startup bug in the latest version (1.0.24). Please reinstall with this version. Thank you.",""
"https://play-lh.googleusercontent.com/a/ALm5wu3FC0WjoqnODw5wRfed_rM_ywowUL14BoeWXEOi_A=s32-rw-mo","John Ropoulos","February 10, 2022","I tried 8 or so different pomodoro apps before finding this one. Absolutely the best pomodoro app out there with great functionality and UI. Two things that would make it perfect: Make a feature that rests start automatically, but not the next work session. Currently, both are set automatically. It would also be great to see an additional pie chart of total work time for a single day in statistics that is separate from the current one on the calendar which shows a total day with unused time","7 people found this review helpful","zeitic.co","February 13, 2022","Thank you for the review! We are really glad that Focusmeter worked for you! As for the features you have suggested, we will consider them for upcoming releases. If you have any other suggestions, please feel free to contact us at zeitic.co@gmail.com.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu88s-ijX1vp7cJK3AEUQz9JXtWwLa8dySL5L_-kWQ=s32-rw","Kelsey Adams","November 10, 2020","I adore this app. All I wanted was a sleek, pretty timer with a visual interface that doesn't crash, and this does the trick. The timer design is lovely to look at, minimal, great dark mode and shows the countdown with both a digital clock and a visual. I like the prompt to start each focus/rest timer - helps nudge the brain toward intentional productivity. It's straightforward and powerful to customise the notifications (sound and vibrate options; can play alerts as an alarm or media or notification; and alerts available for midway through timer, 1 min before completion and at completion). I just use the timer, not sure about the other features but even if they didn't exist, this is a killer app.","3 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0oJONwjETieEKn7MBU8WGhttL9I-6ozG7DczMr=s32-rw-mo","Andrés Loreto","April 28, 2022","The best Pomodoro app. It's really complete and doesn't lock basic features behind paywalls. Apart from that, it gives you statistics about your timers, letting you see when you paused, when you canceled timers, etc. I really love how this app handles resetting your sessions: other apps that I've used automatically reset at midnight, which can be troublesome if you are still working past midnight... but this one doesn't, it gives you total control over resetting. All of this for free.","13 people found this review helpful","zeitic.co","April 28, 2022","Thank you very much for your kind review!","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","February 20, 2021","02/19/21 Has issues with alarm notifications when phone is offline. This resulted to me exceeding the set amount of time for each sessions and I had to keep re-checking my phone multiple times per hour to checked if the timer was done or not. I really liked the simple, minimal, and straightforward design of the app along with the daily and weekly stats, but it is not an effective pomodoro timer. This app seems like it has a great potential, so I'm really hoping they would address this issue.","12 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8lbppWHHWiM4tAHeO4LnXE3_ibn5MuOGt9iAdNqrQ=s32-rw","Georgina Carson","June 22, 2021","I love the concept of this app, it has all the features I want, but there are a few bugs that need fixing. Some of my timer modes erase themselves when I go to edit them, and sometimes skipping to the next timer doesn't work. It would also be nice if the colour of the timer corresponded to the tag colour.","5 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0rvCdwQZYq5TvrYzr3aXjsy6gqxc3eqMMeYZAx=s32-rw-mo","Rianza Onuora","June 11, 2020","It's a very good app that serves it's purpose. I like that it can be a countdown or a timer and you can set focus and rest periods. At first, I couldn't figure out how to make a continuous session (so I could stop whenever I wanted) but I just created a new focus only time and set it to loop and it worked well. UI Is good too and simple which I like 🙂","1 person found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu95hy33rwSQXhqp7iZeCAnUa-AcJwZgU6SA3R42Mw=s32-rw","Niranjan S","November 3, 2022","Clean 👌thanks for making it ad free. Most of the required features are free of cost","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_ZHU8NebImzHogbc_bBozJ20TQ1axsnB4a7GHBnFw=s32-rw","Nadia Mohamed","November 3, 2022","After 25 or so other pomodoro apps and trackers, I finally found the one that WORKS! Definitely worth the pro subscribe to give a pat on the backs to the developers.","","zeitic.co","November 3, 2022","Thank you very much for your review!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu88QadxkscbfzGwA8YMagc9fmzTOvgou9QCPfuktg=s32-rw","Pranav","November 4, 2022","One of the best apps ever. It has all the features you will need in a pomodoro app and that too for free.","","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1D9bWRoX8AX6sLdp7rqB-ANtPwnF3yZ-nd0-BV=s32-rw-mo","C Y","July 21, 2020","Incredible design. No ads. Dark mode. Allows for customization of alarms and timers. A very functional pomodoro app. Supports tags (labels), logging, and report summary. Beautiful pie chart for the summary. Has a calendar that isn't integrated with your phone's calendar. It's stand out feature is the ability to track your actions throughout the day. Combined with another Todo list with GTD this becomes complete.","15 people found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-A8BLhpPdYxecP_7ngogr7KbcY6RwduY0lZQRjXA=s32-rw","HAMZA CHERA","November 12, 2020","The app is great except for the bugs it has, there are two bugs I face personally: 1- sometimes when I pause the timer and exit the app for some time, the timer reset itself and the notification bar shows ""loading..."". 2- the second one is the most annoying to me, which is, when I view tags and the time I spent doing them in the calendar section, the time of one tag shows a very big negative number. I hope you are working on fixing these bugs.","","zeitic.co","November 12, 2020","Thank you for your review. Please contact us at zeitic.co@gmail.com and we will try our best to assist you with these issues.",""
