"
  MindMeister","username","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a/ALm5wu2TZCcV0bai2sYPKxf-r-Fbri4T3B8F4HVPElaL=s32-rw-mo","Matthew Webb","July 5, 2022","It looked fine but I was expecting something more like poplet where you can make bubbles from any bubble basic but had everything you think that you need. its confusing to use so you need something like a guide or tutorial i get you need money but any other similar app will let you add pictures for free and many outher pay for features i'd like to just buy the app","25 people found this review helpful","MeisterLabs","July 5, 2022","Hi Matthew, thanks for reaching out. I'm sorry to hear you're disappointed. Here is a link to a Getting Started article: https://tinyurl.com/2p88f3es. And this is the link to our Youtube channel: https://www.youtube.com/c/mindmeister. You can explore the rest of our Help Center for more resources. Good luck! Best, The Meister Team"
"https://play-lh.googleusercontent.com/a-/ACNPEu9Wb8nhftXHo1DRJAvGDf0a2K5-U7_Jj4XXcl2wi54=s32-rw","Jerome Landrito","August 1, 2022","This is by far the easiest and most user friendly mindmapping tool I used. I'm making a video review and user guide about it for the class I teach. I started showing this to my friend. :) The best part is that it has a free plan. I truly appreciate that. I also use trello, if this can integrate into that, it would be best. But still 5 stars for me.","13 people found this review helpful","MeisterLabs","August 1, 2022","Hi Jerome, thanks for reaching out. I'm thrilled to hear you're enjoying MindMeister! It's great that you find it easy and user friendly and appreciate the free plan:) ! Be sure to check out our Twitter @mindmeister for exciting updates and news. Best, Miša @Meister"
"https://play-lh.googleusercontent.com/a/ALm5wu2y7LBKP9Czv91ZW9FOuy4UO68AgC35Sf199AZ3=s32-rw-mo","Anderwriter","June 11, 2022","I created and saved a map—but the next time I ran the app and tried to view it, it said, ""You are offline. Please connect to the Internet to display the map."" Say what? So this is just a frontend for a server somewhere. Why bother, when there are great free mind-map apps that let you keep your own work? Oh well, it's only a few minutes wasted… But why not explain this limitation in your description, to save us the trouble?","18 people found this review helpful","MeisterLabs","June 13, 2022","Hi there, thanks for reaching out. I'm really sorry to hear you're disappointed with MindMeister. Our apps need wifi to synchronize but you should be able to view maps you've viewed on the app before without wifi. Please get in touch with support@mindmeister.com and our team will look into this for you. Best, The Meister Team"
"https://play-lh.googleusercontent.com/a-/ACNPEu_sP-uV74_2jyQQOxSdDqx2rAXZsUzQu73UyvRE=s32-rw","Smaran ram","August 1, 2022","Nice app....suitable for me to revise everything at a place.....but -2 for 2 features that this app lacks acc. to me.....(1) At notes page in a tab there is no option to draw and save it as notes......(2) animations while adding a tab aren't smooth, both the yellow and blue + buttons below tab page dont look nice......and some others features which could have been there which make it a perfect app.","10 people found this review helpful","MeisterLabs","August 1, 2022","Hi Smaran, thanks for reaching out. I've passed your feedback on to our product team - thanks for sharing! Best, The Meister Team"
"https://play-lh.googleusercontent.com/a-/ACNPEu__n8MvjMPNJQ3fxzWDLijNccwEnu3DxGgO8B3quUI=s32-rw","Augusto Oliveira de Moura","October 19, 2022","Ive had a great experience using Mind Meister. Even in the free access it's being very useful.","","MeisterLabs","October 20, 2022","Hi Augusto, thanks for reaching out. I'm so happy you're enjoying MindMeister! Be sure to check out our brand new Community for updates, inspiration and tips on how to use mind maps: https://community.meister.co/. Best, Miša @Meister"
"https://play-lh.googleusercontent.com/a/ALm5wu0GRD5HRC-TLiKoA-kPopHXZCj-JONal2V4TpRm=s32-rw-mo","Ipina Larisa","September 13, 2022","You have to pay to make your map a PDF, which means I've just spent an hour for nothing and am going to have to redo my homework in some other app. No words, just emotions, and not the pleasant kind","","MeisterLabs","September 14, 2022","Hi Ipina, thanks for reaching out. I'm sorry to hear you're disappointed with MindMeister. Our apps are expensive to maintain so we have to charge for certain features and hope for your understanding in this. Remember, you can share a link to your mind map for free. Best, Miša @Meister"
"https://play-lh.googleusercontent.com/a-/ACNPEu_j5NGPwyF01B1QioZ-4JSNsXxAw_UH_ONAZNKG5g=s32-rw","John Victor","August 21, 2022","Good but we couldn't export our files as pdf . So don't install this app. This is a great drawback. I have worked 2 hours to complete that map . But now I can't export . So its all waste.","7 people found this review helpful","MeisterLabs","August 22, 2022","Hi John, thanks for reaching out. I'm sorry to hear you're disappointed with MindMeister. Our apps are expensive to maintain so we have to charge for certain features like exporting. This is disclosed on our website for transparency. You can always share your mind map for free! Best, The Meister Team"
"https://play-lh.googleusercontent.com/a-/ACNPEu9rS31rQr6b90dXHsZrSmi15hxBqyNUSPDiOIpR=s32-rw","Terry Gates病猫","September 25, 2021","Basic functions seem to be there, but there's very little flexibility beyond that. It was difficult to use, and provided very little creativity or free organization. Things won't seem to connect the way you want them to, if you try to move a piece around it will likely disconnect from its current parent and try to re-parent itself. Plus the default positions are really packed together. Overall it seems to lack a lot of what makes a flowchart useful. Edit: I forgot to mention the excess paywalls","36 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","October 5, 2018","This app works really well for mind maps large and small. I really like the collaboration features as well as they add that little bit more to the app. I also think that the free version is very reasonable as it offers all the features you would likely need and the only limitations in terms of making mind maps is you are limited to three in total. Would definitely recommend.😃","4 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","December 3, 2019","This app is a game changer! I use it for work and for personal organization. It really helps visualize your thought progression and easily take notes on idea paths and progressions. In addition, it has everything you actually will use and need. Not a lot of useless bells and whistles. By far, my fav. app recently! Very happy I found it1 Definitely, worth upgrading to full version!","31 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","October 10, 2019","This is the best digital mindmapping tool for me. I've used maybe a dozen alternatives, and the value, functionality, and simplicity is without peer. Capture and editing speed is terrific, the sync between browser on my desktop and app on my phone has been very reliable, and the ability to link to other mindmaps is great for organizing bigger thoughts. The presentation feature is an unexpected and very useful treat. Not the best looking maps due to limited formatting, but so easy to work with.","58 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","December 24, 2019","My supervisor introduced me to mind mapping in 2010 and it's been a staple in my project management stack ever since. While he was content with low-tech (or no-tech) mapping with a pencil and a notebook, I searched for a digital equivalent. After evaluating half a dozen other mindmapping products, Mindmeister definitivly stood out as the best! Its speed, reliability, and UX/UI experience are well suited to my development workflow. Having the option to map on a desktop or mobile device is aces.","13 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","March 13, 2020","This app is great for keeping track of your ideas on the go and syncs with the website version really well. I can't seem to find a few features that the online version has like making a new connection or changing the hierarchy of branching ideas, but overall this app's functions meet my needs and I just have to clean up formatting when I'm at my computer.","45 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu94WjBKwSH18HZOPFZymvLDNmDS9nvVHQjsXt1DJg=s32-rw","Jade Fleege","December 2, 2021","Documents made in mindmeister are to easy to make, exportable, and sync across multiple devices. I subscribed and everything because of the convenience. I just wish you could change the color of stems, and if there was more control over the layouts. This would allow me to actually make a finished product with the app instead of having to remake it in Adobe. If you guys wanted to make my Christmas, making text formattable within the windows would be cool too.","36 people found this review helpful","MeisterLabs","December 2, 2021","Hi Jade, thanks so much for your review! We're thrilled to hear that you've enjoyed using MindMeister and very much appreciate your feedback on shaping MindMeister's future! I've forwarded your feature request to our product team... It might not be in time for Christmas, but stay tuned for new features and updates! :D
Thanks again,
-Meister"
"https://play-lh.googleusercontent.com/a/ALm5wu0BziIK2KJ7owKpGFdJqYhHdf_2L2JgyaW_DAtNpg=s32-rw-mo","Hannah Hunter","July 16, 2020","I love the mobile app, as well as the browser client. Worth every penny for the time it saves my team and me. I've tried a few different similar types of software and this is the most comprehensive and intuitive. I use it from everything to assigning and updating tasks with my team, storyboarding and workflow for projects, and our project mapping is incredibly easy to export. The program is also great for mapping out nodules/storyboarding for video game development drafting.","48 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","April 18, 2020","I haven't been using MindMeister mind mapping for very long but in the short time that i have, its been very easy to get the hang of it and I've really enjoyed using it as a distraction (or a different learning technique) from the straight reading of paragraphs, pages and chapters from a book. Creating a mind map from my personal notes is also a great way to test myself on what i've learned so far. Maybe i'll update my review in the future, but for right now, 5 stars.","38 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2xk0nrH3syR55MCSTlBXI8e9Bhim7JwrDYucdh=s32-rw-mo","Alissa Stewart","March 31, 2021","Horrible customer service, I emailed years ago to cancel my subscription because before an update, there was no option to opt out of renewal, never received a follow up. 6 months ago, there was finally an option in the website. They didn't give a warning that the money would be withdrawn, only told me after the fact. Good tool but wasn't informed, I would have to pay to print my map until I was ready to save the document. By then it was to late as the work was already done.","69 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","February 15, 2019","The app looks nice, but: * When I installed it and created a first mindmap without registration, it got lost after registering. The support was unable to restore it. * When you register, it looks like free plan is OK, but later, you discover the limit of three mindmaps. While it is fair to request some money for the app, I would expect some more clear communication.","40 people found this review helpful","MeisterLabs","February 18, 2019","Hi,

I'm sorry to hear you encountered issues regarding this functionality. Usually, we do offer the possibility for our users to test MindMeister on test accounts before they actually create an account. However, these are just testing account and the information created there is not saved. 

Thank you for your understanding. 

Best regards,
John"
"https://play-lh.googleusercontent.com/a/ALm5wu2wqXVhoOuE7kw5BSBlJonLxXhGLCmYUTvaHzJU=s32-rw-mo","A","June 11, 2020","I tried a few apps with similar features and feel compelled to inform anyone considering even giving it a try that it's NOT a free app and that they fail to inform the user of this which is highly unprofessional. After a couple tries you are given the option to pay or to move on. Price aside, there's nothing that sets this one apart from the many other available options out there and would highly recommend scrolling through the alternatives as you may find yourself pleasantly surprised...","7 people found this review helpful","MeisterLabs","June 22, 2020","Hi Jason, I'm sorry to hear you were disappointed. We are transparent about our pricing structure, and in the app description here in Google Playstore, it is explicitly stated which features are paid. We hope for your understanding, and we of course respect your decision to opt for another application. Kind regards"
"https://play-lh.googleusercontent.com/a-/ACNPEu_9NTBw6rZMTokYYtxvKDuVKiFC1b0_-Ue0ISVu=s32-rw","S TKNa","September 7, 2022","Great application, intuitive and enables collaboration free of charge up to 5 people","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_7qzqsOi69pg5316YPtklwNgMER4a8Va9KwDJEke4=s32-rw","Lucy","January 24, 2021","This app is AMAZING. If I could give it more than 5 stars I would, I initially got it to use the mind maps to plan my stories, and it's really helped me keep track of everything. It's quick and easy to use, I get an idea and can immediately write it down with no add interruptions or anything. The app has definetly helped me be wayyyy more organised and I'm super happy that I got it, never getting rid of it.","44 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9SbuAuAKr-BS5ZsmtUF2JcdGgchR1PxNRzhpxLVA=s32-rw","Alice A. Betti","September 22, 2022","Terrible app! It doesn't update. It doesn't save changes.","","MeisterLabs","September 22, 2022","Hi, I'm really sorry to hear you're disappointed with MindMeister. Please reach out to support@mindmeister.com so that we can look into this for you (MindMeister works online, so it should be saving automatically). I'm sorry for the inconvenience caused. Best, The Meister Team"
"https://play-lh.googleusercontent.com/a/ALm5wu1fMKo35fJkESgJJ7Lm1o9rndtRHXu7f8To_sjA=s32-rw-mo","sritam mohakud","September 12, 2022","I love this app easy to use and made mind mapping digital","","MeisterLabs","September 29, 2022","Hi Sritam, thanks for reaching out. It's so great to hear you're enjoying MindMeister and find it easy to use! Be sure to check out our brand new Community for updates, inspiration and tips: https://community.meister.co/. Best, Miša @Meister"
"https://play-lh.googleusercontent.com/a/ALm5wu0bNrkIEyFEbC3-uFZtaw5PiBeb28QqMkHxBY9C=s32-rw-mo","Ben Muis","June 2, 2022","Really clean and easy to use. Have used it in front of clients, taking them through thought processes and inserted mind maps instead of PowerPoint slides into proposals with good feedback. Only things I would like more of is templates and more obvious links back for system diagram flows. But I'm using this all the time to discuss things with team, explain activities and flows or requirements.","86 people found this review helpful","MeisterLabs","June 2, 2022","Hi Ben, thanks for such a great review! It's really wonderful to hear you find MindMeister easy to use and clean, and that you've been using it with your clients and team. Thanks for your feedback too - I will pass it on to the Product team. Be sure to check out our Twitter @mindmeister for exciting updates and news :) Best, Miša @Meister"
"https://play-lh.googleusercontent.com/a-/ACNPEu-Ml_uvhimigstqFPsANKqBGMTxfmRbJ40zl3xg8g=s32-rw","persian shayan","July 21, 2022","I don't know why nothing is working. I mean I can click on buttons and they show me the get_clicked effect. But they don't do anything. Same as creating and editing map. It's just spinning and spinning and not doing anything.","1 person found this review helpful","MeisterLabs","July 21, 2022","Hi there, thanks for reaching out. I'm really sorry to hear about this issue - it absolutely shouldn't be happening. We'd love to figure out what's going on, so could you please write to support@mindmeister.com with the information you detailed here? I'm sorry again. Best, The Meister Team"
"https://play-lh.googleusercontent.com/a-/ACNPEu9JeU2_BpVriYmzEEdQozLlwuKsi8yjIEd0ma87Ew=s32-rw","Rutaba Tariq","November 7, 2020","I downloaded it a few hours ago and started working almost immediately. Felt intuitive and easy to use. An hour into my work & after sharing the map with my team, 70% of my topics/map vanished. Please note I'm not using multiple accounts. And I also tried seeing the history of the map to see if I could salvage anything. It shows me text but not the actual mapping I did. My hour. Gone down the drain. :/","76 people found this review helpful","MeisterLabs","November 8, 2020","Hi Rutaba, sorry to hear about the inconvenience, if you're having trouble recovering your topics, would you please contact our support team directly? We could take a look and see whether we're able to recover the topics on our end."
"https://play-lh.googleusercontent.com/a-/ACNPEu9yWqMDZ4qETHo1X8O1yZq9JsSCVrpzwz9gEbeLqA=s32-rw","Syed Mubazir","June 22, 2022","I like the app theme and experience, but some feature are kind of clingy at times. Overall more than 4 star rating.... ⭐❤️💯","1 person found this review helpful","MeisterLabs","June 22, 2022","Hi Syed, thanks for reaching out. I'm glad you're enjoying MindMeister! We'd love to hear exactly how we can improve and which features you're not happy with - please write to support@mindmeister.com and let us know. Best, The Meister Team"
"https://play-lh.googleusercontent.com/a-/ACNPEu8gI70B5wC08XjCf8B1cgGRiZ9t4SAAB3MMU25TYg=s32-rw","Axie Lotl","August 27, 2021","Promising app idea but even basic features like PDF/image export and file attachments are locked behind paywalls I also feel as though just 3 mind maps is too little for the free app. I know I'm not the only person who has this issue. Most people will be happier dealing with a few ads than having to directly pay for basic features. I'd planned on organizing personal writing projects with this app, and since I'm a visual artist as well I'd have photos attached. Sadly, that isn't possible for me.","27 people found this review helpful","MeisterLabs","August 27, 2021","Hello! Thanks for reaching out with your feedback. Sorry to hear that you were disappointed with MindMeister. Unfortunately, it is very expensive to to maintain our apps and websites, so we do have to charge for certain features. Because we prioritize our customer's data privacy, we have chosen to never run ads. Thanks for understanding! -Meister"
"https://play-lh.googleusercontent.com/a-/ACNPEu8YGiPliBqWBvXBSCtCLQVNc010YsTXwzB9btfXGA=s32-rw","kilwa zoldick","September 14, 2022","It is really good app help me to make a map to whatever i want to do","","MeisterLabs","September 29, 2022","Hi there, thanks for reaching out. It's so great to hear you're enjoying MindMeister! Be sure to check out our brand new Community for updates, inspiration and tips: https://community.meister.co/. Best, Miša @Meister"
"https://play-lh.googleusercontent.com/a-/ACNPEu9a2moHDnH1SBdJ28azYK-bYOcQu7_43HGnIWBfAw=s32-rw","Jesse Martin","July 12, 2021","BEWARE: they have shady and dishonest billing practices! It works as described but the problem is with customer service. I paid for premium and signed up for one year But canceled it so it would not auto renew... The cancellation did not go through for some reason So it automatically billed me for another year. The day after I was billed I sent in a request for refund explaining this ... but they basically said ""sorry, too bad"".","71 people found this review helpful","MeisterLabs","July 13, 2021","Hi Jesse, sorry to hear you were disappointed with our billing practices. Unfortunately, we cannot manage your Google Play subscriptions from our end, and granting a refund outside our policy limits would put all our other users at a disadvantage. Our apologies once again; we hope for your understanding.
Regards,
The Meister Team"
