"
  Habitica: Gamify Your Tasks","username","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu_-egbKNeAILoTh-kIUdZzJxNgYCF9o7nERNgatUA=s32-rw","Iago Rosa","November 19, 2022","I fell in love with this app and I really want to rate it higher. It is easily the best Habit app I've ever used. But there are 2 big issues I have with it which is stopping me from doing so. 1st is the lack of an offline mode, making it difficult for me to use and keep up to date with my goals and tasks, this NEEDS to be addressed. 2nd is a nitpick, but the group feature which would be great for families is locked behind a monthly paywall. I would gladly pay if it was a one time fee.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu85JrtNit2MUQaevFWjwOh8Rgf3_iusCfjwqgvE=s32-rw","Sang in the dark","September 12, 2022","Love this app and use it daily! Great for task managing and motivation if you like games and collecting things! :) The app does not support some of the features available in the web version however, which i find a bit odd. The phone is the best place to keep a to-do list as it's always with you so I hope they'll continue to implement existing features into the app. I still miss the option to search/filter my inventory, but all in all, still a great app!","13 people found this review helpful","HabitRPG, Inc.","April 17, 2020","Hi, sorry to hear you've had bugs. If you'd like to send us more detail to help us investigate, you can send that information to the support team via Menu - About - Report a Bug. As for app/web features, we hope to get things matched up as soon as possible! We have a really small team, so updates are a little slower than with big companies.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8VMpiTVQNQJ6FbTeLBHWvywCYZPOTEsZnufTY=s32-rw","Mary Blackberry","September 6, 2022","It's useful and it's fun, I haven't seen an add in the weeks I have been using it so far. It was time consuming to set up all my tasks but once set up it's great. The only issue I have is with the glitches, when I first go to check things off it moves the list around and checks off the wrong tasks but it's easy to fix, just annoying that it happens every single day.","33 people found this review helpful","HabitRPG, Inc.","September 6, 2022","Hi, Mary! We're committed to keeping Habitica ad-free! Sorry to hear about this issue with tasks moving. Please try updating to the newest version, and let us know if you're still having trouble via mobile@habitica.com so the team can look into it.",""
"https://play-lh.googleusercontent.com/a/ALm5wu1ylKe7m8ehcJsh78VUItl5xcjt2l0ywGuOM60z6A=s32-rw-mo","Aaron Kaufman","October 10, 2022","I really like the app overall - it's well made and i enjoy the UI. One thing though - the ""monthly, day of week"" Daily function spans multiple surrounding days rather than only Saturday, for example. So that might be a hard hit for users hoping to use that. I would also love being able to preemptively pause a daily for when I'm on vacation, out of the normal rhythm, etc! EDIT: for pausing specific dailies, a great feature would be for specific ones, in addition to the all-at-once option","21 people found this review helpful","HabitRPG, Inc.","October 10, 2022","Hi, Aaron! Thanks so much for your review. We're happy to hear that you're enjoying Habitica! You can check into the Tavern any time you want to pause, such as when you're going on vacation or just need a break. Learn more: https://habitica.fandom.com/wiki/Tavern","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9LQ1DLDWk4vIB5jDqTNxTTsU8c9p907aZKTTb2=s32-rw","Jorik","October 5, 2022","I absolutely love this app. I'm using it for one day now and already know this is going to be a game changer. The four stars are for two reasons. One: I'm not getting any notifications on my phone. Push notifications are turned on and every notification category in the app is selected as well. Is there a fix for this? Two: I'm missing an undo button for habits. I accidentally clicked a habit two times now, which resulted in me getting undeserved rewards or damage.","12 people found this review helpful","HabitRPG, Inc.","October 10, 2022","Hi, Jorik! Thanks for the helpful review. We're working on fixing notifications, but if you want to submit a bug report, your experience could help our developers: Menu - About - Support - Report a Bug. If you need to adjust your stats based on an accidental click, you can use Menu - Settings - Fix Character Values.",""
"https://play-lh.googleusercontent.com/a/ALm5wu129S3d3MP7_nNbB_p8l0plNyzYbi2fIOP5bVKg=s32-rw-mo","maja schneider","October 1, 2022","I absolutely adore this app. I can pause my tasks when I am overwhelmed, my brain let's me do ""boring"" tasks because I get things for it - And when I forget to check the app before going to bed, I can do that in the morning. It's awesome. Really helped me, thank you so much for creating this app. I have one tiny criticism/bug: Sometimes, when I open the app, it just freezes. It usually works when I close the app and open it again, but it's kinda annoying...","8 people found this review helpful","HabitRPG, Inc.","October 2, 2022","Hi, Maja! Thanks for your review and kind words, they mean a lot to us. If you’re still having issues with it freezing, we’d love to take a look. You can send a direct report via Menu - About - Support - Report a Bug","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu2nq7zqZpeXOJc6szC-STMEOJveYeXVYe0YLCpx=s32-rw-mo","Chelsey Shorten","October 3, 2022","I'm enjoying this app. Checking things off lists and getting points has made me more likely to do my habits. The party quests give even more incentive. The eggs and other items don't appeal to me so much. Once I had a few, I lost interest in hatching eggs or feeding pets. I also wish there was a log somewhere so I could check whether or not I've already counted doing my habits. It's very clear when I've logged daily tasks or to do's, and I'd like that same clarity for habits.","6 people found this review helpful","HabitRPG, Inc.","October 10, 2022","Hi, Chelsey! Thanks so much for your review. We're happy to hear you're enjoying Habitica and it has helped you be productive! If you’d like to share any feedback with us directly about logs or counting habits, you can let us know that via Menu - About - Support - Send Feedback.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9e2LeGOkkec_U0AQGSdexw8ex-40x3ef0bN6jpKQ=s32-rw","Sean Hoghna","October 13, 2022","Buggy. Tasks can't be rearranged as they always return to their original places everytime I move them. The app always crashes when I add Dailies which causes me to be locked out of the app until I clear its data in my phone settings. Sometimes, the tasks in the To-Do list can't be cleared no matter how many times I tap them. Still a good app though as it has already helped me tremendously with my productivity issues but the bugs can be disruptive sometimes","2 people found this review helpful","HabitRPG, Inc.","October 14, 2022","Hi, Sean! Sorry to hear about this issue. Have you updated to the most recent version of Habitica? Please let us know if you're still having trouble via Menu - About - Support- Report a Bug and the team will look into it.","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu1JgTudwFwOVzmkGA8iEpitdeArz34QYj3As-br=s32-rw-mo","André Luís","September 19, 2022","The app is great. I like especially how flexible it is. Other times, I've struggled with self-management or these sort of habit trackers because they always felt a bit restrictive. This just feels like I'm playing a game. Nevertheless, I take my goals ever more seriously, now. Great app; I'd recommend it to anyone.","1 person found this review helpful","HabitRPG, Inc.","September 19, 2022","Hi, André! Thanks so much for your review. If you accidentally check something off, you can filter your To Do list to see ""Completed"" items and uncheck them. Hope this helps you undo any misclicks! You can always contact us directly by going to Menu - About - Support - Send Feedback if you'd like to give us any additional suggestions.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8AMLt9IiPn6vJrbC1FLNN14KtF8NG4QILAgKm6=s32-rw","Toronja","October 18, 2022","I deleted my account and made a new one, but by some reason my data restored anyways and since then I've been having a pretty annoying experience with the app, habits reset randomly during the day, it won't let me add points and the app freezes, i can't edit my habits whenever i do it goes back the way it was before, the app is running slow and buggy, I'm uninstalling and creating a new account but this was pretty annoying.","2 people found this review helpful","HabitRPG, Inc.","October 24, 2022","Hi! Sorry to hear about this. You're using an older version of the app, so you might want to update or download a fresh version, which should keep it from crashing. You don't need to keep creating new accounts. Please let us know at admin@habitica.com if you keep experiencing issues after you update.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8_l8mKgbOA4BFRyHfrCEi8PW1jnQIUbbFwHJecHA=s32-rw","Reilly Henson","September 22, 2022","I wanted to find a to-do list app that would give you a little ""celebration"" when you checked something off, for those times when it's hard to stay motivated. Habitica is that, plus so much more! It's fun to use, and can be as simple or as in-depth as you choose. It's a great way to stay organized, and to keep yourself from procrastinating too much. You can really tell that the developers enjoyed making the app, which adds to the charm.","12 people found this review helpful","HabitRPG, Inc.","September 24, 2022","Hi, Reilly! Thanks so much for your detailed review. We're happy to hear Habitica has been helpful for you! If you’d like to share any feedback with us directly, you can do that via Menu - About - Support - Send Feedback. Happy adventuring and celebrating your wins!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8kNAmoDx_HJWUdu3zxPxwVDMqDd47XpLogIF1CX38=s32-rw","M Smith","September 20, 2022","I really really dispise apps that require you to be connected in order to use them. There's no reason for it. I'm a professional pilot which means if I can't check off habits while I'm at work, and I cross into midnight in whatever time zone, I lose points making the whole game pretty lame. There is no need to have to be connected in order to check off habits.","54 people found this review helpful","HabitRPG, Inc.","September 24, 2022","Sorry to hear Habitica isn't what you're looking for at this time. Currently, the connection to the internet is necessary so that users can access their synced accounts on all platforms. We plan to add offline mode in the future. You can also adjust the time Habitica resets for you in your settings, to avoid those time zone issues you mention.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-Wqwh27tfi0Da7E_ia4vRX5-54c5uM_LBrNybYSg=s32-rw","Shayan Abbas","November 15, 2022","I love Habitica but it's to do list tracking has to improve. First let us add small pictures to the to do list or habit tracking Second, for the to do list tracking, make it more outlined when it's due. So, like if its due today then make it like a today block and then put the tasks. If you do these things I will give it a 5 stars.","","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0aBMQZOHmsILBDuGWDbpDgvsSIzm2OAENyzn_T=s32-rw-mo","kye randor","November 1, 2022","I love the idea for this app. I've tried it several times throughout the years but I need the notifications and they have NEVER worked for me. Update: I tried it again and most of the notifications are working now. If I schedule one days in advance it goes off the next day instead, but I'm still very happy with it!","1 person found this review helpful","HabitRPG, Inc.","July 11, 2022","Thanks for using Habitica. Sorry to hear about this issue. We do have an open ticket for working ob improving notifications. If you're still having trouble, let us know via Menu - About - Support - Report a Bug. A direct report will provide details that will help the team continue to fix the issue.","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu1o0HndJkuNDXiWheolLnt4gpuOT_xkW4FIzJ5C=s32-rw-mo","soroush esmaeeli","September 29, 2022","So... I downloaded the app, I made my account, and I created my first daily task. Exciting right? Next thing you know, the app crashes and it NEVER opens again. Just keeps crashing each time I open it. I really hope this issue in resolved fast since this is a fantastic idea of an app, but until then, 1 star is the best I can give.","1 person found this review helpful","HabitRPG, Inc.","October 2, 2022","Hi! Sorry to hear that the app crashed for you. Please download the most recently updated version. If it still crashes, please let us know at admin@habitica.com with details so we may investigate and help you out. Thanks!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9HWm-2oNM981wkkH003rWvx8Zoho2OVrE2jr52bM0=s32-rw","Nur Sarah Azhar","October 5, 2022","Edit: They's been crashings since the past few weeks. This is my second time reinstalling the app. Hope the developers will look into it. It's great for people with ADHD. I've been using it for daily and overall life planning. Great to have a way of body doubling or an accountability group.","2 people found this review helpful","HabitRPG, Inc.","October 2, 2022","Thanks so much for your review. We're happy to hear Habitica has been helpful for you and helps to keep you accountable! If you’d like to share any feedback with us directly, you can do that via Menu - About - Support - Send Feedback.","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu2jZbcBEjp-Qd1RG0RDWo7jr3SQSCObA8Lsk1FgmA=s32-rw-mo","Alice Chan Sin Yen","November 1, 2022","Habitica helped me stay consistent and committed with my habits successfully. The gamified habit building process makes it all easier and more fun. People who are bored and struggle to build the habits can try out this app! In general, the app is amazing! However, I have an issue with the adjust counters of my habits. The streak of two of my habits just vanished, but it's small matter, I added the manually. Please fix this, developers of Habitica.","","HabitRPG, Inc.","November 2, 2022","Hi, Alice! Thanks so much for your review. We're happy to hear Habitica's gamification has been helpful for you! Sorry to hear there was a problem with your streak. Please let us know more via Menu - About - Support - Report a Bug. A direct report will provide details that will help the team fix the issue.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9-V-3WjgpZAmdBd4u2THrNHqRxU2bYeazqFnFIpQ=s32-rw","Victoria Orolfo","November 15, 2022","I got a new phone recently and can't log in into my account. I signed up with Facebook eons ago, but that isn't an option on the current login page. Only sign in with Google or email is available, and the latter didn't work with my Facebook email but gave a pop-up prompt to try logging in with Facebook (which again, isn't an option). Please help me EDIT: support was able to help me out. I can finally manage my life again haha thank you!","","HabitRPG, Inc.","November 14, 2022","Hi, Victoria! We can absolutely help! We deactivated Facebook login due to security issues, but your account is still safe and waiting for you. Contact us at admin@haibitica.com and we can give you access to your account again.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9oSX_voutc6rR_Jz_TLIdNuxiER2VVnarmdd_r8Q=s32-rw","Keiken","October 9, 2022","The reminders don't work for me.. I don't receive notifications like when I setup my dailies reminder time i don't receive anything. It would be really nice cuz I need someone to remind me my time of meal and this game is almost perfect. Make it like a Clock. Also I experience couple of glitches especially when opening an habit/daily/todo the screen turns black. Please make it more smoother and easier to access the community or groups. Like a discord lol. Give it a note section to track goalspls","2 people found this review helpful","HabitRPG, Inc.","October 2, 2022","Thank you for your review! We plan to add offline mode in the future. We now have an official suggestion and comment form to help us keep track of what features users want the most. You can find it via Menu - About - Send Feedback if you’d like to add your ideas.","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu1KRgyl4ArCfGPfSdY7H3u_C2AC3fy9dYUTyAKT=s32-rw-mo","Rivet Squid","October 2, 2022","Big setup issue with current version. Tried signing up with my Google account, now anytime I open the app it prompts me to setup username but autofills the second slot with my name associated with Google (which has a space in it). After that the second line registers an unusable name no matter what is entered after deleting the autofill. Had to uninstall and set up with email.","1 person found this review helpful","HabitRPG, Inc.","October 2, 2022","Hi! Thanks for letting us know your device's autofill caused a login issue. It sounds like you were able to create and sign into your account and that it's working now. Please let us know at admin@habitica.com if you run into any other sign up or login issues.",""
"https://play-lh.googleusercontent.com/a/ALm5wu2Q-RXRh774bP34uvxxJrK3pXqASjCRrZ9xMtES=s32-rw-mo","R L","September 9, 2022","Favorite app EVER, for 560+ days now. I use it daily, put all the to-do's and aspire-to-do's there and get a super satisfying burst of dopamine when I check them off and receive that sweet, sweet gold for gear and costumes. It WORKS - things I used to loathe doing (dishes, drinking water, read non-fiction books, learning instead of procrastinating) have become second nature! I'd still be addicted to Genshin or some other games if it weren't for Habitica. This app literally changed my life.","","HabitRPG, Inc.","September 12, 2022","Thanks so much for your review. We're happy to hear Habitica has been satisfying, helpful, and life-changing for you in getting those small tasks done! If you’d like to share any feedback with us directly, you can do that via Menu - About - Support - Send Feedback.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9knF74xPOFIYola81VlX6CVnGec6nRVQW7hOdL3w=s32-rw","Savannah Tane","November 18, 2022","Awesome concept. Like making real life into a game. Only thing I'd say is if you could have an undo button. I press plus by accident and it levels me up. I like to earn the achievement, no mods round here. Thank you","1 person found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9ecJSnsw2WqQv4W3CCemF5knZFXET3cEHcOdEOMg=s32-rw","Jocelyn Ostler","November 18, 2022","fun and unique, much more motivating than other wellness apps, few bugs. My tasks will change names when I check them off, and even if I receive a notification that I've found and egg ect, it won't show in inventory","","","","","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu0ygaPeR8JJpTXsgd175wEUP9NN-n42_9Zl79yYlg=s32-rw-mo","Rachel Kaelin","September 1, 2022","One of the first and remains one of the best. Turns your to-do list into an RPG. You earn items, pets, and customization options. It's fun to join friends in parties and attack bosses together, then dress yourself like a fish. Uses more negative reinforcement, which i don't care for, but there are ways to mitigate the effect because everything is so customizable. Endgame is frustrating because upward growth becomes stymied after a while, but character can be reset, and updates are constant.","29 people found this review helpful","HabitRPG, Inc.","September 6, 2022","Thanks so much for your review and rating. We're happy to hear Habitica has been fun and helpful for you! If you’d like to share any feedback with us directly, you can do that via Menu - About - Support - Send Feedback.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-aNeohJR3psqIYrBoTyW8MSxKwoKbnYZTCZBp86A=s32-rw","E. Rose Huttner","October 11, 2022","Fun and motivating. suggestions for future updates: the to do list should be more customizable. You should be able to organize tasks by days without entering a due date & you Should be able to filter completed tasks by date (I love seeing everything crossed off at the end of the day). 2, I wish there was a way to enter tasks for total # of times in a week vs specific days. Ie I want to do yoga 3x/wk but not necessarily every other day.","","HabitRPG, Inc.","October 14, 2022","Thanks so much for your review and feedback! We now have an official suggestion and comment form to help us keep track of what features users want the most. You can find it via Menu - About - Send Feedback if you’d like to add your ideas.",""
"https://play-lh.googleusercontent.com/a/ALm5wu0yaeG12SIrXXqGfznY7v5gaC2XVrttvWOJDKwo=s32-rw-mo","Liam Bennett","November 9, 2022","Love the app, the layout and theme is amazing. The only thing letting it down for us is we would like an app where we can share tasks out as a household. To get this functionality the app needs a $9 subscription a month with an additional $3 per additional member in the group. That's more expensive than most full featured triple-A MMO's! Please lower the pricing of the group / task sharing to be more appropriate and we will subscribe without hesitation.","","HabitRPG, Inc.","November 14, 2022","Hi there, thanks for your review. Habitica itself is free to use. It seems you are referencing our Group Plans which do have a monthly fee. Group Plans and subscriptions allow us to maintain Habitica without having to sell user data (the main income source for most apps). Thanks for checking us out!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_YD0Qr4Ym29SsKiXV7ggmRTQD1N9vwBPAg6lBZsA=s32-rw","Vicious Kurai","October 31, 2022","Cute idea but after a week of ""playing"" I am realizing that many items and quests require gem (real money) purchases. That is kinda lame to reward people who pay rather than encouraging them to keep up life improvement. It also is very slow leveling up unless you count mundane tasks like ""bush teeth, wipe a$$, sleep 8hrs"" and other basic living necessities.... which I guess for nerds is a problem?? o_O Also the sprites could look better. At least upgrade to SNES graphics.","2 people found this review helpful","HabitRPG, Inc.","November 2, 2022","Thanks for your review! All items that can be obtained with gems are cosmetic, and quests can be shared with partymates. There are also ways to earn gems: https://habitica.fandom.com/wiki/Gems#Obtaining_Gems_for_Free Our artwork is done by volunteers from our community and is intended to evoke a retro style. Sorry it's not your cup of tea!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-h1dyFCVPxOB3BCJ8_-RqN-ZxUDkYVrFP4pGQF8vg=s32-rw","Beth Heller","October 31, 2022","This is a good concept, I wish it worked for me. This would work for someone who wants to check off daily chores that need done every day, or daily habits you're trying to form. I was hoping to use this as a planner, & it does not work for that. The ""to-do"" list tab is lacking a way to plan your week & create tasks for a different day. It will however work for ongoing tasks with a deadline, perfect for students. Not for someone like me who doesn't have a set routine.","","HabitRPG, Inc.","November 2, 2022","Hi, Beth! Thanks so much for your detailed review. We're happy to hear Habitica has been helpful for you! If you’d like to share any feedback with us directly about how it might work better for people like you who don't have set routines, you can do that via Menu - About - Support - Send Feedback.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8XDjv3OC9qOMBu8Tu2XJp6GuA2AiBS8rLH_K-i=s32-rw","Abdoulaye Tarnagda","October 24, 2022","This app went beyond my expectations. I thought it was just going to be a habit tracker but Guilds, to dos, due dates, challenges, rewards, widgets for phone, no cap this app goes above and beyond. Best habit tracker without a doubt. Ps, the designs of the gear looks sick. I'm really satisfied with this all.","","HabitRPG, Inc.","November 2, 2022","Hi, Abdoulaye! Thanks so much for your review. We're happy to hear so many features in Habitica have been helpful for you! If you’d like to share any feedback with us directly, you can do that via Menu - About - Support - Send Feedback. Happy adventuring and have fun!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-r12VeCse-tjC3flHa7eBdy2VDZY5sdqp19FYO9Q=s32-rw","Shane","November 6, 2022","I absolutely love this app, At first thought the game character thing was a bit dull but it really adds alot. I would recommend. There are zero ads, zero pay walls, if anything it sounds a bit daft the devs are making much money on this, might be a passion project. Only downside I could point out is the app doesnt work if you're not connected to the internet I hope they can do something about that other than that its a great app 5 stars Edit: Can you consider adding harder difficulties for tasks","1 person found this review helpful","HabitRPG, Inc.","November 7, 2022","Hi, Shane! Thanks so much for your detailed review. We're happy to hear Habitica has been fun for you! If you’d like to share any feedback with us directly about difficulty levels (or anything else), you can do that via Menu - About - Support - Send Feedback.","Show review history"
