"
  Taskito: To-Do List, Planner","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu9AVTxnRlN-O374j9YTJEX4gy1Bqh3oHP6PVXXk=s32-rw","Salman Parkar","","October 26, 2020","This is the best Productivity app I have used so far for Task Management, to help you organize day to day tasks with ease, Checklists, Reminders and much more. It is very simple yet complex and stylish which makes sure you never miss any goal. It has a great potential. The developer is also very kind enough! I truly recommended it..","6 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2ojXVC0xHZPSCchRKjzjYXq7gM9OWouo9nsR84=s32-rw-mo","Swati Baramati","Show review history","May 13, 2021","HIGHLY RECOMMEND! The one thing I liked about this is they haven't included most essential things in premium version so that we are not forced to buy it on priority. Best planner I ever had. Actually I created a manual version of same, with statistics and all but lack of laziness to sit and write was my enemy. Thanks to this app. Great work, team!","20 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9_9SV2vyg2ADu-oNPEv38SOrJAJ-HGdYAOBoCKGw=s32-rw","Aay","","July 25, 2020","I'd be really great if yall could stop showing tasks for older days on the widget, people don't want to see what tasks they've done before on the widget. This is probably the only thing that I don't like bout this app. Please fix it as fast as possible, other than that everything is perfect, I'd give it a five star but unless yall fix this problem I wouldn't do it. Looking forward to see more improvement in the future. Thanks :) xx","1 person found this review helpful","Taskito","August 17, 2020","Hi, Thanks for your feedback. We have updated the widget. Please check out the latest version of the app and let us know your review. Follow us on https://twitter.com/HeyTaskito for news & updates."
"https://play-lh.googleusercontent.com/a-/ACNPEu8syeAEpD-2IIvi4FmWl4Ju2XqmB4aTqp8C1cfEbg=s32-rw","sreemukhi kasinadhuni","","January 6, 2021","I really love the timeline model, the projects and the widget. I've tried out many Todo Apps, and by far this one is my favourite. It's clean, customizable and has enough options to make it an all rounder. I love this and might even consider a paid version.( The free version does have everything one might need )","4 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_PUMl9R6oIphkJi8PEF7b6DcH2jKhjWQWbnVtcEA=s32-rw","Ria Malik","Show review history","January 20, 2021","The app is phenomenal, practical, simply perfect- all that goes without saying. What really made the difference was the team- active and helpful, they were the icing on the cake. Thank you team Taskito, for not only coming up with such a flawless app, but also going the extra mile for the users!","5 people found this review helpful","Taskito","January 19, 2021","Hi Ria, thanks for your feedback. Reminders has always been a paid feature. You get a free trial of 15 days to test the app. Please reach out to hey.taskito@gmail.com and we will offer you a student promo code."
"https://play-lh.googleusercontent.com/a-/ACNPEu9ooeyi6rlC8eMnaoqI37sKgGLMEVf5eb9UHtCXEw=s32-rw","Jishnu","Show review history","July 15, 2021","I love how the app visualises tasks & notes according to timestamp. It also has a section to list unplanned tasks which is useful when you are in a hurry, and it avoid unwanted clutter from the main task list. Then there is the project board which allows you to group tasks related to an activity under a project and track it's progress percentage wise. Overall this is a great todo app. Edit: Thanks for adding multiple remoders per task. Also love the solarized Colour scheme.","19 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-1MIT7KVP4BtyByf9H2teFeD9IhFHkrK2uIGCgXw=s32-rw","Mehebub Alam","","September 15, 2020","It deserves nothing less than 5 stars, and for a valid reason too. This app is well designed and presented and the best thing about it is One Time payment and if that wasn't enough you can choose for the features that you use. The app design is clean sleek and modern but there's a learning curve over-all am really satisfied with it and I don't usually write review but this was worth it. Looking forward to a webapp?","10 people found this review helpful","Taskito","September 18, 2020","Thank you for providing your valuable feedback. Please reach out to us at hey.taskito@gmail.com, if you have other suggestions."
"https://play-lh.googleusercontent.com/a-/ACNPEu96tzlo-K_6KLtOKEofe3GD2BM6Ioly3fDpLCbo=s32-rw","Jennifer Hunt (Jennoir89)","Show review history","November 16, 2022","My mum recently introduced me to this app. I was looking for a digital version of my bullet journal. Tried todoist, Evernote, notion, and many more, couldn't get anything to do what I wanted. This is the best so far. I'd love the ability to export the data. I hate the thought of my data being lost. I'd love to see in the timeline like the bullet journal where you have migrated tasks, would be interesting to be able to see all the days you have rescheduled something And I'd love a web app! ❤️","2 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_o_uBgR8a7JiDNxxKxjDhFUHybQKp71IOS2eqzmw=s32-rw","Süleyman Bölek","","November 1, 2022","I have been using to do apps for more than 10 years.. Very famous app, Microsoft to do, todoist...etc but this app has something different, I can really see that with more push, this app can be the best one in the world. Most importantly, a desktop version is needed, and customization plus the widget should be improved, i don't mind paying if it gets much better. Thank you for the work, please keep updating the app with better features and cleaner, more simpler UI and UX. It has a lot potential.","5 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9sDEvd08eZbKaHBY31EYSVw8lT3_p4XxNcXXEcEg=s32-rw","Kam M","","November 8, 2022","If the purpose of a review is to help others decide, Then, as of right now, if you have a Wear OS watch & like the added convenience of interacting with notification actions on your watch, this might not be for you since Taskito notifications don't show up at all. It might be linked but the notifs don't work like other apps, if you disable the full screen pop ups, the app won't show normal heads up notifs. The app is well designed, so if the notifs aren't important, it might be perfect for you.","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1Q0WCpw-7EdoYaJf15dZ1lXKstxWUzCwrYSdT_=s32-rw-mo","Emily Pyers","Show review history","October 23, 2022","I've trialled pretty much every routine or planner app in the play store to try and find one that lets me plan and manage my routine more effectively. So far this seems about the best of a bad lot. I agree with other reviewers who've noted how useless the reminders are - if I actually want to hear a reminder I copy the task into my google calendar. Also not being able to set reminders for subtasks is a massive gap for me. I hate the ""To do"" and ""Overdue"" badges at the top of screen.","8 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0DX2VWMHTyIjQEzGhd3BgZdXFYjcRLc4Nkd3cM=s32-rw-mo","ansis zvirbulis","","October 26, 2022","Overall awesome app, I haven't encountered any errors or bugs so far. App doesn't have any redundant, useless features. It would be great though if checklist points for unplanned tasks could be completed and viewed from task view (the same way it is for planned tasks in timeline view).","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-2qU1qSUPqrdxEnVRT4De0ykVAyVfO41z24kNA8Q=s32-rw","Jovica Ignjatić","Show review history","October 19, 2022","Update after 2 years: Still a great app, great additions, one of the best productivity apps (even purchased the premium), but I'm moving to Any.do or Todoist because of web browser access and Any.do's better notification system. It becomes hard to manage a lot of tasks over the phone and tiresome. Hopefully, I will return back once the web feature is done but since it has been already 2 years, I'm not too optimistic it will be done anytime soon. Reducing to 3 stars because of slow development","13 people found this review helpful","Taskito","September 14, 2020","Thank you for downloading our app! We will keep working on it!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8FW6_epwee_BzLj7jAdsi04AuhZ3w6khWFegZU=s32-rw","Bobby Clement","","October 18, 2022","Great app. Nice and concise to do list software which doesn't make the lists feel cluttered and overwhelming, especially where there are lots of tasks. I like the repeat task feature but would like the ability to mark an item as failed rather than just cancelling it.","1 person found this review helpful","Taskito","October 19, 2022","Thanks for your feedback. Mark as cancel is just a semantic. You can think of it as mark as failed. There's no difference. It depends on how you use it."
"https://play-lh.googleusercontent.com/a-/ACNPEu-ur0Z3OynPcT-sD7eZ9RT8sEugC68Zq4ZK9OfMCJY=s32-rw","Dean Woolley","Show review history","September 10, 2022","Just come back to this app again, so far so good. It does do the work of a couple of apps I have been using. For that alone it's great. Also you can see what you have ticked off or achieved it that is what you want 👍. Great widget too 👍. Only one issue/niggle is editing an already existing recurring task can cause a duplicate task to appear. Maybe because it's not completely clear how to do it. You have to click on the small writing hiding near the top. Second paragraph down I think.","6 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-3XMY4IHlnwvs9nI_aHFiSVZ-HIM0RBjjxIKMqQxo=s32-rw","Vinay Kanth Rao Kodipelly","","November 13, 2022","It is a phenomenal app, and it really helped me understand my day with the timeline visualization. But it is quite hard to plan your day on mobile. There must be a desktop app where we can add the tasks easily.","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu--_zYf_ydceY-vW0L-s83AvyKtMns5-4r0WQjh3Q=s32-rw","Kapeel Kokane","","November 5, 2022","Have tried a lot of task management app but this one stands out! Love the timeline feature and the projects feature. Also it has some nifty ones like recurring tasks, reminders, tags etc. Crossed out 150 tasks in a month and also paid for the lifetime premium plan. Kudos to the taskito team.","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8IpSEIMy7W_v3eFHCfKeO2wp7Oy5JPxAt-pnlYCGI=s32-rw","T","Show review history","July 12, 2022","I have been looking for an all encompassing to do app and project tracker and this really hits the spot. There are so many features I'm still discovering them. The timeline is awesome and well organized.l, the widget is fully functional. I love the helpful tips that remind me which task I am editing in terms of the repetitive tasks. Can't wait to try the accompanying web version.","13 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_n0c7Ynj6yyKv7eUYG5ccLYebk_ugWmYFPdUwQMQ=s32-rw","Dr. Umakanta Beriha","Show review history","October 27, 2022","Extremely Happy with the Premium Version. Time management has become so easy these days for me. Great features with stunning UI, and UX is awesome 😎🚀","1 person found this review helpful","Taskito","May 3, 2020","Thank you for your encouraging words. If you have any suggestions, please reach out to us at werklogapp@gmail.com"
"https://play-lh.googleusercontent.com/a-/ACNPEu_0daIH3u1mnKNRA28agR3_KvX9Auq7gnNQToB9GQ=s32-rw","William","Show review history","September 14, 2022","The best todo/notes app I've found so far, instantly bought the lifetime subscription, but I have one complaint, why the app keep on offering me to subscribe if I'm already premium? That's very annoying... Another thing is, when we have unplanned tasks and those tasks have checklists, those lists don't appear in the unplanned tasks tab, I'm missing something or is that a bug?","2 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9MHDMyqGXS5MHksjx-Sp5LbW0o_5uqalxTlfscKw=s32-rw","EIDOS // MUSIC","","July 19, 2022","I love the app and it's style, but I wish you could have multiple widgets with different timelines. E.g: one for work and one for home and one for things you want to buy or remind yourself about while scrolling through your phone. Maybe it's just me wanting to segregate the categories but it would be productive feature.","9 people found this review helpful","Taskito","July 19, 2022","Thanks for your feedback. You can certainly have multiple widgets with different timeline settings. But there's no filter functionality yet. We have noted down your feature request. A 5 star rating from you would help us build more features."
"https://play-lh.googleusercontent.com/a-/ACNPEu-hwtU4zZHuza7zJ5zN1vCYHPF5PHVBpTv1Xl1O5_I=s32-rw","Rob Lane","","August 9, 2022","Love this app! It really helps me keep all my tasks and to do lists current and helps me stay organized! Also, great customer support team! I had an issue logging back in, and got a quick reply with several things to try to resolve the issue (turned out it was my work wifi settings getting in the way)!","6 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0mfyKyqPX5ZL4YWIO3UmVaeNrUuTa4GiD82Izf=s32-rw-mo","Krishnan Palaniappan","Show review history","August 14, 2022","I'm a long term Todoist user. I bought this app on the very first day of use. It holds promise and may well be a Todoist replacement for some. There does not seem to an option to export data for back up purposes. It is highly recommended to add this feature or else data could be lost due to no fault of the user.","29 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8mu9C1CfCOCaiEY162slqaemiF84DSJKrlUelDxA=s32-rw","Natalie Curare","","July 21, 2022","Wonderful task app! I've been looking for an app that has a widget with clickable subtasks. I wish that in the widget you had the ability to hide the words ""Progress - 0 of X"" for subtasks and have it just say ""0/X"" like how it lists it in the main app or just hide that line entirely. It takes up space and I can already see from the number of checkmarks how many subtasks I have left. Thank you!","5 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-_ugEFWeOi1FY8flIVVPnHNHPN5PRgzv6aGR5hLw=s32-rw","ananya verma","","September 18, 2022","Best app for me as a very unorganized person who tends to forget things. Its very easy to use. There are features like repeating tasks, repeating reminders, notes and much more. This app is perfect.","3 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-r1pCMWZWT1FVPMEitKc4xWLREZJGT334Tgtp8Hw=s32-rw","Eunice Lee","Show review history","September 14, 2022","Great app! Would be nice if the app can recognize or detect the time (e.g. 2pm, 17/10, 20 Oct etc.) when we are inserting the title. This will save some time to manually select the date & time after. Perhaps can add a location section for every task/note too","","","",""
