"
  Productive - Habit tracker","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu_P-sd3JvqfKq-OuQ7W3BR4HYgvdoE9V8w-wv8IXiU=s32-rw","Shaun Myandee","Show review history","July 8, 2020","Before you can even try out the app you are forced into a ""free trial"" that renews into an insanely expensive annual plan. Not worth it, there are plenty of other alternatives that let you try them out before committing to any sort of premium version. Edit: there is indeed a tiny exit button at the top of the trial screen. If you press it you can continue to the app with a subscription notice popping up frequently. Still obnoxious, but less so.","92 people found this review helpful","Apalon Apps","July 8, 2020","Thank you for your feedback and sorry for the inconvenience! You can reject the free trial offer which is followed by a paid subscription, and continue using the limited app version. For this simply tap the corresponding button on the offer screen."
"https://play-lh.googleusercontent.com/a-/ACNPEu-CFdNmFGO1WVw6-qUP2TaBGmbiw-KFo80HU1wkvg=s32-rw","Sush","","August 15, 2020","The design and functionality of the app is very good to get started on tracking habits at first glance. I didn't feel like trying it out past day 1 though because of the constant reminders to purchase ""premium"". I wanted to try out the features before I get ""premium"" to see if it's a good fit, but the focus seems to be in ensuring the payment is captured before letting someone actually try it out. Doesn't allow me to justify the need to pay such a high ""premium"".","80 people found this review helpful","Apalon Apps","August 17, 2020","Thank you for your feedback. We appreciate your comment and will consider it while working on future versions of the app. If you have any further suggestions or ideas - please let us know at support@apalon.com. Thank you in advance!"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","October 16, 2019","I used to use this app years ago on iOS, it was absolutely my favourite habit tracker app and nothing else could compare. However, if I remember correctly, it was about 8$ for the full version and a one-time payment. Absolutely worth the 8$ at the time. I am utterly disappointed to find that it is now 11$ PER MONTH! I was so excited to finally see this app on Android and my hopes have been completely crushed after seeing that. I'd be happy to pay even $20 as a one-time payment but not 11$/month","10 people found this review helpful","Apalon Apps","October 21, 2019","Thank you for your feedback. We appreciate your comment and will consider it while working on future versions of the app. If you have any further suggestions or ideas - please let us know at support@apalon.com. Thank you in advance!"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","October 13, 2019","It looks decent, good interface and idea but once you find your way around the immediate ads and attempts to sell you a subscription, you are very limited. You can only have around 4 habits before it tells you that you've reached your limit (and to pay to get more). Not worth it at all. Suggestions: allow 10 free habits, lower the subscription price (a lot).","1 person found this review helpful","Apalon Apps","October 21, 2019","Thank you for your feedback. We appreciate your comment and will consider it while working on future versions of the app. If you have any further suggestions or ideas - please let us know at support@apalon.com. Thank you in advance!"
"https://play-lh.googleusercontent.com/a/ALm5wu1PSZPqEz5OifD-8wmzllwfTam7qTrNOgRwPit3_w=s32-rw-mo","Thomas Nowroski","","February 3, 2021","Worthless app. I unfortunately bought the premium version for ""50% off"" for $14.99. It's not even worth a penny. The only thing the paid version let's you do is create unlimited routines and check them off as complete or skip. Doesn't even notify you when you have a set time for notifications. Everything you can do with this app you can do for free via checklist or calendar.","104 people found this review helpful","Apalon Apps","February 4, 2021","Hi, Thomas! We're sorry that your experience with the app wasn't what you'd expected. In case you'd like to give it a second chance, please drop us an email at support@apalon.com anytime. We'd like to look into the problem with notifications. Thank you in advance!"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","November 26, 2019","This is an honest request to lower your price. I had this app on my iPhone and I paid a very small one-time fee to have premium version. I absolutely LOVED this app - best habit tracker out there IMO. Clean, intuitive, and Goldilocks (not too little or to much) functionality. I was excited to see it released on Android then promptly very discouraged by the high pay wall erected. It is a fantastic app, however the price is far too high for me to justify. I would prefer to see at a 50% reduction.","16 people found this review helpful","Apalon Apps","November 27, 2019","Thank you for your feedback. We appreciate your comment and will consider it while working on future versions of the app. If you have any further suggestions or ideas - please let us know at support@apalon.com. Thank you in advance!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-djVLAF6uqlSvxystHFCNSs0MorN1bhbuEa7huDw=s32-rw","Aaryan Moin","","July 29, 2020","This app is really nice looking. The UI is super smooth and beautiful. it's also very functional with great features. there are some HUGE downsides, however. there's no account system or multi-device sync. it's also veeery expensive, at $9/month. I can get an Office 365 subscription for a lot cheaper that's just too much for this app. this app clearly had a lot of time and care put into it, so if you have the money you'll really enjoy it, but for most people this amount of money isn't worth it.","61 people found this review helpful","Apalon Apps","July 29, 2020","It is up to you to decide whether or not you want to get a subscription, but we are always here to ensure that you get the best value for your money. We are sorry that the proposed subscription plans do not suit you. You can always check out our other apps or, even better, monitor the store for special offers and sales."
"https://play-lh.googleusercontent.com/a-/ACNPEu8a21zYPBx24QOp3BipinldfqbsufFWD94m6-IG7hQ=s32-rw","Jessica Lonkey","","July 31, 2020","It's fine, but I will not continue to use after my subscription is up. The UI is beautiful, no bugs, and it's very clean and easy to use. However it's just very basic. With having to pay I was hoping for at least a widget (so I could be reminded without having to open the app or check my notifications) but there is none. I was going to just continue to use my Google calendar as my task list but I failed to receive a reminder for the upcoming charge so I'm staying with it for now 🤷‍♀️","37 people found this review helpful","Apalon Apps","August 3, 2020","Thank you for your feedback. We appreciate your comment and will consider it while working on future versions of the app. If you have any further suggestions or ideas - please let us know at support@apalon.com. Thank you in advance!"
"https://play-lh.googleusercontent.com/a-/ACNPEu9xJHQu969KnkSpQV307izbAdasbdMBgHGx2OajXA=s32-rw","Jordy","Show review history","September 5, 2020","It's a nice app, great UI, visuals and animations. However, this is all useless if you annoy users with subscription popups all the time. Either offer it as a paid app or remove those popups and just limit some functionalities. Another problem is the monthly fee, which is high, especially because additional benefits are limited and there are tons of free alternatives. It could be a 5 star app if these things are improved.","65 people found this review helpful","Apalon Apps","September 5, 2020","Hello! Thanks for your opinion. There is always room for improvement and we appreciate your kind contribution. If you have more to say, please write to us at support@apalon.com. Thank you for using our app."
"https://play-lh.googleusercontent.com/a-/ACNPEu9fsJYzLr6k6JGd-aVRNybW2wqrsKTcAku2aPEqDg=s32-rw","Court Smith","","February 4, 2022","Just installed this but you can only add 3 tasks before you have to pay, and you will get a ton of notices to try to get you to pay before you even hit that. The interface is nice, clean, and easy to use and is exactly what I'm looking for, but it's $7/mo or $30/yr to use this to-do list. I would definitely pay a one-time fee but the subscription model is way too expensive. I think this could help my ADHD a ton, but it's too much for a to-do list that gets refreshed everyday. I'll uninstall.","94 people found this review helpful","Apalon Apps","February 4, 2022","Thank you for the a review. Please note that the app is subscription-based. Subscription is one of the easiest ways to support our efforts to provide you with the most up-to-date and functional app. At the same time, a basic version with all necessary features is available in case you're not ready to get the paid one. We thank you for your time!"
"https://play-lh.googleusercontent.com/a/ALm5wu2NUk6j4G9_L7A39GzcVvJ2x9jcDVSG_2y41EWQ=s32-rw-mo","Esteban Palacios","Show review history","July 28, 2020","It's a great app, but the free version just isn't worth it. What I like, (and usually pay for) is when the premium subscription has important features but they are not necessary to have a basic experience. I would recommend to change your tactics. In this case limiting the amount of habits really hurt, plus the intensity of premium ""incentive"" also felt off. It's better to not offer the premium subscription so much, offer unlimited habits, and rely on ads (non interfering ones, not ad walls).","48 people found this review helpful","Apalon Apps","July 28, 2020","Thanks for your feedback. We would like to make the app better and more useful for you. In case you have any ideas on how the app could be improved - please let us know. Thank you in advance for your cooperation!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_z0NeiEPSQ0_51dnN0b3t09meCmDEXdjLtcBONAT8=s32-rw","Melanie Gesy","Show review history","January 24, 2021","I really enjoyed this app, but there is an issue with the notifications. I don't want any of them to make noise, yet the very first one of the day seems to override my DND settings & makes noise. I still want the notification on my screen just not the noise and can't seem to turn that off without disabling all the notifications in the system settings. This app is a great alternative for the habit app that starts with an F (don't want to name it).","1 person found this review helpful","Apalon Apps","January 19, 2021","Hi, Melanie! Thank you for reaching out. It's important that we understand how the issue occurred. Please, can you provide more details on this matter to our support service (support@apalon.com)? We are willing to help."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","December 9, 2019","The app is fine. Artwork alone makes it enjoyable to track your habbits. Other than that, it has more or less the same functions as most habbit tracker apps out there. Now, the subcription is ridiculously high. Look, I'm okay to pay, but for a simple app like this, it rather a one off. And again, comparing to the market, it's just too expensive with little unique values.","14 people found this review helpful","Apalon Apps","December 11, 2019","Thank you for your feedback. We appreciate your comment and will consider it while working on future versions of the app. If you have any further suggestions or ideas - please let us know at support@apalon.com. Thank you in advance!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_4WLe0u2sVk2SqwkaoK3e1qBbnca7J0fMc9piCU_k=s32-rw","Joel Cheung","","May 18, 2020","Things I like, beautiful UI design in the app, I like the simplicity and how things are structured. It was a pleasure to use, I can see a lot of effort were put into UX design of the app. Things I did not like. The ""trial or pay for a monthly sub"" screen, and trying it would put you to a yearly subscription. (half of the reviews are about this issue, so I don't need to explain that.) You have a person doing review damage control, saying ""you don't get charged after the trial"" or whatever. Sure. But my problem is, how is this issue still here? You have been hearing the complain as long as the app is in play store. Why is the ""trail or pay"" screen get an update to explain how the payment works better, so users don't feel tricked into a subscription. Paid only apps are great if that goes back to the app getting better over time. I frankly don't see that.... :( (also, would more likely to do a paid trial for a month or two, without having to ""lock in"" for a year)","67 people found this review helpful","Apalon Apps","May 19, 2020","Hi, Joel! We're sorry that your experience with the app wasn't what you'd expected. Subscription is one of the easiest ways to support our efforts to provide you with the most up-to-date and functional app. It's a pity that the proposed subscription plans do not suit you."
"https://play-lh.googleusercontent.com/a-/ACNPEu_UQFumedjA_K_x33xiYSccrfnVDHDcFox0Wr_d3g=s32-rw","Luke Shaw","","August 16, 2020","Great app, good execution, bad problems I like the app a lot. Used it a lot up until I got a new phone. The app doesn't save on the cloud nor does it have a way to save the stats or share them with a new phone. I lost my streak of doing 50 push ups and 50 squats every day and I had been doing it for a half year...I was suddenly very defeated in my habit knowing all that app progress had gone.","16 people found this review helpful","Apalon Apps","August 17, 2020","Thank you for your feedback. We appreciate your comment and will consider it while working on future versions of the app. If you have any further suggestions or ideas - please let us know at support@apalon.com. Thank you in advance!"
"https://play-lh.googleusercontent.com/a/ALm5wu0RNLI-mhRIVgkM43CBTWINBXzWGoiz1yQ_f26I=s32-rw-mo","Deborah Grant","","May 28, 2020","Basic with decent tracking ability once you figure out how, needs instruction page! Also fewer options for customizing than I would like, I just bring up blank tasks to fill in because I know my goals and don't need the ones they want me to set. A feature I'd like is to give us a variety of sounds/volume for task notification, as far as I can see you are stuck with their little 'doink', dumb and too soft... Some improvements could be made but does the job.","31 people found this review helpful","Apalon Apps","May 29, 2020","Thank you for your feedback. We appreciate your comment and will consider it while working on future versions of the app. If you have any further suggestions or ideas - please let us know at support@apalon.com. Thank you in advance!"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","January 18, 2020","One thing I'd like to see is the evolution of streaks. As in, instead of just seeing your current and your best streak, you see some sort of graph showing the history of streak lengths to really visualize how much one has improved. For what it does, 6 bucks a month is just too much. I'd much rather have ads than pay that. As a one-off thing; okay, sure. Monthly? Hell nah.","11 people found this review helpful","Apalon Apps","January 20, 2020","Thank you for your feedback. We appreciate your comment and will consider it while working on future versions of the app. If you have any further suggestions or ideas - please let us know at support@apalon.com. Thank you in advance!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-OdAIh3lR_6NscWVhGyiwevfClj_ZzcZWrTuvMjw=s32-rw","Muhammad Sirajo","Show review history","September 1, 2021","Great design; great experience. Subscription is a bit on the high side though and a sync feature will really be nice. Update: Been more than a year since my last review and still no sync feature. I tried to create an account on the app's website but it seems web accounts are treated differently from app accounts. I can't keep subscribing if you can't offer sync.","111 people found this review helpful","Apalon Apps","April 9, 2020","Thank you for your feedback. We appreciate your comment and will consider it while working on future versions of the app. If you have any further suggestions or ideas - please let us know at support@apalon.com. Thank you in advance!"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","January 10, 2020","Highly not impressed by this app - it's really just a task list with habit-related items included. So under ""Better sleep"" there are subitems like ""go to bed at 10pm"". Picking any gives you a reminder to set at a given time, customize colors and icons, recurrence, etc. You can create your own categories and that's pretty much it. Finding this out requires agreeing to a free trial before the subscription model kicks in, at nearly $7 a month. I canceled via Play same day and I expect no charges.","1 person found this review helpful","Apalon Apps","January 13, 2020","Thanks for your feedback. We would like to make the app better and more useful for you. In case you have any ideas on how the app could be improved - please let us know. Thank you in advance for your cooperation!"
"https://play-lh.googleusercontent.com/a/ALm5wu0rnRUHfA8ORDUer-ySHoSV2MeuzJ15os35O2My=s32-rw-mo","Grace L","","January 13, 2021","I think this app is very useful. So far, I have been able to make as many tasks as I want, whatever symbols, and I can participate in their special tasks and challenges. All without having the premium version. I think this app is really good abt that. They have no adds either and many options for the task! U can skip, complete, or just not mark it! Its really easy and fun to make new tasks too! It really keeps me on track and I love how much u can do with the free version! Great app!","40 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu25ZY43Rlwi8mLHGFgH1_t7UEAqxjyqOTaX1MZH=s32-rw-mo","Renee Ragragio","Show review history","July 15, 2020","The app is simple and visually pleasing. I really love the interface of this app and this would've been the best app for me except for the fact that the premium subscription is quite expensive yet not really worth it. I would like to suggest adding a widget feature and more cosmetic features (e.g. more color selections), if so, then the premium subscription will be more worth the price and I would definitely avail it.","31 people found this review helpful","Apalon Apps","July 20, 2020","Thank you for your feedback. We appreciate your comment and will consider it while working on future versions of the app. If you have any further suggestions or ideas - please let us know at support@apalon.com. Thank you in advance!"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","March 21, 2020","First thing you get slapped in the face with $8 per month?! For a reminder app that tracks and display like a diagram in XL? Everybody wants to charge monthly without providing much. Take a look at 9email. That's an app that I actually do work on, for hours a day. At times I prefer that over Outlook on desktop. I would be happy to pay upwards $50/month. But it's only $15 ONE TIME FEE. Smart concept, because there is no free version. Use it? Pay. We all pay, and price gets low.","26 people found this review helpful","Apalon Apps","March 23, 2020","Thank you for the feedback. A subscription-based pricing model ensures that you get the most efficient and highly-functional apps for lower costs. We are sorry if the proposed subscription plans do not meet your needs. If you are not ready to get a paid version, you can continue using a free version of the app as long as you want."
"https://play-lh.googleusercontent.com/a-/ACNPEu8TbAV4cqcyURp2H8RCXcfVPSsVoyTGoMHCmlR0qbs=s32-rw","Alex Metry","Show review history","February 15, 2021","A well designed app, but I'm not willing to spend $30 a year for a subscription. I could justify a one-time purchase, but not a subscription. It is easy to set goals in the app, and the UI is very clean looking. However, it focuses too much on streaks, so it makes it easier for me to be less strict with myself and check something to continue the streak. Also doesn't do a great job in helping to set specific goals. Just too steep of a price for what it is and needs a couple of improvements.","71 people found this review helpful","Apalon Apps","February 16, 2021","Hi, Alex! Thanks for your opinion. There is always room for improvement and we appreciate your feedback. If you have more to say, please write to us at support@apalon.com. Thank you for using our app."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","March 20, 2020","Before being able to even use the app, you are given the choice to make an account, or try the app for free, if you give your payment card. After 7 days, it will start a yearly(!) subscription. I thought okay. When I opened the app again, a button on the top was saying ""Try for Free"". No mention that I already have a subscription. When I click on Try for Free, it asks if I want to try it and then have a monthly subscription. Very sly and sneaky, instantly lost trust. Don't trust them.","84 people found this review helpful","Apalon Apps","March 23, 2020","The application does not initiate a payment unless you subscribe for Premium. If you had a free trial and haven’t cancelled it, the account should have been charged only after the end of the trial period and then automatically according to the duration of your subscription plan. You can always cancel it in Play Store - Subscriptions."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","November 4, 2019","Dark color scheme only, somewhat small number of habits (the way they are repeated in every section is annoying), no ""to-do"" list feature at all unlike advertised. Very costly subscription. Well, you asked for suggestions. Some I've already mentioned, you can also make more persistent notifications with customizable sounds and periods, gesture customization, night&day mode, daily routines with timers for each habit, motivators, cool animations on completion, custom colors (rgb), schedule.","","Apalon Apps","November 4, 2019","Thanks for your feedback. We would like to make the app better and more useful for you. In case you have any ideas on how the app could be improved - please let us know. Thank you in advance for your cooperation!"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","November 12, 2019","I should not have to insert my payment data just for the free trial. They do this so that u start paying as soon as it end probably without giving you any notice Edit: the developers have control over the app not some store. Still, obviously it makes sense to get convertions but it is very lousy to start taking money right after the free trial without a warning. Regarding the limited app its hidden in the UI i have to tap the 'x' twice to get there which is unintuitive. the limited app is ok","13 people found this review helpful","Apalon Apps","November 12, 2019","Your card details are requested by the store, not by the developer, and it only happens when you decide to use the Premium functions or activate the free trial period. You can reject the free trial offer and continue using the limited app version. For this simply tap the corresponding button on the offer screen."
"https://play-lh.googleusercontent.com/a-/ACNPEu-ZvqZhCCtnh6yIEn2JMGRfntlxQrUVkJmeg85v=s32-rw","Ashley Powell","","April 6, 2021","I have mental disabilities and this app is super helpful. It is helping me really get back to doing things. However, I do wish there was a feature where you could add something to it like a calendar. Because if you use the App as an assistant to your schedule it's crucial you can put appointments and events. I know it's to boost productivity, and it does, but it would be helpful if it could all be in one place.","73 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_0cpDV4Q8YL5Yn37eywSX17JFNOmdO2_yKCrlfGg=s32-rw","Ryan Lee","","August 4, 2021","Great app for tasks! I've only downloaded it today, and I already have most of my tasks done! This app has no bugs whatsoever, and I love the software. It's smooth, and it looks nice to me. There are so many reminders/habits that you can easily hand pick from the options given. Like sleeping, online studying, and so much more! As a student, this reminder app will definitely help me a lot with tracking tasks and more. The app has so much more to offer than you think, download it now! I love it!","76 people found this review helpful","Apalon Apps","August 4, 2021","Hi there, and thank you so much for reviewing our app! We're so glad to hear that you enjoy creating new habits with our app!"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","March 12, 2020","This has been pretty motivating seeing when I'm on a streak. I did have a negative experience when adding a goal. I thought a goal meant that there was an extra notification when I've managed to perform a habit successfully for a predefined streak of days, but it's actually a goal for times within a day. I set a goal of doing 100 pushups/day x 5 days, then realized it was a goal of doing 100x5/day, which I can't. I then tried to turn it off but it cannot turn off once set, so I think it's a bug.","21 people found this review helpful","Apalon Apps","March 12, 2020","Please contact our support team (support@apalon.com) so that we could assist you with a solution to the issue. Thank you in advance!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8qI5I8U7TNTUmLyLuwSYqdfyjU09Ug22eGvr0gRQ=s32-rw","Alisha","","May 14, 2020","I love this app it is so beautiful yet easy to use. It is very good for people like me who need a little bit of external help to assist me in creating good habits. As a woman, all the cleaning tasks I have to remember are so overwhelming... more overwhelming than the cleaning itself. But this app is like an external hard drive freeing up space in my mind to make it have an extremely powerful performance. Would like the option of more colours and icons as I love my colours but otherwise 10/10!","21 people found this review helpful","Apalon Apps","May 19, 2020","Alisha, thank you for your positive review! We're very glad to know that you enjoy using our app. Thank you for sharing you feedback with us."
