"
  edvanza","username","bp9Aid","review","AJTPZc","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu-tvibklA53cfG3oETb6oOjiSy9nXfIkPJ4h4l3gA=s32-rw","sarita sahai","October 9, 2022","At first was confused, but if you go one step at a time, you will be able to understand and use it properly.","1 person found this review helpful","October 17, 2022","Hi Sarita, We are constantly working towards enhancing the experience and features to help you grow. Our upcoming updates will ensure a seamless user experience. For any queries, do reach us at support@edvanza.com & we would be happy to help. Cheers!"
"https://play-lh.googleusercontent.com/a-/ACNPEu__ZZYm2wtQZoCaOpinD8DyeDcVj4C2l2_cR96TWg=s32-rw","Deep Banerjee","October 21, 2022","Good repository of courses and tools for learning","1 person found this review helpful","October 21, 2022","Dear Deep, It means a lot to us to hear your valuable thoughts. It's our users that inspire our team to do more and do better. If you have any queries or suggestions, please DM us at support@edvanza.com. We would love to hear from you! Keep learning and keep growing."
"https://play-lh.googleusercontent.com/a/ALm5wu1WXAaJBRuBrVMucCJN-gWwK-m4fP4TBrqC7WqM=s32-rw-mo","NEHA POWER","July 11, 2022","Pros: kind of a career ecosystem. Has well curated jobs, social communities etc. Mix of in-house + external courses Cons: tedious login process No proper cues from where to start and where to stop.","8 people found this review helpful","August 4, 2022","Dear Neha, You got us right ! We are a career progression platform. Please write to us at support@edvanza.com and we will be happy to assist you."
"https://play-lh.googleusercontent.com/a/ALm5wu2yuJ1m55yK5ApUrECVxilNSMacQWwGDQXgOtibcA=s32-rw-mo","R K","July 13, 2022","Usless app, it's just redirecting to other websites. Nothing more than a Chinese scammer which is collecting data of users. It's better everyone can directly check for related courses jn udemy, edx or coursera directly instead of installing this useless app","3 people found this review helpful","July 28, 2022","We appreciate you taking out time to explore edvanza. Learning on edvanza happens in two ways. One is through edvanza exclusive courses and affiliate courses. Hence it takes you to the partner websites.
We are always striving to make your learning experience seamless. Kindly write to us at support@edvanza.com for further explanation."
"https://play-lh.googleusercontent.com/a/ALm5wu10wpJeWXdG92zIYcyWHIauDcHiUgeeGEspyL1m=s32-rw-mo","Shabnam Khan","July 11, 2022","This is what I was looking for. Finally got one stop solution for me. Though your app need some work but the concept looks great.","7 people found this review helpful","July 28, 2022","Dear Shabnam - Thank you for your rating.
We encourage you to write to us at support@edvanza.com and share your feedback. Or take a 30-minute personalized career advisory session with our Career Advisors.
Looking forward to hearing from you."
"https://play-lh.googleusercontent.com/a-/ACNPEu_7_e-xFT6gHXPeQ4zt1oNeEdYgVuR_YXpRMtVKP44=s32-rw","Hetal Shah","September 23, 2022","Can't even login.despite of email verification.poor app","","September 26, 2022","Hey Hetal, Thanks for your feedback!
We have forwarded this issue to the relevant team. Meanwhile, We are working on resolving these issues and will soon be releasing updates to make your experience better. You can send us screenshots at support@edvanza.com, we would strive to give you an ideal Edvanza experience!"
"https://play-lh.googleusercontent.com/a/ALm5wu34qI015xpkqHZAWmDBuY3DKHKCaLvzu1QMn3oY=s32-rw-mo","Manjula Aiyer","September 28, 2022","Good idea. Tried the skill gap analysis. Will explore more and update","3 people found this review helpful","October 3, 2022","Dear Manjula, thank you very much for sharing your valuable & useful feedback. If you have other feedback or suggestions, please write to us at support@edvanza.com. We would love to hear from you!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_2kG5erjzV2qzGr6LQ-CTOnSMgjEEm-h-ePLLg=s32-rw","sunny kumar","October 13, 2022","Best education app. You can get a lot of career opportunity here","1 person found this review helpful","October 17, 2022","Hi Sunny, thank you for your valuable review! We're grateful to have you as part of our family! We're constantly committed to providing the best experience & matching opportunities with your aspirations for a fulfilling career journey."
"https://play-lh.googleusercontent.com/a/ALm5wu0OL_2bzE3fhJKzPMSeoTh09tjK0E_1eEq-RtJeSg=s32-rw-mo","Maneesh Bandaru","October 11, 2022","This is the worst app ever. We cannot even login.","","October 17, 2022","Hi Maneesh, Sorry about the inconvenience. To ensure data privacy & verification, you can log in once you verify your email ID in your welcome email. Check your ""others/ promotions"" folder for the welcome email, or share a screenshot at support@edvanza.com to help us ensure a quick resolution. Thanks"
"https://play-lh.googleusercontent.com/a-/ACNPEu-LB-zm6lQFaoUvpeoB5gioGFPSmVfa9iThivzydgc=s32-rw","centreofblanket","October 14, 2022","great platform for upskilling","1 person found this review helpful","October 17, 2022","Hi centreofblanket,
Thanks for your valuable feedback. We are continuously working on adding more features to our app to make your edvanza experience better. Keep growing, & keep upskilling. Cheers!"
"https://play-lh.googleusercontent.com/a/ALm5wu3nhdoPzWUEjRCTlX3znGy4jQ2YEwRGeCAyD07l=s32-rw-mo","Raj Rathore","October 13, 2022","Good platform for professionals","1 person found this review helpful","October 17, 2022","Hi Raj, thank you for your valuable support! We're grateful to have you as part of our family! We're constantly committed to provide the best experience to our esteemed customers for their career advancement journey."
"https://play-lh.googleusercontent.com/a-/ACNPEu87iiGi_aYyqkAr3ReuyTT9aVevTbdXILOfuvQAlQ=s32-rw","williams nimi","July 9, 2022","Below par. The idea for this app will need a bit of community contribution. Make it possible for experts on the app to make recommendations for newbies. Great idea, execution is poor.","3 people found this review helpful","July 28, 2022","Hello Nimi - This is great feedback and we are continuously striving to make the user experience better. Please write to us at support@edvanza.com for further communication."
"https://play-lh.googleusercontent.com/a-/ACNPEu_wBmQiMNw9W1xjf37GDx3uTe09TXJNyOJjANbx4Q=s32-rw","Nishanth Hebbar","June 25, 2022","Impossible to signin. Tried twice. The password is always incorrect","21 people found this review helpful","July 28, 2022","Dear Nishanth - Our technical team shared that they've fixed the issue. Please try to log in again to see if it works well. If the same problem still exists, please let us know at support@edvanza.com. Thank you."
"https://play-lh.googleusercontent.com/a/ALm5wu1zvxsQKhtLp-6cFDYVafjYuCXRCZ3iwEm_K7SG=s32-rw-mo","Adeyemo Fathia","July 6, 2022","Like seriously people who said this app is ridiculous actually re d one with problem...... it's very easy to access","8 people found this review helpful","July 28, 2022","Thanks for your review! Please recommend our app to your friends, and don’t hesitate to shoot us a note at support@edvanza.com if you have any questions."
"https://play-lh.googleusercontent.com/a-/ACNPEu-dkN_lk3WJpj9tUFxdZySlqL25MIIkR1z3SJU=s32-rw","innocent emmanuel","October 27, 2022","App is great, solving a project already","1 person found this review helpful","October 27, 2022","Hi Innocent, thanks for your helpful feedback. It's our users that inspire our team to do more and do better. If you have any queries or for career guidance, please DM us at support@edvanza.com. We would love to hear from you! Keep learning and keep growing."
"https://play-lh.googleusercontent.com/a/ALm5wu1w2C8qvDYi8qp9Ab3C1zxnixfws8pE6oEVfZ9e=s32-rw-mo","Spy Kids","October 28, 2022","The app solves solution for me, all in one flight booking, Banking and finance, etc, I will recommend it to anyone.","1 person found this review helpful","October 31, 2022","Hi Spy Kids, thanks for recommending. We are coming up with new collaborations and partnerships for a richer learning experience. Feel free to connect with our career advisory freely at support@edvanza.com. We would love to hear from you! Keep learning and keep growing."
"https://play-lh.googleusercontent.com/a/ALm5wu0RyD6z2iO-PxYRCl0z_P9o9y0I-6V7sc1VEe_t=s32-rw-mo","Oscar Orlando","July 14, 2022","Just logged in a few days back. Free assessments for interview test are good and helpful to prepare. More to explore soon","3 people found this review helpful","July 28, 2022","Thank you for your support. Happy exploring !"
"https://play-lh.googleusercontent.com/a-/ACNPEu-H-xRfunw-i_ByRFdobBS4CV86Dmw8zWmWuVrjDg=s32-rw","SAURABH KUMAR MAURYA","October 18, 2022","Fabulous app for skill learning","1 person found this review helpful","October 21, 2022","Dear Saurabh, Thanks a lot for sharing your valuable review. We aspire to ensure you have a smart & informed skill-based learning. If you have any queries or suggestions, please DM us at support@edvanza.com. We would love to hear from you! Keep learning and keep growing."
"https://play-lh.googleusercontent.com/a-/ACNPEu_14p9m9qUxFZvh6Y2llnAJxJ-BGVrS5eJhAFq8fg=s32-rw","Arshad ɢᴀᴍɪɴɢ","November 20, 2022","Sign up problem worst app ever seen","","November 21, 2022","Dear Arshad, sorry for the inconvenience. To ensure security, we have a two-step verification prior to login. To confirm, please click on your ""welcome to edvanza"" email either in your primary or others folder. Once you confirm, it would login using your ID & password. You can reach our technical team at support@edavzan.com for further assistance"
"https://play-lh.googleusercontent.com/a/ALm5wu1nA_xGOz8kGMUiqX3dNPpjoCljBRaj4MjoMgDB=s32-rw-mo","Geeta Sinha","October 18, 2022","Very useful App.Helped a lot","1 person found this review helpful","October 21, 2022","Dear Geeta, It means a lot to us to hear your valuable thoughts. It's our users that inspire our team to do more and do better. If you have any queries or suggestions, please DM us at support@edvanza.com. We would love to hear from you! Keep learning and keep growing."
"https://play-lh.googleusercontent.com/a/ALm5wu042hWQzazfdc_XXBJT43afwZCQv-nb9YlZRzrs=s32-rw-mo","Pushpa Singh","October 17, 2022","Best app for learning","1 person found this review helpful","October 21, 2022","Dear Pushpa, we are happy to know that you found our app useful. If you have any queries or suggestions, please write to us at support@edvanza.com. We would love to hear from you! Cheers"
"https://play-lh.googleusercontent.com/a-/ACNPEu-emjAIl5PrbbY91bTy4y5u-BjWNUy8OTHZ2XZtbtk=s32-rw","Preeti","October 10, 2022","It helped me for my new job interview.","1 person found this review helpful","October 14, 2022","Dear Preethi, Great to hear about your new job interview. Edvanza is dedicated to be your career advancement tool and we will be happy to assist you in your career path. Do message us at support@edvanza.com to connect with our career advisors and wishing you a great & successful career ahead."
"https://play-lh.googleusercontent.com/a/ALm5wu00FXJ_9XtdFpoE6KDh3xkMD-LlxSqEI6lla_LN=s32-rw-mo","Ishank freaking rai","October 17, 2022","Very good app really helpful","1 person found this review helpful","October 21, 2022","Dear Ishank, thanks and appreciate your thoughts and feedback. It's your experiences that inspire our team to do more and better. If you have any queries or suggestions, please write to us at support@edvanza.com. We would love to hear from you! Cheers"
"https://play-lh.googleusercontent.com/a-/ACNPEu-26QgUX1dicmdyc8pH0yG7LWigzCqvuN13OLVd=s32-rw","Amiri Zahavi","September 24, 2022","App is very nice","1 person found this review helpful","September 26, 2022","Hey Amiri, thank you for your valuable support! We're grateful to have you as part of our family! We're constantly committed to provide the best experience to our esteemed customers for their career advancement journey."
"https://play-lh.googleusercontent.com/a-/ACNPEu-0aes9xPZBum1WAC9jw-r8W0ka_tiM_RNSyHZw1w=s32-rw","Minakshi Singh","October 10, 2022","Prepped me well for my next job interview.","1 person found this review helpful","October 17, 2022","Hi Minakshi, Hope you had a successful job interview. We would be happy to work with you in enriching your profile & skill sets. You can book a session with our career advisors as well at support@edvanza.com. Onwards & upwards. Have a wonderful career journey."
