id,PositionFormattedDescription,DepartmentName,PositionURI,PositionTitle,JobCategory,OrganizationName,JobGrade,PositionStartDate,ApplicationCloseDate,PositionLocationDisplay,ApplyURI,QualificationSummary,PositionOfferingType,PositionSchedule,PublicationStartDate,PositionID,PositionEndDate
11,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585170100,Supply Family,General Supply,Department of the Air Force - Agency Wide,NH,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, United States",https://www.usajobs.gov:443/GetJob/ViewDetails/585170100?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NH-20XX-SPLASH,2023-11-29T23:59:59.9970
12,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585171100,MISCELLANEOUS,Explosives Safety Series,Department of the Air Force - Agency Wide,NH,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, United States",https://www.usajobs.gov:443/GetJob/ViewDetails/585171100?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NH-00XX-SPLASH,2023-11-29T23:59:59.9970
13,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585171900,Physical Sciences Family,General Physical Science,Department of the Air Force - Agency Wide,NH,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, United States",https://www.usajobs.gov:443/GetJob/ViewDetails/585171900?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NH-13XX-SPLASH,2023-11-29T23:59:59.9970
14,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585173800,Human Resources Management,Human Resources Management,Department of the Air Force - Agency Wide,NH,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, United States",https://www.usajobs.gov:443/GetJob/ViewDetails/585173800?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NH-02XX-SPLASH,2023-11-29T23:59:59.9970
15,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585174300,Medical Family,Medical Officer,Department of the Air Force - Agency Wide,NJ,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, United States",https://www.usajobs.gov:443/GetJob/ViewDetails/585174300?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NJ-06XX-SPLASH,2023-11-29T23:59:59.9970
16,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585174400,Quality Assurance Family,Quality Assurance,Department of the Air Force - Agency Wide,NH,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, United States",https://www.usajobs.gov:443/GetJob/ViewDetails/585174400?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NH-19XX-SPLASH,2023-11-29T23:59:59.9970
17,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585175700,Gen Admin,Miscellaneous Administration And Program,Department of the Air Force - Agency Wide,NH,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, United States",https://www.usajobs.gov:443/GetJob/ViewDetails/585175700?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NH-03XX-SPLASH,2023-11-29T23:59:59.9970
18,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585178800,Accounting and Budget,Financial Administration And Program,Department of the Air Force - Agency Wide,NH,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, United States",https://www.usajobs.gov:443/GetJob/ViewDetails/585178800?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NH-05XX-SPLASH,2023-11-29T23:59:59.9970
19,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585181600,Engineering and Architecture,General Engineering,Department of the Air Force - Agency Wide,NH,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, United States",https://www.usajobs.gov:443/GetJob/ViewDetails/585181600?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NH-08XX-SPLASH,2023-11-29T23:59:59.9970
20,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585183300,Business and Industry,General Business And Industry,Department of the Air Force - Agency Wide,NH,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, United States",https://www.usajobs.gov:443/GetJob/ViewDetails/585183300?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NH-11XX-SPLASH,2023-11-29T23:59:59.9970
21,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585184800,Mathematics and Statistics,Operations Research,Department of the Air Force - Agency Wide,NH,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, ",https://www.usajobs.gov:443/GetJob/ViewDetails/585184800?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NH-15XX-SPLASH,2023-11-29T23:59:59.9970
22,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585188300,Social Science Family,Social Science,Department of the Air Force - Agency Wide,NH,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, United States",https://www.usajobs.gov:443/GetJob/ViewDetails/585188300?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NH-01XX-SPLASH,2023-11-29T23:59:59.9970
23,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585191500,Library,Librarian,Department of the Air Force - Agency Wide,NH,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, United States",https://www.usajobs.gov:443/GetJob/ViewDetails/585191500?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NH-14XX-SPLASH,2023-11-29T23:59:59.9970
24,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585192400,Transportation Family,Dispatching,Department of the Air Force - Agency Wide,NK,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, United States",https://www.usajobs.gov:443/GetJob/ViewDetails/585192400?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NK-21XX-SPLASH,2023-11-29T23:59:59.9970
25,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585194800,Miscellaneous Clerk and Assistant Family,Miscellaneous Clerk And Assistant,Department of the Air Force - Agency Wide,NK,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, United States",https://www.usajobs.gov:443/GetJob/ViewDetails/585194800?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NK-03XX-SPLASH,2023-11-29T23:59:59.9970
26,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585196100,Security Clerical and Assistant,Security Clerical and Assistance,Department of the Air Force - Agency Wide,NK,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, United States",https://www.usajobs.gov:443/GetJob/ViewDetails/585196100?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NK-0086-SPLASH,2023-11-29T23:59:59.9970
27,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585230700,Equipment Facilities and Service,"Equipment Facilities, And Services",Department of the Air Force - Agency Wide,NH,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, United States",https://www.usajobs.gov:443/GetJob/ViewDetails/585230700?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NH-16XX-SPLASH,2023-11-29T23:59:59.9970
28,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585242400,Transportation,Transportation Specialist,Department of the Air Force - Agency Wide,NH,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, United States",https://www.usajobs.gov:443/GetJob/ViewDetails/585242400?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NH-21XX-SPLASH,2023-11-29T23:59:59.9970
29,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585245200,Engineering and Architecture Family,Engineering Technical,Department of the Air Force - Agency Wide,NJ,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, United States",https://www.usajobs.gov:443/GetJob/ViewDetails/585245200?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NJ-08XX-SPLASH,2023-11-29T23:59:59.9970
30,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585245500,Legal and Kindred Family,Contact Representative,Department of the Air Force - Agency Wide,NJ,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, United States",https://www.usajobs.gov:443/GetJob/ViewDetails/585245500?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NJ-09XX-SPLASH,2023-11-29T23:59:59.9970
31,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585245900,Education Family,Education And Training Technician,Department of the Air Force - Agency Wide,NJ,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,Location Negotiable After Selection,https://www.usajobs.gov:443/GetJob/ViewDetails/585245900?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NJ-17XX-SPLASH,2023-11-29T23:59:59.9970
32,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585246100,Business and Industry Family,Production Control,Department of the Air Force - Agency Wide,NJ,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, United States",https://www.usajobs.gov:443/GetJob/ViewDetails/585246100?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NJ-11XX-SPLASH,2023-11-29T23:59:59.9970
33,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585246400,Information and Arts Family,Museum Specialist And Technician,Department of the Air Force - Agency Wide,NJ,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, United States",https://www.usajobs.gov:443/GetJob/ViewDetails/585246400?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NJ-10XX-SPLASH,2023-11-29T23:59:59.9970
34,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585246700,Library Family,Library Technician,Department of the Air Force - Agency Wide,NJ,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, United States",https://www.usajobs.gov:443/GetJob/ViewDetails/585246700?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NJ-14XX-SPLASH,2023-11-29T23:59:59.9970
35,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585246900,Information technology Management,Information Technology Management,Department of the Air Force - Agency Wide,NH,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, United States",https://www.usajobs.gov:443/GetJob/ViewDetails/585246900?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NH-22XX-SPLASH,2023-11-29T23:59:59.9970
